Longitud_de_onda_A,espectro
4000.0000,0.995747
4000.0500,0.98404
4000.1000,0.953498
4000.1500,0.981971
4000.2000,0.97626
4000.2500,0.980551
4000.3000,0.970639
4000.3500,0.995591
4000.4000,1.00986
4000.4500,1.00371
4000.5000,1.01141
4000.5500,0.989938
4000.6000,0.997133
4000.6500,1.00013
4000.7000,0.99376
4000.7500,0.991057
4000.8000,1.01867
4000.8500,1.05834
4000.9000,1.01951
4000.9500,1.02298
4001.0000,1.009
4001.0500,1.01291
4001.1000,0.998968
4001.1500,0.986708
4001.2000,1.03444
4001.2500,1.02991
4001.3000,0.997282
4001.3500,1.01393
4001.4000,1.01294
4001.4500,0.984493
4001.5000,1.01212
4001.5500,1.02029
4001.6000,1.01467
4001.6500,1.00133
4001.7000,1.00833
4001.7500,0.996309
4001.8000,1.04359
4001.8500,1.02333
4001.9000,1.01572
4001.9500,1.01652
4002.0000,1.03632
4002.0500,1.03114
4002.1000,1.01433
4002.1500,1.01731
4002.2000,1.01148
4002.2500,1.01718
4002.3000,1.01882
4002.3500,1.01421
4002.4000,1.0317
4002.4500,0.97535
4002.5000,0.993573
4002.5500,0.989834
4002.6000,1.00646
4002.6500,0.99913
4002.7000,0.997144
4002.7500,1.03092
4002.8000,1.00112
4002.8500,0.969709
4002.9000,0.995759
4002.9500,0.992168
4003.0000,0.985733
4003.0500,0.997399
4003.1000,0.953058
4003.1500,0.986931
4003.2000,0.991801
4003.2500,0.966006
4003.3000,0.98316
4003.3500,0.958483
4003.4000,0.966266
4003.4500,0.965302
4003.5000,0.967336
4003.5500,0.958248
4003.6000,0.947076
4003.6500,0.940867
4003.7000,0.973849
4003.7500,0.968068
4003.8000,0.951739
4003.8500,0.972193
4003.9000,0.956999
4003.9500,0.965769
4004.0000,0.940976
4004.0500,0.964076
4004.1000,0.961547
4004.1500,0.966442
4004.2000,0.95089
4004.2500,0.945091
4004.3000,0.930759
4004.3500,0.967219
4004.4000,0.963301
4004.4500,0.95164
4004.5000,0.957211
4004.5500,0.94462
4004.6000,0.943651
4004.6500,0.944171
4004.7000,0.938852
4004.7500,0.951691
4004.8000,0.938667
4004.8500,0.940167
4004.9000,0.9402
4004.9500,0.951326
4005.0000,0.922223
4005.0500,0.960543
4005.1000,0.935391
4005.1500,0.943817
4005.2000,0.946904
4005.2500,0.940376
4005.3000,0.945553
4005.3500,0.936006
4005.4000,0.939859
4005.4500,0.949047
4005.5000,0.942339
4005.5500,0.931374
4005.6000,0.945963
4005.6500,0.974017
4005.7000,0.97078
4005.7500,0.944106
4005.8000,0.94781
4005.8500,0.956437
4005.9000,0.934272
4005.9500,0.973617
4006.0000,0.953587
4006.0500,0.94218
4006.1000,0.967823
4006.1500,0.945614
4006.2000,0.953378
4006.2500,0.970614
4006.3000,0.953877
4006.3500,0.97499
4006.4000,0.962263
4006.4500,0.954827
4006.5000,0.956508
4006.5500,0.955604
4006.6000,0.943694
4006.6500,0.936996
4006.7000,0.938769
4006.7500,0.948729
4006.8000,0.955905
4006.8500,0.955967
4006.9000,0.958554
4006.9500,0.968742
4007.0000,0.968489
4007.0500,0.971948
4007.1000,0.967149
4007.1500,0.987278
4007.2000,0.967082
4007.2500,0.978129
4007.3000,0.957795
4007.3500,0.966763
4007.4000,0.95658
4007.4500,0.974219
4007.5000,0.981687
4007.5500,0.966643
4007.6000,0.947516
4007.6500,0.959222
4007.7000,0.974087
4007.7500,0.963811
4007.8000,0.987353
4007.8500,0.976739
4007.9000,0.967553
4007.9500,0.963539
4008.0000,0.987794
4008.0500,0.990314
4008.1000,1.0058
4008.1500,0.983672
4008.2000,0.99079
4008.2500,0.982511
4008.3000,0.998512
4008.3500,0.978981
4008.4000,0.990698
4008.4500,0.994164
4008.5000,0.991815
4008.5500,1.00564
4008.6000,1.01205
4008.6500,1.00549
4008.7000,1.005
4008.7500,1.01662
4008.8000,1.00641
4008.8500,1.01077
4008.9000,1.00905
4008.9500,1.00719
4009.0000,0.999357
4009.0500,1.00829
4009.1000,1.02299
4009.1500,1.01065
4009.2000,1.01078
4009.2500,1.0077
4009.3000,1.00161
4009.3500,1.02367
4009.4000,1.01313
4009.4500,1.02226
4009.5000,1.04512
4009.5500,1.02334
4009.6000,1.00496
4009.6500,1.01459
4009.7000,1.04115
4009.7500,1.02001
4009.8000,1.00312
4009.8500,1.01292
4009.9000,1.04708
4009.9500,1.01909
4010.0000,1.014
4010.0500,1.04504
4010.1000,1.0244
4010.1500,1.01775
4010.2000,1.01561
4010.2500,1.04355
4010.3000,1.03276
4010.3500,1.01177
4010.4000,1.01399
4010.4500,0.998933
4010.5000,1.01699
4010.5500,0.991138
4010.6000,1.02038
4010.6500,1.00338
4010.7000,1.03274
4010.7500,1.02155
4010.8000,0.997226
4010.8500,1.01534
4010.9000,1.04914
4010.9500,1.04773
4011.0000,1.02045
4011.0500,1.02084
4011.1000,1.00435
4011.1500,1.06994
4011.2000,1.05818
4011.2500,1.02209
4011.3000,1.04978
4011.3500,1.02402
4011.4000,1.02426
4011.4500,1.02308
4011.5000,1.04616
4011.5500,1.02391
4011.6000,1.0246
4011.6500,1.03565
4011.7000,1.02012
4011.7500,1.02264
4011.8000,1.00375
4011.8500,1.03179
4011.9000,1.02151
4011.9500,1.05019
4012.0000,1.0347
4012.0500,1.03824
4012.1000,1.01005
4012.1500,1.01124
4012.2000,1.02984
4012.2500,1.04335
4012.3000,1.01744
4012.3500,1.02996
4012.4000,0.99326
4012.4500,1.01074
4012.5000,1.00853
4012.5500,1.00596
4012.6000,1.02119
4012.6500,1.01547
4012.7000,1.01134
4012.7500,1.02189
4012.8000,1.00012
4012.8500,1.00881
4012.9000,1.01942
4012.9500,0.981867
4013.0000,1.01075
4013.0500,1.00992
4013.1000,0.995993
4013.1500,0.98928
4013.2000,1.02417
4013.2500,1.00222
4013.3000,1.02304
4013.3500,1.01061
4013.4000,1.00196
4013.4500,1.01602
4013.5000,0.994668
4013.5500,1.00599
4013.6000,1.02138
4013.6500,1.01142
4013.7000,1.0033
4013.7500,1.0102
4013.8000,0.989514
4013.8500,1.01054
