Longitud_de_onda_A,espectro
4000.0000,1.19464
4000.0500,1.31718
4000.1000,1.27886
4000.1500,0.945929
4000.2000,1.07976
4000.2500,1.17057
4000.3000,1.06328
4000.3500,0.897897
4000.4000,0.606398
4000.4500,0.633376
4000.5000,0.829027
4000.5500,0.570169
4000.6000,0.915872
4000.6500,1.37457
4000.7000,1.67948
4000.7500,1.5363
4000.8000,1.31088
4000.8500,1.11004
4000.9000,1.26521
4000.9500,0.908397
4001.0000,1.06892
4001.0500,0.564876
4001.1000,1.34833
4001.1500,0.431746
4001.2000,0.61225
4001.2500,0.943274
4001.3000,0.996056
4001.3500,0.903952
4001.4000,1.04768
4001.4500,1.40969
4001.5000,1.04611
4001.5500,0.850124
4001.6000,1.17823
4001.6500,0.588175
4001.7000,0.760793
4001.7500,0.319938
4001.8000,0.812342
4001.8500,0.924016
4001.9000,1.17835
4001.9500,1.50231
4002.0000,1.45225
4002.0500,1.3508
4002.1000,0.960897
4002.1500,1.22625
4002.2000,1.21423
4002.2500,0.784735
4002.3000,1.36403
4002.3500,1.16016
4002.4000,0.980153
4002.4500,1.19071
4002.5000,1.17573
4002.5500,0.714043
4002.6000,0.810921
4002.6500,0.955163
4002.7000,1.1782
4002.7500,1.43873
4002.8000,0.855828
4002.8500,0.881421
4002.9000,1.14613
4002.9500,0.782896
4003.0000,0.761027
4003.0500,1.18776
4003.1000,0.900476
4003.1500,1.04984
4003.2000,1.55624
4003.2500,1.25323
4003.3000,1.08387
4003.3500,0.925175
4003.4000,1.45128
4003.4500,1.41547
4003.5000,0.523854
4003.5500,1.0263
4003.6000,1.19263
4003.6500,1.09091
4003.7000,0.713858
4003.7500,1.01702
4003.8000,1.01774
4003.8500,1.37349
4003.9000,1.09688
4003.9500,1.05163
4004.0000,0.821934
4004.0500,0.971215
4004.1000,0.790605
4004.1500,1.00715
4004.2000,1.37741
4004.2500,1.40847
4004.3000,1.27976
4004.3500,1.28603
4004.4000,1.6982
4004.4500,1.54671
4004.5000,1.56079
4004.5500,1.14088
4004.6000,1.38147
4004.6500,1.21772
4004.7000,1.15532
4004.7500,0.899636
4004.8000,0.734167
4004.8500,0.71179
4004.9000,0.323933
4004.9500,0.374307
4005.0000,0.590238
4005.0500,0.5019
4005.1000,0.511716
4005.1500,0.647165
4005.2000,0.710638
4005.2500,0.401332
4005.3000,0.48226
4005.3500,0.233843
4005.4000,0.680624
4005.4500,0.40611
4005.5000,0.636272
4005.5500,0.741022
4005.6000,0.891028
4005.6500,0.7524
4005.7000,0.949308
4005.7500,0.646301
4005.8000,0.79787
4005.8500,1.10598
4005.9000,1.30008
4005.9500,1.21603
4006.0000,1.1853
4006.0500,1.06936
4006.1000,1.00943
4006.1500,0.783984
4006.2000,0.927013
4006.2500,1.08658
4006.3000,0.988865
4006.3500,0.56466
4006.4000,0.854354
4006.4500,0.624595
4006.5000,1.19127
4006.5500,1.40507
4006.6000,0.950262
4006.6500,0.678023
4006.7000,0.681791
4006.7500,0.811306
4006.8000,0.533312
4006.8500,1.00205
4006.9000,1.27398
4006.9500,1.44414
4007.0000,1.57777
4007.0500,1.17288
4007.1000,1.27394
4007.1500,1.60573
4007.2000,1.19215
4007.2500,0.866136
4007.3000,0.661787
4007.3500,0.696882
4007.4000,1.12205
4007.4500,1.18215
4007.5000,1.28605
4007.5500,1.12741
4007.6000,1.13243
4007.6500,1.11588
4007.7000,1.16213
4007.7500,1.05347
4007.8000,1.4015
4007.8500,1.45896
4007.9000,0.747577
4007.9500,0.597425
4008.0000,0.621203
4008.0500,0.624549
4008.1000,0.953034
4008.1500,1.01052
4008.2000,1.12216
4008.2500,0.894917
4008.3000,1.04313
4008.3500,1.16635
4008.4000,1.50734
4008.4500,1.21278
4008.5000,1.14261
4008.5500,1.34955
4008.6000,1.25942
4008.6500,1.23063
4008.7000,0.789406
4008.7500,0.825205
4008.8000,0.796704
4008.8500,0.756089
4008.9000,0.945374
4008.9500,0.635027
4009.0000,0.776125
4009.0500,0.725111
4009.1000,0.513872
4009.1500,0.970768
4009.2000,1.24393
4009.2500,1.25717
4009.3000,1.19851
4009.3500,1.5407
4009.4000,1.573
4009.4500,1.28484
4009.5000,1.08208
4009.5500,0.921766
4009.6000,0.681671
4009.6500,0.50416
4009.7000,0.667665
4009.7500,0.190979
4009.8000,0.775006
4009.8500,1.24629
4009.9000,1.19904
4009.9500,1.53079
4010.0000,1.14788
4010.0500,1.30377
4010.1000,1.34193
4010.1500,1.11058
4010.2000,0.933376
4010.2500,1.07707
4010.3000,1.41005
4010.3500,1.5739
4010.4000,1.03476
4010.4500,1.30712
4010.5000,1.13775
4010.5500,0.883486
4010.6000,0.881103
4010.6500,0.937312
4010.7000,1.15202
4010.7500,0.642452
4010.8000,0.948839
4010.8500,0.548714
4010.9000,0.420403
4010.9500,0.819125
4011.0000,0.982028
4011.0500,0.601455
4011.1000,1.19247
4011.1500,0.73933
4011.2000,1.19951
4011.2500,1.29189
4011.3000,1.36275
4011.3500,0.644248
4011.4000,1.27113
4011.4500,1.19824
4011.5000,1.32469
4011.5500,1.22406
4011.6000,1.25479
4011.6500,1.08432
4011.7000,0.926518
4011.7500,0.912867
4011.8000,0.861554
4011.8500,0.824963
4011.9000,0.979891
4011.9500,0.927655
4012.0000,1.29206
4012.0500,0.738764
4012.1000,0.962054
4012.1500,0.988533
4012.2000,0.783347
4012.2500,0.771625
4012.3000,0.813641
4012.3500,0.688598
4012.4000,0.697594
4012.4500,0.209692
4012.5000,0.954092
4012.5500,0.93453
4012.6000,0.814607
4012.6500,0.983384
4012.7000,1.13221
4012.7500,1.15282
4012.8000,1.21927
4012.8500,1.30405
4012.9000,1.62582
4012.9500,1.34043
4013.0000,1.64379
4013.0500,1.34564
4013.1000,1.37464
4013.1500,0.908149
4013.2000,1.20545
4013.2500,1.37361
4013.3000,1.47394
4013.3500,1.45096
4013.4000,1.70234
4013.4500,1.47917
4013.5000,1.42666
4013.5500,1.25839
4013.6000,0.899642
4013.6500,0.650919
4013.7000,0.883448
4013.7500,0.513773
4013.8000,0.462707
4013.8500,0.613565
4013.9000,0.491383
4013.9500,0.5206
4014.0000,1.31594
4014.0500,1.09779
4014.1000,1.21614
4014.1500,1.32979
4014.2000,1.29263
4014.2500,1.17536
4014.3000,0.716514
4014.3500,0.863572
4014.4000,0.990643
4014.4500,0.838919
4014.5000,0.677371
4014.5500,0.785864
4014.6000,0.320052
4014.6500,0.805277
4014.7000,1.17226
4014.7500,1.36522
4014.8000,1.04725
4014.8500,1.00694
4014.9000,0.746239
4014.9500,0.957432
4015.0000,0.972437
4015.0500,0.954514
4015.1000,1.40311
4015.1500,1.40637
4015.2000,1.26968
4015.2500,1.11214
4015.3000,1.00248
4015.3500,0.969042
4015.4000,0.709567
4015.4500,0.78072
4015.5000,0.682513
4015.5500,1.01876
4015.6000,0.690962
4015.6500,0.749928
4015.7000,1.13224
4015.7500,1.09049
4015.8000,1.16248
4015.8500,1.70531
4015.9000,1.52686
4015.9500,1.34425
4016.0000,1.14345
4016.0500,1.20095
4016.1000,1.23589
4016.1500,1.18668
4016.2000,1.07322
4016.2500,1.06743
4016.3000,0.992657
4016.3500,1.22732
4016.4000,0.810551
4016.4500,1.03646
4016.5000,0.838532
4016.5500,0.916709
4016.6000,1.04038
4016.6500,1.27506
4016.7000,1.15483
4016.7500,1.37882
4016.8000,1.15496
4016.8500,0.91945
4016.9000,1.21083
4016.9500,0.949799
4017.0000,0.746624
4017.0500,0.752537
4017.1000,0.666698
4017.1500,0.393419
4017.2000,0.647771
4017.2500,0.743182
4017.3000,0.902173
4017.3500,0.96731
4017.4000,0.84631
4017.4500,1.08513
4017.5000,0.754253
4017.5500,0.666399
4017.6000,0.671501
4017.6500,0.916539
4017.7000,1.2306
4017.7500,1.23926
4017.8000,0.890357
4017.8500,0.893929
4017.9000,1.00831
4017.9500,1.08365
4018.0000,1.04806
4018.0500,0.852096
4018.1000,0.242912
4018.1500,0.357319
4018.2000,0.320978
4018.2500,0.583614
4018.3000,0.466339
4018.3500,0.655201
4018.4000,0.858829
4018.4500,0.9807
4018.5000,1.08824
4018.5500,1.12085
4018.6000,1.32206
4018.6500,1.05426
4018.7000,1.05764
4018.7500,1.32028
4018.8000,1.08838
4018.8500,0.724287
4018.9000,0.823401
4018.9500,1.27045
4019.0000,0.82704
4019.0500,0.777588
4019.1000,0.519921
4019.1500,0.46478
4019.2000,0.307956
4019.2500,0.765549
4019.3000,0.621855
4019.3500,0.801681
4019.4000,0.904596
4019.4500,1.30466
4019.5000,1.22351
4019.5500,1.33469
4019.6000,1.07069
4019.6500,1.21547
4019.7000,1.55628
4019.7500,1.13436
4019.8000,1.36291
4019.8500,1.27639
4019.9000,0.909241
4019.9500,1.00605
4020.0000,1.10518
4020.0500,0.939823
4020.1000,0.609152
4020.1500,0.784427
4020.2000,0.699299
4020.2500,0.659902
4020.3000,0.662926
4020.3500,0.797808
4020.4000,0.305715
4020.4500,0.456313
4020.5000,0.502293
4020.5500,0.64606
4020.6000,1.15416
4020.6500,1.43329
4020.7000,1.03064
4020.7500,1.08831
4020.8000,0.979196
4020.8500,0.642002
4020.9000,0.582278
4020.9500,0.491506
4021.0000,0.536108
4021.0500,0.792941
4021.1000,0.826878
4021.1500,1.31631
4021.2000,1.17606
4021.2500,0.933694
4021.3000,0.964451
4021.3500,1.06997
4021.4000,1.01217
4021.4500,1.0605
4021.5000,1.16384
4021.5500,0.98584
4021.6000,0.616008
4021.6500,0.55831
4021.7000,0.429493
4021.7500,0.701542
4021.8000,0.539491
4021.8500,0.482787
4021.9000,0.426019
4021.9500,0.680058
4022.0000,0.896219
4022.0500,1.02502
4022.1000,0.989582
4022.1500,1.01904
4022.2000,1.22303
4022.2500,0.845004
4022.3000,0.806681
4022.3500,0.848168
4022.4000,1.08941
4022.4500,0.95323
4022.5000,0.999426
4022.5500,1.36469
4022.6000,1.27023
4022.6500,0.912155
4022.7000,0.881711
4022.7500,0.919635
4022.8000,0.665652
4022.8500,1.01708
4022.9000,0.973246
4022.9500,1.12297
4023.0000,0.916333
4023.0500,1.05915
4023.1000,0.892081
4023.1500,1.07078
4023.2000,0.986136
4023.2500,1.07894
4023.3000,0.741801
4023.3500,0.956629
4023.4000,0.799011
4023.4500,1.05902
4023.5000,0.925158
4023.5500,0.965058
4023.6000,1.06276
4023.6500,1.17451
4023.7000,0.61387
4023.7500,0.859651
4023.8000,0.776636
