Longitud_de_onda_A,espectro
4000.0000,1.30951
4000.0500,1.25822
4000.1000,1.18466
4000.1500,1.04708
4000.2000,0.930627
4000.2500,0.902891
4000.3000,0.760488
4000.3500,0.660994
4000.4000,0.58827
4000.4500,0.529297
4000.5000,0.454503
4000.5500,0.526073
4000.6000,0.66567
4000.6500,0.906479
4000.7000,1.11341
4000.7500,1.16479
4000.8000,1.16147
4000.8500,1.29101
4000.9000,1.32131
4000.9500,1.22536
4001.0000,1.25317
4001.0500,1.07044
4001.1000,0.945949
4001.1500,0.873155
4001.2000,0.900214
4001.2500,0.891972
4001.3000,0.952002
4001.3500,1.02181
4001.4000,0.998553
4001.4500,0.984842
4001.5000,0.871118
4001.5500,0.706509
4001.6000,0.592703
4001.6500,0.470665
4001.7000,0.464707
4001.7500,0.541033
4001.8000,0.722002
4001.8500,0.900846
4001.9000,1.03067
4001.9500,0.955849
4002.0000,0.919617
4002.0500,0.764666
4002.1000,0.685108
4002.1500,0.732908
4002.2000,0.828536
4002.2500,1.02086
4002.3000,1.0833
4002.3500,1.18944
4002.4000,1.09438
4002.4500,1.07817
4002.5000,1.07307
4002.5500,0.977278
4002.6000,0.94649
4002.6500,0.98734
4002.7000,0.947439
4002.7500,0.915235
4002.8000,0.845678
4002.8500,0.673668
4002.9000,0.611458
4002.9500,0.500594
4003.0000,0.565772
4003.0500,0.70019
4003.1000,0.810285
4003.1500,1.01265
4003.2000,0.989328
4003.2500,1.09084
4003.3000,1.19128
4003.3500,1.13477
4003.4000,1.16671
4003.4500,1.19766
4003.5000,1.24938
4003.5500,1.19369
4003.6000,1.04238
4003.6500,1.04162
4003.7000,0.884016
4003.7500,0.744485
4003.8000,0.670324
4003.8500,0.684462
4003.9000,0.701782
4003.9500,0.817402
4004.0000,0.783602
4004.0500,0.796872
4004.1000,0.76943
4004.1500,0.916997
4004.2000,1.07337
4004.2500,1.25591
4004.3000,1.10018
4004.3500,1.21586
4004.4000,1.21647
4004.4500,1.29578
4004.5000,1.30108
4004.5500,1.2199
4004.6000,1.13233
4004.6500,1.00497
4004.7000,0.861964
4004.7500,0.805682
4004.8000,0.663107
4004.8500,0.51431
4004.9000,0.432479
4004.9500,0.376334
4005.0000,0.448005
4005.0500,0.455899
4005.1000,0.407345
4005.1500,0.366664
4005.2000,0.304797
4005.2500,0.253348
4005.3000,0.242858
4005.3500,0.234686
4005.4000,0.31214
4005.4500,0.374531
4005.5000,0.44298
4005.5500,0.587077
4005.6000,0.587437
4005.6500,0.431376
4005.7000,0.418913
4005.7500,0.398915
4005.8000,0.510192
4005.8500,0.678198
4005.9000,0.906642
4005.9500,1.021
4006.0000,1.20223
4006.0500,1.1539
4006.1000,1.07062
4006.1500,0.947505
4006.2000,0.726256
4006.2500,0.713809
4006.3000,0.563482
4006.3500,0.603602
4006.4000,0.656817
4006.4500,0.778634
4006.5000,0.771059
4006.5500,0.869981
4006.6000,0.62075
4006.6500,0.500171
4006.7000,0.484219
4006.7500,0.473946
4006.8000,0.590773
4006.8500,0.73114
4006.9000,0.875386
4006.9500,0.995307
4007.0000,1.13287
4007.0500,0.981344
4007.1000,1.03788
4007.1500,1.00061
4007.2000,0.762296
4007.2500,0.586131
4007.3000,0.461696
4007.3500,0.539082
4007.4000,0.574528
4007.4500,0.643654
4007.5000,0.760869
4007.5500,0.909789
4007.6000,0.961492
4007.6500,1.09233
4007.7000,1.16843
4007.7500,1.18135
4007.8000,1.2227
4007.8500,1.31817
4007.9000,1.02411
4007.9500,0.876697
4008.0000,0.868728
4008.0500,0.813254
4008.1000,0.822654
4008.1500,0.812193
4008.2000,0.80841
4008.2500,0.880467
4008.3000,0.972367
4008.3500,1.09035
4008.4000,1.10261
4008.4500,1.07094
4008.5000,1.06436
4008.5500,1.02785
4008.6000,1.01526
4008.6500,0.877325
4008.7000,0.792369
4008.7500,0.743232
4008.8000,0.743276
4008.8500,0.600484
4008.9000,0.523348
4008.9500,0.592377
4009.0000,0.598162
4009.0500,0.783148
4009.1000,0.815771
4009.1500,0.796564
4009.2000,0.91541
4009.2500,1.06495
4009.3000,1.21859
4009.3500,1.24208
4009.4000,1.23494
4009.4500,1.21111
4009.5000,1.09546
4009.5500,0.846341
4009.6000,0.749301
4009.6500,0.567035
4009.7000,0.434668
4009.7500,0.434958
4009.8000,0.544411
4009.8500,0.671626
4009.9000,0.842101
4009.9500,0.981062
4010.0000,1.11445
4010.0500,1.12866
4010.1000,1.08288
4010.1500,0.991872
4010.2000,1.02344
4010.2500,1.16219
4010.3000,1.18838
4010.3500,1.18236
4010.4000,1.1854
4010.4500,1.09055
4010.5000,0.969242
4010.5500,0.880587
4010.6000,0.792944
4010.6500,0.80512
4010.7000,0.888961
4010.7500,0.917648
4010.8000,0.949034
4010.8500,0.929746
4010.9000,0.934047
4010.9500,0.912399
4011.0000,0.951555
4011.0500,0.926424
4011.1000,0.932995
4011.1500,1.00663
4011.2000,1.06073
4011.2500,1.10694
4011.3000,1.05643
4011.3500,0.957805
4011.4000,0.926856
4011.4500,0.89829
4011.5000,0.885019
4011.5500,1.02476
4011.6000,0.992778
4011.6500,1.02695
4011.7000,0.955934
4011.7500,0.912851
4011.8000,0.926947
4011.8500,1.02689
4011.9000,1.14878
4011.9500,1.19947
4012.0000,1.19049
4012.0500,1.14926
4012.1000,1.04171
4012.1500,0.831336
4012.2000,0.618041
4012.2500,0.448183
4012.3000,0.302594
4012.3500,0.229482
4012.4000,0.221256
4012.4500,0.227521
4012.5000,0.2794
4012.5500,0.412146
4012.6000,0.527909
4012.6500,0.655701
4012.7000,0.68379
4012.7500,0.751679
4012.8000,0.883106
4012.8500,1.03714
4012.9000,1.1703
4012.9500,1.20343
4013.0000,1.29518
4013.0500,1.37202
4013.1000,1.34144
4013.1500,1.28297
4013.2000,1.21046
4013.2500,1.06996
4013.3000,1.11545
4013.3500,1.22721
4013.4000,1.23129
4013.4500,1.2462
4013.5000,1.0704
4013.5500,0.931622
4013.6000,0.864287
4013.6500,0.728745
4013.7000,0.619982
4013.7500,0.581794
4013.8000,0.51768
4013.8500,0.461541
4013.9000,0.569572
4013.9500,0.756427
4014.0000,0.903118
4014.0500,1.0339
4014.1000,1.19862
4014.1500,1.16075
4014.2000,1.08823
4014.2500,0.970793
4014.3000,0.897463
4014.3500,0.813672
4014.4000,0.676255
4014.4500,0.543123
4014.5000,0.433624
4014.5500,0.355458
4014.6000,0.396325
4014.6500,0.562191
4014.7000,0.763943
4014.7500,0.908971
4014.8000,0.886767
4014.8500,0.935984
4014.9000,0.818813
4014.9500,0.812796
4015.0000,0.902824
4015.0500,1.11728
4015.1000,1.18524
4015.1500,1.21013
4015.2000,1.23611
4015.2500,1.16184
4015.3000,1.10363
4015.3500,0.948596
4015.4000,0.889899
4015.4500,0.740048
4015.5000,0.710302
4015.5500,0.642177
4015.6000,0.573114
4015.6500,0.64272
4015.7000,0.685123
4015.7500,0.89346
4015.8000,0.989718
4015.8500,1.03463
4015.9000,1.0217
4015.9500,1.11565
4016.0000,1.19663
4016.0500,1.2075
4016.1000,1.24424
4016.1500,1.23454
4016.2000,1.20519
4016.2500,1.17714
4016.3000,1.10791
4016.3500,0.992703
4016.4000,0.828594
4016.4500,0.708409
4016.5000,0.818911
4016.5500,0.886009
4016.6000,1.02898
4016.6500,1.13242
4016.7000,1.1664
4016.7500,1.10363
4016.8000,1.1156
4016.8500,1.13738
4016.9000,1.10168
4016.9500,1.02291
4017.0000,0.922732
4017.0500,0.754963
4017.1000,0.534451
4017.1500,0.404189
4017.2000,0.442896
4017.2500,0.537039
4017.3000,0.606382
4017.3500,0.783898
4017.4000,0.851422
4017.4500,0.740875
4017.5000,0.628171
4017.5500,0.602338
4017.6000,0.722629
4017.6500,0.84548
4017.7000,0.94962
4017.7500,1.0289
4017.8000,1.06952
4017.8500,1.17338
4017.9000,1.07792
4017.9500,1.06967
4018.0000,0.896656
4018.0500,0.654184
4018.1000,0.483657
4018.1500,0.438198
4018.2000,0.380732
4018.2500,0.442033
4018.3000,0.426418
4018.3500,0.520313
4018.4000,0.574843
4018.4500,0.709872
4018.5000,0.829246
4018.5500,1.0003
4018.6000,1.13544
4018.6500,1.14353
4018.7000,1.16441
4018.7500,1.14035
4018.8000,1.04373
4018.8500,0.905092
4018.9000,0.851873
4018.9500,0.92551
4019.0000,0.867791
4019.0500,0.836803
4019.1000,0.784988
4019.1500,0.830369
4019.2000,0.882314
4019.2500,0.935009
4019.3000,0.98993
4019.3500,0.978952
4019.4000,1.09132
4019.4500,1.11327
4019.5000,1.17382
4019.5500,1.18057
4019.6000,1.18741
4019.6500,1.20193
4019.7000,1.17036
4019.7500,1.10292
4019.8000,1.01505
4019.8500,0.940175
4019.9000,0.823791
4019.9500,0.899788
4020.0000,0.854495
4020.0500,0.832476
4020.1000,0.761781
4020.1500,0.775843
4020.2000,0.780813
4020.2500,0.773841
4020.3000,0.729174
4020.3500,0.695641
4020.4000,0.684705
4020.4500,0.820595
4020.5000,0.833082
4020.5500,0.868738
4020.6000,0.972583
4020.6500,1.02668
4020.7000,1.04436
4020.7500,1.02567
4020.8000,0.855487
4020.8500,0.694707
4020.9000,0.551966
4020.9500,0.577577
4021.0000,0.72564
4021.0500,0.893103
4021.1000,1.0735
