Longitud_de_onda_A,espectro
4000.0000,1.03633
4000.0500,1.02967
4000.1000,1.03899
4000.1500,1.0496
4000.2000,0.986582
4000.2500,1.00859
4000.3000,1.01383
4000.3500,1.04164
4000.4000,1.0279
4000.4500,0.9818
4000.5000,1.03871
4000.5500,1.00722
4000.6000,1.04222
4000.6500,1.02943
4000.7000,1.06504
4000.7500,1.02217
4000.8000,1.01643
4000.8500,1.0254
4000.9000,1.06476
4000.9500,1.08653
4001.0000,1.0363
4001.0500,1.07233
4001.1000,1.02809
4001.1500,1.0383
4001.2000,1.03243
4001.2500,0.979244
4001.3000,1.01942
4001.3500,0.984884
4001.4000,0.984547
4001.4500,1.05095
4001.5000,1.01805
4001.5500,1.03927
4001.6000,0.972306
4001.6500,0.958614
4001.7000,1.0095
4001.7500,0.985023
4001.8000,0.953021
4001.8500,0.922975
4001.9000,0.957886
4001.9500,0.935064
4002.0000,0.985655
4002.0500,0.949995
4002.1000,0.923198
4002.1500,0.949031
4002.2000,0.988054
4002.2500,0.971048
4002.3000,1.02094
4002.3500,0.988496
4002.4000,0.973187
4002.4500,0.974444
4002.5000,1.02021
4002.5500,0.966956
4002.6000,0.959648
4002.6500,0.971925
4002.7000,0.975139
4002.7500,0.938623
4002.8000,0.949472
4002.8500,0.960575
4002.9000,0.980407
4002.9500,0.964289
4003.0000,0.932165
4003.0500,0.987023
4003.1000,0.998152
4003.1500,1.00755
4003.2000,0.991145
4003.2500,1.01395
4003.3000,1.02389
4003.3500,1.03214
4003.4000,1.01396
4003.4500,0.996278
4003.5000,1.02559
4003.5500,1.07945
4003.6000,1.0164
4003.6500,1.0751
4003.7000,1.03223
4003.7500,1.02124
4003.8000,1.08878
4003.8500,1.08603
4003.9000,1.06324
4003.9500,1.05178
4004.0000,1.02265
4004.0500,1.04634
4004.1000,1.10059
4004.1500,1.05374
4004.2000,1.03634
4004.2500,1.04519
4004.3000,1.07496
4004.3500,1.07179
4004.4000,1.07361
4004.4500,1.04069
4004.5000,1.01773
4004.5500,0.99971
4004.6000,0.957002
4004.6500,0.940114
4004.7000,0.908997
4004.7500,0.918468
4004.8000,0.882687
4004.8500,0.852807
4004.9000,0.768788
4004.9500,0.800535
4005.0000,0.753598
4005.0500,0.772326
4005.1000,0.68461
4005.1500,0.698061
4005.2000,0.733623
