Longitud_de_onda_A,espectro
4000.0000,1.05562
4000.0500,1.09203
4000.1000,1.07897
4000.1500,1.00858
4000.2000,0.992394
4000.2500,0.983484
4000.3000,0.951326
4000.3500,1.00143
4000.4000,0.962174
4000.4500,0.910101
4000.5000,0.932414
4000.5500,1.00656
4000.6000,1.06545
4000.6500,1.04647
4000.7000,1.06931
4000.7500,1.01578
4000.8000,1.02267
4000.8500,1.0709
4000.9000,1.03911
4000.9500,1.04434
4001.0000,1.08641
4001.0500,1.02403
4001.1000,0.960369
4001.1500,0.975249
4001.2000,0.98152
4001.2500,0.964574
4001.3000,1.01681
4001.3500,0.948726
4001.4000,0.985273
4001.4500,0.935321
4001.5000,0.957525
4001.5500,0.939175
4001.6000,0.913745
4001.6500,0.895936
4001.7000,0.836591
4001.7500,0.893514
4001.8000,0.971363
4001.8500,0.961117
4001.9000,0.997091
4001.9500,0.985288
4002.0000,0.960595
4002.0500,0.900694
4002.1000,0.975375
4002.1500,0.996199
4002.2000,1.05225
4002.2500,1.07097
4002.3000,0.983915
4002.3500,1.06474
4002.4000,1.03556
4002.4500,0.969388
4002.5000,0.984542
4002.5500,0.992469
4002.6000,0.966094
4002.6500,0.951577
4002.7000,1.00256
4002.7500,1.00858
4002.8000,1.05693
4002.8500,1.03359
4002.9000,1.01846
4002.9500,0.930187
4003.0000,0.985015
4003.0500,1.05397
4003.1000,1.07981
4003.1500,1.05313
4003.2000,1.04676
4003.2500,1.03578
4003.3000,1.05118
4003.3500,1.01602
4003.4000,1.0477
4003.4500,1.02634
4003.5000,1.12426
4003.5500,1.07893
4003.6000,1.05645
4003.6500,1.03543
4003.7000,1.04652
4003.7500,0.993274
4003.8000,0.956777
4003.8500,1.00861
4003.9000,1.08619
4003.9500,1.1133
4004.0000,1.0849
4004.0500,1.06741
4004.1000,1.13063
4004.1500,1.07378
4004.2000,1.08558
4004.2500,1.1114
4004.3000,1.10122
4004.3500,1.12471
4004.4000,1.0925
4004.4500,1.0698
4004.5000,1.06297
4004.5500,0.995554
4004.6000,1.00847
4004.6500,0.994327
4004.7000,0.955132
4004.7500,0.872773
4004.8000,0.817429
4004.8500,0.751955
4004.9000,0.672468
4004.9500,0.692843
4005.0000,0.68291
4005.0500,0.71163
4005.1000,0.678476
4005.1500,0.632851
4005.2000,0.601431
4005.2500,0.573709
4005.3000,0.616766
4005.3500,0.655041
4005.4000,0.633206
4005.4500,0.702683
4005.5000,0.920455
4005.5500,0.847141
4005.6000,0.795239
4005.6500,0.783203
4005.7000,0.78045
4005.7500,0.818763
4005.8000,0.854318
4005.8500,0.942017
4005.9000,0.926955
4005.9500,0.941509
4006.0000,0.974113
4006.0500,0.911087
4006.1000,0.925876
4006.1500,0.908599
4006.2000,0.919727
4006.2500,0.889357
4006.3000,0.871252
4006.3500,0.842063
4006.4000,0.947794
4006.4500,0.913079
4006.5000,0.931864
4006.5500,0.890845
4006.6000,0.863814
4006.6500,0.838637
4006.7000,0.850812
4006.7500,0.813289
4006.8000,0.84401
4006.8500,0.874004
4006.9000,0.90839
4006.9500,0.932863
4007.0000,0.900395
4007.0500,0.960165
4007.1000,0.996323
4007.1500,0.965962
4007.2000,1.01914
4007.2500,0.932015
4007.3000,0.934616
4007.3500,1.00118
4007.4000,0.998367
4007.4500,1.05861
4007.5000,1.0084
4007.5500,1.01996
4007.6000,0.983523
4007.6500,1.04737
4007.7000,1.04964
4007.7500,1.00348
4007.8000,1.02555
4007.8500,0.969207
4007.9000,0.974438
4007.9500,0.981862
4008.0000,1.02469
4008.0500,1.05704
4008.1000,1.0508
4008.1500,1.07696
4008.2000,1.08728
4008.2500,1.06696
4008.3000,1.08361
4008.3500,1.10017
