Longitud_de_onda_A,espectro
4000.0000,0.954226
4000.0500,0.957824
4000.1000,1.01625
4000.1500,1.10322
4000.2000,0.692042
4000.2500,0.547327
4000.3000,1.23829
4000.3500,0.709025
4000.4000,0.50615
4000.4500,0.32967
4000.5000,0.36821
4000.5500,0.644846
4000.6000,0.998245
4000.6500,1.13145
4000.7000,1.09942
4000.7500,1.07854
4000.8000,1.02784
4000.8500,1.08384
4000.9000,1.12986
4000.9500,1.06915
4001.0000,0.923426
4001.0500,0.666052
4001.1000,0.506666
4001.1500,0.517656
4001.2000,0.532865
4001.2500,0.73151
4001.3000,0.899445
4001.3500,0.934868
4001.4000,0.753698
4001.4500,0.645286
4001.5000,0.7292
4001.5500,0.746893
4001.6000,0.54629
4001.6500,0.364703
4001.7000,0.350334
4001.7500,0.628335
4001.8000,0.957638
4001.8500,1.06004
4001.9000,0.969939
4001.9500,1.00703
4002.0000,0.885994
4002.0500,0.844817
4002.1000,0.762458
4002.1500,0.967169
4002.2000,1.03742
4002.2500,1.21261
4002.3000,1.11206
4002.3500,1.00904
4002.4000,0.777277
4002.4500,0.667347
4002.5000,0.628825
4002.5500,0.843211
4002.6000,0.809911
4002.6500,0.657867
4002.7000,0.776978
4002.7500,0.974109
4002.8000,0.890489
4002.8500,0.734082
4002.9000,0.63384
4002.9500,0.620037
4003.0000,0.860033
4003.0500,1.0784
4003.1000,1.02183
4003.1500,1.06934
4003.2000,1.1235
4003.2500,1.07634
4003.3000,1.10469
4003.3500,1.04833
4003.4000,1.20956
4003.4500,0.964658
4003.5000,0.880063
4003.5500,0.89207
4003.6000,0.912504
4003.6500,0.976434
4003.7000,0.805349
4003.7500,0.467517
4003.8000,0.500446
4003.8500,0.756586
4003.9000,0.907567
4003.9500,0.86383
4004.0000,0.785017
4004.0500,0.83888
4004.1000,0.961186
4004.1500,0.982275
4004.2000,0.996064
4004.2500,0.942037
4004.3000,0.963454
4004.3500,1.14276
4004.4000,1.15181
4004.4500,1.21552
4004.5000,1.11148
4004.5500,1.01324
4004.6000,0.84562
4004.6500,0.769121
4004.7000,0.747859
4004.7500,0.655804
4004.8000,0.416883
4004.8500,0.258656
4004.9000,0.212482
4004.9500,0.271075
4005.0000,0.162041
4005.0500,0.269565
4005.1000,0.219048
4005.1500,0.188284
