Longitud_de_onda_A,espectro
4000.0000,0.99658
4000.0500,1.00337
4000.1000,0.995256
4000.1500,0.968323
4000.2000,1.00068
4000.2500,0.985593
4000.3000,0.988488
4000.3500,1.00628
4000.4000,0.975548
4000.4500,0.999864
4000.5000,1.00888
4000.5500,1.01287
4000.6000,1.01062
4000.6500,0.969815
4000.7000,1.00549
4000.7500,1.00288
4000.8000,0.989914
4000.8500,1.00765
4000.9000,1.00478
4000.9500,0.994311
4001.0000,0.971751
4001.0500,0.975501
4001.1000,0.973228
4001.1500,0.996705
4001.2000,1.00394
4001.2500,0.988736
4001.3000,0.994964
4001.3500,0.999464
4001.4000,0.978627
4001.4500,0.969944
4001.5000,0.982538
4001.5500,0.998257
4001.6000,1.02133
4001.6500,0.994011
4001.7000,0.99935
4001.7500,0.986593
4001.8000,0.994253
4001.8500,0.999473
4001.9000,0.984987
4001.9500,1.00469
4002.0000,0.987071
4002.0500,0.979642
4002.1000,0.974936
4002.1500,1.0208
4002.2000,0.993204
4002.2500,1.01471
4002.3000,0.989972
4002.3500,1.00927
4002.4000,1.01158
4002.4500,1.01332
4002.5000,1.00009
4002.5500,0.97966
4002.6000,0.996784
4002.6500,0.982095
4002.7000,0.982309
4002.7500,0.974214
4002.8000,0.991843
4002.8500,1.02497
4002.9000,1.00154
4002.9500,1.00468
4003.0000,1.0453
4003.0500,1.01748
4003.1000,1.00978
4003.1500,0.98314
4003.2000,1.00151
4003.2500,0.990175
4003.3000,1.01759
4003.3500,0.996732
4003.4000,1.03407
4003.4500,1.02073
4003.5000,0.982067
4003.5500,1.01162
4003.6000,1.00452
4003.6500,1.00316
4003.7000,0.97201
4003.7500,0.972097
4003.8000,0.993298
4003.8500,0.990564
4003.9000,0.969133
4003.9500,1.03256
4004.0000,0.979089
4004.0500,0.999538
4004.1000,1.01609
4004.1500,1.02822
4004.2000,1.00475
4004.2500,0.984932
4004.3000,1.00256
4004.3500,1.01832
4004.4000,1.0502
4004.4500,1.03003
4004.5000,1.02783
4004.5500,1.00766
4004.6000,1.0222
4004.6500,1.00165
4004.7000,0.983525
4004.7500,1.00129
4004.8000,0.989294
4004.8500,0.984782
4004.9000,1.0131
4004.9500,1.00531
4005.0000,1.03429
4005.0500,0.997824
4005.1000,0.952465
4005.1500,1.01138
4005.2000,0.99727
4005.2500,0.987182
4005.3000,0.98316
4005.3500,0.980132
4005.4000,0.96536
4005.4500,0.984183
4005.5000,0.997443
4005.5500,0.992477
4005.6000,0.998494
4005.6500,1.01202
4005.7000,1.0397
4005.7500,0.993898
4005.8000,1.01383
4005.8500,1.0045
4005.9000,0.996205
4005.9500,0.98885
4006.0000,1.03075
4006.0500,1.00966
4006.1000,1.01127
4006.1500,0.947291
4006.2000,0.989837
4006.2500,1.01754
4006.3000,0.970076
4006.3500,0.97201
4006.4000,0.979662
4006.4500,1.00701
4006.5000,0.983359
4006.5500,1.0036
4006.6000,0.979198
4006.6500,1.02454
4006.7000,0.950195
4006.7500,0.985309
4006.8000,0.978561
4006.8500,0.987655
4006.9000,0.986699
4006.9500,0.971555
4007.0000,0.965041
4007.0500,0.989529
4007.1000,0.983119
4007.1500,0.974761
4007.2000,0.939757
4007.2500,1.02638
4007.3000,0.977225
4007.3500,0.949648
4007.4000,0.974736
4007.4500,0.9604
