Longitud_de_onda_A,espectro
4000.0000,0.967582
4000.0500,1.03064
4000.1000,1.07644
4000.1500,1.1035
4000.2000,1.02049
4000.2500,0.871102
4000.3000,0.994543
4000.3500,0.791603
4000.4000,0.809784
4000.4500,0.86849
4000.5000,0.870473
4000.5500,1.04063
4000.6000,1.06271
4000.6500,1.19498
4000.7000,1.24834
4000.7500,1.13025
4000.8000,1.08732
4000.8500,0.997019
4000.9000,1.01306
4000.9500,1.12732
4001.0000,0.864651
4001.0500,1.06906
4001.1000,0.913836
4001.1500,0.939235
4001.2000,0.932426
4001.2500,0.899466
4001.3000,1.04916
4001.3500,1.09771
4001.4000,1.00654
4001.4500,0.954303
4001.5000,1.1787
4001.5500,1.15157
4001.6000,1.02648
4001.6500,0.780284
4001.7000,0.920129
4001.7500,0.992792
4001.8000,1.0789
4001.8500,0.960082
4001.9000,1.13344
4001.9500,1.17943
4002.0000,1.08236
4002.0500,1.06515
4002.1000,0.84806
4002.1500,0.982431
4002.2000,1.02626
4002.2500,1.13514
4002.3000,1.09699
4002.3500,1.0539
4002.4000,1.00839
4002.4500,1.00337
4002.5000,1.04494
4002.5500,1.13303
4002.6000,1.17648
4002.6500,0.896351
4002.7000,1.06698
4002.7500,1.1489
4002.8000,1.03669
4002.8500,1.13998
4002.9000,0.883764
4002.9500,0.841319
4003.0000,0.95237
4003.0500,1.1519
4003.1000,1.14536
4003.1500,1.18355
4003.2000,0.973577
4003.2500,1.0755
4003.3000,1.21655
4003.3500,1.05089
4003.4000,1.11405
4003.4500,1.0756
4003.5000,1.10618
4003.5500,1.0368
4003.6000,1.25354
4003.6500,1.18225
4003.7000,1.14269
4003.7500,0.91413
4003.8000,1.01127
4003.8500,0.976379
4003.9000,1.15996
4003.9500,1.19801
4004.0000,1.011
4004.0500,1.14673
4004.1000,1.25916
4004.1500,1.00702
4004.2000,1.28097
4004.2500,1.23449
4004.3000,0.977394
4004.3500,1.0922
4004.4000,1.16874
4004.4500,1.44817
4004.5000,1.06317
4004.5500,1.06391
4004.6000,1.04869
4004.6500,1.03195
4004.7000,1.08947
4004.7500,0.884376
4004.8000,0.696192
4004.8500,0.60329
4004.9000,0.632354
4004.9500,0.559426
4005.0000,0.902911
4005.0500,0.858846
4005.1000,0.730625
4005.1500,0.604622
4005.2000,0.481625
4005.2500,0.315277
4005.3000,0.524391
4005.3500,0.622967
4005.4000,0.883088
4005.4500,0.914394
4005.5000,0.966689
4005.5500,1.03644
4005.6000,0.953379
4005.6500,0.681492
4005.7000,0.678501
4005.7500,0.772003
4005.8000,1.16779
4005.8500,1.06642
4005.9000,1.04824
4005.9500,1.0219
4006.0000,1.1376
4006.0500,1.15058
4006.1000,1.03534
4006.1500,1.0083
4006.2000,0.981286
4006.2500,0.787831
4006.3000,0.72384
4006.3500,0.861554
4006.4000,1.03355
4006.4500,1.20878
4006.5000,0.938513
4006.5500,1.15178
4006.6000,0.933344
4006.6500,0.717747
4006.7000,0.826016
4006.7500,0.961682
4006.8000,0.918709
4006.8500,0.987467
4006.9000,1.12815
4006.9500,0.984073
4007.0000,0.991087
4007.0500,1.1493
4007.1000,1.24046
4007.1500,1.00466
4007.2000,0.777635
4007.2500,0.658959
4007.3000,0.723737
4007.3500,0.988548
4007.4000,1.16438
4007.4500,1.0891
4007.5000,1.22642
4007.5500,1.0794
4007.6000,1.19179
4007.6500,1.18482
4007.7000,1.00238
4007.7500,1.16613
4007.8000,1.0899
4007.8500,0.972377
4007.9000,0.993235
4007.9500,1.0043
4008.0000,1.03872
4008.0500,1.09286
4008.1000,1.19644
4008.1500,1.11291
4008.2000,1.08926
4008.2500,1.15091
4008.3000,1.02529
4008.3500,1.04539
4008.4000,1.06461
4008.4500,1.1085
4008.5000,1.12149
4008.5500,1.09495
4008.6000,1.08963
4008.6500,1.12132
4008.7000,1.0644
4008.7500,1.05689
4008.8000,0.937386
4008.8500,0.920786
4008.9000,0.809093
4008.9500,0.848907
4009.0000,0.944475
4009.0500,1.20107
4009.1000,1.05933
4009.1500,1.05194
4009.2000,1.12915
4009.2500,1.14417
4009.3000,1.13936
