Longitud_de_onda_A,espectro
4000.0000,1.03289
4000.0500,1.00581
4000.1000,0.90956
4000.1500,1.02348
4000.2000,0.995634
4000.2500,0.97848
4000.3000,1.02454
4000.3500,1.02719
4000.4000,0.995574
4000.4500,0.929704
4000.5000,1.02712
4000.5500,1.08462
4000.6000,1.11531
4000.6500,1.10193
4000.7000,1.0953
4000.7500,0.950313
4000.8000,0.877623
4000.8500,0.876867
4000.9000,1.03946
4000.9500,1.08478
4001.0000,0.846739
4001.0500,0.981375
4001.1000,1.01263
4001.1500,1.04335
4001.2000,0.97907
4001.2500,0.960131
4001.3000,0.969013
4001.3500,1.07927
4001.4000,0.958443
4001.4500,0.952932
4001.5000,0.955875
4001.5500,0.968699
4001.6000,1.06555
4001.6500,1.0819
4001.7000,0.968716
4001.7500,1.07098
4001.8000,0.92068
4001.8500,1.08109
4001.9000,1.11852
4001.9500,1.0889
4002.0000,1.13785
4002.0500,0.99135
4002.1000,1.00102
4002.1500,0.965501
4002.2000,1.07104
4002.2500,1.17035
4002.3000,0.946768
4002.3500,0.908224
4002.4000,0.910681
4002.4500,0.953218
4002.5000,0.93082
4002.5500,0.946709
4002.6000,1.14328
4002.6500,1.11136
4002.7000,0.988055
4002.7500,1.11415
4002.8000,1.03045
4002.8500,0.970926
4002.9000,0.981027
4002.9500,1.01907
4003.0000,0.947939
4003.0500,1.07927
4003.1000,0.89349
4003.1500,1.00959
4003.2000,1.02893
4003.2500,0.94743
4003.3000,0.970029
4003.3500,0.93861
4003.4000,1.1336
4003.4500,1.06107
4003.5000,0.986819
4003.5500,0.986046
4003.6000,0.928396
4003.6500,0.931142
4003.7000,0.96102
4003.7500,0.963885
4003.8000,0.939991
4003.8500,0.769349
4003.9000,0.79236
4003.9500,0.91004
4004.0000,0.883544
4004.0500,0.857421
4004.1000,0.966038
4004.1500,1.05778
4004.2000,0.921593
4004.2500,0.89768
4004.3000,0.880624
4004.3500,0.976786
4004.4000,0.934158
4004.4500,0.960445
4004.5000,0.993147
4004.5500,0.969426
4004.6000,0.977208
4004.6500,1.0054
4004.7000,0.978159
4004.7500,0.853879
4004.8000,0.953899
4004.8500,0.942127
4004.9000,0.872891
4004.9500,0.963775
4005.0000,0.953453
4005.0500,0.893967
4005.1000,0.902973
4005.1500,0.853579
4005.2000,0.770024
4005.2500,0.891957
4005.3000,0.952033
4005.3500,0.801449
4005.4000,0.91431
4005.4500,0.848183
4005.5000,0.947569
4005.5500,0.974157
4005.6000,0.959904
4005.6500,1.08096
4005.7000,1.06477
4005.7500,0.943033
4005.8000,1.00785
4005.8500,0.896328
4005.9000,0.881972
4005.9500,0.835911
4006.0000,0.842452
4006.0500,0.878431
4006.1000,0.952355
4006.1500,1.05879
4006.2000,0.896268
4006.2500,0.863869
4006.3000,0.910842
4006.3500,0.906788
4006.4000,0.93731
4006.4500,0.829086
4006.5000,0.825829
4006.5500,0.871576
4006.6000,0.848828
4006.6500,0.906581
4006.7000,0.90552
4006.7500,1.00902
4006.8000,0.915003
4006.8500,0.940865
4006.9000,0.928159
4006.9500,0.968326
4007.0000,0.904715
4007.0500,0.996294
4007.1000,0.881311
4007.1500,0.703299
4007.2000,0.90082
4007.2500,1.02296
4007.3000,0.969945
4007.3500,1.00409
4007.4000,1.04739
4007.4500,0.888134
4007.5000,0.949595
4007.5500,1.07528
4007.6000,0.985149
4007.6500,0.980324
4007.7000,1.07105
4007.7500,1.05307
4007.8000,1.00708
4007.8500,0.937464
4007.9000,1.0262
4007.9500,1.06412
4008.0000,1.00045
4008.0500,0.844269
4008.1000,0.96805
4008.1500,1.11431
4008.2000,1.06853
4008.2500,1.05861
4008.3000,0.984676
4008.3500,1.02008
4008.4000,0.97166
4008.4500,0.984939
4008.5000,0.92115
4008.5500,1.01637
4008.6000,1.18136
4008.6500,1.05878
4008.7000,0.975988
4008.7500,1.01899
4008.8000,0.971604
4008.8500,1.06038
4008.9000,1.04113
4008.9500,1.03158
4009.0000,0.91874
4009.0500,1.08803
4009.1000,1.1313
4009.1500,1.1858
4009.2000,1.09925
4009.2500,1.07016
4009.3000,1.08507
4009.3500,1.11547
4009.4000,1.10401
4009.4500,1.13313
4009.5000,1.08519
4009.5500,1.01146
4009.6000,1.04506
4009.6500,0.994369
4009.7000,0.932591
4009.7500,1.0722
4009.8000,0.950981
4009.8500,0.977284
4009.9000,0.935305
4009.9500,1.00693
4010.0000,1.0728
4010.0500,1.05924
4010.1000,1.02021
4010.1500,1.20845
4010.2000,1.26424
4010.2500,1.17893
