Longitud_de_onda_A,espectro
4000.0000,1.05212
4000.0500,1.25129
4000.1000,1.25986
4000.1500,1.07673
4000.2000,1.12328
4000.2500,0.881774
4000.3000,0.767184
4000.3500,0.959331
4000.4000,0.989937
4000.4500,0.951901
4000.5000,0.780988
4000.5500,0.839789
4000.6000,1.05569
4000.6500,0.77663
4000.7000,1.08603
4000.7500,0.96341
4000.8000,1.05515
4000.8500,0.931966
4000.9000,0.993719
4000.9500,0.809511
4001.0000,1.19281
4001.0500,1.15688
4001.1000,1.15834
4001.1500,0.988803
4001.2000,0.930141
4001.2500,0.928825
4001.3000,1.0073
4001.3500,0.997161
4001.4000,0.648729
4001.4500,1.01515
4001.5000,0.837637
4001.5500,0.861762
4001.6000,0.863571
4001.6500,0.622399
4001.7000,0.744779
4001.7500,0.753478
4001.8000,1.21251
4001.8500,1.34388
4001.9000,1.00061
4001.9500,1.07342
4002.0000,1.06247
4002.0500,1.19128
4002.1000,0.914759
4002.1500,1.13028
4002.2000,1.09921
4002.2500,1.16387
4002.3000,1.01858
4002.3500,0.987862
4002.4000,0.866099
4002.4500,0.613192
4002.5000,0.751353
4002.5500,0.928973
4002.6000,1.02648
4002.6500,0.860778
4002.7000,0.86273
4002.7500,0.933846
4002.8000,1.06564
4002.8500,1.11557
4002.9000,1.07912
4002.9500,1.16618
4003.0000,1.1843
4003.0500,1.0835
4003.1000,1.04003
4003.1500,1.15074
4003.2000,1.18355
4003.2500,1.04349
4003.3000,0.974683
4003.3500,1.1448
4003.4000,0.922822
4003.4500,1.06336
4003.5000,1.00537
4003.5500,0.838089
4003.6000,1.15318
4003.6500,1.23551
4003.7000,1.32957
4003.7500,0.964176
4003.8000,0.784408
4003.8500,1.21024
4003.9000,1.35114
4003.9500,1.22741
4004.0000,1.04834
4004.0500,1.06345
4004.1000,1.18707
4004.1500,0.977872
4004.2000,1.04015
4004.2500,0.832328
4004.3000,1.07013
4004.3500,1.20393
4004.4000,1.03247
4004.4500,1.052
4004.5000,1.0219
4004.5500,1.06208
4004.6000,0.813704
4004.6500,1.005
4004.7000,0.795269
4004.7500,0.888174
4004.8000,0.883394
4004.8500,0.770387
4004.9000,0.591373
4004.9500,0.73877
4005.0000,0.828156
4005.0500,0.518156
4005.1000,0.669508
4005.1500,0.641992
4005.2000,0.435766
4005.2500,0.45214
4005.3000,0.526405
4005.3500,0.520166
4005.4000,0.474746
4005.4500,0.637846
4005.5000,0.822816
4005.5500,0.770298
4005.6000,0.829404
4005.6500,0.972568
4005.7000,0.988994
4005.7500,0.849786
4005.8000,1.04245
4005.8500,0.996172
4005.9000,0.871547
4005.9500,0.945023
4006.0000,0.839097
4006.0500,1.08229
4006.1000,1.05507
4006.1500,0.815722
4006.2000,1.17488
4006.2500,1.04804
4006.3000,0.820817
4006.3500,0.892253
4006.4000,1.00703
4006.4500,0.975559
4006.5000,1.10243
4006.5500,1.1793
4006.6000,0.98287
4006.6500,0.943879
4006.7000,0.772917
4006.7500,0.923587
4006.8000,1.13376
4006.8500,1.13673
4006.9000,1.1447
4006.9500,1.1092
4007.0000,0.946482
4007.0500,1.20489
4007.1000,1.26652
4007.1500,1.14691
4007.2000,0.883388
4007.2500,0.697154
4007.3000,0.973143
4007.3500,1.01093
4007.4000,1.06548
4007.4500,1.23782
4007.5000,0.998698
4007.5500,1.2548
4007.6000,1.28036
4007.6500,1.07758
