Longitud_de_onda_A,espectro
4000.0000,0.953688
4000.0500,0.976559
4000.1000,0.934138
4000.1500,0.962548
4000.2000,0.96781
4000.2500,0.959871
4000.3000,0.949222
4000.3500,0.960639
4000.4000,0.944536
4000.4500,0.947578
4000.5000,0.956582
4000.5500,0.95529
4000.6000,0.951026
4000.6500,0.933357
4000.7000,0.912064
4000.7500,0.96894
4000.8000,0.962233
4000.8500,0.945559
4000.9000,0.992904
4000.9500,0.960851
4001.0000,0.943942
4001.0500,0.947767
4001.1000,0.955036
4001.1500,0.941425
4001.2000,0.951569
4001.2500,0.944724
4001.3000,0.947679
4001.3500,0.937946
4001.4000,0.948563
4001.4500,0.941915
4001.5000,0.953016
4001.5500,0.967163
4001.6000,0.933236
4001.6500,0.926647
4001.7000,0.968691
4001.7500,0.969285
4001.8000,0.94155
4001.8500,0.935626
4001.9000,0.947813
4001.9500,0.956583
4002.0000,0.959407
4002.0500,0.94281
4002.1000,0.945651
4002.1500,0.954921
4002.2000,0.969311
4002.2500,0.951022
4002.3000,0.95532
4002.3500,0.946519
4002.4000,0.952609
4002.4500,0.950043
4002.5000,0.959102
4002.5500,0.953943
4002.6000,0.96322
4002.6500,0.949557
4002.7000,0.952593
4002.7500,0.938683
4002.8000,0.954431
4002.8500,0.939357
4002.9000,0.958311
4002.9500,0.936748
4003.0000,0.948207
4003.0500,0.956491
4003.1000,0.982713
4003.1500,0.964896
4003.2000,0.94759
4003.2500,0.940078
4003.3000,0.943147
4003.3500,0.958425
4003.4000,0.933744
4003.4500,0.950868
4003.5000,0.982753
4003.5500,0.968229
4003.6000,0.965393
4003.6500,0.967558
4003.7000,0.948689
4003.7500,0.962148
4003.8000,0.964443
4003.8500,0.967459
4003.9000,0.960231
4003.9500,0.963167
4004.0000,0.944998
4004.0500,0.947131
4004.1000,0.973383
4004.1500,0.963894
4004.2000,0.946248
4004.2500,0.945731
4004.3000,0.964641
4004.3500,0.979352
4004.4000,0.982814
4004.4500,0.956922
4004.5000,0.971339
4004.5500,0.973908
4004.6000,0.966275
4004.6500,0.962816
4004.7000,0.987613
4004.7500,0.94931
4004.8000,0.962076
4004.8500,0.956091
4004.9000,0.970639
4004.9500,0.961599
4005.0000,0.952145
4005.0500,0.95817
4005.1000,0.960846
4005.1500,0.945805
4005.2000,0.960904
4005.2500,0.949808
4005.3000,0.956097
4005.3500,0.951636
4005.4000,0.968514
4005.4500,0.953294
4005.5000,0.969383
4005.5500,0.954187
4005.6000,0.959098
4005.6500,0.957108
4005.7000,0.981784
4005.7500,0.973177
4005.8000,0.960334
4005.8500,0.956376
4005.9000,0.968413
4005.9500,0.955107
4006.0000,0.965845
4006.0500,0.950427
4006.1000,0.969769
4006.1500,0.971049
4006.2000,0.991279
4006.2500,0.991268
4006.3000,0.956065
4006.3500,0.943492
4006.4000,0.964634
4006.4500,0.965983
4006.5000,0.958899
4006.5500,0.959787
4006.6000,0.990744
4006.6500,0.965029
4006.7000,0.989194
4006.7500,0.971237
4006.8000,0.974537
4006.8500,0.978747
4006.9000,0.988045
4006.9500,0.965526
4007.0000,0.990958
4007.0500,0.977482
4007.1000,0.98934
4007.1500,0.973329
4007.2000,0.980827
4007.2500,0.993369
4007.3000,0.962004
4007.3500,0.970678
4007.4000,0.985653
4007.4500,0.999589
4007.5000,0.997992
4007.5500,0.991565
4007.6000,0.964077
4007.6500,0.965084
4007.7000,1.01072
4007.7500,0.989274
4007.8000,1.00231
4007.8500,1.00111
4007.9000,0.978518
4007.9500,0.97035
4008.0000,0.996292
4008.0500,0.992359
4008.1000,0.982023
4008.1500,0.976894
4008.2000,0.993071
4008.2500,0.962297
4008.3000,0.996155
4008.3500,0.963282
4008.4000,0.990751
4008.4500,0.997206
4008.5000,0.992028
4008.5500,0.992782
4008.6000,1.05713
4008.6500,1.01034
4008.7000,0.998393
4008.7500,0.962314
4008.8000,0.985099
4008.8500,0.989407
4008.9000,0.978997
4008.9500,0.99105
4009.0000,0.969389
4009.0500,0.979348
4009.1000,0.976122
4009.1500,0.974468
4009.2000,0.977333
4009.2500,0.997911
4009.3000,0.994502
4009.3500,0.996273
4009.4000,0.972794
4009.4500,0.990896
4009.5000,1.00202
4009.5500,0.98892
4009.6000,0.985783
4009.6500,0.99528
4009.7000,0.986355
4009.7500,0.979672
4009.8000,0.996171
4009.8500,0.97803
4009.9000,0.994657
4009.9500,0.978579
4010.0000,0.993692
4010.0500,1.00819
4010.1000,0.961351
4010.1500,0.995692
4010.2000,0.985771
4010.2500,0.985093
4010.3000,1.00416
4010.3500,0.973595
4010.4000,0.971618
4010.4500,0.996917
4010.5000,0.999473
4010.5500,0.979546
4010.6000,0.986139
4010.6500,0.975249
4010.7000,0.969867
4010.7500,0.975394
4010.8000,1.01206
4010.8500,0.988647
4010.9000,0.990697
4010.9500,0.985551
4011.0000,1.00243
4011.0500,1.00253
4011.1000,1.01457
4011.1500,0.999482
4011.2000,1.00196
4011.2500,1.02028
4011.3000,1.00546
4011.3500,0.98954
4011.4000,0.98455
4011.4500,0.991991
4011.5000,0.990515
4011.5500,0.987959
4011.6000,0.976598
4011.6500,0.993742
4011.7000,0.993969
4011.7500,0.99817
4011.8000,1.004
4011.8500,0.970569
4011.9000,0.971639
4011.9500,0.945512
4012.0000,0.981871
4012.0500,1.00269
4012.1000,0.994823
4012.1500,0.983758
4012.2000,0.991252
4012.2500,0.951937
4012.3000,0.965663
4012.3500,0.988268
4012.4000,0.966291
4012.4500,0.971422
4012.5000,1.00989
4012.5500,0.957275
4012.6000,0.982762
4012.6500,0.976165
4012.7000,0.985922
4012.7500,0.987318
4012.8000,0.977691
4012.8500,0.994035
4012.9000,0.987889
4012.9500,0.979693
4013.0000,0.969099
4013.0500,0.99525
4013.1000,0.973163
4013.1500,0.967583
4013.2000,0.955955
4013.2500,0.975673
4013.3000,0.968695
4013.3500,0.976695
4013.4000,0.989328
4013.4500,1.01065
4013.5000,1.00683
4013.5500,0.99039
4013.6000,0.992619
4013.6500,0.98453
4013.7000,0.981193
4013.7500,0.972846
4013.8000,0.984332
4013.8500,0.993728
4013.9000,0.983114
4013.9500,0.988683
4014.0000,0.984237
4014.0500,0.982055
4014.1000,0.963354
4014.1500,0.962409
4014.2000,0.998123
4014.2500,1.0089
4014.3000,0.987345
4014.3500,0.99923
4014.4000,0.994231
4014.4500,0.976641
4014.5000,1.00155
4014.5500,1.00674
4014.6000,1.00012
4014.6500,0.975687
4014.7000,0.990607
4014.7500,1.00032
4014.8000,1.00238
4014.8500,1.00362
4014.9000,0.979615
4014.9500,0.983473
4015.0000,0.970279
4015.0500,0.993888
4015.1000,0.995308
4015.1500,0.978028
4015.2000,0.967573
4015.2500,0.971678
4015.3000,0.982924
4015.3500,0.965846
4015.4000,0.947562
4015.4500,0.958581
4015.5000,0.956307
4015.5500,0.975824
4015.6000,1.00405
4015.6500,0.976507
4015.7000,0.979336
4015.7500,0.983629
4015.8000,0.996753
4015.8500,0.994924
4015.9000,0.997273
4015.9500,0.998551
4016.0000,0.986114
4016.0500,0.984347
4016.1000,0.957463
4016.1500,1.00651
4016.2000,0.982334
4016.2500,0.961242
4016.3000,0.985446
4016.3500,0.961965
4016.4000,0.958911
4016.4500,0.99517
4016.5000,0.965895
4016.5500,0.96784
4016.6000,0.948735
4016.6500,0.976915
4016.7000,0.970441
4016.7500,0.98938
4016.8000,0.979017
4016.8500,0.979159
4016.9000,0.981842
4016.9500,0.997697
4017.0000,0.971737
4017.0500,0.962381
4017.1000,0.958469
4017.1500,0.978586
4017.2000,0.950199
4017.2500,0.999211
4017.3000,0.969044
4017.3500,0.984836
4017.4000,0.994775
4017.4500,0.993156
4017.5000,0.957119
4017.5500,0.960812
4017.6000,0.968736
4017.6500,0.979137
4017.7000,0.954503
4017.7500,0.976649
4017.8000,0.962563
4017.8500,0.968108
4017.9000,0.97486
4017.9500,0.984097
4018.0000,0.974792
4018.0500,0.982768
4018.1000,0.977896
4018.1500,0.978097
4018.2000,0.946712
4018.2500,0.971324
4018.3000,0.989116
4018.3500,0.97234
4018.4000,0.981245
4018.4500,0.97406
4018.5000,0.984752
4018.5500,0.961671
4018.6000,0.959261
4018.6500,0.965936
4018.7000,0.965057
4018.7500,0.967931
4018.8000,0.980252
4018.8500,0.971099
4018.9000,0.97162
4018.9500,0.993202
4019.0000,0.981813
4019.0500,0.986394
4019.1000,0.961974
4019.1500,0.978002
4019.2000,0.986447
4019.2500,0.961678
4019.3000,0.987547
4019.3500,0.979032
4019.4000,0.994818
4019.4500,0.972862
4019.5000,0.963819
4019.5500,0.986762
4019.6000,0.991685
4019.6500,0.980972
4019.7000,0.985367
4019.7500,0.973438
4019.8000,0.971455
4019.8500,0.96884
4019.9000,0.941365
4019.9500,0.952422
4020.0000,0.966292
4020.0500,0.959651
4020.1000,0.974467
4020.1500,0.970327
4020.2000,0.972425
4020.2500,0.96588
4020.3000,0.9758
4020.3500,0.977075
4020.4000,0.959125
4020.4500,0.966797
4020.5000,0.975445
4020.5500,0.984139
4020.6000,0.974592
4020.6500,0.954926
4020.7000,0.968703
4020.7500,0.983856
4020.8000,0.982554
4020.8500,1.00551
4020.9000,0.96642
4020.9500,0.989361
4021.0000,0.979824
4021.0500,0.985803
4021.1000,0.940173
4021.1500,0.983739
4021.2000,0.972618
4021.2500,0.973873
4021.3000,0.984844
4021.3500,0.965276
4021.4000,0.970573
4021.4500,0.978936
4021.5000,0.967267
4021.5500,0.984503
4021.6000,0.97473
4021.6500,0.969898
4021.7000,0.951917
4021.7500,0.966886
4021.8000,0.987247
4021.8500,0.965794
4021.9000,0.971803
4021.9500,0.969544
4022.0000,0.965975
4022.0500,0.969145
4022.1000,0.970511
4022.1500,0.992268
4022.2000,0.97755
4022.2500,0.965421
4022.3000,0.979364
4022.3500,0.982057
4022.4000,0.985795
4022.4500,0.975584
4022.5000,0.990925
4022.5500,0.982884
4022.6000,0.982109
4022.6500,0.986012
4022.7000,0.965708
4022.7500,0.969202
4022.8000,0.97161
4022.8500,0.956394
4022.9000,0.969523
4022.9500,0.962314
4023.0000,0.965456
4023.0500,0.954228
4023.1000,0.96821
4023.1500,0.968262
4023.2000,0.973717
4023.2500,0.974781
4023.3000,0.958866
4023.3500,0.948705
4023.4000,0.981034
4023.4500,0.963467
4023.5000,0.97549
4023.5500,0.981533
4023.6000,0.950668
4023.6500,0.967734
4023.7000,0.969831
4023.7500,0.96073
4023.8000,0.961934
4023.8500,0.937538
4023.9000,0.9532
4023.9500,0.955601
4024.0000,0.966025
4024.0500,0.947154
4024.1000,0.960168
4024.1500,0.974988
4024.2000,0.962893
4024.2500,0.956867
4024.3000,0.931947
4024.3500,0.943537
4024.4000,0.95167
4024.4500,0.957321
4024.5000,0.963559
4024.5500,0.954379
4024.6000,0.945141
4024.6500,0.963821
4024.7000,0.938933
4024.7500,0.939303
4024.8000,0.930568
4024.8500,0.945731
4024.9000,0.937346
4024.9500,0.94371
4025.0000,0.945442
