Longitud_de_onda_A,espectro
4000.0000,0.946886
4000.0500,0.977692
4000.1000,1.00685
4000.1500,0.925159
4000.2000,0.784878
4000.2500,0.477145
4000.3000,0.529242
4000.3500,0.681855
4000.4000,0.58086
4000.4500,0.428809
4000.5000,0.523511
4000.5500,0.776707
4000.6000,1.01543
4000.6500,1.11848
4000.7000,1.10193
4000.7500,1.09853
4000.8000,0.958351
4000.8500,1.00321
4000.9000,0.980971
4000.9500,1.05333
4001.0000,0.87566
4001.0500,0.789628
4001.1000,0.620886
4001.1500,0.426107
4001.2000,0.577911
4001.2500,0.717964
4001.3000,0.897341
4001.3500,0.981127
4001.4000,0.752827
4001.4500,0.581652
4001.5000,0.696531
4001.5500,0.797574
4001.6000,0.644397
4001.6500,0.294458
4001.7000,0.358926
4001.7500,0.578523
4001.8000,1.04672
4001.8500,0.952414
4001.9000,0.986403
4001.9500,0.944501
4002.0000,0.849396
4002.0500,0.763539
4002.1000,0.812054
4002.1500,0.992302
4002.2000,1.06439
4002.2500,1.16299
4002.3000,1.05445
4002.3500,0.976456
4002.4000,0.792699
4002.4500,0.744605
4002.5000,0.8297
4002.5500,0.79732
4002.6000,0.833425
4002.6500,0.753847
4002.7000,0.803566
4002.7500,0.99275
4002.8000,0.993635
4002.8500,0.974794
4002.9000,0.665061
4002.9500,0.743108
4003.0000,0.857822
4003.0500,1.0445
4003.1000,1.00931
4003.1500,1.03646
4003.2000,1.00998
4003.2500,1.02536
4003.3000,0.985741
4003.3500,1.09727
4003.4000,1.16631
4003.4500,1.09149
4003.5000,1.0051
4003.5500,0.99407
4003.6000,1.04039
4003.6500,0.92988
4003.7000,0.767907
4003.7500,0.553449
4003.8000,0.640788
4003.8500,0.893894
4003.9000,0.964569
4003.9500,0.959293
4004.0000,0.976138
4004.0500,0.983976
4004.1000,0.938314
4004.1500,0.94305
4004.2000,0.984964
4004.2500,0.938844
4004.3000,1.07739
4004.3500,0.98293
4004.4000,1.06739
4004.4500,0.97725
4004.5000,1.00658
4004.5500,1.00139
4004.6000,0.858932
4004.6500,0.78139
4004.7000,0.831839
4004.7500,0.791038
4004.8000,0.442891
4004.8500,0.295891
4004.9000,0.328224
4004.9500,0.242978
4005.0000,0.237054
4005.0500,0.283088
4005.1000,0.284593
4005.1500,0.273781
4005.2000,0.159393
4005.2500,0.105311
4005.3000,0.158903
4005.3500,0.230829
4005.4000,0.296438
4005.4500,0.289596
4005.5000,0.379576
4005.5500,0.539005
4005.6000,0.659127
4005.6500,0.593884
4005.7000,0.459263
4005.7500,0.629288
4005.8000,0.718736
4005.8500,0.899082
4005.9000,0.886416
4005.9500,0.864427
4006.0000,0.831155
4006.0500,0.870252
4006.1000,0.71849
4006.1500,0.513738
4006.2000,0.563834
4006.2500,0.642384
4006.3000,0.478526
4006.3500,0.527393
4006.4000,0.740602
4006.4500,0.828966
4006.5000,0.838905
4006.5500,0.789492
4006.6000,0.55311
4006.6500,0.418907
4006.7000,0.414853
4006.7500,0.316006
4006.8000,0.431948
4006.8500,0.615847
4006.9000,0.713972
4006.9500,0.675035
4007.0000,0.59239
4007.0500,0.726886
4007.1000,0.932621
4007.1500,0.877191
4007.2000,0.718554
4007.2500,0.522253
4007.3000,0.466936
4007.3500,0.67245
4007.4000,0.889134
4007.4500,1.06357
4007.5000,1.03061
4007.5500,1.02882
4007.6000,0.981276
4007.6500,0.901838
4007.7000,1.07824
4007.7500,0.929932
4007.8000,0.896093
4007.8500,0.720745
4007.9000,0.5568
4007.9500,0.477493
4008.0000,0.54474
4008.0500,0.655445
