Longitud_de_onda_A,espectro
4000.0000,0.969575
4000.0500,0.993614
4000.1000,0.975034
4000.1500,0.98153
4000.2000,0.983526
4000.2500,0.97534
4000.3000,0.993821
4000.3500,0.967664
4000.4000,0.957368
4000.4500,0.979153
4000.5000,0.985653
4000.5500,0.981695
4000.6000,0.976379
4000.6500,0.991977
4000.7000,0.980828
4000.7500,0.989661
4000.8000,0.979277
4000.8500,0.983227
4000.9000,0.960871
4000.9500,0.97438
4001.0000,1.01433
4001.0500,0.953203
4001.1000,1.01152
4001.1500,0.987494
4001.2000,1.00759
4001.2500,0.978506
4001.3000,0.986141
4001.3500,0.961631
4001.4000,0.957218
4001.4500,0.979739
4001.5000,0.992096
4001.5500,0.983631
4001.6000,0.972199
4001.6500,0.994435
4001.7000,1.00366
4001.7500,0.98371
4001.8000,0.998807
4001.8500,1.00015
4001.9000,0.976443
4001.9500,0.937825
4002.0000,0.966089
4002.0500,0.928822
4002.1000,0.9444
4002.1500,0.944982
4002.2000,0.959185
4002.2500,0.954648
4002.3000,0.998072
4002.3500,0.979119
4002.4000,0.9763
4002.4500,0.958217
4002.5000,0.95907
4002.5500,0.911818
4002.6000,0.965039
4002.6500,0.964402
4002.7000,0.943767
4002.7500,0.975733
4002.8000,0.942608
4002.8500,0.92765
4002.9000,0.932571
4002.9500,0.922091
4003.0000,0.920729
4003.0500,0.945517
4003.1000,0.971668
4003.1500,0.964786
4003.2000,0.975765
4003.2500,0.996206
4003.3000,0.968654
4003.3500,0.935508
4003.4000,0.980568
4003.4500,0.979138
4003.5000,0.985771
4003.5500,1.0014
4003.6000,1.00255
4003.6500,0.96639
4003.7000,0.962605
4003.7500,0.98379
4003.8000,0.990696
4003.8500,0.99423
4003.9000,0.960824
4003.9500,0.944918
4004.0000,0.979974
4004.0500,0.964285
4004.1000,0.953181
4004.1500,0.959284
4004.2000,0.974829
4004.2500,0.994355
4004.3000,1.00239
4004.3500,0.968118
4004.4000,0.988179
4004.4500,0.996801
4004.5000,0.98553
4004.5500,0.978285
4004.6000,0.995586
4004.6500,0.969795
4004.7000,0.991356
4004.7500,0.973983
4004.8000,0.957454
4004.8500,0.965106
4004.9000,0.965497
4004.9500,0.957482
4005.0000,0.951254
4005.0500,0.924295
4005.1000,0.885052
4005.1500,0.872116
4005.2000,0.854928
4005.2500,0.865134
4005.3000,0.839182
4005.3500,0.887106
4005.4000,0.969841
4005.4500,0.94833
4005.5000,0.932725
4005.5500,0.925747
4005.6000,0.882452
4005.6500,0.871718
4005.7000,0.840278
4005.7500,0.85847
4005.8000,0.891679
4005.8500,0.910326
4005.9000,1.00111
4005.9500,0.982713
4006.0000,0.991947
4006.0500,0.985918
4006.1000,0.981593
4006.1500,1.00836
4006.2000,0.962921
4006.2500,0.969329
4006.3000,0.976327
4006.3500,0.976766
4006.4000,0.98259
4006.4500,0.965602
4006.5000,0.964326
4006.5500,0.984258
4006.6000,0.968027
4006.6500,0.985184
4006.7000,0.98193
4006.7500,0.979733
4006.8000,0.989619
4006.8500,1.00303
4006.9000,0.994657
4006.9500,0.984028
4007.0000,0.96531
4007.0500,0.969523
4007.1000,0.982558
4007.1500,0.989258
4007.2000,0.971484
4007.2500,0.969804
4007.3000,0.975886
4007.3500,0.99704
4007.4000,0.98381
4007.4500,0.986803
4007.5000,0.995662
4007.5500,1.01595
4007.6000,1.01219
4007.6500,0.996726
4007.7000,0.987224
4007.7500,1.02424
4007.8000,1.03857
4007.8500,1.00558
4007.9000,1.01443
4007.9500,1.00559
4008.0000,0.99534
4008.0500,1.01932
4008.1000,0.998722
4008.1500,0.991634
4008.2000,1.02532
4008.2500,0.997167
4008.3000,1.00457
4008.3500,1.00291
4008.4000,0.994905
4008.4500,1.00484
4008.5000,0.994787
4008.5500,1.01424
4008.6000,1.01038
4008.6500,1.01902
4008.7000,1.01006
4008.7500,1.02529
4008.8000,0.993369
4008.8500,1.01212
4008.9000,1.03822
4008.9500,1.03874
4009.0000,1.03412
4009.0500,1.01097
4009.1000,1.02013
4009.1500,1.03176
4009.2000,1.00146
4009.2500,1.00681
4009.3000,1.02341
4009.3500,1.00138
4009.4000,1.03762
4009.4500,1.01498
4009.5000,1.00533
4009.5500,0.984429
4009.6000,0.98921
4009.6500,1.01078
4009.7000,1.0357
4009.7500,0.982411
4009.8000,0.979155
4009.8500,0.996416
4009.9000,1.00466
4009.9500,1.01072
4010.0000,1.02499
4010.0500,1.0054
4010.1000,1.02368
4010.1500,1.01271
4010.2000,1.03008
4010.2500,1.01572
4010.3000,1.03107
4010.3500,1.03913
4010.4000,1.00604
4010.4500,0.989003
4010.5000,0.993955
4010.5500,1.01763
4010.6000,1.00916
4010.6500,0.978912
4010.7000,1.01
4010.7500,1.00421
4010.8000,1.02408
4010.8500,1.01592
4010.9000,1.01151
4010.9500,1.02069
4011.0000,1.01625
4011.0500,1.02023
4011.1000,1.01205
4011.1500,1.04667
4011.2000,1.03947
4011.2500,1.02402
4011.3000,0.999559
4011.3500,0.999858
4011.4000,1.04673
4011.4500,1.0245
4011.5000,1.00483
4011.5500,1.01575
4011.6000,1.00067
4011.6500,1.02075
4011.7000,1.02571
4011.7500,1.02118
4011.8000,1.01819
4011.8500,1.01571
4011.9000,0.986632
4011.9500,1.00316
4012.0000,0.996083
4012.0500,1.00604
4012.1000,1.00873
4012.1500,0.988944
4012.2000,0.935911
4012.2500,0.907366
4012.3000,0.867137
4012.3500,0.843212
4012.4000,0.894105
4012.4500,0.814629
4012.5000,0.861918
4012.5500,0.906414
4012.6000,0.945666
4012.6500,0.962542
4012.7000,0.999999
4012.7500,1.00748
4012.8000,1.00925
4012.8500,1.0053
4012.9000,1.00759
4012.9500,1.00796
4013.0000,1.00931
4013.0500,0.973106
4013.1000,1.01063
4013.1500,1.02867
4013.2000,1.01891
4013.2500,1.0148
4013.3000,1.02362
4013.3500,1.00571
4013.4000,1.02932
4013.4500,0.99806
4013.5000,0.970086
4013.5500,0.990087
4013.6000,0.979095
4013.6500,0.998748
4013.7000,1.01099
4013.7500,0.984665
4013.8000,0.999185
4013.8500,0.994657
4013.9000,1.01771
4013.9500,1.00946
4014.0000,0.939623
4014.0500,1.01247
4014.1000,1.02191
4014.1500,1.02752
4014.2000,1.00576
4014.2500,0.99208
4014.3000,1.01629
4014.3500,0.971193
4014.4000,0.961149
