Longitud_de_onda_A,espectro
4000.0000,0.993026
4000.0500,0.985226
4000.1000,1.00986
4000.1500,0.985508
4000.2000,0.968228
4000.2500,0.992355
4000.3000,0.985922
4000.3500,1.03353
4000.4000,0.999817
4000.4500,0.957049
4000.5000,1.03914
4000.5500,0.973581
4000.6000,0.960211
4000.6500,0.950222
4000.7000,1.05761
4000.7500,0.999795
4000.8000,0.973944
4000.8500,0.927555
4000.9000,0.962001
4000.9500,0.972642
4001.0000,1.01592
4001.0500,0.988895
4001.1000,0.984811
4001.1500,0.991506
4001.2000,0.980887
4001.2500,0.987253
4001.3000,0.971623
4001.3500,0.986247
4001.4000,0.947946
4001.4500,0.983076
4001.5000,0.973426
4001.5500,1.036
4001.6000,1.01052
4001.6500,1.00362
4001.7000,0.967251
4001.7500,0.998495
4001.8000,0.995947
4001.8500,0.963263
4001.9000,0.959366
4001.9500,0.924217
4002.0000,0.905286
4002.0500,0.858918
4002.1000,0.868302
4002.1500,0.894043
4002.2000,0.921979
4002.2500,0.921808
4002.3000,0.959146
4002.3500,0.959114
4002.4000,0.935356
4002.4500,0.892459
4002.5000,0.83051
4002.5500,0.827591
4002.6000,0.881631
4002.6500,0.909502
4002.7000,0.945653
4002.7500,0.961762
4002.8000,0.954713
4002.8500,0.979693
4002.9000,0.989751
4002.9500,0.96982
4003.0000,1.00539
4003.0500,0.993384
4003.1000,0.986144
4003.1500,0.971434
4003.2000,0.981566
4003.2500,0.94036
4003.3000,0.89879
4003.3500,0.944806
4003.4000,0.993947
4003.4500,0.977223
4003.5000,0.966001
4003.5500,0.970458
4003.6000,1.02493
4003.6500,1.01759
4003.7000,1.01903
4003.7500,0.980456
4003.8000,1.00485
4003.8500,1.00793
4003.9000,1.00737
4003.9500,1.03715
4004.0000,1.01341
4004.0500,0.98924
4004.1000,1.02194
4004.1500,1.01544
4004.2000,1.03422
4004.2500,0.971559
4004.3000,1.02757
4004.3500,1.01733
4004.4000,1.0042
4004.4500,0.992412
4004.5000,1.02192
4004.5500,1.00412
4004.6000,1.02486
4004.6500,1.02209
4004.7000,1.0231
4004.7500,1.00217
4004.8000,1.00738
4004.8500,0.986455
4004.9000,1.02822
4004.9500,0.9954
