Longitud_de_onda_A,espectro
4000.0000,1.01093
4000.0500,1.021
4000.1000,1.01035
4000.1500,0.978216
4000.2000,0.8106
4000.2500,0.696853
4000.3000,0.788634
4000.3500,0.817462
4000.4000,0.726061
4000.4500,0.637558
4000.5000,0.714845
4000.5500,0.91655
4000.6000,1.03949
4000.6500,1.00454
4000.7000,1.0634
4000.7500,0.976357
4000.8000,1.00938
4000.8500,0.956518
4000.9000,1.01445
4000.9500,1.0006
4001.0000,0.979335
4001.0500,0.886985
4001.1000,0.778659
4001.1500,0.663135
4001.2000,0.73892
4001.2500,0.853746
4001.3000,0.937267
4001.3500,0.934617
4001.4000,0.885755
4001.4500,0.81641
4001.5000,0.880323
4001.5500,0.927037
4001.6000,0.778173
4001.6500,0.564446
4001.7000,0.591872
4001.7500,0.834779
4001.8000,0.972422
4001.8500,1.03217
4001.9000,1.0465
4001.9500,1.00339
4002.0000,0.968797
4002.0500,0.907503
4002.1000,0.918944
4002.1500,0.978156
4002.2000,1.00586
4002.2500,1.07076
4002.3000,1.05177
4002.3500,0.974475
4002.4000,0.960135
4002.4500,0.920242
4002.5000,0.949981
4002.5500,0.970231
4002.6000,0.985697
4002.6500,0.94356
4002.7000,0.980306
4002.7500,1.01927
4002.8000,1.02177
4002.8500,0.917902
4002.9000,0.759138
4002.9500,0.782906
4003.0000,0.851208
4003.0500,0.999301
4003.1000,1.02879
4003.1500,1.03443
4003.2000,1.05813
4003.2500,1.03636
4003.3000,1.00809
4003.3500,1.05425
4003.4000,1.01615
4003.4500,1.04609
4003.5000,1.02427
4003.5500,0.996795
4003.6000,1.01752
4003.6500,0.983415
4003.7000,0.840921
4003.7500,0.680031
4003.8000,0.730894
4003.8500,0.896262
4003.9000,1.00547
4003.9500,1.02086
4004.0000,1.00575
4004.0500,1.03656
4004.1000,1.00148
4004.1500,0.997792
4004.2000,1.01784
4004.2500,1.01688
4004.3000,1.02223
4004.3500,1.02155
4004.4000,1.03817
4004.4500,1.04929
4004.5000,0.99755
4004.5500,1.02483
4004.6000,1.00164
4004.6500,0.941246
4004.7000,1.00246
4004.7500,0.859837
4004.8000,0.65439
4004.8500,0.496718
4004.9000,0.422605
4004.9500,0.451881
4005.0000,0.510094
4005.0500,0.561131
4005.1000,0.559464
4005.1500,0.465801
4005.2000,0.299462
4005.2500,0.193725
4005.3000,0.290271
4005.3500,0.426358
4005.4000,0.557362
4005.4500,0.627456
4005.5000,0.761164
