Longitud_de_onda_A,espectro
4000.0000,1.11944
4000.0500,1.10108
4000.1000,1.12318
4000.1500,1.04286
4000.2000,0.83882
4000.2500,0.628146
4000.3000,0.663403
4000.3500,0.766845
4000.4000,0.655451
4000.4500,0.547192
4000.5000,0.604109
4000.5500,0.866207
4000.6000,1.02353
4000.6500,1.05273
4000.7000,1.06073
4000.7500,1.03997
4000.8000,0.974145
4000.8500,1.00508
4000.9000,1.00912
4000.9500,0.950651
4001.0000,0.945519
4001.0500,0.794791
4001.1000,0.655097
4001.1500,0.589979
4001.2000,0.666289
4001.2500,0.796599
4001.3000,0.87466
4001.3500,0.951974
4001.4000,0.771547
4001.4500,0.684037
4001.5000,0.834871
4001.5500,0.905159
4001.6000,0.732083
4001.6500,0.508083
4001.7000,0.537541
4001.7500,0.724727
4001.8000,0.937523
4001.8500,1.04429
4001.9000,1.03165
4001.9500,0.982277
4002.0000,0.92477
4002.0500,0.785054
4002.1000,0.823593
4002.1500,0.943584
4002.2000,1.02381
4002.2500,1.01899
4002.3000,1.03706
4002.3500,0.979132
4002.4000,0.983497
4002.4500,0.867056
4002.5000,0.888406
4002.5500,0.913852
4002.6000,0.921897
4002.6500,0.854209
4002.7000,0.895125
4002.7500,1.02503
4002.8000,1.01544
4002.8500,0.916451
4002.9000,0.663125
4002.9500,0.656982
4003.0000,0.854767
4003.0500,1.04071
4003.1000,1.04539
4003.1500,1.08369
4003.2000,1.04448
4003.2500,1.04228
4003.3000,1.03538
4003.3500,1.01066
4003.4000,1.02593
4003.4500,1.05841
4003.5000,1.04165
4003.5500,1.01886
4003.6000,1.08483
4003.6500,1.03473
4003.7000,0.794253
4003.7500,0.597566
4003.8000,0.647087
4003.8500,0.907712
4003.9000,0.945922
4003.9500,0.979912
4004.0000,0.96898
4004.0500,1.05568
4004.1000,1.03605
4004.1500,1.02414
4004.2000,1.04496
4004.2500,1.02204
4004.3000,1.06395
4004.3500,1.0953
4004.4000,1.0283
4004.4500,1.10197
4004.5000,1.12332
4004.5500,1.02454
