Longitud_de_onda_A,espectro
4000.0000,1.06701
4000.0500,0.942412
4000.1000,0.890598
4000.1500,0.897888
4000.2000,0.986398
4000.2500,0.931073
4000.3000,0.65044
4000.3500,0.963666
4000.4000,0.577186
4000.4500,0.408986
4000.5000,0.222742
4000.5500,0.768856
4000.6000,0.893377
4000.6500,1.36454
4000.7000,1.12569
4000.7500,1.03152
4000.8000,1.33532
4000.8500,1.18847
4000.9000,1.23009
4000.9500,1.39744
4001.0000,1.26034
4001.0500,0.872711
4001.1000,0.871785
4001.1500,0.748399
4001.2000,1.27221
4001.2500,0.970688
4001.3000,0.971929
4001.3500,1.25113
4001.4000,1.02275
4001.4500,1.17015
4001.5000,0.964505
4001.5500,0.897673
4001.6000,0.610684
4001.6500,0.599781
4001.7000,0.588128
4001.7500,0.664701
4001.8000,1.09522
4001.8500,1.40894
4001.9000,1.15332
4001.9500,1.38951
4002.0000,1.02173
4002.0500,1.15114
4002.1000,1.10709
4002.1500,1.36674
4002.2000,1.09654
4002.2500,1.19586
4002.3000,1.1345
4002.3500,1.26227
4002.4000,1.07272
4002.4500,0.990922
4002.5000,0.982667
4002.5500,0.946064
4002.6000,0.648226
4002.6500,1.29054
4002.7000,0.927047
4002.7500,1.08273
4002.8000,1.09626
4002.8500,1.14833
4002.9000,1.15317
4002.9500,0.883734
4003.0000,0.828922
4003.0500,0.873602
4003.1000,1.10052
4003.1500,1.20415
4003.2000,1.29571
4003.2500,1.15427
4003.3000,1.23302
4003.3500,1.36074
4003.4000,1.15551
4003.4500,1.42047
4003.5000,1.15441
4003.5500,1.29901
4003.6000,1.16146
4003.6500,0.924
4003.7000,0.932037
4003.7500,0.896482
4003.8000,0.662534
4003.8500,0.806017
4003.9000,0.895577
4003.9500,0.994593
4004.0000,0.965283
4004.0500,0.747792
4004.1000,1.01448
4004.1500,1.04845
4004.2000,0.955586
4004.2500,1.14207
4004.3000,1.1152
4004.3500,1.19168
4004.4000,1.0808
4004.4500,1.03364
4004.5000,1.42269
4004.5500,1.33252
4004.6000,1.07368
4004.6500,1.02385
4004.7000,0.869017
4004.7500,0.77743
4004.8000,0.608399
4004.8500,0.464887
4004.9000,0.616821
4004.9500,0.827302
4005.0000,0.565948
4005.0500,0.404487
4005.1000,0.520045
4005.1500,0.293156
4005.2000,0.112976
4005.2500,0.154964
4005.3000,0.261655
4005.3500,0.475835
4005.4000,0.298462
4005.4500,0.456286
4005.5000,0.587852
4005.5500,0.564264
4005.6000,0.583582
4005.6500,0.459756
4005.7000,0.691372
4005.7500,0.860615
4005.8000,0.860591
4005.8500,0.855639
4005.9000,0.958461
4005.9500,0.703873
4006.0000,0.811803
4006.0500,1.0248
4006.1000,1.12906
4006.1500,0.980186
4006.2000,0.75229
4006.2500,0.89386
4006.3000,0.590465
4006.3500,0.715801
4006.4000,0.862696
4006.4500,1.00655
4006.5000,0.918724
4006.5500,0.792803
4006.6000,0.637966
4006.6500,0.709372
4006.7000,0.789893
4006.7500,0.743225
4006.8000,0.787288
4006.8500,0.745002
4006.9000,1.13696
4006.9500,1.21466
4007.0000,1.20182
4007.0500,1.35322
4007.1000,1.04333
4007.1500,0.930032
4007.2000,0.793575
4007.2500,0.640064
4007.3000,0.567952
4007.3500,0.67914
4007.4000,0.7875
4007.4500,0.669613
4007.5000,0.899536
4007.5500,1.15739
4007.6000,1.02204
4007.6500,1.08958
4007.7000,1.15813
4007.7500,1.19123
4007.8000,1.09335
4007.8500,1.23462
4007.9000,1.11691
4007.9500,0.637542
4008.0000,0.715564
4008.0500,0.461354
4008.1000,0.688602
4008.1500,0.963844
4008.2000,0.841799
4008.2500,0.962199
4008.3000,1.02517
4008.3500,1.12364
4008.4000,1.34662
4008.4500,1.13852
4008.5000,1.24318
4008.5500,1.31922
4008.6000,0.928623
4008.6500,0.742982
4008.7000,0.771393
4008.7500,0.723038
4008.8000,0.528809
4008.8500,0.322649
4008.9000,0.288003
4008.9500,0.18564
