Longitud_de_onda_A,espectro
4000.0000,1.03202
4000.0500,0.984764
4000.1000,0.935684
4000.1500,1.01329
4000.2000,0.94527
4000.2500,0.85112
4000.3000,0.839665
4000.3500,0.838315
4000.4000,0.691308
4000.4500,0.495747
4000.5000,0.662294
4000.5500,0.857646
4000.6000,0.975085
4000.6500,0.977102
4000.7000,0.993392
4000.7500,0.993516
4000.8000,1.02024
4000.8500,1.04523
4000.9000,1.02844
4000.9500,0.947532
4001.0000,1.05872
4001.0500,0.990965
4001.1000,0.908109
4001.1500,0.863859
4001.2000,0.77342
4001.2500,0.868102
4001.3000,0.958944
4001.3500,1.0191
4001.4000,0.896972
4001.4500,0.982379
4001.5000,0.907918
4001.5500,0.84506
4001.6000,0.739211
4001.6500,0.556263
4001.7000,0.56588
4001.7500,0.773775
4001.8000,0.916572
4001.8500,1.09285
4001.9000,1.12657
4001.9500,0.979157
4002.0000,0.971319
4002.0500,0.870699
4002.1000,0.996286
4002.1500,1.01879
4002.2000,1.04761
4002.2500,1.00256
4002.3000,1.02604
4002.3500,0.988737
4002.4000,0.952624
4002.4500,0.887043
4002.5000,0.911547
4002.5500,0.896382
4002.6000,0.920089
4002.6500,0.963492
4002.7000,0.943768
4002.7500,0.933604
4002.8000,0.931462
4002.8500,0.837665
4002.9000,0.687799
4002.9500,0.718944
4003.0000,0.8874
4003.0500,0.88699
4003.1000,0.95759
4003.1500,0.976779
4003.2000,1.04412
4003.2500,1.07038
4003.3000,1.0384
4003.3500,0.930758
4003.4000,0.964818
4003.4500,1.02365
4003.5000,0.988409
4003.5500,1.05767
4003.6000,1.00543
4003.6500,0.895965
4003.7000,0.768672
4003.7500,0.758521
4003.8000,0.811113
4003.8500,0.844459
4003.9000,1.00968
4003.9500,1.00001
4004.0000,0.905906
4004.0500,0.958377
4004.1000,0.961388
4004.1500,0.898285
4004.2000,0.939114
4004.2500,0.979721
4004.3000,0.970542
4004.3500,0.996973
4004.4000,1.03558
4004.4500,1.01902
4004.5000,0.973413
4004.5500,0.948539
4004.6000,0.93815
4004.6500,0.944084
4004.7000,0.923913
4004.7500,0.921963
4004.8000,0.788992
4004.8500,0.672724
4004.9000,0.595743
4004.9500,0.689921
4005.0000,0.762272
4005.0500,0.709285
4005.1000,0.752033
4005.1500,0.703197
4005.2000,0.440617
4005.2500,0.246124
4005.3000,0.283324
4005.3500,0.465817
4005.4000,0.736233
4005.4500,0.919699
4005.5000,0.939064
4005.5500,0.941348
4005.6000,0.817544
4005.6500,0.543181
4005.7000,0.460973
4005.7500,0.57195
4005.8000,0.807356
4005.8500,0.9067
4005.9000,0.882934
4005.9500,0.893433
4006.0000,0.951146
4006.0500,1.02199
4006.1000,0.9234
4006.1500,0.877678
4006.2000,0.880212
4006.2500,0.744119
4006.3000,0.64274
4006.3500,0.694389
4006.4000,0.891874
4006.4500,0.985068
4006.5000,0.990614
4006.5500,0.969218
4006.6000,0.780441
4006.6500,0.778708
4006.7000,0.720876
4006.7500,0.708063
4006.8000,0.79779
4006.8500,0.862948
4006.9000,0.991833
4006.9500,0.850794
4007.0000,0.95752
4007.0500,0.954533
4007.1000,1.03641
4007.1500,0.989859
4007.2000,0.921207
4007.2500,0.567168
4007.3000,0.640274
4007.3500,0.862013
4007.4000,0.895141
4007.4500,0.950666
4007.5000,0.997296
4007.5500,0.933108
4007.6000,1.00044
4007.6500,0.980382
4007.7000,1.04592
4007.7500,1.05131
4007.8000,1.06968
4007.8500,1.08011
4007.9000,1.02844
4007.9500,1.00996
4008.0000,1.04978
4008.0500,1.00533
4008.1000,0.944248
4008.1500,0.992211
4008.2000,0.999585
4008.2500,1.01388
4008.3000,1.15983
4008.3500,1.09048
4008.4000,1.05382
4008.4500,1.07565
4008.5000,1.02103
4008.5500,1.10344
4008.6000,0.995674
4008.6500,0.981052
4008.7000,1.04665
4008.7500,1.03703
4008.8000,0.94799
4008.8500,0.83139
4008.9000,0.663696
4008.9500,0.706251
4009.0000,0.831762
4009.0500,0.971964
4009.1000,0.965464
4009.1500,0.999375
4009.2000,1.02895
4009.2500,1.05108
4009.3000,1.01229
4009.3500,1.07131
4009.4000,1.05331
4009.4500,1.14348
4009.5000,1.05324
4009.5500,0.879523
4009.6000,0.892492
4009.6500,0.618076
4009.7000,0.522033
4009.7500,0.508004
4009.8000,0.766867
4009.8500,1.0015
4009.9000,1.11642
4009.9500,1.12963
4010.0000,1.13599
4010.0500,1.08797
4010.1000,1.20838
4010.1500,1.10207
4010.2000,1.12912
4010.2500,1.16099
4010.3000,1.26074
4010.3500,1.25867
4010.4000,1.12909
4010.4500,1.14046
4010.5000,1.16872
4010.5500,1.09545
4010.6000,0.989368
4010.6500,1.18772
4010.7000,1.2281
4010.7500,1.26289
