Longitud_de_onda_A,espectro
4000.0000,1.12477
4000.0500,1.06085
4000.1000,1.08637
4000.1500,0.962985
4000.2000,0.842775
4000.2500,0.765793
4000.3000,0.665579
4000.3500,0.676803
4000.4000,0.588358
4000.4500,0.583282
4000.5000,0.700208
4000.5500,0.859996
4000.6000,0.977886
4000.6500,1.06893
4000.7000,1.0951
4000.7500,1.05448
4000.8000,1.08682
4000.8500,1.05004
4000.9000,1.06384
4000.9500,0.994924
4001.0000,0.985269
4001.0500,0.939789
4001.1000,0.846721
4001.1500,0.825448
4001.2000,0.794089
4001.2500,0.889346
4001.3000,1.00671
4001.3500,0.914221
4001.4000,0.883923
4001.4500,0.808854
4001.5000,0.776425
4001.5500,0.750573
4001.6000,0.672585
4001.6500,0.537504
4001.7000,0.647332
4001.7500,0.774596
4001.8000,0.844024
4001.8500,1.01338
4001.9000,1.06636
4001.9500,0.993435
4002.0000,0.929283
4002.0500,0.800359
4002.1000,0.814876
4002.1500,0.893267
4002.2000,0.961777
4002.2500,1.10352
4002.3000,1.0374
4002.3500,1.04192
4002.4000,0.960693
4002.4500,0.895532
4002.5000,0.879466
4002.5500,0.895691
4002.6000,0.946767
4002.6500,0.910574
4002.7000,1.00046
4002.7500,1.03031
4002.8000,0.978629
4002.8500,0.859111
4002.9000,0.727766
4002.9500,0.732462
4003.0000,0.823483
4003.0500,0.948615
4003.1000,1.0958
4003.1500,1.06493
4003.2000,1.00919
4003.2500,1.00183
4003.3000,1.06692
4003.3500,1.05375
4003.4000,1.09357
4003.4500,1.08899
4003.5000,1.07542
4003.5500,1.07062
4003.6000,1.03944
4003.6500,0.898822
4003.7000,0.846831
4003.7500,0.738997
4003.8000,0.714028
4003.8500,0.879177
4003.9000,0.907506
4003.9500,1.0289
4004.0000,1.05176
4004.0500,1.01129
4004.1000,1.05838
4004.1500,1.09116
4004.2000,1.0884
4004.2500,1.02416
4004.3000,1.08653
4004.3500,1.12883
4004.4000,1.11793
4004.4500,1.11484
4004.5000,1.05313
4004.5500,1.04389
4004.6000,1.07426
4004.6500,1.01579
4004.7000,0.905022
4004.7500,0.780543
4004.8000,0.616421
4004.8500,0.47401
4004.9000,0.405968
4004.9500,0.366379
4005.0000,0.399559
4005.0500,0.418663
4005.1000,0.445289
4005.1500,0.426025
4005.2000,0.304373
4005.2500,0.241435
4005.3000,0.27124
4005.3500,0.41473
4005.4000,0.474878
4005.4500,0.565695
4005.5000,0.738404
4005.5500,0.830955
4005.6000,0.8001
4005.6500,0.624715
4005.7000,0.574396
4005.7500,0.653869
4005.8000,0.779728
4005.8500,0.984126
4005.9000,1.02702
4005.9500,1.04408
4006.0000,0.968786
4006.0500,0.974904
4006.1000,0.895316
4006.1500,0.743157
4006.2000,0.78041
4006.2500,0.63696
4006.3000,0.616377
4006.3500,0.667983
4006.4000,0.813786
4006.4500,0.892403
4006.5000,0.943192
4006.5500,0.798861
4006.6000,0.643644
4006.6500,0.576031
4006.7000,0.503308
4006.7500,0.548068
4006.8000,0.646271
4006.8500,0.822511
4006.9000,0.932338
4006.9500,0.977223
4007.0000,0.910214
4007.0500,1.00018
4007.1000,1.01618
4007.1500,0.953449
4007.2000,0.754572
4007.2500,0.655784
4007.3000,0.619183
4007.3500,0.738453
4007.4000,0.904003
4007.4500,0.998215
4007.5000,1.09767
4007.5500,1.02709
4007.6000,1.10197
4007.6500,1.10236
4007.7000,1.02744
4007.7500,1.01676
4007.8000,0.90849
4007.8500,0.849722
4007.9000,0.795005
4007.9500,0.767938
4008.0000,0.737537
4008.0500,0.853269
4008.1000,0.795314
4008.1500,0.87451
4008.2000,0.986869
4008.2500,1.0098
4008.3000,1.11328
4008.3500,1.10884
4008.4000,1.06609
4008.4500,1.05771
4008.5000,1.05616
4008.5500,1.03721
4008.6000,1.0646
4008.6500,1.05248
4008.7000,0.96699
4008.7500,0.916007
4008.8000,0.850733
4008.8500,0.647598
