Longitud_de_onda_A,espectro
4000.0000,0.981363
4000.0500,0.99318
4000.1000,0.966249
4000.1500,0.983475
4000.2000,0.974627
4000.2500,0.98971
4000.3000,0.97638
4000.3500,0.978626
4000.4000,0.987522
4000.4500,0.984948
4000.5000,1.0011
4000.5500,0.977821
4000.6000,0.984746
4000.6500,0.992807
4000.7000,0.997416
4000.7500,0.992475
4000.8000,0.984396
4000.8500,1.01844
4000.9000,0.994905
4000.9500,1.00031
4001.0000,0.980497
4001.0500,0.97938
4001.1000,0.99258
4001.1500,0.988066
4001.2000,0.975624
4001.2500,0.969719
4001.3000,0.983365
4001.3500,0.971833
4001.4000,0.988837
4001.4500,0.959139
4001.5000,0.999261
4001.5500,0.972438
4001.6000,0.978892
4001.6500,0.960163
4001.7000,0.964823
4001.7500,0.943042
4001.8000,0.960589
4001.8500,0.9544
4001.9000,0.931098
4001.9500,0.934479
4002.0000,0.939647
4002.0500,0.94873
4002.1000,0.922386
4002.1500,0.911106
4002.2000,0.899032
4002.2500,0.916616
4002.3000,0.912234
4002.3500,0.895066
4002.4000,0.913301
4002.4500,0.899338
4002.5000,0.913339
4002.5500,0.896914
4002.6000,0.890037
4002.6500,0.901094
4002.7000,0.905921
4002.7500,0.909108
4002.8000,0.909836
4002.8500,0.925553
4002.9000,0.934603
4002.9500,0.941748
4003.0000,0.954865
4003.0500,0.972381
4003.1000,0.978615
4003.1500,0.966915
4003.2000,0.952918
4003.2500,0.951262
4003.3000,0.937986
4003.3500,0.951326
4003.4000,0.951035
4003.4500,0.961263
4003.5000,0.942341
4003.5500,0.962488
4003.6000,0.974303
4003.6500,0.9655
4003.7000,0.981496
4003.7500,0.989792
4003.8000,0.99434
4003.8500,1.0036
4003.9000,1.01221
4003.9500,0.993979
4004.0000,1.00238
4004.0500,0.993832
4004.1000,0.978424
4004.1500,0.991062
4004.2000,0.997423
4004.2500,0.972208
4004.3000,0.999257
4004.3500,1.00166
4004.4000,0.98442
4004.4500,0.971316
4004.5000,0.978025
4004.5500,0.972412
4004.6000,0.972628
4004.6500,0.97321
4004.7000,0.955713
4004.7500,0.939825
4004.8000,0.924141
4004.8500,0.91599
4004.9000,0.894693
4004.9500,0.891918
4005.0000,0.882482
4005.0500,0.870425
4005.1000,0.882692
4005.1500,0.88689
4005.2000,0.877075
4005.2500,0.879213
4005.3000,0.898251
4005.3500,0.898156
4005.4000,0.907461
4005.4500,0.90696
4005.5000,0.922043
4005.5500,0.940146
4005.6000,0.943393
4005.6500,1.00009
4005.7000,0.976264
4005.7500,1.00275
4005.8000,0.983823
4005.8500,1.00025
4005.9000,0.986839
4005.9500,0.973172
4006.0000,0.971745
4006.0500,0.985816
4006.1000,0.994038
4006.1500,0.991246
4006.2000,0.968113
4006.2500,0.984504
4006.3000,0.962238
4006.3500,0.970285
4006.4000,0.955879
4006.4500,0.968137
4006.5000,0.976158
4006.5500,0.969018
4006.6000,0.982463
4006.6500,0.96005
4006.7000,0.988055
4006.7500,0.98618
4006.8000,0.971408
4006.8500,0.956168
4006.9000,0.953075
4006.9500,0.969113
4007.0000,0.993773
4007.0500,0.993468
4007.1000,0.997471
4007.1500,0.979498
4007.2000,0.983382
4007.2500,0.993575
4007.3000,0.987078
4007.3500,0.98014
4007.4000,0.97852
4007.4500,0.994954
4007.5000,1.00461
4007.5500,0.989254
4007.6000,0.991184
4007.6500,0.985729
4007.7000,0.998199
4007.7500,0.996023
4007.8000,1.00776
4007.8500,0.99554
4007.9000,0.993623
4007.9500,0.985593
4008.0000,0.982868
4008.0500,0.989109
4008.1000,1.00005
4008.1500,0.998583
4008.2000,0.985924
4008.2500,1.00954
4008.3000,1.00821
4008.3500,1.0023
4008.4000,1.0289
4008.4500,1.02889
4008.5000,1.01079
4008.5500,1.0142
4008.6000,1.00164
4008.6500,1.01572
4008.7000,1.00165
4008.7500,1.01679
4008.8000,0.977742
4008.8500,0.985296
4008.9000,1.00098
4008.9500,1.01466
4009.0000,1.00882
4009.0500,1.00358
4009.1000,0.989647
4009.1500,0.998095
4009.2000,0.987759
4009.2500,1.00252
4009.3000,0.988799
4009.3500,0.982868
4009.4000,0.98808
4009.4500,0.993418
4009.5000,0.996983
4009.5500,0.980362
4009.6000,1.01065
4009.6500,0.987273
4009.7000,0.987088
4009.7500,0.981692
4009.8000,0.975526
4009.8500,0.998138
