Longitud_de_onda_A,espectro
4000.0000,1.00828
4000.0500,0.940091
4000.1000,1.01122
4000.1500,0.958844
4000.2000,0.773445
4000.2500,0.566884
4000.3000,0.494958
4000.3500,0.481354
4000.4000,0.505484
4000.4500,0.380698
4000.5000,0.419725
4000.5500,0.693359
4000.6000,0.913547
4000.6500,1.09827
4000.7000,1.18719
4000.7500,1.03007
4000.8000,0.90271
4000.8500,1.03563
4000.9000,1.0751
4000.9500,0.969165
4001.0000,0.95809
4001.0500,0.802473
4001.1000,0.614451
4001.1500,0.408637
4001.2000,0.489659
4001.2500,0.671549
4001.3000,0.972374
4001.3500,0.793773
4001.4000,0.649794
4001.4500,0.473971
4001.5000,0.694527
4001.5500,0.812305
4001.6000,0.571738
4001.6500,0.240272
4001.7000,0.394194
4001.7500,0.627986
4001.8000,0.870617
4001.8500,1.06303
4001.9000,0.98877
4001.9500,0.859964
4002.0000,0.88722
4002.0500,0.784774
4002.1000,0.850824
4002.1500,0.933964
4002.2000,1.0835
4002.2500,1.14213
4002.3000,1.11771
4002.3500,1.00787
4002.4000,0.755481
4002.4500,0.631531
4002.5000,0.700558
4002.5500,0.698322
4002.6000,0.764554
4002.6500,0.719531
4002.7000,0.798397
4002.7500,0.988728
4002.8000,1.04305
4002.8500,0.84903
4002.9000,0.607025
4002.9500,0.563304
4003.0000,0.887578
4003.0500,1.08754
4003.1000,1.13044
4003.1500,1.0294
4003.2000,1.07761
4003.2500,0.988544
4003.3000,1.06208
4003.3500,1.18557
4003.4000,1.14836
4003.4500,1.18696
4003.5000,1.0159
4003.5500,0.943842
4003.6000,1.02278
4003.6500,1.0681
4003.7000,0.872906
4003.7500,0.546478
4003.8000,0.561916
4003.8500,0.803411
4003.9000,0.841159
4003.9500,0.914443
4004.0000,0.87707
4004.0500,0.96008
4004.1000,0.935251
4004.1500,0.885489
4004.2000,0.941741
4004.2500,0.954048
4004.3000,1.02667
4004.3500,1.08582
4004.4000,1.11917
4004.4500,1.12175
4004.5000,1.2296
4004.5500,0.947128
4004.6000,0.853039
4004.6500,0.933346
4004.7000,0.934362
4004.7500,0.776306
4004.8000,0.560695
4004.8500,0.272668
4004.9000,0.29088
4004.9500,0.243634
4005.0000,0.252909
4005.0500,0.233022
4005.1000,0.304944
4005.1500,0.292728
4005.2000,0.138274
4005.2500,0.185607
4005.3000,0.188585
4005.3500,0.22336
4005.4000,0.311488
4005.4500,0.251328
4005.5000,0.415198
4005.5500,0.592667
4005.6000,0.717471
4005.6500,0.465709
4005.7000,0.434417
4005.7500,0.583143
4005.8000,0.809419
4005.8500,1.00488
4005.9000,0.92397
4005.9500,0.861325
4006.0000,0.930112
4006.0500,0.873224
4006.1000,0.731523
4006.1500,0.573436
4006.2000,0.632766
4006.2500,0.586272
4006.3000,0.52959
4006.3500,0.556703
4006.4000,0.809371
4006.4500,0.90542
4006.5000,0.928138
4006.5500,0.709201
4006.6000,0.52953
4006.6500,0.389567
4006.7000,0.308188
4006.7500,0.415876
4006.8000,0.45452
4006.8500,0.801233
4006.9000,0.867061
4006.9500,0.817818
4007.0000,0.794771
4007.0500,0.919152
4007.1000,0.999777
4007.1500,1.0427
4007.2000,0.712844
4007.2500,0.478116
4007.3000,0.457182
4007.3500,0.681588
4007.4000,0.793082
4007.4500,0.87294
4007.5000,0.8631
4007.5500,1.01126
4007.6000,0.957958
4007.6500,1.09771
4007.7000,1.0795
4007.7500,1.10897
4007.8000,0.890092
4007.8500,0.773327
4007.9000,0.580664
4007.9500,0.484561
4008.0000,0.470461
4008.0500,0.498842
4008.1000,0.651249
4008.1500,0.700827
4008.2000,0.894027
4008.2500,1.15979
4008.3000,1.041
4008.3500,1.13732
4008.4000,1.16134
4008.4500,1.21842
4008.5000,1.15999
4008.5500,1.08225
4008.6000,0.898907
4008.6500,0.806153
4008.7000,0.797953
4008.7500,0.788918
4008.8000,0.725248
4008.8500,0.562614
4008.9000,0.337898
4008.9500,0.445406
4009.0000,0.746286
4009.0500,0.795094
4009.1000,0.800964
4009.1500,0.729657
4009.2000,0.871078
4009.2500,1.19624
4009.3000,1.40674
4009.3500,1.26664
4009.4000,1.21203
4009.4500,1.12464
4009.5000,0.828934
4009.5500,0.636781
4009.6000,0.561705
4009.6500,0.352278
4009.7000,0.324924
4009.7500,0.369778
4009.8000,0.755931
4009.8500,1.05825
4009.9000,1.10545
4009.9500,0.949384
4010.0000,0.978776
4010.0500,1.06534
4010.1000,1.00126
4010.1500,0.816547
4010.2000,0.731381
4010.2500,1.00707
4010.3000,1.073
4010.3500,1.02085
4010.4000,0.997701
4010.4500,0.875152
4010.5000,0.839631
4010.5500,0.583431
4010.6000,0.669793
4010.6500,0.766001
4010.7000,0.802849
4010.7500,0.625527
4010.8000,0.65989
4010.8500,0.701023
4010.9000,0.746234
4010.9500,0.766105
4011.0000,0.833932
4011.0500,0.786467
4011.1000,0.968521
4011.1500,1.00359
4011.2000,1.1538
4011.2500,1.13628
4011.3000,1.00579
4011.3500,0.793178
4011.4000,0.617209
4011.4500,0.765236
4011.5000,0.936331
4011.5500,0.99657
4011.6000,0.975923
4011.6500,0.836549
4011.7000,0.704058
4011.7500,0.655266
4011.8000,0.916232
4011.8500,0.966895
4011.9000,0.993429
4011.9500,1.14653
4012.0000,1.09519
4012.0500,0.96233
4012.1000,1.03849
4012.1500,0.758851
4012.2000,0.488834
4012.2500,0.401211
4012.3000,0.475579
4012.3500,0.429644
4012.4000,0.344081
4012.4500,0.431375
4012.5000,0.580878
4012.5500,0.687126
4012.6000,0.651071
4012.6500,0.631986
4012.7000,0.69477
4012.7500,0.815197
4012.8000,0.940816
4012.8500,1.07975
4012.9000,1.28381
4012.9500,1.2753
4013.0000,1.2225
4013.0500,1.28852
4013.1000,1.2086
4013.1500,1.27148
4013.2000,0.900109
4013.2500,1.04659
4013.3000,1.09745
4013.3500,1.15132
4013.4000,1.1453
4013.4500,1.33652
4013.5000,1.03272
4013.5500,0.799577
4013.6000,0.484842
4013.6500,0.52136
4013.7000,0.678349
4013.7500,0.462096
4013.8000,0.416907
4013.8500,0.232898
4013.9000,0.385245
4013.9500,0.560824
4014.0000,0.814997
4014.0500,1.10265
4014.1000,1.15317
4014.1500,1.23635
4014.2000,0.950346
4014.2500,0.764596
4014.3000,0.802473
4014.3500,0.892971
4014.4000,0.781665
4014.4500,0.635248
4014.5000,0.383444
4014.5500,0.398165
4014.6000,0.514863
4014.6500,0.746126
4014.7000,0.948471
4014.7500,0.990721
4014.8000,1.04677
4014.8500,0.952679
4014.9000,0.933704
4014.9500,0.781846
4015.0000,0.969089
4015.0500,1.02946
4015.1000,1.04518
4015.1500,1.03926
4015.2000,1.0616
4015.2500,1.16436
4015.3000,0.982046
4015.3500,0.905943
4015.4000,0.77968
4015.4500,0.762281
4015.5000,0.755496
4015.5500,0.624025
4015.6000,0.528791
4015.6500,0.73197
4015.7000,0.923028
4015.7500,1.12004
4015.8000,1.3018
4015.8500,1.2145
4015.9000,1.16642
4015.9500,1.09373
4016.0000,1.03414
4016.0500,1.04627
4016.1000,1.16632
4016.1500,1.16428
4016.2000,1.16206
4016.2500,1.07357
4016.3000,0.964589
4016.3500,0.778124
4016.4000,0.522635
4016.4500,0.559559
4016.5000,0.80655
4016.5500,0.901802
4016.6000,1.12321
4016.6500,1.11423
4016.7000,1.00015
4016.7500,0.897922
4016.8000,0.795748
4016.8500,0.975396
4016.9000,0.98725
4016.9500,0.895993
4017.0000,0.696298
4017.0500,0.5272
4017.1000,0.262875
4017.1500,0.289611
4017.2000,0.468128
4017.2500,0.614022
4017.3000,0.841785
4017.3500,0.857355
4017.4000,0.706868
4017.4500,0.578176
4017.5000,0.418098
4017.5500,0.482793
4017.6000,0.734351
4017.6500,0.877091
4017.7000,0.964585
4017.7500,0.82353
4017.8000,0.88337
4017.8500,1.00365
4017.9000,1.09624
4017.9500,0.970136
4018.0000,0.676791
4018.0500,0.358295
4018.1000,0.244969
4018.1500,0.333522
4018.2000,0.428525
4018.2500,0.36797
4018.3000,0.450914
4018.3500,0.640076
4018.4000,0.789867
4018.4500,0.936701
4018.5000,1.04038
4018.5500,1.17288
4018.6000,1.19541
4018.6500,1.209
4018.7000,1.16128
4018.7500,1.05636
4018.8000,0.895914
4018.8500,0.849331
4018.9000,0.955682
4018.9500,0.985585
4019.0000,0.703352
4019.0500,0.535729
4019.1000,0.672209
4019.1500,0.843022
4019.2000,0.807858
4019.2500,0.767551
4019.3000,0.702921
4019.3500,0.85492
4019.4000,1.04519
4019.4500,1.16175
4019.5000,1.11427
4019.5500,1.13636
4019.6000,1.18355
4019.6500,1.20163
4019.7000,1.21141
4019.7500,1.1211
4019.8000,1.12169
4019.8500,1.08634
4019.9000,1.11653
4019.9500,0.904039
4020.0000,0.630898
4020.0500,0.565984
4020.1000,0.575244
4020.1500,0.635753
4020.2000,0.59588
4020.2500,0.461177
4020.3000,0.476
4020.3500,0.446209
4020.4000,0.393037
4020.4500,0.492485
4020.5000,0.588606
4020.5500,0.884557
4020.6000,1.14534
4020.6500,1.26317
4020.7000,1.24974
4020.7500,1.09044
4020.8000,0.826198
4020.8500,0.551571
4020.9000,0.429156
4020.9500,0.500049
4021.0000,0.882211
4021.0500,1.04669
4021.1000,1.20976
4021.1500,1.14604
4021.2000,1.1627
4021.2500,1.04024
4021.3000,0.8565
4021.3500,0.879509
4021.4000,1.0822
4021.4500,1.1613
4021.5000,1.05555
4021.5500,0.871898
4021.6000,0.545479
4021.6500,0.478466
4021.7000,0.521419
4021.7500,0.488128
4021.8000,0.364955
4021.8500,0.2446
4021.9000,0.339179
4021.9500,0.659389
4022.0000,0.817299
4022.0500,0.897315
4022.1000,0.915755
4022.1500,0.75427
4022.2000,0.628259
4022.2500,0.527068
4022.3000,0.7584
4022.3500,0.856206
4022.4000,0.872615
4022.4500,0.696053
4022.5000,0.807475
4022.5500,0.971884
4022.6000,0.943565
4022.6500,0.74044
4022.7000,0.733467
4022.7500,0.6264
4022.8000,0.811688
4022.8500,1.00909
4022.9000,0.987425
4022.9500,0.912577
4023.0000,0.866556
4023.0500,0.884367
4023.1000,0.97294
4023.1500,1.02995
4023.2000,1.02271
4023.2500,0.970031
4023.3000,0.870555
4023.3500,0.604161
4023.4000,0.55147
4023.4500,0.785241
4023.5000,1.08865
4023.5500,1.05769
4023.6000,0.893515
4023.6500,0.619684
4023.7000,0.436511
4023.7500,0.689958
4023.8000,1.02782
4023.8500,1.16089
4023.9000,1.05662
4023.9500,0.856829
4024.0000,0.613753
4024.0500,0.460244
4024.1000,0.379238
4024.1500,0.709476
4024.2000,1.0435
4024.2500,1.15628
4024.3000,1.08372
4024.3500,1.0517
4024.4000,0.82549
4024.4500,0.62262
4024.5000,0.497824
4024.5500,0.322623
4024.6000,0.313666
4024.6500,0.424527
4024.7000,0.367736
4024.7500,0.322979
4024.8000,0.610341
4024.8500,0.890432
4024.9000,0.991852
4024.9500,0.879079
4025.0000,0.687752
