Longitud_de_onda_A,espectro
4000.0000,0.942807
4000.0500,0.960625
4000.1000,0.951645
4000.1500,0.963367
4000.2000,0.854836
4000.2500,0.609072
4000.3000,0.698894
4000.3500,0.923537
4000.4000,0.704733
4000.4500,0.518937
4000.5000,0.648001
4000.5500,0.920223
4000.6000,0.965476
4000.6500,1.01714
4000.7000,0.950997
4000.7500,0.876578
4000.8000,0.857148
4000.8500,0.866411
4000.9000,0.864407
4000.9500,0.913082
4001.0000,0.871502
4001.0500,0.864813
4001.1000,0.669055
4001.1500,0.669475
4001.2000,0.680688
4001.2500,0.83272
4001.3000,0.882349
4001.3500,0.757113
4001.4000,0.625931
4001.4500,0.708183
4001.5000,0.833147
4001.5500,0.864508
4001.6000,0.736947
4001.6500,0.474221
4001.7000,0.512513
4001.7500,0.698815
4001.8000,0.897596
4001.8500,0.982883
4001.9000,1.02865
4001.9500,1.04311
4002.0000,1.00389
4002.0500,1.01553
4002.1000,1.06518
4002.1500,1.07061
4002.2000,1.08376
4002.2500,1.01768
4002.3000,1.15444
4002.3500,1.02044
4002.4000,0.8201
4002.4500,0.698449
4002.5000,0.662729
4002.5500,0.821238
4002.6000,0.985517
4002.6500,0.890647
4002.7000,0.781842
4002.7500,1.08479
4002.8000,1.17736
4002.8500,0.940322
4002.9000,0.8795
4002.9500,0.930216
4003.0000,1.05379
4003.0500,1.04521
4003.1000,0.946918
4003.1500,1.01602
4003.2000,1.10295
4003.2500,1.04562
4003.3000,1.06958
4003.3500,1.06787
4003.4000,1.119
4003.4500,1.11386
4003.5000,0.892451
4003.5500,1.03769
4003.6000,0.942823
4003.6500,0.892825
4003.7000,0.888572
4003.7500,0.550509
4003.8000,0.518165
4003.8500,0.786501
4003.9000,1.05904
4003.9500,1.1316
4004.0000,0.978223
4004.0500,0.902707
4004.1000,0.961977
4004.1500,0.932923
4004.2000,0.830268
4004.2500,0.85209
4004.3000,0.859926
4004.3500,0.844045
4004.4000,0.813165
4004.4500,0.85458
4004.5000,0.80928
4004.5500,0.932438
4004.6000,0.789863
4004.6500,0.772851
4004.7000,0.668656
4004.7500,0.60101
4004.8000,0.469236
4004.8500,0.363402
4004.9000,0.435284
4004.9500,0.386829
4005.0000,0.385581
4005.0500,0.341523
4005.1000,0.425095
4005.1500,0.267361
4005.2000,0.236158
4005.2500,0.162486
4005.3000,0.239215
4005.3500,0.276428
4005.4000,0.288727
4005.4500,0.364556
4005.5000,0.401298
4005.5500,0.470633
4005.6000,0.486434
4005.6500,0.511086
4005.7000,0.576601
4005.7500,0.621754
4005.8000,0.695531
4005.8500,0.643015
4005.9000,0.701882
4005.9500,0.573452
4006.0000,0.560497
4006.0500,0.731293
4006.1000,0.751429
4006.1500,0.658802
4006.2000,0.714875
4006.2500,0.645961
4006.3000,0.629204
4006.3500,0.586079
4006.4000,0.733092
4006.4500,0.803089
4006.5000,0.855748
4006.5500,0.852368
4006.6000,0.613694
4006.6500,0.504459
4006.7000,0.62735
4006.7500,0.539429
4006.8000,0.641981
4006.8500,0.743055
4006.9000,0.830642
4006.9500,0.7738
4007.0000,0.771284
4007.0500,0.781371
4007.1000,0.888708
4007.1500,0.758481
4007.2000,0.673152
4007.2500,0.485778
4007.3000,0.491422
4007.3500,0.739398
4007.4000,0.835643
4007.4500,0.963201
4007.5000,0.960177
4007.5500,1.02856
4007.6000,1.00252
4007.6500,1.04894
4007.7000,1.05644
4007.7500,1.02427
4007.8000,1.01842
4007.8500,0.962976
4007.9000,0.786256
4007.9500,0.752784
4008.0000,0.650071
4008.0500,0.696424
4008.1000,0.766111
4008.1500,0.888664
4008.2000,1.09719
4008.2500,0.981884
4008.3000,1.03358
4008.3500,1.07796
4008.4000,1.10155
4008.4500,1.14236
4008.5000,1.07341
4008.5500,0.987471
4008.6000,0.984909
4008.6500,0.997661
4008.7000,0.890285
4008.7500,0.815261
4008.8000,0.751946
4008.8500,0.527299
4008.9000,0.311871
4008.9500,0.315179
4009.0000,0.49608
4009.0500,0.77673
4009.1000,0.81957
4009.1500,0.782255
4009.2000,0.885029
4009.2500,0.995513
4009.3000,1.04837
4009.3500,1.03721
4009.4000,0.991553
4009.4500,0.993998
4009.5000,0.901274
4009.5500,0.702731
4009.6000,0.613599
4009.6500,0.372382
4009.7000,0.252027
4009.7500,0.411511
4009.8000,0.631176
4009.8500,0.766442
4009.9000,0.860314
4009.9500,1.04063
4010.0000,0.989649
4010.0500,0.995803
4010.1000,0.966499
4010.1500,0.801055
4010.2000,0.868687
4010.2500,1.02813
4010.3000,1.01958
4010.3500,1.01778
4010.4000,0.990668
4010.4500,0.986429
4010.5000,0.994891
4010.5500,0.81141
4010.6000,0.729138
4010.6500,1.03525
4010.7000,0.946119
4010.7500,0.73566
4010.8000,0.788799
4010.8500,0.816672
4010.9000,0.913723
4010.9500,0.894428
4011.0000,0.932198
4011.0500,0.954262
4011.1000,1.12651
4011.1500,1.07391
4011.2000,1.11287
4011.2500,1.03511
4011.3000,0.978952
4011.3500,0.798408
4011.4000,0.597114
4011.4500,0.728979
4011.5000,0.819533
4011.5500,0.976264
4011.6000,1.09482
4011.6500,0.856479
4011.7000,0.681809
4011.7500,0.775428
4011.8000,0.886715
4011.8500,1.02189
4011.9000,1.01286
4011.9500,1.01769
4012.0000,0.989239
4012.0500,0.893476
4012.1000,1.01011
4012.1500,0.933844
4012.2000,0.787505
4012.2500,0.813696
4012.3000,0.742875
4012.3500,0.643439
4012.4000,0.515652
4012.4500,0.702481
4012.5000,0.830511
4012.5500,0.912243
4012.6000,1.00397
4012.6500,1.03384
4012.7000,1.0364
4012.7500,1.01062
4012.8000,0.91728
4012.8500,0.894379
4012.9000,1.03255
4012.9500,1.0553
4013.0000,1.03072
4013.0500,1.20104
4013.1000,1.14962
4013.1500,1.12421
4013.2000,1.04782
4013.2500,1.06035
4013.3000,1.07653
4013.3500,1.10819
4013.4000,1.01547
4013.4500,1.09928
4013.5000,1.04846
4013.5500,0.748754
4013.6000,0.526206
4013.6500,0.560955
4013.7000,0.788446
4013.7500,0.57538
4013.8000,0.415675
4013.8500,0.473634
4013.9000,0.671284
4013.9500,0.750299
4014.0000,0.886703
4014.0500,1.03554
4014.1000,1.02932
4014.1500,1.09194
4014.2000,0.973616
4014.2500,0.801265
4014.3000,0.760642
4014.3500,0.878736
4014.4000,0.73666
4014.4500,0.524228
4014.5000,0.39547
4014.5500,0.44984
4014.6000,0.650396
4014.6500,0.798856
4014.7000,0.746297
4014.7500,0.865885
4014.8000,0.994046
4014.8500,1.04064
4014.9000,0.945371
4014.9500,0.948197
4015.0000,0.997773
4015.0500,1.02372
4015.1000,1.03606
4015.1500,0.974541
4015.2000,0.936942
4015.2500,1.08061
4015.3000,0.950669
4015.3500,0.73326
4015.4000,0.730293
4015.4500,0.86742
4015.5000,0.842815
4015.5500,0.751684
4015.6000,0.534056
4015.6500,0.715349
4015.7000,0.876654
