Longitud_de_onda_A,espectro
4000.0000,0.910884
4000.0500,0.997821
4000.1000,0.957304
4000.1500,0.994804
4000.2000,0.760962
4000.2500,0.578344
4000.3000,0.66797
4000.3500,0.816787
4000.4000,0.689893
4000.4500,0.55445
4000.5000,0.611704
4000.5500,0.866836
4000.6000,1.07903
4000.6500,1.00201
4000.7000,0.987003
4000.7500,0.964488
4000.8000,0.918071
4000.8500,0.927591
4000.9000,0.955846
4000.9500,0.93477
4001.0000,0.97564
4001.0500,0.844127
4001.1000,0.725481
4001.1500,0.683192
4001.2000,0.627848
4001.2500,0.810262
4001.3000,0.850654
4001.3500,0.842186
4001.4000,0.672482
4001.4500,0.631292
4001.5000,0.860934
4001.5500,0.768482
4001.6000,0.639454
4001.6500,0.392841
4001.7000,0.447434
4001.7500,0.66979
4001.8000,0.91152
4001.8500,0.987769
4001.9000,0.94545
4001.9500,0.916447
4002.0000,0.914304
4002.0500,1.0894
4002.1000,1.03222
4002.1500,1.01613
4002.2000,1.08188
4002.2500,1.10692
4002.3000,1.07492
4002.3500,1.01091
4002.4000,0.819084
4002.4500,0.590886
4002.5000,0.643467
4002.5500,0.801327
4002.6000,0.898431
4002.6500,0.747958
4002.7000,0.716657
4002.7500,0.86461
4002.8000,0.948628
4002.8500,0.938195
4002.9000,0.861581
4002.9500,0.736294
4003.0000,0.915096
4003.0500,0.983611
4003.1000,1.09173
4003.1500,1.02495
4003.2000,1.00311
4003.2500,1.05767
4003.3000,1.07743
4003.3500,1.09239
4003.4000,1.04662
4003.4500,1.00866
4003.5000,0.91059
4003.5500,0.964485
4003.6000,0.92931
4003.6500,0.922665
4003.7000,0.887384
4003.7500,0.57253
4003.8000,0.507228
4003.8500,0.668878
4003.9000,0.809406
4003.9500,0.839378
4004.0000,0.855413
4004.0500,0.939616
4004.1000,0.949863
4004.1500,0.858719
4004.2000,0.886884
4004.2500,0.833756
4004.3000,0.804192
4004.3500,0.787263
4004.4000,0.89598
4004.4500,0.901557
4004.5000,0.819378
4004.5500,0.759717
4004.6000,0.701007
4004.6500,0.64324
4004.7000,0.625761
4004.7500,0.562383
4004.8000,0.482691
4004.8500,0.344517
4004.9000,0.353709
4004.9500,0.339666
4005.0000,0.297272
4005.0500,0.394999
4005.1000,0.310665
4005.1500,0.293649
4005.2000,0.190436
4005.2500,0.180583
4005.3000,0.212271
4005.3500,0.314045
4005.4000,0.31116
4005.4500,0.391618
4005.5000,0.341597
4005.5500,0.500505
4005.6000,0.562053
4005.6500,0.490531
4005.7000,0.563566
4005.7500,0.628572
4005.8000,0.669189
4005.8500,0.678792
4005.9000,0.715433
4005.9500,0.568908
4006.0000,0.625252
4006.0500,0.715796
4006.1000,0.658988
4006.1500,0.63015
4006.2000,0.598415
4006.2500,0.607769
4006.3000,0.474114
4006.3500,0.55845
4006.4000,0.739799
4006.4500,0.772744
4006.5000,0.763249
4006.5500,0.724141
4006.6000,0.554471
4006.6500,0.430228
4006.7000,0.529017
4006.7500,0.478469
4006.8000,0.603232
4006.8500,0.728364
4006.9000,0.875095
4006.9500,0.903799
4007.0000,0.794908
4007.0500,0.82645
4007.1000,0.905943
4007.1500,0.853092
4007.2000,0.566317
4007.2500,0.384092
4007.3000,0.438957
4007.3500,0.686522
4007.4000,0.780719
4007.4500,0.915593
4007.5000,0.86383
4007.5500,0.960863
4007.6000,1.01204
4007.6500,1.03352
4007.7000,1.03708
4007.7500,1.03112
4007.8000,0.963816
4007.8500,0.835882
4007.9000,0.712733
4007.9500,0.606991
4008.0000,0.564469
4008.0500,0.483284
4008.1000,0.709671
4008.1500,0.935528
4008.2000,1.02246
4008.2500,1.05296
4008.3000,1.15942
4008.3500,1.10307
4008.4000,1.09984
4008.4500,1.11868
4008.5000,1.13668
4008.5500,1.04935
4008.6000,1.02944
4008.6500,1.05671
4008.7000,1.17315
4008.7500,0.939391
4008.8000,0.777311
4008.8500,0.483147
4008.9000,0.271978
4008.9500,0.277954
4009.0000,0.460389
4009.0500,0.676398
4009.1000,0.658697
4009.1500,0.591863
4009.2000,0.862186
4009.2500,0.992607
4009.3000,1.06669
4009.3500,1.06042
4009.4000,1.05034
4009.4500,0.965256
4009.5000,0.84244
4009.5500,0.594092
4009.6000,0.511349
4009.6500,0.292752
4009.7000,0.232802
4009.7500,0.396467
4009.8000,0.746713
4009.8500,0.795537
4009.9000,0.910553
4009.9500,0.935193
4010.0000,1.02521
4010.0500,1.03566
4010.1000,0.978247
4010.1500,0.805646
4010.2000,0.821167
