Longitud_de_onda_A,espectro
4000.0000,0.95335
4000.0500,0.943793
4000.1000,0.970356
4000.1500,1.04312
4000.2000,0.964345
4000.2500,0.779232
4000.3000,0.858669
4000.3500,0.77135
4000.4000,0.698496
4000.4500,0.574871
4000.5000,0.671906
4000.5500,0.737021
4000.6000,0.951483
4000.6500,0.956528
4000.7000,1.05046
4000.7500,1.14814
4000.8000,1.02448
4000.8500,0.993703
4000.9000,1.0299
4000.9500,0.957446
4001.0000,1.02129
4001.0500,0.796923
4001.1000,0.945278
4001.1500,0.63163
4001.2000,0.603816
4001.2500,0.871339
4001.3000,0.996289
4001.3500,0.927702
4001.4000,0.900587
4001.4500,1.00396
4001.5000,1.06817
4001.5500,0.861076
4001.6000,0.818093
4001.6500,0.684971
4001.7000,0.527931
4001.7500,0.805956
4001.8000,0.929421
4001.8500,1.01516
4001.9000,1.12788
4001.9500,1.05621
4002.0000,1.02388
4002.0500,0.944038
4002.1000,0.933738
4002.1500,0.811197
4002.2000,0.936389
4002.2500,1.02647
4002.3000,1.09304
4002.3500,1.13503
4002.4000,1.1511
4002.4500,0.877641
4002.5000,0.855868
4002.5500,1.04724
4002.6000,0.975024
4002.6500,0.913291
4002.7000,0.986566
4002.7500,1.03905
4002.8000,1.07144
4002.8500,0.838052
4002.9000,0.699487
4002.9500,0.632878
4003.0000,0.777051
4003.0500,0.919263
4003.1000,1.07039
4003.1500,0.945871
4003.2000,1.0949
4003.2500,1.01511
4003.3000,1.04914
4003.3500,1.19961
4003.4000,1.18695
4003.4500,1.02339
4003.5000,1.00708
4003.5500,1.07011
4003.6000,0.925095
4003.6500,1.04031
4003.7000,0.875974
4003.7500,0.764652
4003.8000,0.826646
4003.8500,1.02806
4003.9000,1.10666
4003.9500,0.875333
4004.0000,0.819667
4004.0500,0.8539
4004.1000,1.10446
4004.1500,0.946079
4004.2000,1.04469
4004.2500,1.0208
4004.3000,0.924295
4004.3500,1.1114
4004.4000,1.08907
4004.4500,0.985736
4004.5000,1.05323
4004.5500,0.974534
4004.6000,1.04213
4004.6500,0.959905
4004.7000,0.960035
4004.7500,0.879309
4004.8000,0.715501
4004.8500,0.624931
4004.9000,0.507989
4004.9500,0.715632
4005.0000,0.723502
4005.0500,0.740375
4005.1000,0.839576
4005.1500,0.691415
4005.2000,0.31344
4005.2500,0.146279
4005.3000,0.402088
4005.3500,0.545557
4005.4000,0.623762
4005.4500,0.594769
4005.5000,0.768986
4005.5500,1.06412
4005.6000,0.921078
4005.6500,0.681602
4005.7000,0.440809
4005.7500,0.70822
4005.8000,0.822297
4005.8500,0.886691
4005.9000,0.845795
4005.9500,0.931807
4006.0000,0.954919
4006.0500,1.04371
4006.1000,0.919206
4006.1500,0.996856
4006.2000,0.874896
4006.2500,1.01391
4006.3000,0.763992
4006.3500,0.680577
4006.4000,0.875008
4006.4500,1.11821
4006.5000,0.939485
4006.5500,0.804042
4006.6000,0.693307
4006.6500,0.645768
4006.7000,0.727169
4006.7500,0.620909
4006.8000,0.660312
4006.8500,0.719228
4006.9000,0.859634
4006.9500,0.887905
4007.0000,0.806679
4007.0500,0.875323
4007.1000,1.12058
4007.1500,1.04853
4007.2000,0.874371
4007.2500,0.55087
4007.3000,0.777236
4007.3500,0.775954
4007.4000,0.782422
4007.4500,0.891517
4007.5000,0.953603
4007.5500,0.995459
4007.6000,1.28793
4007.6500,1.11999
4007.7000,1.04406
4007.7500,1.22586
4007.8000,1.14456
4007.8500,1.00422
4007.9000,0.924033
4007.9500,1.05263
4008.0000,0.845578
4008.0500,1.06497
4008.1000,1.13772
4008.1500,0.999577
4008.2000,0.919378
4008.2500,1.03454
4008.3000,1.06415
4008.3500,1.10049
4008.4000,0.992988
4008.4500,0.978159
4008.5000,1.00377
4008.5500,1.03378
4008.6000,1.05917
4008.6500,1.14954
4008.7000,0.97247
4008.7500,0.95477
4008.8000,0.857086
4008.8500,0.629571
4008.9000,0.51971
4008.9500,0.541975
4009.0000,0.671309
4009.0500,0.919768
4009.1000,1.04958
4009.1500,1.03434
4009.2000,0.937828
4009.2500,0.834316
4009.3000,1.16253
4009.3500,1.04369
4009.4000,1.11897
4009.4500,1.09857
4009.5000,1.06353
4009.5500,0.900721
4009.6000,0.799194
4009.6500,0.639517
4009.7000,0.347768
4009.7500,0.458267
4009.8000,0.878855
4009.8500,1.0149
4009.9000,0.931056
4009.9500,0.906749
4010.0000,1.00896
4010.0500,1.05578
4010.1000,1.06164
4010.1500,1.00781
4010.2000,1.05476
4010.2500,1.18421
4010.3000,1.27546
4010.3500,1.01463
4010.4000,1.05998
4010.4500,0.862237
4010.5000,0.97067
4010.5500,1.04082
4010.6000,0.702365
4010.6500,1.04422
4010.7000,1.01441
4010.7500,1.02767
4010.8000,1.06018
4010.8500,1.08206
4010.9000,1.05492
4010.9500,1.04971
4011.0000,1.06207
4011.0500,0.916533
4011.1000,0.760777
4011.1500,1.01036
4011.2000,1.07112
4011.2500,1.20011
4011.3000,0.986737
4011.3500,0.904635
4011.4000,0.928315
4011.4500,0.973875
4011.5000,1.00677
4011.5500,1.07008
4011.6000,1.00299
4011.6500,0.924284
4011.7000,0.895401
4011.7500,0.773849
4011.8000,0.969177
4011.8500,1.01814
4011.9000,0.947261
4011.9500,1.28789
4012.0000,1.13447
4012.0500,1.13489
4012.1000,0.932643
4012.1500,0.886489
4012.2000,0.737699
4012.2500,0.638371
4012.3000,0.436833
4012.3500,0.42901
4012.4000,0.467874
4012.4500,0.597398
4012.5000,0.788522
4012.5500,0.963278
4012.6000,1.05916
4012.6500,0.791522
4012.7000,0.764331
4012.7500,0.843771
4012.8000,0.948733
4012.8500,1.11768
4012.9000,0.955357
4012.9500,1.08293
4013.0000,1.10972
4013.0500,1.0766
4013.1000,0.980612
4013.1500,1.04516
4013.2000,0.941066
4013.2500,1.05479
4013.3000,1.11017
4013.3500,1.07173
4013.4000,1.19317
4013.4500,1.00968
4013.5000,0.991668
4013.5500,1.03703
4013.6000,0.822226
4013.6500,0.708478
4013.7000,0.819476
4013.7500,0.68175
4013.8000,0.59778
4013.8500,0.725763
4013.9000,0.775353
4013.9500,0.993724
4014.0000,0.890533
4014.0500,1.09606
4014.1000,1.02438
4014.1500,1.04313
4014.2000,0.925592
4014.2500,0.852056
4014.3000,0.78751
4014.3500,0.947806
4014.4000,0.894781
4014.4500,0.630088
4014.5000,0.361071
4014.5500,0.542604
4014.6000,0.742123
4014.6500,0.967371
4014.7000,0.982417
4014.7500,1.00983
4014.8000,1.11172
4014.8500,1.04077
4014.9000,0.970172
4014.9500,0.990126
4015.0000,0.938449
4015.0500,1.07824
4015.1000,1.03247
4015.1500,1.10547
4015.2000,1.06975
4015.2500,1.01814
4015.3000,1.10432
4015.3500,0.909121
4015.4000,0.898829
