Longitud_de_onda_A,espectro
4000.0000,1.00537
4000.0500,0.916609
4000.1000,1.01458
4000.1500,1.05628
4000.2000,0.752672
4000.2500,0.464013
4000.3000,0.505456
4000.3500,0.584979
4000.4000,0.412631
4000.4500,0.188454
4000.5000,0.317032
4000.5500,0.664469
4000.6000,1.05869
4000.6500,1.2989
4000.7000,1.32413
4000.7500,1.19934
4000.8000,1.15757
4000.8500,1.12361
4000.9000,1.18229
4000.9500,1.06838
4001.0000,0.977918
4001.0500,0.731308
4001.1000,0.52021
4001.1500,0.433296
4001.2000,0.476036
4001.2500,0.699572
4001.3000,0.91595
4001.3500,0.967558
4001.4000,0.72392
4001.4500,0.547581
4001.5000,0.792513
4001.5500,0.817589
4001.6000,0.446209
4001.6500,0.169982
4001.7000,0.211627
4001.7500,0.607522
4001.8000,1.12087
4001.8500,1.33203
4001.9000,1.38114
4001.9500,1.24928
4002.0000,1.14281
4002.0500,0.988601
4002.1000,1.04422
4002.1500,1.20623
4002.2000,1.34181
4002.2500,1.37591
4002.3000,1.27821
4002.3500,1.10796
4002.4000,0.828293
4002.4500,0.539346
4002.5000,0.526713
4002.5500,0.756891
4002.6000,0.74592
4002.6500,0.686041
4002.7000,0.757051
4002.7500,1.07193
4002.8000,1.16797
4002.8500,0.899055
4002.9000,0.500194
4002.9500,0.552465
4003.0000,0.92203
4003.0500,1.30839
4003.1000,1.34522
4003.1500,1.279
4003.2000,1.32263
4003.2500,1.34959
4003.3000,1.2413
4003.3500,1.44281
4003.4000,1.36629
4003.4500,1.16073
4003.5000,1.07877
4003.5500,1.01787
4003.6000,1.04334
4003.6500,1.06301
4003.7000,0.798443
4003.7500,0.412835
4003.8000,0.324338
4003.8500,0.748285
4003.9000,0.993371
4003.9500,0.933631
4004.0000,0.796244
4004.0500,0.899431
4004.1000,1.15842
4004.1500,1.15286
4004.2000,1.11348
4004.2500,1.1979
4004.3000,1.25183
4004.3500,1.24844
4004.4000,1.35371
4004.4500,1.41288
4004.5000,1.35335
4004.5500,1.21351
4004.6000,1.00486
4004.6500,0.923829
4004.7000,0.790868
4004.7500,0.667608
4004.8000,0.407779
4004.8500,0.147658
4004.9000,0.075456
4004.9500,0.0746945
4005.0000,0.0685559
4005.0500,0.0650838
4005.1000,0.0640057
4005.1500,0
4005.2000,0
4005.2500,0
4005.3000,0
4005.3500,0
4005.4000,0.0362638
4005.4500,0.114468
4005.5000,0.266416
4005.5500,0.521345
4005.6000,0.535515
4005.6500,0.399526
4005.7000,0.280874
4005.7500,0.541469
4005.8000,0.899271
4005.8500,0.99828
4005.9000,0.844763
4005.9500,0.681384
4006.0000,0.75173
4006.0500,0.88744
4006.1000,0.711115
4006.1500,0.565855
4006.2000,0.67926
4006.2500,0.67467
4006.3000,0.418733
4006.3500,0.555077
4006.4000,0.933598
4006.4500,1.17913
4006.5000,1.09753
4006.5500,0.875749
4006.6000,0.460228
4006.6500,0.363372
4006.7000,0.40535
4006.7500,0.443088
4006.8000,0.541328
4006.8500,0.893813
4006.9000,1.12861
4006.9500,1.07886
4007.0000,0.928667
4007.0500,1.07622
4007.1000,1.22822
4007.1500,1.08961
4007.2000,0.597834
4007.2500,0.294564
4007.3000,0.408839
4007.3500,0.788261
4007.4000,0.966848
4007.4500,0.935647
4007.5000,1.05162
4007.5500,1.23014
4007.6000,1.3683
4007.6500,1.48561
4007.7000,1.51065
4007.7500,1.43857
4007.8000,1.34855
4007.8500,1.1654
4007.9000,0.881871
4007.9500,0.692258
4008.0000,0.565056
4008.0500,0.582618
4008.1000,0.749903
4008.1500,0.872266
4008.2000,1.20309
4008.2500,1.54235
4008.3000,1.64685
4008.3500,1.60017
4008.4000,1.5242
4008.4500,1.55879
4008.5000,1.64168
4008.5500,1.4545
4008.6000,1.24453
4008.6500,1.09734
4008.7000,0.972812
4008.7500,0.932101
4008.8000,0.907102
4008.8500,0.483614
4008.9000,0.253416
4008.9500,0.290489
4009.0000,0.698168
4009.0500,1.07492
4009.1000,1.10825
4009.1500,0.970489
4009.2000,1.2404
4009.2500,1.67084
4009.3000,1.84746
4009.3500,1.9053
4009.4000,1.84618
4009.4500,1.70477
4009.5000,1.29218
4009.5500,0.804463
4009.6000,0.526882
4009.6500,0.298653
4009.7000,0.265051
4009.7500,0.493835
4009.8000,0.948738
4009.8500,1.40534
4009.9000,1.64859
4009.9500,1.72661
4010.0000,1.81572
4010.0500,1.82078
4010.1000,1.57312
4010.1500,1.19848
4010.2000,1.2287
4010.2500,1.73969
4010.3000,1.8494
4010.3500,1.82222
4010.4000,1.7355
4010.4500,1.63249
4010.5000,1.3733
4010.5500,1.07183
4010.6000,1.07647
4010.6500,1.47786
4010.7000,1.25217
4010.7500,1.03383
4010.8000,1.06741
4010.8500,1.22809
4010.9000,1.16652
4010.9500,1.21509
4011.0000,1.46227
4011.0500,1.12764
4011.1000,0.917884
4011.1500,1.33765
4011.2000,1.42805
4011.2500,1.42332
4011.3000,1.41641
4011.3500,0.900178
4011.4000,0.749022
4011.4500,0.96363
4011.5000,1.07912
4011.5500,1.57873
4011.6000,1.84346
4011.6500,1.22521
4011.7000,0.92674
4011.7500,1.07527
4011.8000,1.65513
4011.8500,1.63736
4011.9000,1.99346
4011.9500,2.06094
4012.0000,1.95536
4012.0500,1.62797
4012.1000,1.56469
4012.1500,1.03917
4012.2000,0.841356
4012.2500,0.764505
4012.3000,0.73642
4012.3500,0.587302
4012.4000,0.605755
4012.4500,0.826623
4012.5000,1.18862
4012.5500,1.40816
4012.6000,1.3413
4012.6500,1.26051
4012.7000,1.11778
4012.7500,1.5062
4012.8000,2.12962
4012.8500,2.42172
4012.9000,2.73087
4012.9500,2.74648
4013.0000,2.6632
4013.0500,2.62413
4013.1000,2.56726
4013.1500,2.49987
4013.2000,2.27323
4013.2500,2.10128
4013.3000,2.1509
4013.3500,2.06628
4013.4000,2.09745
4013.4500,2.25028
4013.5000,2.18509
4013.5500,1.76634
4013.6000,1.48975
4013.6500,1.55271
4013.7000,1.7232
4013.7500,1.65432
4013.8000,1.47423
4013.8500,1.34944
4013.9000,1.39521
4013.9500,1.29584
4014.0000,1.44544
4014.0500,1.95526
4014.1000,2.38616
4014.1500,2.57632
4014.2000,2.42066
4014.2500,2.02275
4014.3000,2.01804
4014.3500,2.25315
4014.4000,2.19042
4014.4500,1.75997
4014.5000,1.37715
4014.5500,1.31735
4014.6000,1.60446
4014.6500,1.92631
4014.7000,2.10705
4014.7500,2.1458
4014.8000,2.37102
4014.8500,2.2196
4014.9000,2.03571
4014.9500,2.05478
4015.0000,2.23612
4015.0500,2.42128
4015.1000,2.4273
4015.1500,2.34138
4015.2000,2.2673
4015.2500,2.30048
4015.3000,2.15495
4015.3500,1.85245
4015.4000,1.72271
4015.4500,1.91019
4015.5000,2.06265
4015.5500,1.90342
4015.6000,1.74845
4015.6500,1.96713
4015.7000,2.28552
4015.7500,2.46018
4015.8000,2.46829
4015.8500,2.43573
4015.9000,2.3666
4015.9500,2.3593
4016.0000,2.43188
4016.0500,2.50912
4016.1000,2.58153
4016.1500,2.58804
4016.2000,2.25247
4016.2500,1.82585
4016.3000,1.58734
4016.3500,1.48148
4016.4000,1.07766
4016.4500,1.10836
4016.5000,1.63416
4016.5500,1.8587
4016.6000,2.00394
4016.6500,2.07787
4016.7000,1.9384
4016.7500,1.5811
4016.8000,1.43594
4016.8500,1.59495
4016.9000,1.693
4016.9500,1.46306
4017.0000,1.15717
4017.0500,0.956129
4017.1000,0.660098
4017.1500,0.461825
4017.2000,0.68004
4017.2500,1.21001
4017.3000,1.70095
4017.3500,1.58776
4017.4000,1.23914
4017.4500,0.919692
4017.5000,0.852432
4017.5500,0.934383
4017.6000,1.24656
4017.6500,1.5228
4017.7000,1.42882
4017.7500,1.12629
4017.8000,1.10218
4017.8500,1.55622
4017.9000,2.04844
4017.9500,1.76797
4018.0000,1.18225
4018.0500,0.719632
4018.1000,0.360259
4018.1500,0.439427
4018.2000,0.614096
4018.2500,0.600642
4018.3000,0.714813
4018.3500,1.0151
4018.4000,1.33587
4018.4500,1.78251
4018.5000,1.92928
4018.5500,2.01804
4018.6000,2.08044
4018.6500,2.14549
4018.7000,1.99552
4018.7500,1.78765
4018.8000,1.55729
4018.8500,1.34212
4018.9000,1.6824
4018.9500,1.506
4019.0000,1.05887
4019.0500,0.750371
4019.1000,0.726209
4019.1500,0.940336
4019.2000,1.06221
4019.2500,0.871052
4019.3000,0.702679
4019.3500,1.05815
4019.4000,1.69225
4019.4500,1.91497
4019.5000,1.86677
4019.5500,1.80839
4019.6000,1.84725
4019.6500,1.87875
4019.7000,1.89824
4019.7500,1.76595
4019.8000,1.56967
4019.8500,1.57851
4019.9000,1.56398
4019.9500,1.35835
4020.0000,1.05782
4020.0500,0.868767
4020.1000,0.941503
4020.1500,1.04945
4020.2000,0.972391
4020.2500,0.860828
4020.3000,0.767458
4020.3500,0.664007
4020.4000,0.53516
4020.4500,0.602478
4020.5000,0.931221
4020.5500,1.36735
4020.6000,1.70866
4020.6500,1.83971
4020.7000,1.8343
4020.7500,1.67282
4020.8000,1.15774
4020.8500,0.622907
4020.9000,0.380731
4020.9500,0.654002
4021.0000,1.14448
4021.0500,1.55806
4021.1000,1.65402
4021.1500,1.67132
4021.2000,1.65913
4021.2500,1.55919
4021.3000,1.32175
4021.3500,1.23966
4021.4000,1.56429
4021.4500,1.78561
4021.5000,1.71626
4021.5500,1.28376
4021.6000,0.83835
4021.6500,0.752716
4021.7000,0.838024
4021.7500,0.739098
4021.8000,0.557597
4021.8500,0.424635
4021.9000,0.615196
4021.9500,1.03479
4022.0000,1.39492
4022.0500,1.59182
4022.1000,1.49244
4022.1500,1.24905
4022.2000,0.915237
4022.2500,0.908531
4022.3000,1.21639
4022.3500,1.42012
4022.4000,1.27364
4022.4500,1.16816
4022.5000,1.40354
4022.5500,1.55114
4022.6000,1.48576
4022.6500,1.2601
4022.7000,0.996704
4022.7500,0.991711
4022.8000,1.33268
4022.8500,1.61323
