Longitud_de_onda_A,espectro
4000.0000,1.12358
4000.0500,1.12953
4000.1000,1.17052
4000.1500,1.12508
4000.2000,1.03481
4000.2500,0.974767
4000.3000,0.928525
4000.3500,0.864961
4000.4000,0.796069
4000.4500,0.749824
4000.5000,0.774303
4000.5500,0.880697
4000.6000,0.966684
4000.6500,0.966696
4000.7000,1.02256
4000.7500,1.06278
4000.8000,1.04826
4000.8500,1.09292
4000.9000,1.13443
4000.9500,1.15827
4001.0000,1.08127
4001.0500,0.976466
4001.1000,0.957201
4001.1500,0.8954
4001.2000,0.915784
4001.2500,0.858882
4001.3000,0.879783
4001.3500,0.819056
4001.4000,0.695339
4001.4500,0.678895
4001.5000,0.695752
4001.5500,0.761959
4001.6000,0.767153
4001.6500,0.772524
4001.7000,0.792531
4001.7500,0.851757
4001.8000,0.96262
4001.8500,1.054
4001.9000,1.04148
4001.9500,0.912665
4002.0000,0.784376
4002.0500,0.717018
4002.1000,0.72511
4002.1500,0.801038
4002.2000,0.939184
4002.2500,1.04473
4002.3000,1.08295
4002.3500,1.01129
4002.4000,0.892047
4002.4500,0.756281
4002.5000,0.653381
4002.5500,0.679944
4002.6000,0.756775
4002.6500,0.916579
4002.7000,0.952949
4002.7500,0.905883
4002.8000,0.857
4002.8500,0.801108
4002.9000,0.752136
4002.9500,0.788923
4003.0000,0.868739
4003.0500,0.99779
4003.1000,1.0139
4003.1500,0.956954
4003.2000,0.854223
4003.2500,0.698989
4003.3000,0.665805
4003.3500,0.80177
4003.4000,1.03817
4003.4500,1.08715
4003.5000,1.09337
4003.5500,1.05005
4003.6000,1.01179
4003.6500,0.910722
4003.7000,0.768086
4003.7500,0.642362
4003.8000,0.648156
4003.8500,0.756006
4003.9000,0.848746
4003.9500,0.890327
4004.0000,0.965029
4004.0500,0.980885
4004.1000,0.964936
4004.1500,0.956611
4004.2000,1.02829
4004.2500,1.11588
4004.3000,1.15772
4004.3500,1.1252
4004.4000,1.13147
4004.4500,1.14897
4004.5000,1.07404
4004.5500,1.00196
4004.6000,0.949407
4004.6500,0.930602
4004.7000,0.889728
4004.7500,0.82909
4004.8000,0.698924
4004.8500,0.56233
4004.9000,0.505521
4004.9500,0.519869
4005.0000,0.592617
4005.0500,0.676978
4005.1000,0.678089
4005.1500,0.579433
4005.2000,0.501817
4005.2500,0.434077
4005.3000,0.484041
4005.3500,0.641024
4005.4000,0.796804
4005.4500,0.862838
4005.5000,0.869564
4005.5500,0.894248
4005.6000,0.864128
4005.6500,0.81083
4005.7000,0.825192
4005.7500,0.910023
4005.8000,1.02895
4005.8500,1.13528
4005.9000,1.17453
4005.9500,1.15684
4006.0000,1.14268
4006.0500,1.11224
4006.1000,1.03311
4006.1500,0.996036
4006.2000,0.901357
4006.2500,0.812794
4006.3000,0.70101
4006.3500,0.795627
4006.4000,0.994969
4006.4500,1.09653
4006.5000,1.06859
4006.5500,0.906464
4006.6000,0.812229
4006.6500,0.744799
4006.7000,0.672967
4006.7500,0.717458
4006.8000,0.798073
4006.8500,0.93059
4006.9000,1.04185
4006.9500,1.03027
4007.0000,0.987507
4007.0500,0.992737
4007.1000,1.03133
4007.1500,1.05586
4007.2000,0.931748
4007.2500,0.77807
4007.3000,0.754961
4007.3500,0.941148
4007.4000,1.03295
4007.4500,1.02301
4007.5000,0.958941
4007.5500,0.898709
4007.6000,0.903082
4007.6500,0.948945
4007.7000,1.01234
4007.7500,0.993166
4007.8000,0.961077
4007.8500,0.927592
4007.9000,0.928893
4007.9500,0.912318
4008.0000,0.907061
4008.0500,0.952747
4008.1000,0.991543
4008.1500,1.03383
4008.2000,1.09162
4008.2500,1.1233
4008.3000,1.13109
4008.3500,1.06665
4008.4000,1.06478
4008.4500,1.04738
4008.5000,1.1167
4008.5500,1.11031
