Longitud_de_onda_A,espectro
4000.0000,1.01361
4000.0500,1.01304
4000.1000,0.999357
4000.1500,1.04381
4000.2000,0.999834
4000.2500,1.00416
4000.3000,0.991453
4000.3500,0.964947
4000.4000,0.982473
4000.4500,1.01051
4000.5000,0.967274
4000.5500,0.930038
4000.6000,0.988929
4000.6500,0.968744
4000.7000,1.01052
4000.7500,0.974725
4000.8000,0.956257
4000.8500,0.95607
4000.9000,0.978432
4000.9500,0.991022
4001.0000,1.00021
4001.0500,1.01267
4001.1000,0.986644
4001.1500,0.973325
4001.2000,1.02554
4001.2500,0.972495
4001.3000,0.985351
4001.3500,0.953393
4001.4000,0.997009
4001.4500,1.00036
4001.5000,0.964063
4001.5500,0.948775
4001.6000,1.0009
4001.6500,0.999681
4001.7000,0.975009
4001.7500,0.998462
4001.8000,0.923602
4001.8500,0.994906
4001.9000,0.982361
4001.9500,0.903885
4002.0000,0.969511
4002.0500,0.982494
4002.1000,1.01112
4002.1500,0.99292
4002.2000,1.05031
4002.2500,1.02103
4002.3000,0.998421
4002.3500,0.990673
4002.4000,1.03561
4002.4500,1.06464
4002.5000,0.996454
4002.5500,0.966648
4002.6000,1.0256
4002.6500,1.05745
4002.7000,0.964396
4002.7500,1.00026
4002.8000,0.939806
4002.8500,0.975166
4002.9000,1.00066
4002.9500,1.05029
4003.0000,0.994871
4003.0500,1.01789
4003.1000,1.03751
4003.1500,0.975389
4003.2000,1.00689
4003.2500,1.01788
4003.3000,0.940033
4003.3500,0.997762
4003.4000,0.983633
4003.4500,0.976438
4003.5000,0.985874
4003.5500,0.993553
4003.6000,0.939881
4003.6500,1.02448
4003.7000,0.999754
4003.7500,0.955803
4003.8000,0.964732
4003.8500,1.01942
4003.9000,0.986779
4003.9500,1.01113
4004.0000,0.946046
4004.0500,0.954366
4004.1000,0.967557
4004.1500,1.01666
4004.2000,0.953687
4004.2500,0.910546
4004.3000,1.00398
4004.3500,1.04747
4004.4000,0.992706
4004.4500,0.946649
4004.5000,0.968224
4004.5500,0.998797
4004.6000,0.973008
4004.6500,1.00593
4004.7000,0.982335
4004.7500,0.992424
4004.8000,0.967462
4004.8500,0.974163
4004.9000,0.942092
4004.9500,0.993768
4005.0000,1.02327
4005.0500,0.948623
4005.1000,0.999902
4005.1500,1.02209
4005.2000,1.006
4005.2500,0.99358
4005.3000,0.984831
4005.3500,1.04571
4005.4000,0.972229
4005.4500,0.956653
4005.5000,0.97838
4005.5500,0.956614
4005.6000,0.935608
4005.6500,1.00609
4005.7000,1.04609
4005.7500,0.989149
4005.8000,1.00122
4005.8500,0.961964
4005.9000,0.985166
4005.9500,0.936123
4006.0000,0.968019
4006.0500,0.96569
4006.1000,0.958779
4006.1500,0.984366
4006.2000,0.93184
4006.2500,0.981208
4006.3000,0.971365
4006.3500,0.966574
4006.4000,0.955895
4006.4500,0.981548
4006.5000,0.966109
4006.5500,0.973105
4006.6000,0.968958
4006.6500,0.998683
4006.7000,1.01372
4006.7500,0.991143
4006.8000,0.978531
4006.8500,0.9673
4006.9000,0.94138
4006.9500,0.972533
4007.0000,0.958174
4007.0500,0.984822
4007.1000,0.967662
4007.1500,0.964457
4007.2000,0.953786
4007.2500,0.977913
4007.3000,0.951596
4007.3500,0.963978
4007.4000,0.969036
4007.4500,0.961394
4007.5000,0.982627
4007.5500,1.00035
4007.6000,0.96907
4007.6500,0.943785
4007.7000,0.98598
4007.7500,0.98073
4007.8000,0.966749
4007.8500,0.990585
4007.9000,0.962207
4007.9500,0.959689
4008.0000,0.97929
4008.0500,0.954734
4008.1000,0.94791
4008.1500,0.983999
4008.2000,1.02075
4008.2500,0.986508
4008.3000,0.973311
4008.3500,0.977626
4008.4000,0.937915
4008.4500,0.95691
4008.5000,1.04005
4008.5500,0.958444
4008.6000,0.915675
4008.6500,0.980881
4008.7000,0.94006
4008.7500,0.990474
4008.8000,0.932191
4008.8500,0.997533
4008.9000,0.962103
4008.9500,0.95642
4009.0000,0.939186
4009.0500,0.955669
4009.1000,0.994565
4009.1500,0.937644
4009.2000,0.933197
4009.2500,0.962821
4009.3000,0.984037
4009.3500,0.916008
4009.4000,0.953946
4009.4500,0.958023
4009.5000,1.04396
4009.5500,0.975172
4009.6000,0.994867
4009.6500,0.90811
4009.7000,0.971016
4009.7500,1.00406
4009.8000,0.973479
4009.8500,0.954544
4009.9000,0.964145
4009.9500,0.943873
4010.0000,0.980062
4010.0500,0.959735
4010.1000,1.01709
4010.1500,0.952213
4010.2000,0.966247
4010.2500,1.00301
4010.3000,0.997672
4010.3500,0.966605
4010.4000,0.948026
4010.4500,1.03699
4010.5000,0.986079
4010.5500,0.999903
4010.6000,0.946419
4010.6500,1.02591
4010.7000,0.984922
4010.7500,0.992655
4010.8000,0.979687
4010.8500,0.966265
4010.9000,1.00116
4010.9500,0.990223
4011.0000,1.0217
4011.0500,0.963534
4011.1000,0.955619
4011.1500,0.941373
4011.2000,0.92685
4011.2500,0.984075
4011.3000,0.975597
4011.3500,0.985378
4011.4000,0.959794
4011.4500,0.964622
4011.5000,0.962501
4011.5500,0.996444
4011.6000,0.993358
4011.6500,0.990342
4011.7000,0.962584
4011.7500,0.997523
4011.8000,0.955867
4011.8500,1.01374
4011.9000,1.00545
4011.9500,0.983464
4012.0000,1.0524
4012.0500,1.01244
4012.1000,0.943173
4012.1500,1.04743
4012.2000,1.03158
4012.2500,0.985678
4012.3000,1.0288
4012.3500,1.02966
4012.4000,1.03047
4012.4500,1.00005
4012.5000,0.965322
4012.5500,1.0218
4012.6000,0.997609
4012.6500,0.975448
4012.7000,1.00709
4012.7500,1.04011
4012.8000,0.996174
4012.8500,1.00982
4012.9000,0.958017
4012.9500,1.02439
4013.0000,1.02499
4013.0500,1.01563
4013.1000,0.969816
4013.1500,1.0089
4013.2000,0.94279
4013.2500,0.995043
4013.3000,0.981547
4013.3500,0.948627
4013.4000,0.990213
4013.4500,1.08609
4013.5000,1.08862
4013.5500,1.04865
4013.6000,0.999386
4013.6500,1.04001
4013.7000,1.04282
4013.7500,0.992929
4013.8000,1.00234
4013.8500,0.986236
4013.9000,0.970677
4013.9500,0.974621
4014.0000,1.0256
4014.0500,0.994264
4014.1000,1.01643
4014.1500,0.985226
4014.2000,1.01516
4014.2500,1.0254
4014.3000,0.98645
