Longitud_de_onda_A,espectro
4000.0000,0.978076
4000.0500,1.00197
4000.1000,0.973645
4000.1500,0.986789
4000.2000,0.822433
4000.2500,0.622597
4000.3000,0.730904
4000.3500,0.734583
4000.4000,0.699262
4000.4500,0.566688
4000.5000,0.603346
4000.5500,0.886782
4000.6000,0.965405
4000.6500,1.04996
4000.7000,1.14293
4000.7500,1.04167
4000.8000,1.001
4000.8500,1.00147
4000.9000,0.977332
4000.9500,0.961088
4001.0000,0.989886
4001.0500,0.852777
4001.1000,0.675737
4001.1500,0.624575
4001.2000,0.688074
4001.2500,0.765075
4001.3000,1.00828
4001.3500,1.02735
4001.4000,0.749106
4001.4500,0.71588
4001.5000,0.880388
4001.5500,0.871249
4001.6000,0.737614
4001.6500,0.528088
4001.7000,0.581062
4001.7500,0.750939
4001.8000,0.960773
4001.8500,0.975489
4001.9000,1.04043
4001.9500,0.969474
4002.0000,0.892969
4002.0500,0.818029
4002.1000,0.796576
4002.1500,0.955439
4002.2000,1.04757
4002.2500,1.02987
4002.3000,1.04885
4002.3500,1.01669
4002.4000,0.976882
4002.4500,0.924598
4002.5000,0.901278
4002.5500,0.89849
4002.6000,0.864645
4002.6500,0.829345
4002.7000,0.894268
4002.7500,1.00429
4002.8000,1.00129
4002.8500,0.908929
4002.9000,0.728063
4002.9500,0.672104
4003.0000,0.96144
4003.0500,1.04653
4003.1000,1.03596
4003.1500,1.03807
4003.2000,1.02937
4003.2500,0.956083
4003.3000,1.02725
4003.3500,0.995758
4003.4000,1.06193
4003.4500,1.01557
4003.5000,1.0137
4003.5500,1.03738
4003.6000,1.04976
4003.6500,0.98251
4003.7000,0.850971
4003.7500,0.645991
4003.8000,0.641899
4003.8500,0.889094
4003.9000,0.962699
4003.9500,1.08522
4004.0000,1.02137
4004.0500,1.08113
4004.1000,1.08457
4004.1500,0.971269
4004.2000,0.999504
4004.2500,0.933364
4004.3000,1.02231
4004.3500,1.06708
4004.4000,1.09998
4004.4500,1.07243
4004.5000,1.09243
4004.5500,1.08381
4004.6000,0.910815
4004.6500,0.926455
4004.7000,0.849032
4004.7500,0.819385
4004.8000,0.555646
4004.8500,0.334525
4004.9000,0.297148
4004.9500,0.397832
4005.0000,0.498149
