Longitud_de_onda_A,espectro
4000.0000,0.996171
4000.0500,0.982017
4000.1000,0.979667
4000.1500,0.985437
4000.2000,0.987235
4000.2500,0.986716
4000.3000,0.980196
4000.3500,0.981856
4000.4000,0.99375
4000.4500,0.985073
4000.5000,0.993504
4000.5500,0.999421
4000.6000,0.996131
4000.6500,0.992232
4000.7000,1.00738
4000.7500,0.983042
4000.8000,0.978907
4000.8500,0.988621
4000.9000,0.9813
4000.9500,0.980194
4001.0000,0.971079
4001.0500,0.984832
4001.1000,0.987485
4001.1500,0.984026
4001.2000,0.986273
4001.2500,0.966363
4001.3000,0.984408
4001.3500,0.982118
4001.4000,0.978119
4001.4500,0.999438
4001.5000,0.982015
4001.5500,0.985098
4001.6000,0.983211
4001.6500,0.980612
4001.7000,0.982344
4001.7500,0.976735
4001.8000,0.995909
4001.8500,0.982827
4001.9000,0.991397
4001.9500,0.988324
4002.0000,0.98305
4002.0500,0.986134
4002.1000,0.981851
4002.1500,0.981993
4002.2000,0.975652
4002.2500,0.980842
4002.3000,0.996673
4002.3500,0.985036
4002.4000,0.962504
4002.4500,0.972806
4002.5000,0.967537
4002.5500,0.96515
4002.6000,0.98165
4002.6500,0.979749
4002.7000,0.975196
4002.7500,0.990468
4002.8000,0.984961
4002.8500,0.983627
4002.9000,0.982157
4002.9500,0.987536
4003.0000,0.977406
4003.0500,0.975002
4003.1000,0.980768
4003.1500,0.975324
4003.2000,0.992109
4003.2500,0.995061
4003.3000,0.98104
4003.3500,0.986333
4003.4000,0.967752
4003.4500,0.999995
4003.5000,0.978295
4003.5500,0.991392
4003.6000,0.999238
4003.6500,0.991562
4003.7000,0.995654
4003.7500,0.988427
4003.8000,1.02431
4003.8500,1.01517
4003.9000,0.965482
4003.9500,0.990365
4004.0000,0.985588
4004.0500,0.987146
4004.1000,0.986072
4004.1500,0.991912
4004.2000,0.984497
4004.2500,0.985752
4004.3000,0.986824
4004.3500,0.998965
4004.4000,0.994217
4004.4500,1.00363
4004.5000,0.985893
4004.5500,0.993514
4004.6000,0.988848
4004.6500,0.98968
4004.7000,0.981778
4004.7500,0.99466
4004.8000,1.00699
4004.8500,1.00363
4004.9000,0.972586
4004.9500,0.983137
4005.0000,0.996486
4005.0500,0.991714
4005.1000,0.978422
4005.1500,0.992434
4005.2000,0.981398
4005.2500,0.981031
4005.3000,0.983
4005.3500,0.977218
4005.4000,0.988797
4005.4500,0.987163
4005.5000,0.988075
4005.5500,0.971088
4005.6000,0.979445
4005.6500,0.980798
4005.7000,0.972178
4005.7500,0.976825
4005.8000,0.981845
4005.8500,0.985215
4005.9000,0.99361
4005.9500,0.984201
4006.0000,0.989897
4006.0500,0.993429
4006.1000,0.9812
4006.1500,0.990644
4006.2000,0.983103
4006.2500,0.968075
4006.3000,0.975705
4006.3500,0.99459
4006.4000,0.996468
4006.4500,0.990465
4006.5000,0.987725
4006.5500,0.987895
4006.6000,0.98098
4006.6500,0.979182
4006.7000,0.983305
4006.7500,0.987126
4006.8000,1.00217
4006.8500,0.987023
4006.9000,0.997968
4006.9500,1.00447
4007.0000,1.00722
4007.0500,0.99957
4007.1000,0.977612
4007.1500,0.988225
4007.2000,0.995051
4007.2500,0.988122
4007.3000,0.987402
4007.3500,1.00405
4007.4000,1.00282
4007.4500,0.999031
4007.5000,0.991567
4007.5500,0.984396
4007.6000,1.00882
4007.6500,1.01946
4007.7000,0.993072
4007.7500,0.993107
4007.8000,1.00259
4007.8500,0.996434
4007.9000,0.987502
4007.9500,0.990478
4008.0000,0.998982
4008.0500,1.00372
4008.1000,1.0001
4008.1500,0.989719
4008.2000,0.994607
4008.2500,1.00446
4008.3000,1.00413
4008.3500,1.00802
4008.4000,1.01281
4008.4500,1.00196
4008.5000,0.987125
4008.5500,0.986811
4008.6000,0.986112
4008.6500,0.98932
4008.7000,1.00445
4008.7500,1.00193
4008.8000,0.989676
4008.8500,1.00932
4008.9000,0.998488
4008.9500,0.995773
4009.0000,0.991977
4009.0500,0.994227
4009.1000,0.998943
4009.1500,0.994524
4009.2000,1.00654
4009.2500,0.985414
4009.3000,1.00132
4009.3500,0.99142
4009.4000,1.00046
4009.4500,0.986002
4009.5000,0.991926
4009.5500,0.988867
4009.6000,0.999608
4009.6500,1.00224
4009.7000,1.00181
4009.7500,0.987267
4009.8000,0.991762
4009.8500,0.995072
4009.9000,0.998968
4009.9500,1.0047
4010.0000,0.984095
4010.0500,0.997563
4010.1000,1.00678
4010.1500,1.01183
4010.2000,1.00481
4010.2500,0.997929
4010.3000,0.990281
4010.3500,0.979825
4010.4000,0.997688
4010.4500,1.01006
4010.5000,0.992548
4010.5500,0.989967
4010.6000,0.991811
4010.6500,0.997009
4010.7000,0.989353
4010.7500,1.00219
4010.8000,0.997808
4010.8500,0.990701
4010.9000,0.992473
4010.9500,0.998273
4011.0000,0.996494
4011.0500,0.986456
4011.1000,0.993161
4011.1500,0.993218
4011.2000,0.996698
4011.2500,1.01161
4011.3000,0.995176
4011.3500,0.984493
4011.4000,0.984952
4011.4500,0.986537
4011.5000,0.997685
4011.5500,1.00374
4011.6000,0.99441
4011.6500,1.00281
4011.7000,1.01066
4011.7500,1.00011
4011.8000,0.985523
4011.8500,0.99947
4011.9000,0.975265
4011.9500,0.979554
4012.0000,0.975219
4012.0500,0.980671
4012.1000,0.979845
4012.1500,0.995712
4012.2000,0.974595
4012.2500,0.987911
4012.3000,0.990213
4012.3500,0.989976
4012.4000,0.991819
4012.4500,0.980768
4012.5000,0.98435
4012.5500,0.982049
4012.6000,0.965613
4012.6500,0.970185
4012.7000,0.975387
4012.7500,0.977629
4012.8000,0.96888
4012.8500,0.988131
4012.9000,0.989193
4012.9500,0.988637
4013.0000,0.979455
4013.0500,0.989906
4013.1000,0.986942
4013.1500,1.00181
4013.2000,0.989897
4013.2500,1.17554
4013.3000,1.07618
4013.3500,1.01218
4013.4000,1.01281
4013.4500,0.995986
4013.5000,1.01245
4013.5500,1.01318
4013.6000,0.988632
4013.6500,0.994161
4013.7000,0.993595
4013.7500,0.98808
4013.8000,0.996043
4013.8500,1.00057
4013.9000,1.01629
4013.9500,1.03086
4014.0000,1.00567
4014.0500,1.00526
4014.1000,1.01752
4014.1500,1.00626
4014.2000,1.00621
4014.2500,0.995
4014.3000,1.00738
4014.3500,1.00652
4014.4000,1.00712
4014.4500,1.00167
4014.5000,1.01962
4014.5500,1.01017
4014.6000,1.01074
4014.6500,0.99402
4014.7000,0.986176
4014.7500,0.992321
4014.8000,0.991108
4014.8500,1.00309
4014.9000,1.00278
4014.9500,0.994707
4015.0000,0.990981
4015.0500,1.00649
4015.1000,1.01267
4015.1500,0.989098
4015.2000,1.00945
4015.2500,0.992989
4015.3000,0.985869
4015.3500,0.971773
4015.4000,0.986103
4015.4500,0.994994
4015.5000,0.991556
4015.5500,1.00533
4015.6000,1.00694
4015.6500,1.00118
4015.7000,0.99242
4015.7500,0.982118
4015.8000,0.993141
4015.8500,1.00587
4015.9000,0.996886
4015.9500,1.01031
4016.0000,0.991202
4016.0500,1.00027
4016.1000,1.00817
4016.1500,1.00127
4016.2000,0.992378
4016.2500,0.985132
4016.3000,1.01189
4016.3500,1.00264
4016.4000,1.01204
4016.4500,1.00623
4016.5000,0.986774
4016.5500,1.01279
4016.6000,1.00837
4016.6500,0.999059
4016.7000,1.00146
4016.7500,0.992617
4016.8000,1.00559
4016.8500,0.981751
4016.9000,0.985073
4016.9500,0.997397
4017.0000,1.00852
4017.0500,0.990237
4017.1000,0.982632
4017.1500,0.9855
4017.2000,0.998898
4017.2500,1.00714
4017.3000,0.987525
4017.3500,0.974088
4017.4000,0.984288
4017.4500,1.00414
4017.5000,1.01007
4017.5500,1.00002
4017.6000,0.990182
4017.6500,1.01725
4017.7000,0.9778
4017.7500,0.989803
4017.8000,0.987123
4017.8500,0.990673
4017.9000,0.995932
4017.9500,1.00554
4018.0000,0.991039
4018.0500,0.9837
4018.1000,0.976339
4018.1500,0.977376
4018.2000,0.990191
4018.2500,1.00404
4018.3000,0.992095
4018.3500,0.983128
4018.4000,0.986856
4018.4500,0.984725
4018.5000,0.993396
4018.5500,0.998448
4018.6000,1.00092
4018.6500,0.980851
4018.7000,1.00217
4018.7500,0.993437
4018.8000,0.992715
4018.8500,0.993449
4018.9000,1.0056
4018.9500,0.998304
4019.0000,0.989421
4019.0500,0.98996
4019.1000,0.985028
4019.1500,0.977543
4019.2000,0.987696
4019.2500,0.992347
4019.3000,0.980707
4019.3500,0.995004
4019.4000,1.00777
4019.4500,0.981215
4019.5000,0.987957
4019.5500,0.992669
4019.6000,0.987581
4019.6500,0.998957
4019.7000,0.97398
4019.7500,0.982446
4019.8000,0.985082
4019.8500,1.00792
4019.9000,0.984868
4019.9500,0.982782
4020.0000,0.997471
4020.0500,0.995733
4020.1000,0.994079
4020.1500,0.981898
4020.2000,0.988302
4020.2500,0.990147
4020.3000,0.986121
4020.3500,0.983437
4020.4000,1.00215
4020.4500,0.997901
4020.5000,0.991011
4020.5500,0.974985
4020.6000,0.976399
4020.6500,0.999728
4020.7000,0.982919
4020.7500,0.984701
4020.8000,0.980498
4020.8500,0.965394
4020.9000,0.990012
4020.9500,0.984678
4021.0000,0.981839
4021.0500,0.973148
4021.1000,0.974876
4021.1500,0.964752
4021.2000,0.980468
4021.2500,0.977571
4021.3000,0.986028
4021.3500,0.957943
4021.4000,0.97362
4021.4500,0.965137
4021.5000,0.970253
4021.5500,0.973664
4021.6000,0.98483
4021.6500,0.977583
4021.7000,0.981271
4021.7500,0.968106
4021.8000,0.969419
4021.8500,0.969851
4021.9000,0.985698
4021.9500,0.979394
4022.0000,0.974501
4022.0500,0.96123
4022.1000,0.961237
4022.1500,0.967174
4022.2000,0.96895
4022.2500,0.969887
4022.3000,0.96942
4022.3500,0.963812
4022.4000,0.953431
4022.4500,0.958168
4022.5000,0.971311
4022.5500,0.956779
4022.6000,0.96373
4022.6500,0.94828
4022.7000,0.955847
4022.7500,0.953028
4022.8000,0.956413
4022.8500,0.952067
4022.9000,0.948539
4022.9500,0.942224
4023.0000,0.934556
4023.0500,0.942664
4023.1000,0.932019
4023.1500,0.933658
4023.2000,0.93493
4023.2500,0.928951
4023.3000,0.929139
4023.3500,0.937982
4023.4000,0.934132
4023.4500,0.927773
4023.5000,0.932987
4023.5500,0.920439
4023.6000,0.921358
4023.6500,0.919889
4023.7000,0.922276
4023.7500,0.935277
4023.8000,0.928281
4023.8500,0.907944
4023.9000,0.925567
4023.9500,0.904768
4024.0000,0.908121
4024.0500,0.91286
4024.1000,0.903305
4024.1500,0.907297
4024.2000,0.912061
4024.2500,0.900095
4024.3000,0.900574
4024.3500,0.893871
4024.4000,0.897633
4024.4500,0.891147
4024.5000,0.898083
4024.5500,0.89279
4024.6000,0.909583
4024.6500,0.907692
4024.7000,0.900698
4024.7500,0.894115
4024.8000,0.899457
4024.8500,0.890474
4024.9000,0.897417
4024.9500,0.887398
4025.0000,0.894567
4025.0500,0.885606
4025.1000,0.903458
4025.1500,0.885932
4025.2000,0.899884
4025.2500,0.894529
4025.3000,0.889668
4025.3500,0.88415
4025.4000,0.895131
4025.4500,0.894721
4025.5000,0.902037
4025.5500,0.907796
4025.6000,0.904803
4025.6500,0.890072
4025.7000,0.883528
4025.7500,0.893215
4025.8000,0.901946
4025.8500,0.90976
4025.9000,0.916366
4025.9500,0.900973
4026.0000,0.914411
4026.0500,0.905943
4026.1000,0.907437
4026.1500,0.915342
4026.2000,0.902016
4026.2500,0.912811
4026.3000,0.899695
4026.3500,0.90668
4026.4000,0.91412
4026.4500,0.914496
4026.5000,0.898711
4026.5500,0.900937
4026.6000,0.908323
4026.6500,0.912048
4026.7000,0.917391
4026.7500,0.926917
4026.8000,0.909015
4026.8500,0.908325
4026.9000,0.916178
4026.9500,0.91563
4027.0000,0.916288
4027.0500,0.911714
4027.1000,0.91333
4027.1500,0.901668
4027.2000,0.906688
4027.2500,0.919722
4027.3000,0.907333
4027.3500,0.90757
4027.4000,0.914727
4027.4500,0.922591
4027.5000,0.914241
4027.5500,0.914006
4027.6000,0.901169
4027.6500,0.912447
4027.7000,0.912394
4027.7500,0.917436
4027.8000,0.917202
4027.8500,0.911812
4027.9000,0.913644
4027.9500,0.911195
4028.0000,0.910148
4028.0500,0.915316
4028.1000,0.912988
4028.1500,0.931874
4028.2000,0.905316
4028.2500,0.912775
4028.3000,0.935471
4028.3500,0.925118
4028.4000,0.928019
4028.4500,0.930067
4028.5000,0.920528
4028.5500,0.920001
4028.6000,0.92545
4028.6500,0.928509
4028.7000,0.920037
4028.7500,0.930272
4028.8000,0.934783
4028.8500,0.933917
4028.9000,0.943383
4028.9500,0.942294
4029.0000,0.932838
4029.0500,0.927946
4029.1000,0.937776
4029.1500,0.948059
4029.2000,0.967827
4029.2500,0.945846
4029.3000,0.96083
4029.3500,0.958893
4029.4000,0.958524
4029.4500,0.952862
4029.5000,0.949956
4029.5500,0.956152
4029.6000,0.958597
4029.6500,0.969593
4029.7000,0.969072
4029.7500,0.974917
4029.8000,0.967838
4029.8500,0.965883
4029.9000,0.961112
4029.9500,0.971256
4030.0000,0.983715
4030.0500,0.965703
4030.1000,0.970841
4030.1500,0.981888
4030.2000,0.963078
4030.2500,0.962811
4030.3000,0.965452
4030.3500,0.979631
4030.4000,0.979588
4030.4500,0.987974
4030.5000,0.981506
4030.5500,0.966434
4030.6000,0.978736
4030.6500,0.970289
4030.7000,0.97429
