Longitud_de_onda_A,espectro
4000.0000,1.13831
4000.0500,1.0984
4000.1000,1.06606
4000.1500,1.0071
4000.2000,0.96706
4000.2500,0.905531
4000.3000,0.892451
4000.3500,0.90455
4000.4000,0.889029
4000.4500,0.872062
4000.5000,0.903964
4000.5500,0.928999
4000.6000,0.966174
4000.6500,0.991254
4000.7000,1.04489
4000.7500,1.07455
4000.8000,1.09315
4000.8500,1.0979
4000.9000,1.07554
4000.9500,1.06314
4001.0000,1.06302
4001.0500,1.04394
4001.1000,1.02131
4001.1500,0.989796
4001.2000,0.980351
4001.2500,0.971508
4001.3000,0.970214
4001.3500,0.911675
4001.4000,0.892751
4001.4500,0.884354
4001.5000,0.870786
4001.5500,0.882398
4001.6000,0.873416
4001.6500,0.906245
4001.7000,0.895659
4001.7500,0.89032
4001.8000,0.9081
4001.8500,0.925511
4001.9000,0.939469
4001.9500,0.965607
4002.0000,0.99274
4002.0500,1.0199
4002.1000,1.03754
4002.1500,1.04746
4002.2000,1.04019
4002.2500,1.04045
4002.3000,1.0283
4002.3500,1.03471
4002.4000,1.06114
4002.4500,1.05303
4002.5000,1.04817
4002.5500,1.033
4002.6000,1.02292
4002.6500,0.979597
4002.7000,0.974038
4002.7500,0.973812
4002.8000,0.980747
4002.8500,0.993822
4002.9000,1.00435
4002.9500,1.01533
4003.0000,1.03056
4003.0500,1.0307
4003.1000,1.02318
4003.1500,1.05796
4003.2000,1.0682
4003.2500,1.09929
4003.3000,1.1356
4003.3500,1.13488
4003.4000,1.146
4003.4500,1.12557
4003.5000,1.09835
4003.5500,1.07672
4003.6000,1.06542
4003.6500,1.03848
4003.7000,1.02951
4003.7500,1.05277
4003.8000,1.02458
4003.8500,1.01641
4003.9000,1.02431
4003.9500,1.04188
4004.0000,1.06532
4004.0500,1.07441
4004.1000,1.10577
4004.1500,1.14033
4004.2000,1.15795
4004.2500,1.17147
4004.3000,1.16065
4004.3500,1.17134
4004.4000,1.17694
4004.4500,1.16337
4004.5000,1.13745
4004.5500,1.07352
4004.6000,1.04271
4004.6500,0.962261
4004.7000,0.927263
4004.7500,0.835817
4004.8000,0.778089
4004.8500,0.703907
4004.9000,0.639285
4004.9500,0.578389
4005.0000,0.526373
4005.0500,0.478904
4005.1000,0.445765
4005.1500,0.435603
4005.2000,0.445866
4005.2500,0.486281
4005.3000,0.504713
4005.3500,0.527117
4005.4000,0.548953
4005.4500,0.578977
4005.5000,0.60794
4005.5500,0.649556
4005.6000,0.698761
4005.6500,0.760796
4005.7000,0.816209
4005.7500,0.860392
4005.8000,0.895379
4005.8500,0.908537
4005.9000,0.934087
4005.9500,0.93903
4006.0000,0.939462
4006.0500,0.936305
4006.1000,0.937731
4006.1500,0.942431
4006.2000,0.925683
4006.2500,0.898618
4006.3000,0.878518
4006.3500,0.839767
4006.4000,0.817944
4006.4500,0.795115
4006.5000,0.772564
4006.5500,0.781375
4006.6000,0.773254
4006.6500,0.78473
4006.7000,0.789314
4006.7500,0.802078
4006.8000,0.814435
4006.8500,0.832588
4006.9000,0.845111
4006.9500,0.86651
4007.0000,0.863058
4007.0500,0.892504
4007.1000,0.934105
4007.1500,0.927855
4007.2000,0.941002
4007.2500,0.941067
4007.3000,0.946775
4007.3500,0.986436
4007.4000,0.98406
4007.4500,1.00945
4007.5000,1.02053
4007.5500,1.05108
4007.6000,1.04429
4007.6500,1.04294
4007.7000,1.04418
4007.7500,1.04583
4007.8000,1.0133
4007.8500,0.999572
4007.9000,0.974075
4007.9500,0.968206
4008.0000,0.984743
4008.0500,0.974546
4008.1000,0.987615
4008.1500,0.993329
4008.2000,1.01948
4008.2500,1.04879
4008.3000,1.07756
4008.3500,1.10766
4008.4000,1.11592
4008.4500,1.1291
4008.5000,1.13946
4008.5500,1.11082
4008.6000,1.08155
4008.6500,1.03508
4008.7000,1.0143
4008.7500,0.970832
4008.8000,0.958455
4008.8500,0.915487
4008.9000,0.906725
4008.9500,0.905061
4009.0000,0.908955
4009.0500,0.923488
4009.1000,0.945546
4009.1500,0.958699
4009.2000,0.989988
4009.2500,1.00757
4009.3000,1.03323
4009.3500,1.02682
4009.4000,0.996869
4009.4500,0.96968
4009.5000,0.950839
4009.5500,0.931211
4009.6000,0.88671
4009.6500,0.883104
4009.7000,0.85379
4009.7500,0.854572
4009.8000,0.850424
4009.8500,0.864337
4009.9000,0.897368
4009.9500,0.919912
4010.0000,0.956026
4010.0500,0.998542
4010.1000,1.01959
4010.1500,1.05749
4010.2000,1.06746
4010.2500,1.05157
4010.3000,1.05456
4010.3500,1.03664
4010.4000,1.01045
4010.4500,0.979057
4010.5000,0.961322
4010.5500,0.958942
4010.6000,0.934972
4010.6500,0.904529
4010.7000,0.907119
4010.7500,0.906902
4010.8000,0.906828
4010.8500,0.931954
4010.9000,0.949767
4010.9500,0.981447
4011.0000,1.00753
4011.0500,1.03675
4011.1000,1.02439
4011.1500,1.03274
4011.2000,1.06634
4011.2500,1.06272
4011.3000,1.05334
4011.3500,1.04179
4011.4000,1.03409
4011.4500,1.02511
4011.5000,1.02137
4011.5500,1.00549
4011.6000,1.00425
4011.6500,1.02907
4011.7000,1.03136
4011.7500,1.03287
4011.8000,1.04528
4011.8500,1.05081
4011.9000,1.04893
4011.9500,1.02542
4012.0000,0.992829
4012.0500,0.960324
4012.1000,0.920818
4012.1500,0.884049
4012.2000,0.830884
4012.2500,0.797181
4012.3000,0.775397
4012.3500,0.747553
4012.4000,0.730234
4012.4500,0.735862
4012.5000,0.760318
4012.5500,0.802933
4012.6000,0.856268
4012.6500,0.904468
4012.7000,0.972007
4012.7500,1.02118
4012.8000,1.0705
4012.8500,1.12751
4012.9000,1.14573
4012.9500,1.1579
4013.0000,1.16171
4013.0500,1.18307
4013.1000,1.19524
4013.1500,1.1941
4013.2000,1.19174
4013.2500,1.19694
4013.3000,1.14937
4013.3500,1.1176
4013.4000,1.08654
4013.4500,1.03202
4013.5000,0.966363
4013.5500,0.925826
4013.6000,0.889405
4013.6500,0.845573
4013.7000,0.828848
4013.7500,0.810187
4013.8000,0.802772
4013.8500,0.808954
4013.9000,0.837207
4013.9500,0.867354
4014.0000,0.895651
4014.0500,0.922953
4014.1000,0.946802
4014.1500,0.959425
4014.2000,0.958205
4014.2500,0.936357
4014.3000,0.919467
4014.3500,0.873901
4014.4000,0.853007
4014.4500,0.83364
4014.5000,0.815865
4014.5500,0.839263
4014.6000,0.832829
4014.6500,0.85398
4014.7000,0.898965
4014.7500,0.914528
4014.8000,0.96361
4014.8500,1.00331
4014.9000,1.05227
4014.9500,1.08101
4015.0000,1.08861
4015.0500,1.09917
4015.1000,1.08118
4015.1500,1.07227
4015.2000,1.05697
4015.2500,1.03076
4015.3000,1.00279
4015.3500,0.967613
4015.4000,0.931707
4015.4500,0.910987
4015.5000,0.921186
4015.5500,0.884333
4015.6000,0.908479
4015.6500,0.918978
4015.7000,0.920639
4015.7500,0.931345
4015.8000,1.00468
4015.8500,1.02737
4015.9000,1.05292
4015.9500,1.07413
4016.0000,1.09686
4016.0500,1.1243
4016.1000,1.08404
4016.1500,1.06377
4016.2000,1.05312
4016.2500,1.03258
4016.3000,1.01592
4016.3500,1.00779
4016.4000,1.00353
4016.4500,0.993188
4016.5000,0.988341
4016.5500,0.986997
4016.6000,0.994346
4016.6500,0.996388
4016.7000,1.00303
4016.7500,1.00874
4016.8000,0.992498
4016.8500,0.948674
4016.9000,0.918083
4016.9500,0.892852
4017.0000,0.856806
4017.0500,0.83487
4017.1000,0.801445
4017.1500,0.776171
4017.2000,0.762307
4017.2500,0.734613
4017.3000,0.71873
4017.3500,0.723322
4017.4000,0.751869
4017.4500,0.77548
4017.5000,0.815997
4017.5500,0.843065
4017.6000,0.856498
4017.6500,0.875185
4017.7000,0.886113
4017.7500,0.899841
4017.8000,0.892936
4017.8500,0.889077
4017.9000,0.863935
4017.9500,0.834339
4018.0000,0.796441
4018.0500,0.761813
4018.1000,0.732694
4018.1500,0.726349
4018.2000,0.710102
4018.2500,0.736354
4018.3000,0.755418
4018.3500,0.801335
4018.4000,0.852796
4018.4500,0.895423
4018.5000,0.957865
4018.5500,1.00706
4018.6000,1.04248
4018.6500,1.06859
4018.7000,1.08062
4018.7500,1.09856
4018.8000,1.07542
4018.8500,1.04992
4018.9000,1.03374
4018.9500,1.0354
4019.0000,1.03426
4019.0500,1.0303
4019.1000,1.02602
4019.1500,1.03909
4019.2000,1.02927
4019.2500,1.0631
4019.3000,1.06818
4019.3500,1.07945
4019.4000,1.0953
4019.4500,1.11783
4019.5000,1.11535
4019.5500,1.13171
4019.6000,1.13065
4019.6500,1.1469
4019.7000,1.13252
4019.7500,1.09703
4019.8000,1.06836
4019.8500,1.05229
4019.9000,1.02547
4019.9500,0.955758
4020.0000,0.937568
4020.0500,0.908443
4020.1000,0.875922
4020.1500,0.826914
4020.2000,0.806022
4020.2500,0.802948
4020.3000,0.815374
4020.3500,0.822791
4020.4000,0.856777
4020.4500,0.871258
4020.5000,0.894168
4020.5500,0.917673
4020.6000,0.92439
4020.6500,0.93725
4020.7000,0.94309
4020.7500,0.960567
4020.8000,0.99235
4020.8500,0.996921
4020.9000,0.988782
4020.9500,0.995291
4021.0000,0.994836
4021.0500,1.00547
4021.1000,1.00119
4021.1500,1.02565
4021.2000,1.05116
4021.2500,1.0578
4021.3000,1.06956
4021.3500,1.04849
4021.4000,1.02787
4021.4500,0.995071
4021.5000,0.952736
4021.5500,0.906058
4021.6000,0.878598
4021.6500,0.828746
4021.7000,0.80807
4021.7500,0.794531
4021.8000,0.782375
4021.8500,0.763256
4021.9000,0.773543
4021.9500,0.782059
4022.0000,0.796143
4022.0500,0.814934
4022.1000,0.836201
4022.1500,0.875759
4022.2000,0.892808
4022.2500,0.923652
4022.3000,0.95411
4022.3500,0.968948
4022.4000,0.963689
4022.4500,0.967008
4022.5000,0.948969
4022.5500,0.961149
4022.6000,0.958918
4022.6500,0.958461
4022.7000,0.963712
4022.7500,0.962967
4022.8000,0.97177
4022.8500,0.971807
4022.9000,0.977828
4022.9500,0.971193
4023.0000,0.989391
4023.0500,0.980954
4023.1000,0.962298
4023.1500,0.955423
4023.2000,0.947715
4023.2500,0.933962
4023.3000,0.931764
4023.3500,0.908304
4023.4000,0.900502
4023.4500,0.906815
4023.5000,0.911646
4023.5500,0.923196
4023.6000,0.927095
4023.6500,0.927333
4023.7000,0.944019
4023.7500,0.945645
4023.8000,0.937232
4023.8500,0.935832
4023.9000,0.919571
4023.9500,0.928497
4024.0000,0.924497
4024.0500,0.927954
4024.1000,0.93352
4024.1500,0.925781
4024.2000,0.914379
4024.2500,0.8946
4024.3000,0.86993
4024.3500,0.863994
4024.4000,0.831327
4024.4500,0.805128
4024.5000,0.773827
4024.5500,0.754095
4024.6000,0.745638
4024.6500,0.734603
4024.7000,0.743373
4024.7500,0.723426
4024.8000,0.718226
4024.8500,0.731938
4024.9000,0.722864
4024.9500,0.751094
4025.0000,0.762287
4025.0500,0.78733
4025.1000,0.796448
4025.1500,0.80831
4025.2000,0.816348
4025.2500,0.827844
4025.3000,0.842753
4025.3500,0.871332
4025.4000,0.902026
4025.4500,0.917111
4025.5000,0.942734
4025.5500,0.959564
4025.6000,0.962758
4025.6500,0.960001
4025.7000,0.963084
4025.7500,0.96952
4025.8000,0.964667
4025.8500,0.963176
4025.9000,0.969687
4025.9500,0.972599
4026.0000,0.966027
4026.0500,0.9622
4026.1000,0.957686
4026.1500,0.966562
4026.2000,0.971728
4026.2500,0.956335
4026.3000,0.958463
4026.3500,0.956759
4026.4000,0.946216
4026.4500,0.953656
4026.5000,0.953504
4026.5500,0.976259
4026.6000,0.973966
4026.6500,0.996557
4026.7000,1.00607
4026.7500,0.997954
4026.8000,1.01181
4026.8500,1.01704
4026.9000,1.02637
4026.9500,1.00609
4027.0000,1.02333
4027.0500,1.00421
4027.1000,0.99291
4027.1500,0.971611
4027.2000,0.988041
4027.2500,1.00278
4027.3000,0.977428
4027.3500,0.978205
4027.4000,0.995711
4027.4500,0.995015
4027.5000,0.971872
4027.5500,0.986744
4027.6000,0.987765
4027.6500,0.983538
4027.7000,0.988716
4027.7500,0.990951
4027.8000,0.997647
4027.8500,1.00338
4027.9000,0.996058
4027.9500,1.01121
4028.0000,0.998378
4028.0500,0.973481
4028.1000,0.947323
4028.1500,0.910687
4028.2000,0.89213
4028.2500,0.885115
4028.3000,0.887032
4028.3500,0.875222
4028.4000,0.869926
4028.4500,0.875236
4028.5000,0.866049
4028.5500,0.871389
4028.6000,0.892585
4028.6500,0.94013
4028.7000,0.968679
4028.7500,0.999465
4028.8000,1.01296
4028.8500,1.03025
4028.9000,1.04441
4028.9500,1.05118
4029.0000,1.05806
4029.0500,1.07178
4029.1000,1.08502
4029.1500,1.09116
4029.2000,1.08114
4029.2500,1.08312
4029.3000,1.03707
4029.3500,1.00157
4029.4000,0.986607
4029.4500,0.940885
4029.5000,0.922731
4029.5500,0.884063
4029.6000,0.883348
4029.6500,0.86825
4029.7000,0.896953
4029.7500,0.88819
4029.8000,0.896743
4029.8500,0.903498
4029.9000,0.912596
4029.9500,0.914186
4030.0000,0.921615
4030.0500,0.918235
4030.1000,0.918247
4030.1500,0.865371
4030.2000,0.833949
4030.2500,0.780395
4030.3000,0.752414
4030.3500,0.689269
4030.4000,0.654962
4030.4500,0.601085
4030.5000,0.5652
4030.5500,0.519764
4030.6000,0.508506
4030.6500,0.498307
4030.7000,0.48846
4030.7500,0.5111
4030.8000,0.532623
4030.8500,0.57992
4030.9000,0.618177
4030.9500,0.659901
4031.0000,0.708126
4031.0500,0.765076
4031.1000,0.82884
4031.1500,0.880134
4031.2000,0.910644
4031.2500,0.944051
4031.3000,0.960194
4031.3500,0.960841
4031.4000,0.938493
4031.4500,0.924539
4031.5000,0.918593
4031.5500,0.900413
4031.6000,0.860769
4031.6500,0.838702
4031.7000,0.810767
4031.7500,0.801203
4031.8000,0.788889
4031.8500,0.788903
4031.9000,0.79722
4031.9500,0.803924
4032.0000,0.818547
4032.0500,0.859125
4032.1000,0.868851
4032.1500,0.90001
4032.2000,0.918483
4032.2500,0.881506
4032.3000,0.873997
4032.3500,0.858951
4032.4000,0.841796
4032.4500,0.812145
4032.5000,0.777067
4032.5500,0.752879
4032.6000,0.735376
4032.6500,0.727247
4032.7000,0.699507
4032.7500,0.665093
4032.8000,0.647326
4032.8500,0.613848
4032.9000,0.613283
4032.9500,0.590803
4033.0000,0.595704
4033.0500,0.614009
4033.1000,0.621911
4033.1500,0.645008
4033.2000,0.661533
4033.2500,0.699525
4033.3000,0.743671
4033.3500,0.777508
4033.4000,0.837611
4033.4500,0.880026
4033.5000,0.921738
4033.5500,0.958499
4033.6000,0.96831
4033.6500,0.982922
4033.7000,0.964021
4033.7500,0.960171
4033.8000,0.970525
4033.8500,0.963777
4033.9000,0.971773
4033.9500,0.974694
4034.0000,0.9858
4034.0500,0.966221
4034.1000,0.91772
4034.1500,0.893936
4034.2000,0.848032
4034.2500,0.808125
4034.3000,0.769376
4034.3500,0.736487
4034.4000,0.716051
4034.4500,0.712733
4034.5000,0.719266
4034.5500,0.73451
4034.6000,0.74838
4034.6500,0.76523
4034.7000,0.807192
4034.7500,0.843827
4034.8000,0.902793
4034.8500,0.954833
4034.9000,0.98557
4034.9500,1.018
4035.0000,1.02397
4035.0500,1.01912
4035.1000,1.02417
4035.1500,1.02705
4035.2000,1.00356
4035.2500,0.971646
4035.3000,0.962858
4035.3500,0.911495
4035.4000,0.849425
4035.4500,0.797278
4035.5000,0.753475
4035.5500,0.724177
4035.6000,0.700566
4035.6500,0.681936
4035.7000,0.686343
4035.7500,0.683563
4035.8000,0.714795
4035.8500,0.760385
4035.9000,0.801013
4035.9500,0.864763
4036.0000,0.909244
4036.0500,0.958286
4036.1000,1.00996
4036.1500,1.03031
4036.2000,1.05962
4036.2500,1.05305
4036.3000,1.04233
4036.3500,1.05866
4036.4000,1.0411
4036.4500,1.01726
4036.5000,1.00724
4036.5500,0.993698
4036.6000,0.98422
4036.6500,0.988456
4036.7000,0.97287
4036.7500,0.977152
4036.8000,0.985393
4036.8500,0.960225
4036.9000,0.957619
4036.9500,0.952781
4037.0000,0.957547
4037.0500,0.975041
4037.1000,0.966542
4037.1500,0.972901
4037.2000,0.993519
4037.2500,1.00748
4037.3000,0.999801
4037.3500,1.00292
4037.4000,1.00917
4037.4500,1.01426
4037.5000,1.03204
4037.5500,1.03587
4037.6000,1.06258
4037.6500,1.04067
4037.7000,1.05275
4037.7500,1.05942
4037.8000,1.05803
4037.8500,1.04952
4037.9000,1.07447
4037.9500,1.06944
4038.0000,1.07805
4038.0500,1.06722
4038.1000,1.0796
4038.1500,1.08446
4038.2000,1.10298
4038.2500,1.08163
4038.3000,1.08839
4038.3500,1.07026
4038.4000,1.06724
4038.4500,1.04167
4038.5000,1.00976
4038.5500,0.974782
4038.6000,0.955376
4038.6500,0.939332
4038.7000,0.926759
4038.7500,0.923334
4038.8000,0.911367
4038.8500,0.909039
4038.9000,0.902211
4038.9500,0.924566
4039.0000,0.926583
4039.0500,0.969098
4039.1000,0.976146
4039.1500,1.00098
4039.2000,1.02709
4039.2500,1.01471
4039.3000,1.01565
4039.3500,1.03599
4039.4000,1.04497
4039.4500,1.053
4039.5000,1.05854
4039.5500,1.04203
4039.6000,1.04656
4039.6500,1.02878
4039.7000,1.00427
4039.7500,1.00525
4039.8000,0.96729
4039.8500,0.944105
4039.9000,0.944463
4039.9500,0.919459
4040.0000,0.908161
4040.0500,0.900991
4040.1000,0.906787
4040.1500,0.909446
4040.2000,0.900726
4040.2500,0.906363
4040.3000,0.903679
4040.3500,0.905082
4040.4000,0.896069
4040.4500,0.886812
4040.5000,0.876717
4040.5500,0.863526
4040.6000,0.849612
4040.6500,0.847466
4040.7000,0.86245
4040.7500,0.878295
4040.8000,0.879014
4040.8500,0.910101
4040.9000,0.918283
4040.9500,0.908965
4041.0000,0.926261
4041.0500,0.897718
4041.1000,0.88025
4041.1500,0.861011
4041.2000,0.818787
4041.2500,0.802226
4041.3000,0.756551
4041.3500,0.736882
4041.4000,0.724071
4041.4500,0.739805
4041.5000,0.747799
4041.5500,0.781364
4041.6000,0.812118
4041.6500,0.864662
4041.7000,0.907756
4041.7500,0.95789
4041.8000,0.987248
4041.8500,1.01591
4041.9000,1.0177
4041.9500,1.04161
4042.0000,1.05092
4042.0500,1.07124
4042.1000,1.07778
4042.1500,1.08631
4042.2000,1.07417
4042.2500,1.08767
4042.3000,1.07146
4042.3500,1.06385
4042.4000,1.07131
4042.4500,1.07394
4042.5000,1.09804
4042.5500,1.07629
4042.6000,1.06808
4042.6500,1.04671
4042.7000,1.03824
4042.7500,1.04378
4042.8000,1.03968
4042.8500,1.03137
4042.9000,1.04255
4042.9500,1.0482
4043.0000,1.04971
4043.0500,1.06876
4043.1000,1.07146
4043.1500,1.06525
4043.2000,1.07662
4043.2500,1.09483
4043.3000,1.08955
4043.3500,1.09045
4043.4000,1.07614
4043.4500,1.04267
4043.5000,1.02197
4043.5500,0.98002
4043.6000,0.939773
4043.6500,0.895104
4043.7000,0.844522
4043.7500,0.816444
4043.8000,0.781793
4043.8500,0.756349
4043.9000,0.757486
4043.9500,0.751017
4044.0000,0.769342
4044.0500,0.80203
4044.1000,0.818968
4044.1500,0.85389
4044.2000,0.854102
4044.2500,0.876385
4044.3000,0.877034
4044.3500,0.867894
4044.4000,0.840913
4044.4500,0.815223
4044.5000,0.817357
4044.5500,0.79981
4044.6000,0.802993
4044.6500,0.793082
4044.7000,0.789761
4044.7500,0.81248
4044.8000,0.81628
4044.8500,0.828203
4044.9000,0.848566
4044.9500,0.869673
4045.0000,0.838721
4045.0500,0.855194
4045.1000,0.807731
4045.1500,0.766376
4045.2000,0.744936
4045.2500,0.688417
4045.3000,0.65939
4045.3500,0.607229
4045.4000,0.568426
4045.4500,0.532703
