Longitud_de_onda_A,espectro
4000.0000,1.15103
4000.0500,0.990787
4000.1000,0.987003
4000.1500,1.01442
4000.2000,0.982795
4000.2500,1.05295
4000.3000,1.06428
4000.3500,1.07394
4000.4000,1.08207
4000.4500,0.999498
4000.5000,1.11469
4000.5500,1.07998
4000.6000,1.00785
4000.6500,0.947344
4000.7000,1.13906
4000.7500,1.07415
4000.8000,1.18602
4000.8500,0.946575
4000.9000,1.02638
4000.9500,1.18145
4001.0000,1.09982
4001.0500,0.990922
4001.1000,0.983144
4001.1500,1.07123
4001.2000,1.21837
4001.2500,1.30319
4001.3000,1.50005
4001.3500,1.03764
4001.4000,1.04424
4001.4500,1.07508
4001.5000,1.01235
4001.5500,0.984883
4001.6000,1.07255
4001.6500,1.03116
4001.7000,1.11881
4001.7500,1.05987
4001.8000,1.0454
4001.8500,1.09005
4001.9000,1.10138
4001.9500,1.02879
4002.0000,1.09452
4002.0500,0.970428
4002.1000,0.957731
4002.1500,1.07438
4002.2000,1.04829
4002.2500,0.892723
4002.3000,0.880772
4002.3500,1.01779
4002.4000,1.07283
4002.4500,1.03287
4002.5000,1.04022
4002.5500,1.08323
4002.6000,1.11248
4002.6500,1.16553
4002.7000,0.990649
4002.7500,1.04498
4002.8000,1.06863
4002.8500,1.08832
4002.9000,1.03951
4002.9500,0.973656
4003.0000,1.0576
4003.0500,1.04054
4003.1000,1.03168
4003.1500,1.02727
4003.2000,1.09204
4003.2500,1.15195
4003.3000,1.04067
4003.3500,0.941017
4003.4000,1.04312
4003.4500,1.12402
4003.5000,1.02425
4003.5500,1.04008
4003.6000,1.07046
4003.6500,1.08528
4003.7000,1.05834
4003.7500,1.00128
4003.8000,0.919947
4003.8500,1.01187
4003.9000,1.01124
4003.9500,1.12236
4004.0000,0.958689
4004.0500,0.991991
4004.1000,1.14335
4004.1500,1.06813
4004.2000,0.924254
4004.2500,0.934328
4004.3000,0.981011
4004.3500,1.0483
4004.4000,1.00589
4004.4500,0.993951
4004.5000,1.09837
4004.5500,0.978998
4004.6000,1.03618
4004.6500,1.08535
4004.7000,1.02036
4004.7500,1.14372
4004.8000,1.00242
4004.8500,1.13098
4004.9000,1.06787
4004.9500,1.11069
4005.0000,1.02389
4005.0500,1.04613
4005.1000,0.971815
4005.1500,1.0059
4005.2000,1.04168
4005.2500,1.0796
4005.3000,1.01844
4005.3500,0.962668
4005.4000,0.95957
4005.4500,0.986996
4005.5000,1.11184
4005.5500,0.888909
4005.6000,0.970208
4005.6500,0.976812
4005.7000,0.931926
4005.7500,1.03417
4005.8000,0.897858
4005.8500,1.01765
4005.9000,0.984022
4005.9500,0.837496
4006.0000,1.05461
4006.0500,0.969549
4006.1000,1.04175
4006.1500,0.92517
4006.2000,0.971641
4006.2500,1.02738
4006.3000,0.990888
4006.3500,1.01412
4006.4000,0.944378
4006.4500,0.914843
4006.5000,1.0616
4006.5500,1.01905
4006.6000,1.03394
4006.6500,1.08445
4006.7000,0.978052
4006.7500,1.01756
4006.8000,1.02153
4006.8500,1.09804
4006.9000,1.0552
4006.9500,1.14383
4007.0000,0.994607
4007.0500,0.972275
4007.1000,1.05358
4007.1500,1.13423
4007.2000,1.14104
4007.2500,1.07074
4007.3000,1.05424
4007.3500,1.05063
4007.4000,1.0149
4007.4500,1.12107
4007.5000,1.08517
4007.5500,1.0365
4007.6000,1.02539
4007.6500,1.04346
4007.7000,1.04689
4007.7500,0.933865
4007.8000,0.97447
4007.8500,1.06476
4007.9000,1.15542
4007.9500,1.03782
4008.0000,0.93492
4008.0500,1.0287
4008.1000,1.18605
4008.1500,1.03842
4008.2000,1.10917
4008.2500,0.96954
4008.3000,1.13228
4008.3500,1.08524
4008.4000,1.06505
4008.4500,0.986677
4008.5000,0.995185
4008.5500,1.07028
4008.6000,1.11214
4008.6500,1.02575
4008.7000,1.03318
4008.7500,1.04127
4008.8000,1.0144
4008.8500,1.07628
4008.9000,1.06319
4008.9500,1.05844
4009.0000,1.01778
4009.0500,1.08962
4009.1000,1.14648
4009.1500,1.40101
4009.2000,1.22037
4009.2500,1.04254
4009.3000,1.10689
4009.3500,1.0853
4009.4000,1.10235
4009.4500,1.09434
4009.5000,1.12978
4009.5500,1.18154
4009.6000,0.923563
4009.6500,0.994602
4009.7000,1.11702
4009.7500,1.18881
4009.8000,1.15548
4009.8500,1.11873
4009.9000,1.05728
4009.9500,1.11293
4010.0000,1.10136
4010.0500,1.03324
4010.1000,0.942988
4010.1500,1.15605
4010.2000,1.11633
4010.2500,0.984789
4010.3000,1.15814
4010.3500,1.15027
4010.4000,1.1191
4010.4500,1.01985
4010.5000,1.03056
4010.5500,1.04689
4010.6000,1.02617
4010.6500,1.10418
4010.7000,1.1537
4010.7500,1.12302
4010.8000,1.16708
4010.8500,0.975025
4010.9000,1.03835
4010.9500,1.03994
4011.0000,1.17862
4011.0500,1.20325
4011.1000,1.15521
4011.1500,1.09456
4011.2000,1.10021
4011.2500,1.13579
4011.3000,1.14176
4011.3500,1.08668
4011.4000,1.04418
4011.4500,1.06006
4011.5000,1.01261
4011.5500,1.04969
4011.6000,1.03002
4011.6500,1.063
4011.7000,1.11067
4011.7500,1.10762
4011.8000,1.09227
4011.8500,1.01521
4011.9000,0.920887
4011.9500,0.953713
4012.0000,0.981025
4012.0500,1.06347
4012.1000,1.01655
4012.1500,1.09142
4012.2000,1.11113
4012.2500,0.87636
4012.3000,1.11601
4012.3500,1.08528
4012.4000,1.00367
4012.4500,1.01594
4012.5000,0.880317
4012.5500,0.967641
4012.6000,0.973206
4012.6500,0.983543
4012.7000,1.04928
4012.7500,1.05839
4012.8000,1.01
4012.8500,1.04672
4012.9000,0.943128
4012.9500,1.08365
4013.0000,1.09015
4013.0500,1.0195
4013.1000,1.17351
4013.1500,1.01403
4013.2000,0.945098
4013.2500,0.977133
4013.3000,1.02456
4013.3500,1.04906
4013.4000,0.962842
4013.4500,1.02654
4013.5000,1.06354
4013.5500,1.04031
4013.6000,1.05829
4013.6500,1.11128
4013.7000,0.927592
4013.7500,0.990426
4013.8000,0.942729
4013.8500,1.13737
4013.9000,1.11023
4013.9500,1.00862
4014.0000,1.04274
4014.0500,1.02383
4014.1000,0.979597
4014.1500,1.05383
4014.2000,1.09128
4014.2500,0.989688
4014.3000,1.05286
4014.3500,1.13642
4014.4000,0.982334
4014.4500,1.16088
4014.5000,0.986117
4014.5500,0.982079
4014.6000,1.00815
4014.6500,1.04637
4014.7000,1.0539
4014.7500,1.03492
4014.8000,0.988719
4014.8500,0.998913
4014.9000,1.00952
4014.9500,0.960501
4015.0000,1.02552
4015.0500,0.879776
4015.1000,0.932377
4015.1500,1.05384
4015.2000,1.1388
4015.2500,1.08154
4015.3000,0.959619
4015.3500,0.954788
4015.4000,1.05077
4015.4500,1.07229
4015.5000,1.06134
4015.5500,1.11656
4015.6000,1.01527
4015.6500,0.970509
4015.7000,1.03345
4015.7500,0.915744
4015.8000,0.999966
4015.8500,0.959734
4015.9000,0.998471
4015.9500,1.03855
4016.0000,1.11895
4016.0500,0.974579
4016.1000,1.04715
4016.1500,0.975545
4016.2000,1.03446
4016.2500,1.00433
4016.3000,0.917983
4016.3500,0.950689
4016.4000,1.01044
4016.4500,1.04105
4016.5000,0.946251
4016.5500,1.04029
4016.6000,1.07467
4016.6500,0.977177
4016.7000,0.993376
4016.7500,0.983076
4016.8000,1.02747
4016.8500,1.0519
4016.9000,1.08305
4016.9500,1.00293
4017.0000,1.04249
4017.0500,0.983703
4017.1000,0.900167
4017.1500,0.963036
4017.2000,1.06065
4017.2500,0.999239
4017.3000,1.00899
4017.3500,1.01375
4017.4000,1.11164
4017.4500,1.10057
4017.5000,1.0537
4017.5500,1.00014
4017.6000,1.08687
4017.6500,1.10379
4017.7000,1.03271
4017.7500,1.01104
