Longitud_de_onda_A,espectro
4000.0000,1.0877
4000.0500,1.07711
4000.1000,1.12979
4000.1500,1.09769
4000.2000,0.830569
4000.2500,0.606996
4000.3000,0.619322
4000.3500,0.640803
4000.4000,0.553015
4000.4500,0.455987
4000.5000,0.571245
4000.5500,0.84509
4000.6000,1.06774
4000.6500,1.13821
4000.7000,1.11451
4000.7500,1.0547
4000.8000,1.00401
4000.8500,1.00419
4000.9000,1.0917
4000.9500,1.02173
4001.0000,0.946221
4001.0500,0.774255
4001.1000,0.577663
4001.1500,0.492836
4001.2000,0.531888
4001.2500,0.710591
4001.3000,0.892496
4001.3500,0.932834
4001.4000,0.784827
4001.4500,0.657586
4001.5000,0.790912
4001.5500,0.938378
4001.6000,0.707535
4001.6500,0.437092
4001.7000,0.404458
4001.7500,0.665399
4001.8000,0.983698
4001.8500,1.06573
4001.9000,1.04
4001.9500,0.989382
4002.0000,0.898446
4002.0500,0.80332
4002.1000,0.809119
4002.1500,0.966356
4002.2000,1.09605
4002.2500,1.14915
4002.3000,1.11061
4002.3500,0.99579
4002.4000,0.859779
4002.4500,0.796417
4002.5000,0.749622
4002.5500,0.839864
4002.6000,0.876606
4002.6500,0.782704
4002.7000,0.817684
4002.7500,1.04837
4002.8000,1.10676
4002.8500,0.92132
4002.9000,0.68722
4002.9500,0.656278
4003.0000,0.885747
4003.0500,1.11015
4003.1000,1.11985
4003.1500,1.12753
4003.2000,1.09581
4003.2500,1.02935
4003.3000,1.04861
4003.3500,1.16485
4003.4000,1.1252
4003.4500,1.09627
4003.5000,1.05576
4003.5500,1.03189
4003.6000,1.01113
4003.6500,1.03779
4003.7000,0.84243
4003.7500,0.54694
4003.8000,0.564981
4003.8500,0.822637
4003.9000,0.98585
4003.9500,0.991884
4004.0000,1.02864
4004.0500,1.03535
4004.1000,1.05876
4004.1500,0.994437
4004.2000,1.03034
4004.2500,1.11232
4004.3000,1.0867
4004.3500,1.07306
4004.4000,1.07947
4004.4500,1.11913
4004.5000,1.08656
4004.5500,1.00699
4004.6000,0.940019
4004.6500,0.97894
4004.7000,0.943318
4004.7500,0.773377
4004.8000,0.510291
4004.8500,0.308317
4004.9000,0.224263
4004.9500,0.256178
4005.0000,0.281104
4005.0500,0.292151
4005.1000,0.299696
4005.1500,0.289897
4005.2000,0.207674
4005.2500,0.133658
4005.3000,0.163796
4005.3500,0.238719
4005.4000,0.292692
4005.4500,0.344358
4005.5000,0.477726
4005.5500,0.697677
4005.6000,0.748388
4005.6500,0.574093
4005.7000,0.448055
4005.7500,0.589283
4005.8000,0.880522
4005.8500,0.987659
4005.9000,0.962229
4005.9500,0.890368
4006.0000,0.959808
4006.0500,0.988835
4006.1000,0.760376
4006.1500,0.598661
4006.2000,0.671147
4006.2500,0.63716
4006.3000,0.47461
4006.3500,0.550457
4006.4000,0.827189
4006.4500,0.934719
4006.5000,0.914417
4006.5500,0.775016
4006.6000,0.502132
4006.6500,0.410023
4006.7000,0.417839
4006.7500,0.373898
4006.8000,0.453869
4006.8500,0.678696
4006.9000,0.857105
4006.9500,0.774602
4007.0000,0.625744
4007.0500,0.772867
4007.1000,0.949167
4007.1500,0.9948
4007.2000,0.73807
4007.2500,0.495948
4007.3000,0.490025
4007.3500,0.791443
4007.4000,0.954548
4007.4500,1.00092
4007.5000,1.0452
4007.5500,1.06081
4007.6000,1.02548
4007.6500,1.03478
4007.7000,1.08437
4007.7500,1.00223
4007.8000,0.893324
4007.8500,0.734354
4007.9000,0.574399
4007.9500,0.516072
4008.0000,0.555144
4008.0500,0.64648
4008.1000,0.761417
4008.1500,0.833144
4008.2000,0.913739
4008.2500,1.07815
4008.3000,1.10358
4008.3500,1.09088
4008.4000,1.09886
4008.4500,1.07231
4008.5000,1.05875
4008.5500,1.04724
4008.6000,0.963626
4008.6500,0.960303
4008.7000,1.00769
4008.7500,0.970091
4008.8000,0.847275
4008.8500,0.563168
4008.9000,0.357124
4008.9500,0.46768
4009.0000,0.811753
4009.0500,0.90848
4009.1000,0.743494
4009.1500,0.633302
4009.2000,0.816066
4009.2500,1.03566
4009.3000,1.12938
4009.3500,1.16648
4009.4000,1.1474
4009.4500,1.09108
4009.5000,0.838532
4009.5500,0.662581
4009.6000,0.581992
4009.6500,0.418733
4009.7000,0.265969
4009.7500,0.428396
4009.8000,0.733435
4009.8500,0.971326
4009.9000,0.977273
4009.9500,0.929365
4010.0000,0.953887
4010.0500,1.04476
4010.1000,0.982269
4010.1500,0.762259
4010.2000,0.778125
4010.2500,0.949989
4010.3000,1.0225
4010.3500,0.967708
4010.4000,0.976231
4010.4500,0.942648
4010.5000,0.819735
4010.5500,0.606387
4010.6000,0.578239
4010.6500,0.755366
4010.7000,0.775323
4010.7500,0.616195
4010.8000,0.65924
4010.8500,0.772955
4010.9000,0.69631
4010.9500,0.678974
4011.0000,0.883062
4011.0500,0.98602
4011.1000,1.05653
4011.1500,1.07602
4011.2000,1.14835
4011.2500,1.11802
4011.3000,1.04613
4011.3500,0.835909
4011.4000,0.619403
4011.4500,0.661198
4011.5000,0.826281
4011.5500,1.01425
4011.6000,1.03651
4011.6500,0.875278
4011.7000,0.676058
4011.7500,0.685197
4011.8000,0.927091
4011.8500,0.986934
4011.9000,0.973502
4011.9500,1.05014
4012.0000,1.00367
4012.0500,0.952156
4012.1000,0.883941
