Longitud_de_onda_A,espectro
4000.0000,1.135
4000.0500,0.94218
4000.1000,1.10463
4000.1500,1.18897
4000.2000,1.22145
4000.2500,0.909573
4000.3000,0.838259
4000.3500,0.722733
4000.4000,0.65654
4000.4500,0.72257
4000.5000,0.803057
4000.5500,0.90119
4000.6000,1.01396
4000.6500,1.37686
4000.7000,1.23387
4000.7500,1.30318
4000.8000,1.16103
4000.8500,1.30096
4000.9000,1.21035
4000.9500,1.26952
4001.0000,1.12158
4001.0500,0.853985
4001.1000,1.03584
4001.1500,0.875549
4001.2000,1.12466
4001.2500,1.21198
4001.3000,1.0469
4001.3500,0.99251
4001.4000,0.885684
4001.4500,1.1063
4001.5000,0.961762
4001.5500,0.905414
4001.6000,0.756884
4001.6500,0.641587
4001.7000,0.712989
4001.7500,1.12507
4001.8000,0.929327
4001.8500,1.36114
4001.9000,1.03961
4001.9500,0.960818
4002.0000,1.04754
4002.0500,0.908324
4002.1000,1.20567
4002.1500,1.26071
4002.2000,1.2192
4002.2500,1.23227
4002.3000,1.31214
4002.3500,1.25789
4002.4000,0.832794
4002.4500,0.944176
4002.5000,0.608893
4002.5500,0.992421
4002.6000,0.874619
4002.6500,0.997836
4002.7000,0.903281
4002.7500,0.923738
4002.8000,1.03436
4002.8500,0.843337
4002.9000,0.938918
4002.9500,1.03089
4003.0000,1.02857
4003.0500,0.949414
4003.1000,1.0477
4003.1500,1.11105
4003.2000,0.810476
4003.2500,1.11304
4003.3000,1.20521
4003.3500,1.21411
4003.4000,1.32722
4003.4500,1.11393
4003.5000,1.17307
4003.5500,1.18338
4003.6000,0.999007
4003.6500,0.83179
4003.7000,0.892275
4003.7500,0.852908
4003.8000,0.394454
4003.8500,1.03046
4003.9000,0.774338
4003.9500,0.911237
4004.0000,0.791001
4004.0500,1.02371
4004.1000,1.11599
4004.1500,1.39871
4004.2000,0.990348
4004.2500,1.24391
4004.3000,1.15957
4004.3500,1.10747
4004.4000,1.04156
4004.4500,1.31175
4004.5000,0.891213
4004.5500,0.749913
4004.6000,0.730111
4004.6500,1.06302
4004.7000,0.802307
4004.7500,0.596834
4004.8000,0.706248
4004.8500,0.414035
4004.9000,0.619192
4004.9500,0.497147
4005.0000,0.737296
4005.0500,0.382877
4005.1000,0.121624
4005.1500,0.00453557
4005.2000,0.106762
4005.2500,0.492286
4005.3000,0.318143
4005.3500,0.203836
4005.4000,0.381078
4005.4500,0.160089
4005.5000,0.386274
4005.5500,0.615686
4005.6000,0.870759
4005.6500,0.637127
4005.7000,0.626346
4005.7500,0.570691
4005.8000,0.759606
4005.8500,1.06592
4005.9000,1.08629
4005.9500,0.785649
4006.0000,0.629701
4006.0500,0.805736
4006.1000,0.745829
4006.1500,0.8573
4006.2000,0.873177
4006.2500,1.00869
4006.3000,0.905854
4006.3500,0.864262
4006.4000,0.972499
4006.4500,0.8234
4006.5000,0.874313
4006.5500,0.788102
4006.6000,0.947062
4006.6500,0.870869
4006.7000,1.075
4006.7500,0.71755
4006.8000,0.784559
4006.8500,0.992828
4006.9000,0.950684
4006.9500,1.22079
4007.0000,1.16596
4007.0500,1.02127
4007.1000,1.19908
4007.1500,0.784181
4007.2000,0.944462
4007.2500,0.313559
4007.3000,0.43205
4007.3500,0.810879
4007.4000,0.721502
4007.4500,0.785675
4007.5000,1.0335
4007.5500,0.662122
4007.6000,1.17248
4007.6500,1.09848
4007.7000,1.05475
4007.7500,1.36412
4007.8000,1.11833
4007.8500,1.26983
4007.9000,0.809081
4007.9500,0.666521
4008.0000,0.486782
4008.0500,0.723601
4008.1000,0.647481
4008.1500,0.867053
4008.2000,0.775858
4008.2500,1.15335
4008.3000,1.17912
4008.3500,1.41831
4008.4000,1.07385
4008.4500,1.29974
4008.5000,1.32296
4008.5500,1.22468
4008.6000,1.05399
4008.6500,0.873748
4008.7000,0.768829
4008.7500,0.596265
4008.8000,0.332748
4008.8500,0.482626
4008.9000,0.226945
4008.9500,0.186133
4009.0000,0.170522
4009.0500,0.361156
4009.1000,0.642186
4009.1500,0.979791
4009.2000,0.735908
4009.2500,0.983274
4009.3000,1.47028
4009.3500,1.20231
4009.4000,1.35737
4009.4500,1.44176
4009.5000,1.07053
4009.5500,0.458813
4009.6000,0.311756
4009.6500,0.0756183
4009.7000,0.399051
4009.7500,0.534664
4009.8000,0.365034
4009.8500,0.446888
4009.9000,0.906833
4009.9500,0.879145
4010.0000,1.41944
4010.0500,1.2465
4010.1000,1.27628
4010.1500,1.08112
4010.2000,1.23551
4010.2500,1.12146
4010.3000,1.237
4010.3500,1.10982
4010.4000,1.08272
4010.4500,1.14145
4010.5000,1.24738
4010.5500,1.14948
4010.6000,1.00941
4010.6500,1.12617
4010.7000,0.800561
4010.7500,1.07104
4010.8000,0.865347
4010.8500,1.06327
4010.9000,1.1908
4010.9500,0.942553
4011.0000,0.801243
4011.0500,0.625453
4011.1000,0.549458
4011.1500,0.876876
4011.2000,0.868982
4011.2500,1.00945
4011.3000,0.91175
4011.3500,0.657622
4011.4000,0.635879
4011.4500,0.589729
4011.5000,0.457486
4011.5500,0.956076
4011.6000,0.861691
4011.6500,0.9313
4011.7000,0.895226
4011.7500,0.838509
4011.8000,0.954769
4011.8500,1.30615
4011.9000,1.29013
4011.9500,1.1448
4012.0000,1.26342
4012.0500,0.995381
4012.1000,0.900932
4012.1500,1.09004
4012.2000,0.714201
4012.2500,0.305069
4012.3000,0.590927
4012.3500,0.66874
4012.4000,0.536069
4012.4500,0.40061
4012.5000,0.305468
4012.5500,0.785856
4012.6000,1.0683
4012.6500,0.697158
4012.7000,0.638675
4012.7500,0.746294
4012.8000,0.781509
4012.8500,1.01444
4012.9000,1.43759
4012.9500,1.10546
4013.0000,1.30409
4013.0500,1.26315
4013.1000,1.13956
4013.1500,1.31306
4013.2000,0.829434
4013.2500,1.05824
4013.3000,1.16587
4013.3500,1.31515
4013.4000,1.16206
4013.4500,1.29226
4013.5000,1.01308
4013.5500,0.919862
4013.6000,0.856911
4013.6500,0.700115
4013.7000,0.829497
4013.7500,0.628105
4013.8000,0.609275
4013.8500,0.680808
4013.9000,0.598585
4013.9500,0.940101
4014.0000,1.02587
4014.0500,1.13056
4014.1000,1.38888
4014.1500,1.16617
4014.2000,0.997248
4014.2500,0.636244
4014.3000,0.675565
4014.3500,0.797967
4014.4000,0.725065
4014.4500,0.780595
4014.5000,0.407772
4014.5500,0.657929
4014.6000,0.588983
4014.6500,0.888264
4014.7000,1.02686
4014.7500,1.25275
4014.8000,1.15075
4014.8500,1.15885
4014.9000,0.953348
4014.9500,1.03363
4015.0000,1.08656
4015.0500,1.05104
4015.1000,1.11751
4015.1500,0.967022
4015.2000,1.01017
4015.2500,1.01107
4015.3000,0.989877
4015.3500,0.691889
4015.4000,0.950559
4015.4500,0.893014
4015.5000,1.02029
4015.5500,0.816672
4015.6000,0.984181
4015.6500,0.774959
4015.7000,1.41112
4015.7500,1.36043
4015.8000,1.40804
4015.8500,1.13078
4015.9000,1.20817
4015.9500,1.69079
4016.0000,1.2613
4016.0500,1.21116
4016.1000,1.13121
4016.1500,1.05127
4016.2000,1.09818
4016.2500,0.747459
4016.3000,0.997638
4016.3500,0.956943
4016.4000,0.765626
4016.4500,0.880632
4016.5000,1.00169
4016.5500,1.00545
4016.6000,1.2057
4016.6500,1.11306
4016.7000,1.03113
4016.7500,1.22336
4016.8000,1.12529
4016.8500,1.26695
4016.9000,1.147
4016.9500,1.08168
4017.0000,0.711818
4017.0500,0.718012
4017.1000,0.374085
4017.1500,0.580284
4017.2000,0.731731
4017.2500,1.07299
4017.3000,1.1538
4017.3500,1.30253
4017.4000,1.17331
4017.4500,1.13916
4017.5000,0.902493
4017.5500,1.11089
4017.6000,0.927364
4017.6500,1.09749
4017.7000,0.685881
4017.7500,0.450893
4017.8000,0.597768
4017.8500,1.06736
4017.9000,0.936996
4017.9500,0.97187
4018.0000,0.826458
4018.0500,0.58137
4018.1000,0.408179
4018.1500,0.360186
4018.2000,0.522635
4018.2500,0.610407
4018.3000,0.694297
4018.3500,0.619075
4018.4000,1.31457
4018.4500,1.18387
4018.5000,1.2082
4018.5500,1.29486
4018.6000,1.3364
4018.6500,1.28702
4018.7000,1.39468
4018.7500,1.1715
4018.8000,0.916723
4018.8500,0.847487
4018.9000,0.873251
4018.9500,1.15197
4019.0000,0.827898
4019.0500,0.676539
4019.1000,0.737154
4019.1500,0.841613
4019.2000,0.783868
4019.2500,0.753888
4019.3000,0.591138
4019.3500,0.58661
4019.4000,0.827502
4019.4500,1.1789
4019.5000,1.23187
4019.5500,1.17611
4019.6000,1.35913
4019.6500,1.12385
4019.7000,1.08474
4019.7500,0.995583
4019.8000,1.01852
4019.8500,0.978409
4019.9000,0.996838
4019.9500,0.896747
4020.0000,0.979611
4020.0500,0.876596
4020.1000,0.918922
4020.1500,0.960785
4020.2000,0.801686
4020.2500,0.691074
4020.3000,0.353536
4020.3500,0.320704
4020.4000,0.177295
4020.4500,0.262475
4020.5000,0.329599
4020.5500,0.4714
4020.6000,0.910219
4020.6500,1.01638
4020.7000,1.10336
4020.7500,1.0908
4020.8000,0.980895
4020.8500,0.188941
4020.9000,0.236477
4020.9500,0.325495
