Longitud_de_onda_A,espectro
4000.0000,1.01199
4000.0500,0.976611
4000.1000,0.984408
4000.1500,1.00257
4000.2000,0.976897
4000.2500,0.996679
4000.3000,1.00626
4000.3500,0.979745
4000.4000,1.03562
4000.4500,1.02849
4000.5000,1.03473
4000.5500,0.966124
4000.6000,0.981106
4000.6500,1.00438
4000.7000,1.01305
4000.7500,0.981283
4000.8000,1.0291
4000.8500,0.982206
4000.9000,0.993205
4000.9500,0.979765
4001.0000,0.931047
4001.0500,0.982646
4001.1000,1.02956
4001.1500,0.990819
4001.2000,1.01505
4001.2500,1.02663
4001.3000,0.996051
4001.3500,1.01654
4001.4000,0.929199
4001.4500,0.982534
4001.5000,0.969296
4001.5500,0.930582
4001.6000,0.997778
4001.6500,1.00745
4001.7000,0.924687
4001.7500,0.980894
4001.8000,0.985768
4001.8500,1.00412
4001.9000,0.958126
4001.9500,1.00425
4002.0000,0.973221
4002.0500,0.935399
4002.1000,0.96228
4002.1500,0.997563
4002.2000,0.972442
4002.2500,0.972334
4002.3000,0.964729
4002.3500,1.05885
4002.4000,1.01431
4002.4500,0.971194
4002.5000,1.01447
4002.5500,1.00107
4002.6000,0.972732
4002.6500,0.976067
4002.7000,1.06133
4002.7500,0.99843
4002.8000,0.96866
4002.8500,1.04035
4002.9000,0.965976
4002.9500,0.910729
4003.0000,0.958687
4003.0500,1.00885
4003.1000,0.99221
4003.1500,0.95844
4003.2000,1.00156
4003.2500,0.982488
4003.3000,0.959893
4003.3500,0.968781
4003.4000,0.943086
4003.4500,0.977793
4003.5000,1.00039
4003.5500,0.952054
4003.6000,0.995028
4003.6500,0.98274
4003.7000,1.03254
4003.7500,0.964415
4003.8000,0.923208
4003.8500,0.919701
4003.9000,0.951336
4003.9500,0.916126
4004.0000,0.96929
4004.0500,0.964331
4004.1000,0.962
4004.1500,0.920818
4004.2000,0.953857
4004.2500,0.962827
4004.3000,0.964816
4004.3500,0.958989
4004.4000,0.933218
4004.4500,0.990009
4004.5000,0.976808
4004.5500,0.952329
4004.6000,0.974278
4004.6500,0.968838
4004.7000,0.985514
4004.7500,0.985006
4004.8000,0.915172
4004.8500,0.923343
4004.9000,1.00597
4004.9500,0.928343
4005.0000,0.923557
4005.0500,0.976055
4005.1000,0.966212
4005.1500,0.920316
4005.2000,0.917936
4005.2500,0.930713
4005.3000,0.958799
4005.3500,0.888515
4005.4000,1.02246
4005.4500,0.956717
4005.5000,0.941761
4005.5500,0.920132
4005.6000,0.94526
4005.6500,0.973411
4005.7000,0.982496
4005.7500,0.958556
4005.8000,1.0077
4005.8500,1.06939
4005.9000,0.991611
4005.9500,0.962878
4006.0000,0.908728
4006.0500,1.01739
4006.1000,0.927284
4006.1500,0.921321
4006.2000,0.965328
4006.2500,0.964276
4006.3000,0.994237
4006.3500,0.977507
4006.4000,0.922468
4006.4500,0.93147
4006.5000,0.940588
4006.5500,0.995122
4006.6000,0.969307
4006.6500,0.981408
4006.7000,1.00374
4006.7500,0.937697
4006.8000,1.03912
4006.8500,1.02176
4006.9000,1.06063
4006.9500,1.04463
4007.0000,1.0204
4007.0500,0.991559
4007.1000,0.942435
4007.1500,1.0177
4007.2000,0.977735
4007.2500,0.979614
4007.3000,0.998547
4007.3500,1.07145
4007.4000,0.998248
4007.4500,0.999852
4007.5000,0.950828
4007.5500,1.00361
4007.6000,0.985105
4007.6500,0.991967
4007.7000,0.973386
4007.7500,1.02252
4007.8000,1.00842
4007.8500,0.987924
4007.9000,0.98676
4007.9500,0.991301
4008.0000,1.02069
4008.0500,1.05146
4008.1000,0.952216
4008.1500,0.985886
4008.2000,0.982301
4008.2500,0.991061
4008.3000,1.01314
4008.3500,0.99518
4008.4000,1.04626
4008.4500,1.06895
4008.5000,1.00026
4008.5500,0.962525
4008.6000,0.960965
4008.6500,0.975923
4008.7000,1.0093
4008.7500,1.01154
4008.8000,1.00566
4008.8500,1.05557
4008.9000,1.03475
4008.9500,0.997907
4009.0000,0.930863
4009.0500,0.972433
4009.1000,0.993032
4009.1500,0.975517
4009.2000,1.01701
4009.2500,1.02099
4009.3000,1.01294
4009.3500,0.94693
4009.4000,0.952271
4009.4500,0.938574
4009.5000,0.963616
4009.5500,0.956904
4009.6000,0.976565
4009.6500,0.996622
4009.7000,0.920574
4009.7500,0.975211
4009.8000,1.01597
4009.8500,0.937645
4009.9000,0.980523
4009.9500,0.980532
4010.0000,0.981881
4010.0500,0.990766
4010.1000,0.992855
4010.1500,1.00137
4010.2000,0.976186
4010.2500,1.02212
4010.3000,1.0053
4010.3500,1.04713
4010.4000,1.02213
4010.4500,1.02602
4010.5000,1.05887
4010.5500,0.997997
4010.6000,1.01979
4010.6500,0.987698
4010.7000,1.04856
4010.7500,1.10398
4010.8000,1.03483
4010.8500,0.991888
4010.9000,1.08685
4010.9500,1.02012
4011.0000,0.972519
4011.0500,1.02007
4011.1000,0.997554
4011.1500,0.995416
4011.2000,1.00844
4011.2500,1.03049
4011.3000,1.02455
4011.3500,1.0392
4011.4000,1.00635
4011.4500,1.02978
4011.5000,1.03044
4011.5500,1.04434
4011.6000,0.988731
4011.6500,0.984855
4011.7000,1.05705
4011.7500,1.06238
4011.8000,1.03812
4011.8500,1.04752
4011.9000,1.04698
4011.9500,1.10923
4012.0000,1.07542
4012.0500,1.04233
4012.1000,1.01636
4012.1500,0.990265
4012.2000,1.05954
4012.2500,1.07212
4012.3000,1.07351
4012.3500,1.07904
4012.4000,0.990281
4012.4500,1.10096
4012.5000,1.00398
4012.5500,1.03431
4012.6000,0.910556
4012.6500,1.05454
4012.7000,1.11266
4012.7500,1.0894
4012.8000,1.06794
4012.8500,1.07025
4012.9000,1.0412
4012.9500,1.06185
4013.0000,1.00297
4013.0500,1.00028
4013.1000,1.05275
4013.1500,1.06617
4013.2000,0.984485
4013.2500,1.01918
4013.3000,0.991781
4013.3500,1.03685
4013.4000,1.05726
4013.4500,1.03212
4013.5000,1.01999
4013.5500,1.0433
4013.6000,1.03381
4013.6500,1.01378
4013.7000,1.04883
4013.7500,1.0165
4013.8000,1.00108
4013.8500,1.01793
4013.9000,1.01629
4013.9500,1.00327
4014.0000,1.00771
4014.0500,1.03061
4014.1000,1.04743
4014.1500,1.04857
4014.2000,1.07727
4014.2500,1.01736
4014.3000,1.05589
4014.3500,0.984515
4014.4000,1.01386
4014.4500,1.01282
4014.5000,1.05817
4014.5500,1.07081
4014.6000,0.992433
4014.6500,1.04547
4014.7000,1.0048
4014.7500,0.970994
4014.8000,1.07249
4014.8500,1.03367
4014.9000,1.05925
4014.9500,0.985662
4015.0000,0.973385
4015.0500,1.01988
4015.1000,1.06701
4015.1500,0.973752
4015.2000,1.02131
4015.2500,1.02436
4015.3000,1.82324
4015.3500,1.32707
4015.4000,1.0011
4015.4500,1.01194
4015.5000,0.962195
4015.5500,0.977638
4015.6000,0.972527
4015.6500,1.05681
4015.7000,1.01483
4015.7500,1.03644
4015.8000,1.00826
4015.8500,0.996055
4015.9000,1.05645
4015.9500,1.01927
4016.0000,0.993394
4016.0500,0.984492
4016.1000,1.01133
4016.1500,1.01818
4016.2000,0.979365
4016.2500,0.967003
4016.3000,0.972565
4016.3500,0.996093
4016.4000,0.993967
4016.4500,1.00907
4016.5000,1.01208
4016.5500,1.00919
4016.6000,1.01338
4016.6500,1.01461
4016.7000,1.02284
4016.7500,1.00434
4016.8000,0.989638
4016.8500,0.972814
4016.9000,1.03799
4016.9500,1.00418
4017.0000,1.02374
4017.0500,1.00909
4017.1000,0.940981
4017.1500,1.00963
4017.2000,1.00276
4017.2500,0.993241
4017.3000,1.0275
4017.3500,1.00412
4017.4000,0.988025
4017.4500,1.01192
4017.5000,1.00378
4017.5500,1.00348
4017.6000,1.04378
4017.6500,1.02968
4017.7000,0.994376
4017.7500,1.00108
4017.8000,1.01263
4017.8500,0.994412
4017.9000,1.03723
4017.9500,0.993366
4018.0000,1.01166
4018.0500,1.00824
4018.1000,1.01833
4018.1500,1.02268
4018.2000,1.0124
4018.2500,1.00247
4018.3000,0.978057
4018.3500,0.976163
4018.4000,0.951304
4018.4500,1.01401
4018.5000,1.03176
4018.5500,0.995997
4018.6000,0.997017
4018.6500,1.04802
4018.7000,1.0508
4018.7500,1.02033
4018.8000,1.02797
4018.8500,1.04765
4018.9000,0.987969
4018.9500,0.956776
4019.0000,1.01124
4019.0500,1.0298
4019.1000,1.02978
4019.1500,1.00481
4019.2000,1.02555
4019.2500,1.05981
4019.3000,1.03178
4019.3500,0.967241
4019.4000,1.02844
4019.4500,0.98316
4019.5000,0.980882
4019.5500,1.01621
4019.6000,1.0187
4019.6500,0.983814
4019.7000,0.968824
4019.7500,1.05966
4019.8000,1.0018
4019.8500,0.995881
4019.9000,0.968728
4019.9500,1.02919
4020.0000,0.980541
4020.0500,1.06011
4020.1000,0.992978
4020.1500,1.03664
4020.2000,0.921491
4020.2500,1.00955
4020.3000,1.03241
4020.3500,1.06436
4020.4000,1.0319
4020.4500,1.0087
4020.5000,1.05286
4020.5500,0.962129
4020.6000,0.99561
4020.6500,0.951574
4020.7000,0.984381
4020.7500,1.01703
4020.8000,1.02449
4020.8500,0.961131
4020.9000,0.997811
4020.9500,1.01515
4021.0000,0.973226
4021.0500,0.939689
4021.1000,1.031
4021.1500,0.978404
4021.2000,0.998724
4021.2500,0.953286
4021.3000,0.994976
4021.3500,0.947119
4021.4000,0.963348
4021.4500,0.986453
4021.5000,0.979916
4021.5500,1.00126
4021.6000,1.02149
4021.6500,1.02514
4021.7000,0.968186
4021.7500,0.970105
4021.8000,0.970808
4021.8500,0.955299
4021.9000,0.98618
4021.9500,0.997387
4022.0000,1.01937
4022.0500,0.964186
4022.1000,0.999364
4022.1500,0.979462
4022.2000,1.00345
4022.2500,1.01325
4022.3000,0.984886
4022.3500,0.94181
4022.4000,0.982785
4022.4500,1.02145
4022.5000,0.940613
4022.5500,0.974669
4022.6000,0.969738
4022.6500,0.972266
4022.7000,0.995273
4022.7500,0.998759
4022.8000,1.04146
4022.8500,0.988162
4022.9000,0.957867
4022.9500,1.03565
4023.0000,0.962939
4023.0500,0.975192
4023.1000,0.973923
4023.1500,1.00749
4023.2000,0.994022
4023.2500,1.00144
4023.3000,0.972242
4023.3500,0.974693
4023.4000,1.04374
4023.4500,1.03306
4023.5000,0.993076
4023.5500,0.993882
4023.6000,1.03995
4023.6500,0.950681
4023.7000,0.975794
4023.7500,0.975857
4023.8000,0.976637
4023.8500,0.95579
4023.9000,0.967342
4023.9500,0.998736
4024.0000,1.01829
4024.0500,0.968878
4024.1000,0.971343
4024.1500,0.982487
4024.2000,0.971804
4024.2500,0.986498
4024.3000,0.998599
4024.3500,0.971533
4024.4000,1.0177
4024.4500,0.969126
4024.5000,0.99456
4024.5500,1.01917
4024.6000,1.01735
4024.6500,0.994951
4024.7000,1.00494
4024.7500,0.999306
4024.8000,1.06392
4024.8500,0.978679
4024.9000,0.989795
4024.9500,0.986402
4025.0000,0.911539
4025.0500,0.969603
4025.1000,1.02042
4025.1500,0.981469
4025.2000,0.997914
4025.2500,1.00679
4025.3000,1.0187
4025.3500,0.994564
4025.4000,0.981946
4025.4500,0.998295
4025.5000,0.99635
4025.5500,0.990611
4025.6000,1.06189
4025.6500,0.975158
4025.7000,1.04507
4025.7500,1.0342
4025.8000,1.06956
4025.8500,1.02049
4025.9000,0.987834
4025.9500,0.971311
4026.0000,1.04544
4026.0500,0.979172
4026.1000,0.988221
4026.1500,0.964521
4026.2000,1.04292
4026.2500,1.01126
4026.3000,0.985405
4026.3500,0.990043
4026.4000,0.9939
4026.4500,1.01724
4026.5000,0.983643
4026.5500,1.00036
4026.6000,1.0111
4026.6500,0.960423
4026.7000,1.04669
4026.7500,0.961954
4026.8000,1.00891
4026.8500,1.01391
