Longitud_de_onda_A,espectro
4000.0000,1.02904
4000.0500,1.04015
4000.1000,0.989435
4000.1500,1.05278
4000.2000,0.994868
4000.2500,0.955949
4000.3000,1.03366
4000.3500,1.03841
4000.4000,1.04358
4000.4500,1.02955
4000.5000,1.02472
4000.5500,1.0227
4000.6000,0.974312
4000.6500,1.04003
4000.7000,1.02958
4000.7500,0.978436
4000.8000,1.01695
4000.8500,1.04254
4000.9000,1.01867
4000.9500,1.00472
4001.0000,1.07948
4001.0500,1.03818
4001.1000,1.02127
4001.1500,0.989902
4001.2000,1.00247
4001.2500,1.04447
4001.3000,1.01431
4001.3500,1.02226
4001.4000,1.00906
4001.4500,0.988909
4001.5000,0.988635
4001.5500,0.922788
4001.6000,0.94709
4001.6500,0.937303
4001.7000,0.952033
4001.7500,0.950634
4001.8000,0.947478
4001.8500,0.935647
4001.9000,0.912489
4001.9500,0.933934
4002.0000,0.941049
4002.0500,0.920692
4002.1000,0.941136
4002.1500,0.940916
4002.2000,0.914215
4002.2500,0.913315
4002.3000,0.939003
4002.3500,0.926591
4002.4000,0.94915
4002.4500,0.953838
4002.5000,0.901094
4002.5500,0.931887
4002.6000,0.943926
4002.6500,0.910527
4002.7000,0.887325
4002.7500,0.905429
4002.8000,0.922142
4002.8500,0.925252
4002.9000,0.922124
4002.9500,0.888166
4003.0000,0.907297
4003.0500,0.878426
4003.1000,0.914827
4003.1500,0.916754
4003.2000,0.921593
4003.2500,0.95047
4003.3000,1.01646
4003.3500,0.96761
4003.4000,0.951206
4003.4500,0.898668
4003.5000,0.990792
4003.5500,1.02759
4003.6000,0.989992
4003.6500,0.966689
4003.7000,0.967829
4003.7500,1.01067
4003.8000,0.979146
4003.8500,0.984068
4003.9000,0.960107
4003.9500,0.975911
4004.0000,1.00455
4004.0500,1.03805
4004.1000,1.03204
4004.1500,1.02221
4004.2000,1.00276
4004.2500,1.05323
4004.3000,1.02305
4004.3500,1.01929
4004.4000,1.01073
4004.4500,0.974469
4004.5000,0.977242
4004.5500,0.983771
4004.6000,0.964768
4004.6500,0.954199
4004.7000,0.898342
4004.7500,0.908606
4004.8000,0.883134
4004.8500,0.922221
4004.9000,0.908258
4004.9500,0.889191
4005.0000,0.831315
4005.0500,0.859946
4005.1000,0.872147
4005.1500,0.830835
4005.2000,0.843962
4005.2500,0.835587
4005.3000,0.887765
4005.3500,0.879386
4005.4000,0.898511
4005.4500,0.891517
4005.5000,0.946865
4005.5500,0.959353
4005.6000,0.959304
4005.6500,0.948607
4005.7000,0.97712
4005.7500,1.02963
4005.8000,1.01347
4005.8500,0.998379
4005.9000,1.04128
4005.9500,1.00955
4006.0000,1.05618
4006.0500,1.0281
4006.1000,0.989986
4006.1500,0.989129
4006.2000,0.968536
4006.2500,0.956408
4006.3000,0.990955
4006.3500,0.989791
4006.4000,0.945073
4006.4500,0.980742
4006.5000,0.970566
4006.5500,0.959841
4006.6000,0.973629
4006.6500,0.954747
4006.7000,0.957307
4006.7500,0.999244
4006.8000,0.931149
4006.8500,0.946824
4006.9000,0.962747
4006.9500,0.952221
4007.0000,0.984884
4007.0500,0.941882
4007.1000,0.973937
4007.1500,0.933214
4007.2000,0.983106
4007.2500,1.03496
4007.3000,0.947262
4007.3500,0.965563
4007.4000,1.02237
4007.4500,0.963531
4007.5000,0.999368
4007.5500,1.02635
4007.6000,0.978362
4007.6500,1.01933
4007.7000,0.975761
4007.7500,1.01083
4007.8000,1.02646
4007.8500,1.04428
4007.9000,0.992832
4007.9500,1.02147
4008.0000,1.1171
4008.0500,0.990014
4008.1000,1.04748
4008.1500,1.03752
4008.2000,1.04925
4008.2500,1.08326
4008.3000,1.02542
4008.3500,1.02562
4008.4000,1.0476
