Longitud_de_onda_A,espectro
4000.0000,1.11317
4000.0500,0.923143
4000.1000,1.02346
4000.1500,1.09577
4000.2000,0.86959
4000.2500,0.796309
4000.3000,0.840977
4000.3500,0.601654
4000.4000,0.659306
4000.4500,0.686182
4000.5000,0.577801
4000.5500,0.88416
4000.6000,0.906964
4000.6500,0.973145
4000.7000,1.19553
4000.7500,0.985992
4000.8000,1.04801
4000.8500,1.17682
4000.9000,1.10605
4000.9500,1.12675
4001.0000,1.12896
4001.0500,0.876359
4001.1000,0.739434
4001.1500,0.674042
4001.2000,0.756037
4001.2500,0.769676
4001.3000,0.916317
4001.3500,0.889385
4001.4000,1.04474
4001.4500,1.02304
4001.5000,0.892523
4001.5500,0.936419
4001.6000,0.796368
4001.6500,0.612029
4001.7000,0.696795
4001.7500,0.791692
4001.8000,0.966751
4001.8500,1.17323
4001.9000,1.05806
4001.9500,0.946523
4002.0000,0.968428
4002.0500,0.934545
4002.1000,0.891669
4002.1500,0.958449
4002.2000,1.03353
4002.2500,1.24847
4002.3000,1.30783
4002.3500,1.08061
4002.4000,0.919653
4002.4500,0.767797
4002.5000,0.805109
4002.5500,0.896387
4002.6000,0.855022
4002.6500,0.902195
4002.7000,1.04269
4002.7500,1.01602
4002.8000,1.02988
4002.8500,0.906029
4002.9000,0.892105
4002.9500,0.774375
4003.0000,0.980288
4003.0500,0.98073
4003.1000,1.07253
4003.1500,1.07997
4003.2000,1.16686
4003.2500,1.12044
4003.3000,1.06198
4003.3500,1.27076
4003.4000,1.13439
4003.4500,1.02309
4003.5000,1.13919
4003.5500,1.03736
4003.6000,1.13351
4003.6500,0.95781
4003.7000,0.87852
4003.7500,0.691861
4003.8000,0.832536
4003.8500,0.888795
4003.9000,0.959606
4003.9500,0.846901
4004.0000,0.933889
4004.0500,1.0222
4004.1000,0.973015
4004.1500,1.08749
4004.2000,1.05328
4004.2500,1.0898
4004.3000,1.12816
4004.3500,1.08854
4004.4000,1.20857
4004.4500,1.14357
4004.5000,1.1247
4004.5500,0.997178
4004.6000,1.08378
4004.6500,0.985011
4004.7000,0.8168
4004.7500,0.835284
4004.8000,0.766363
4004.8500,0.530731
4004.9000,0.497612
4004.9500,0.375642
4005.0000,0.580112
4005.0500,0.494848
4005.1000,0.490386
4005.1500,0.457936
4005.2000,0.316498
4005.2500,0.403953
4005.3000,0.398249
4005.3500,0.437529
4005.4000,0.449577
4005.4500,0.516412
4005.5000,0.434028
4005.5500,0.781455
4005.6000,0.641204
4005.6500,0.657482
4005.7000,0.73274
4005.7500,0.757546
4005.8000,0.827419
4005.8500,0.899109
4005.9000,1.02183
4005.9500,0.863773
4006.0000,1.06147
4006.0500,0.937602
4006.1000,0.845181
4006.1500,0.824742
4006.2000,0.672858
4006.2500,0.785404
4006.3000,0.748111
4006.3500,0.602289
4006.4000,0.824947
4006.4500,0.995633
4006.5000,0.949165
4006.5500,0.814286
4006.6000,0.724263
4006.6500,0.521462
4006.7000,0.567948
4006.7500,0.534471
4006.8000,0.751581
4006.8500,0.775375
4006.9000,0.716059
4006.9500,0.800616
4007.0000,0.854457
4007.0500,0.918354
4007.1000,0.914737
4007.1500,0.966371
4007.2000,0.775838
4007.2500,0.640028
4007.3000,0.672206
4007.3500,0.701018
4007.4000,0.85501
4007.4500,0.890667
4007.5000,2.27819
4007.5500,3.21798
4007.6000,1.24918
4007.6500,1.10523
4007.7000,1.02892
4007.7500,0.999283
4007.8000,0.88176
4007.8500,0.941869
4007.9000,0.75389
4007.9500,0.782727
4008.0000,0.756418
4008.0500,0.844885
4008.1000,0.897996
4008.1500,0.897068
4008.2000,0.923263
4008.2500,1.10428
4008.3000,1.15319
4008.3500,1.14549
4008.4000,1.15623
4008.4500,1.15892
4008.5000,1.15082
4008.5500,1.06186
4008.6000,0.944174
4008.6500,0.981291
4008.7000,0.915961
4008.7500,0.88444
4008.8000,0.834018
4008.8500,0.703243
4008.9000,0.697794
4008.9500,0.778407
4009.0000,0.723373
4009.0500,0.785551
4009.1000,0.862503
4009.1500,0.978571
4009.2000,0.963138
4009.2500,1.13732
4009.3000,1.18099
4009.3500,1.28507
4009.4000,1.11098
4009.4500,1.01424
4009.5000,0.990115
4009.5500,0.906361
4009.6000,0.743927
4009.6500,0.623535
4009.7000,0.482101
4009.7500,0.577523
4009.8000,0.826051
4009.8500,0.977436
4009.9000,1.08783
4009.9500,1.17418
4010.0000,1.04685
4010.0500,0.964594
4010.1000,1.14189
4010.1500,1.03767
4010.2000,1.01459
4010.2500,0.972805
4010.3000,1.08765
4010.3500,1.21233
4010.4000,0.956196
4010.4500,1.03719
4010.5000,0.908321
4010.5500,0.836352
4010.6000,0.887784
4010.6500,0.883037
4010.7000,0.831273
4010.7500,0.927448
4010.8000,0.77863
4010.8500,0.825711
4010.9000,0.847869
4010.9500,0.823364
4011.0000,0.841047
4011.0500,0.855966
4011.1000,1.09233
4011.1500,1.03823
4011.2000,1.06955
4011.2500,1.14339
4011.3000,1.08307
4011.3500,0.953398
4011.4000,0.78595
4011.4500,0.861767
4011.5000,1.00702
4011.5500,1.21878
4011.6000,1.07557
4011.6500,0.890101
4011.7000,1.06754
4011.7500,0.927287
4011.8000,0.837757
4011.8500,0.989898
4011.9000,1.0611
4011.9500,0.947862
4012.0000,1.09012
4012.0500,1.07169
4012.1000,1.00042
4012.1500,0.857914
4012.2000,0.702436
4012.2500,0.573267
4012.3000,0.560959
4012.3500,0.772749
4012.4000,0.54205
4012.4500,0.725586
4012.5000,0.883096
4012.5500,0.877245
4012.6000,0.722007
4012.6500,1.07922
4012.7000,0.984432
4012.7500,0.870343
4012.8000,1.04005
4012.8500,1.19206
4012.9000,1.1589
4012.9500,1.30346
4013.0000,1.25028
4013.0500,1.15606
4013.1000,1.04573
4013.1500,1.15781
4013.2000,1.0134
4013.2500,1.00296
4013.3000,1.2174
4013.3500,1.16211
4013.4000,1.1281
4013.4500,1.19533
4013.5000,0.847556
4013.5500,0.782282
4013.6000,0.724293
4013.6500,0.605789
4013.7000,0.700233
4013.7500,0.704102
4013.8000,0.66231
4013.8500,0.602165
4013.9000,0.584154
4013.9500,0.760209
4014.0000,0.838487
4014.0500,1.16711
4014.1000,1.15329
4014.1500,1.1061
4014.2000,1.14553
4014.2500,1.23922
4014.3000,0.864765
4014.3500,0.907032
4014.4000,0.925134
4014.4500,0.76704
4014.5000,0.613725
4014.5500,0.554695
4014.6000,0.821115
4014.6500,0.846503
4014.7000,1.02596
4014.7500,1.08493
4014.8000,1.07065
4014.8500,0.942535
4014.9000,0.845055
4014.9500,0.875574
4015.0000,1.1104
4015.0500,1.11865
4015.1000,1.11887
4015.1500,1.06786
4015.2000,1.07773
4015.2500,1.19465
4015.3000,1.09657
4015.3500,0.991901
4015.4000,0.899081
4015.4500,0.702504
4015.5000,0.814794
4015.5500,0.894986
4015.6000,0.77834
4015.6500,0.780926
4015.7000,0.917915
4015.7500,1.14051
4015.8000,1.15939
4015.8500,1.08503
4015.9000,1.06534
4015.9500,1.14158
4016.0000,1.18366
4016.0500,1.141
4016.1000,1.07258
4016.1500,1.29129
4016.2000,1.22662
4016.2500,0.951537
4016.3000,1.04771
4016.3500,0.856478
4016.4000,0.698495
4016.4500,0.758578
4016.5000,0.81513
4016.5500,0.89205
4016.6000,1.17709
4016.6500,1.02325
4016.7000,1.1089
4016.7500,1.02703
4016.8000,1.07732
4016.8500,0.858632
4016.9000,1.01333
4016.9500,1.01291
4017.0000,0.867859
4017.0500,0.757263
4017.1000,0.622416
4017.1500,0.348115
4017.2000,0.59988
4017.2500,0.778755
4017.3000,0.884336
4017.3500,0.928316
4017.4000,0.821119
4017.4500,0.690743
4017.5000,0.719794
4017.5500,0.678339
4017.6000,0.88649
4017.6500,0.954576
4017.7000,0.976718
4017.7500,0.98087
4017.8000,1.09046
4017.8500,1.00456
4017.9000,1.01905
4017.9500,1.24273
4018.0000,0.831455
4018.0500,0.571874
4018.1000,0.449716
4018.1500,0.463901
4018.2000,0.508678
4018.2500,0.631633
4018.3000,0.657378
4018.3500,0.76524
4018.4000,0.863231
4018.4500,0.884921
4018.5000,1.06977
4018.5500,1.18376
4018.6000,1.09562
4018.6500,1.13069
4018.7000,1.25903
4018.7500,1.17646
4018.8000,1.02183
4018.8500,0.978692
4018.9000,0.975301
4018.9500,0.852393
4019.0000,0.792839
4019.0500,0.850543
4019.1000,0.807832
4019.1500,0.841254
4019.2000,0.894016
4019.2500,0.862683
4019.3000,0.917781
4019.3500,1.04656
4019.4000,0.947711
4019.4500,1.16929
4019.5000,1.28098
4019.5500,1.15794
4019.6000,1.19649
4019.6500,1.11877
4019.7000,1.16302
4019.7500,1.21747
4019.8000,1.07866
4019.8500,1.02885
4019.9000,1.06508
4019.9500,0.905323
4020.0000,0.80518
4020.0500,0.820589
4020.1000,0.69329
4020.1500,0.681926
4020.2000,0.590835
4020.2500,0.676224
4020.3000,0.648947
4020.3500,0.686882
4020.4000,0.620183
4020.4500,0.766165
4020.5000,0.697601
4020.5500,0.952557
4020.6000,1.08302
4020.6500,1.18583
4020.7000,1.12109
4020.7500,1.08085
4020.8000,0.961138
4020.8500,0.708942
4020.9000,0.669881
4020.9500,0.73563
4021.0000,0.925092
4021.0500,1.05882
4021.1000,1.1708
4021.1500,1.12967
4021.2000,1.16734
4021.2500,1.08569
4021.3000,0.978377
4021.3500,1.05667
4021.4000,0.930944
4021.4500,1.07475
4021.5000,1.02991
4021.5500,0.912688
4021.6000,0.700382
4021.6500,0.68086
4021.7000,0.653314
4021.7500,0.703842
4021.8000,0.646809
4021.8500,0.549803
4021.9000,0.613543
4021.9500,0.817717
4022.0000,0.931407
