Longitud_de_onda_A,espectro
4000.0000,1.0139
4000.0500,0.981262
4000.1000,0.995039
4000.1500,1.02232
4000.2000,0.96199
4000.2500,0.950988
4000.3000,0.991857
4000.3500,0.962752
4000.4000,0.979844
4000.4500,0.974589
4000.5000,0.99384
4000.5500,1.00641
4000.6000,0.991774
4000.6500,0.928346
4000.7000,0.966199
4000.7500,0.966767
4000.8000,0.970959
4000.8500,0.988075
4000.9000,0.955503
4000.9500,1.00874
4001.0000,0.950891
4001.0500,0.961181
4001.1000,0.948949
4001.1500,1.00588
4001.2000,0.973875
4001.2500,0.974983
4001.3000,0.984265
4001.3500,1.00761
4001.4000,0.981741
4001.4500,0.968105
4001.5000,1.00347
4001.5500,1.00336
4001.6000,0.995462
4001.6500,0.984372
4001.7000,0.978166
4001.7500,0.963545
4001.8000,0.985214
4001.8500,1.00039
4001.9000,1.00255
4001.9500,0.976861
4002.0000,0.948205
4002.0500,0.985356
4002.1000,0.962003
4002.1500,0.978038
4002.2000,1.00108
4002.2500,1.00966
4002.3000,1.02249
4002.3500,0.999255
4002.4000,0.994395
4002.4500,0.965721
4002.5000,0.97774
4002.5500,0.989215
4002.6000,0.962487
4002.6500,1.0147
4002.7000,0.981416
4002.7500,0.971095
4002.8000,0.984018
4002.8500,0.972677
4002.9000,0.986312
4002.9500,0.967676
4003.0000,1.04651
4003.0500,1.02742
4003.1000,0.975674
4003.1500,0.97011
4003.2000,1.01822
4003.2500,1.00607
4003.3000,0.997323
4003.3500,0.976102
4003.4000,0.983646
4003.4500,0.964824
4003.5000,0.968361
4003.5500,1.01076
4003.6000,0.977044
4003.6500,1.00106
4003.7000,0.956989
4003.7500,0.979563
4003.8000,0.950562
4003.8500,1.00714
4003.9000,0.995762
4003.9500,0.989728
4004.0000,1.00315
4004.0500,1.03913
4004.1000,1.03671
4004.1500,0.994986
4004.2000,0.993679
4004.2500,0.989483
4004.3000,0.959147
4004.3500,0.966221
4004.4000,0.963496
4004.4500,1.03713
4004.5000,1.00112
4004.5500,1.00568
4004.6000,1.03044
4004.6500,1.03297
4004.7000,1.01064
4004.7500,0.984734
4004.8000,0.988373
4004.8500,0.994554
4004.9000,0.974666
4004.9500,0.993956
4005.0000,0.984619
4005.0500,0.970016
4005.1000,0.950567
4005.1500,0.988687
4005.2000,0.976705
4005.2500,0.977053
4005.3000,0.98457
4005.3500,0.974046
4005.4000,1.00708
4005.4500,1.0545
4005.5000,0.986869
4005.5500,0.997339
4005.6000,0.974685
4005.6500,1.01577
4005.7000,0.986391
4005.7500,1.00419
4005.8000,0.977805
4005.8500,1.04188
4005.9000,0.988104
4005.9500,0.994772
4006.0000,0.971241
4006.0500,1.05261
4006.1000,1.02653
4006.1500,0.976999
4006.2000,1.03443
4006.2500,1.02749
4006.3000,1.01075
4006.3500,1.02701
4006.4000,1.01339
4006.4500,0.999365
4006.5000,0.986421
4006.5500,1.01239
4006.6000,1.00438
4006.6500,0.983649
4006.7000,1.00812
4006.7500,0.981849
4006.8000,0.998806
4006.8500,0.972079
4006.9000,1.01236
4006.9500,0.997722
4007.0000,1.00145
4007.0500,1.01382
4007.1000,0.994189
4007.1500,0.988168
4007.2000,0.997829
4007.2500,0.98781
4007.3000,0.992858
4007.3500,0.978373
4007.4000,0.999275
4007.4500,0.994877
4007.5000,0.98334
4007.5500,0.996062
4007.6000,0.974781
4007.6500,0.997068
4007.7000,0.994043
4007.7500,0.982225
4007.8000,0.946652
4007.8500,0.961155
4007.9000,0.974587
4007.9500,0.961034
4008.0000,0.982748
4008.0500,0.953338
4008.1000,0.978126
4008.1500,0.942868
4008.2000,0.969387
4008.2500,0.985109
4008.3000,0.981586
4008.3500,0.955613
4008.4000,0.959842
4008.4500,0.930533
4008.5000,0.966974
4008.5500,0.951818
4008.6000,0.958713
4008.6500,0.941187
4008.7000,0.881297
4008.7500,0.904225
4008.8000,0.910876
4008.8500,0.879716
4008.9000,0.882187
4008.9500,0.841778
4009.0000,0.819202
4009.0500,0.823473
4009.1000,0.791411
4009.1500,0.771634
4009.2000,0.771572
4009.2500,0.794682
4009.3000,0.788859
4009.3500,0.790135
4009.4000,0.803995
4009.4500,0.7882
4009.5000,0.820049
4009.5500,0.831801
4009.6000,0.818367
4009.6500,0.856542
4009.7000,0.847783
4009.7500,0.88379
4009.8000,0.898963
4009.8500,0.894619
4009.9000,0.916888
4009.9500,0.933049
4010.0000,0.912105
4010.0500,0.971343
4010.1000,0.996036
4010.1500,1.00712
4010.2000,0.980612
4010.2500,0.977048
4010.3000,0.990096
4010.3500,0.944346
4010.4000,0.995625
4010.4500,0.995073
4010.5000,1.01917
4010.5500,1.00566
4010.6000,1.02658
4010.6500,0.985612
4010.7000,0.962301
4010.7500,1.03426
4010.8000,1.00762
4010.8500,1.08368
4010.9000,1.05825
4010.9500,1.05199
4011.0000,1.04765
4011.0500,1.02139
4011.1000,1.01333
4011.1500,1.01784
4011.2000,1.0178
4011.2500,1.02829
4011.3000,1.04708
4011.3500,1.02955
4011.4000,1.02468
4011.4500,1.0338
4011.5000,1.00168
4011.5500,1.01568
4011.6000,0.991229
4011.6500,1.01609
4011.7000,1.03537
4011.7500,1.07212
4011.8000,1.08099
4011.8500,1.00832
4011.9000,0.964681
4011.9500,1.02653
4012.0000,1.02256
4012.0500,1.01236
4012.1000,1.01778
4012.1500,0.99876
4012.2000,1.01269
4012.2500,0.989535
4012.3000,1.00954
4012.3500,1.00033
4012.4000,1.02073
4012.4500,0.987462
4012.5000,0.971004
4012.5500,1.00209
4012.6000,1.0175
4012.6500,1.01009
4012.7000,1.00814
4012.7500,1.01124
4012.8000,1.04578
4012.8500,0.998636
4012.9000,0.985198
4012.9500,1.00572
4013.0000,0.974737
4013.0500,1.00477
4013.1000,1.06312
4013.1500,0.990874
4013.2000,1.01745
4013.2500,1.03317
4013.3000,1.04128
4013.3500,1.0639
4013.4000,1.00067
4013.4500,1.0014
4013.5000,1.03585
4013.5500,1.04842
4013.6000,0.992018
4013.6500,0.963264
4013.7000,0.954653
4013.7500,1.02676
4013.8000,0.958139
4013.8500,1.00044
4013.9000,0.983407
4013.9500,1.02043
4014.0000,1.01546
4014.0500,0.969479
4014.1000,1.01911
4014.1500,1.03558
4014.2000,0.990178
4014.2500,1.02111
4014.3000,0.993764
4014.3500,0.996547
4014.4000,1.01674
4014.4500,1.00137
4014.5000,1.04697
4014.5500,1.01454
4014.6000,1.00175
4014.6500,0.996926
4014.7000,0.985614
4014.7500,1.05497
4014.8000,1.02039
4014.8500,0.983799
4014.9000,0.958504
4014.9500,1.00836
4015.0000,0.997395
4015.0500,0.966924
4015.1000,0.974625
4015.1500,1.00592
4015.2000,0.961836
4015.2500,1.03325
4015.3000,1.02344
4015.3500,1.02655
4015.4000,1.03312
4015.4500,0.981671
4015.5000,0.990278
4015.5500,1.01789
4015.6000,1.03774
4015.6500,0.987863
4015.7000,0.980929
4015.7500,0.98051
4015.8000,0.993832
4015.8500,0.996406
4015.9000,0.990015
4015.9500,1.00575
4016.0000,0.976938
4016.0500,1.00537
4016.1000,0.994247
4016.1500,0.982539
4016.2000,0.995203
4016.2500,1.00057
4016.3000,1.03903
4016.3500,0.969947
4016.4000,0.979681
4016.4500,1.02202
4016.5000,1.00529
4016.5500,1.00846
4016.6000,1.00031
4016.6500,1.02592
4016.7000,1.00513
4016.7500,1.00948
4016.8000,1.04197
4016.8500,1.00332
4016.9000,1.0199
4016.9500,0.988406
4017.0000,0.983454
4017.0500,0.992464
4017.1000,0.983399
4017.1500,1.02796
4017.2000,0.998122
4017.2500,0.994496
4017.3000,0.996349
4017.3500,0.997557
4017.4000,1.01512
4017.4500,1.02053
4017.5000,0.995849
4017.5500,1.02386
4017.6000,1.00413
4017.6500,0.979842
4017.7000,1.01249
4017.7500,1.01181
4017.8000,1.00642
4017.8500,1.01715
4017.9000,1.0024
