Longitud_de_onda_A,espectro
4000.0000,0.632369
4000.0500,0.0367441
4000.1000,0
4000.1500,0.677646
4000.2000,0.674705
4000.2500,0.104817
4000.3000,0.047949
4000.3500,0.424358
4000.4000,0.91295
4000.4500,1.04056
4000.5000,0.753426
4000.5500,0
4000.6000,0.606931
4000.6500,0.682146
4000.7000,1.41903
4000.7500,0.456236
4000.8000,0.436596
4000.8500,0
4000.9000,0.352779
4000.9500,0.775024
4001.0000,1.35989
4001.0500,1.21143
4001.1000,0.741349
4001.1500,0.341213
4001.2000,1.25659
4001.2500,1.11241
4001.3000,0.546481
4001.3500,0
4001.4000,0.300659
4001.4500,0.56193
4001.5000,0.535103
4001.5500,0.898233
4001.6000,0.114943
4001.6500,0.414074
4001.7000,0.265087
4001.7500,0.847768
4001.8000,0.870254
4001.8500,1.48957
4001.9000,1.95114
4001.9500,1.22661
4002.0000,0.452629
4002.0500,0
4002.1000,0.354273
4002.1500,0.20152
4002.2000,0.184068
4002.2500,0.571971
4002.3000,0.576657
4002.3500,0.732799
4002.4000,0.625457
4002.4500,0.694315
4002.5000,1.37256
4002.5500,1.48713
4002.6000,0.681051
4002.6500,0.7033
4002.7000,0.805522
4002.7500,0.420994
4002.8000,0.989395
4002.8500,0.904806
4002.9000,0.805051
4002.9500,1.03655
4003.0000,1.10774
4003.0500,0.203154
4003.1000,1.31504
4003.1500,1.14733
4003.2000,0.405845
4003.2500,1.04051
4003.3000,0.784038
4003.3500,1.07613
4003.4000,0.370893
4003.4500,0.607947
4003.5000,0.886004
4003.5500,0.848972
4003.6000,0.939004
4003.6500,0.36241
4003.7000,0.744161
4003.7500,0.442256
4003.8000,0.353083
4003.8500,1.01668
4003.9000,1.05042
4003.9500,0.195999
4004.0000,0.87115
4004.0500,0.454686
4004.1000,1.05526
4004.1500,0.421098
4004.2000,0.583121
4004.2500,0.754608
4004.3000,0.965183
4004.3500,1.07604
4004.4000,0.378918
4004.4500,0.994834
4004.5000,0.991866
4004.5500,0.126252
4004.6000,0.517975
4004.6500,0.108534
4004.7000,0
4004.7500,0
4004.8000,0.658407
4004.8500,0.240157
4004.9000,0.15248
4004.9500,0.362285
4005.0000,0
4005.0500,0.20425
4005.1000,0.66769
4005.1500,0.497198
4005.2000,0
4005.2500,0.151956
4005.3000,0.232849
4005.3500,0
4005.4000,0.037612
4005.4500,0.791492
4005.5000,1.38174
4005.5500,0.372435
4005.6000,0.666346
4005.6500,0.0855643
4005.7000,0.978748
4005.7500,0.646207
4005.8000,0.692812
4005.8500,1.18478
4005.9000,0.662042
4005.9500,1.00979
4006.0000,0.459341
4006.0500,1.09289
4006.1000,0.94351
4006.1500,0.759685
4006.2000,1.66379
4006.2500,0.819484
4006.3000,0.689743
4006.3500,0.954775
4006.4000,0.849918
4006.4500,0.329743
4006.5000,0.757489
4006.5500,1.09198
4006.6000,0.463113
4006.6500,0.325441
4006.7000,0.178468
4006.7500,0.00544386
4006.8000,0.801651
4006.8500,0.912153
4006.9000,0.746075
4006.9500,1.02809
4007.0000,1.02597
4007.0500,0.365903
4007.1000,0.278087
4007.1500,0.753053
4007.2000,0.239174
4007.2500,0.696033
4007.3000,1.31873
4007.3500,0.45886
4007.4000,0.799954
4007.4500,1.05897
4007.5000,0.828559
4007.5500,1.80252
4007.6000,0.915962
4007.6500,1.98134
4007.7000,1.09939
4007.7500,1.12782
4007.8000,1.08814
4007.8500,1.00264
4007.9000,0.711329
4007.9500,0.297306
4008.0000,1.37607
4008.0500,1.55453
4008.1000,1.11401
4008.1500,0.946847
4008.2000,0.871264
4008.2500,1.37504
4008.3000,1.70144
4008.3500,1.07078
4008.4000,1.67217
4008.4500,0.890287
4008.5000,1.2075
4008.5500,1.15725
4008.6000,0.376742
4008.6500,1.11744
4008.7000,1.0361
4008.7500,1.37369
4008.8000,2.14471
4008.8500,1.14185
4008.9000,0.362315
4008.9500,1.02589
4009.0000,0.9518
4009.0500,0.835084
4009.1000,0.608899
4009.1500,0.896861
4009.2000,0.450077
4009.2500,0.89785
4009.3000,1.33352
4009.3500,0.847571
4009.4000,0.861667
4009.4500,1.51359
4009.5000,1.84256
4009.5500,1.77
4009.6000,0.6945
4009.6500,0.77264
4009.7000,1.00578
4009.7500,0.300068
4009.8000,1.04612
4009.8500,1.4797
4009.9000,1.52563
4009.9500,1.12776
4010.0000,1.77482
4010.0500,2.11808
4010.1000,1.66669
4010.1500,1.97661
4010.2000,2.00555
4010.2500,1.50919
4010.3000,1.52145
4010.3500,1.79289
4010.4000,1.67727
4010.4500,2.11651
4010.5000,2.17329
4010.5500,2.32233
4010.6000,1.20914
4010.6500,1.6063
4010.7000,2.14197
4010.7500,2.51223
4010.8000,2.24773
4010.8500,2.05781
4010.9000,2.32535
4010.9500,2.29538
4011.0000,0.968495
4011.0500,1.93033
4011.1000,2.68285
4011.1500,1.25621
4011.2000,1.72441
4011.2500,1.56392
4011.3000,1.83556
4011.3500,0.839073
4011.4000,2.17764
4011.4500,2.77928
4011.5000,2.34738
4011.5500,2.99009
4011.6000,3.27079
4011.6500,2.52414
4011.7000,2.18007
4011.7500,2.68963
4011.8000,2.95943
4011.8500,2.97514
4011.9000,2.66123
4011.9500,2.10855
4012.0000,2.1639
4012.0500,2.6285
4012.1000,2.84851
4012.1500,2.79428
4012.2000,3.05209
4012.2500,2.44336
4012.3000,3.11229
4012.3500,2.33633
4012.4000,1.62656
4012.4500,2.44657
4012.5000,2.90092
4012.5500,3.21975
4012.6000,2.98654
4012.6500,3.38579
4012.7000,3.63248
4012.7500,3.50132
4012.8000,2.9621
4012.8500,4.03025
4012.9000,3.04131
4012.9500,3.38234
4013.0000,3.64796
4013.0500,3.74906
4013.1000,3.87617
4013.1500,3.35939
4013.2000,3.53354
4013.2500,3.50132
4013.3000,3.58551
4013.3500,3.54649
4013.4000,2.30248
4013.4500,2.94012
4013.5000,3.61675
4013.5500,3.30433
4013.6000,2.39133
4013.6500,2.13435
4013.7000,2.20738
4013.7500,2.04812
4013.8000,3.17367
4013.8500,3.39512
4013.9000,3.38699
4013.9500,3.53055
4014.0000,2.7591
4014.0500,3.54955
4014.1000,3.19913
4014.1500,3.38045
4014.2000,3.12746
4014.2500,2.37401
4014.3000,2.34402
4014.3500,2.25282
4014.4000,3.64438
4014.4500,3.48286
4014.5000,3.38286
4014.5500,3.17727
4014.6000,2.84608
4014.6500,2.86697
4014.7000,4.26336
4014.7500,3.19837
4014.8000,2.98192
4014.8500,2.77167
4014.9000,2.75035
4014.9500,2.86136
4015.0000,2.86233
4015.0500,2.74253
4015.1000,3.44194
4015.1500,3.33011
4015.2000,3.31325
4015.2500,3.35371
4015.3000,2.91477
4015.3500,2.99235
4015.4000,3.0339
4015.4500,2.79092
4015.5000,3.3345
4015.5500,3.37074
4015.6000,2.87048
4015.6500,2.89865
4015.7000,2.87888
4015.7500,2.95128
4015.8000,3.25595
4015.8500,2.90737
4015.9000,2.94586
4015.9500,2.81627
4016.0000,2.55196
4016.0500,2.82372
4016.1000,2.62787
4016.1500,2.58141
4016.2000,3.09927
4016.2500,3.23219
4016.3000,3.21249
4016.3500,2.84995
4016.4000,2.60901
4016.4500,2.77721
4016.5000,2.58332
4016.5500,2.14742
4016.6000,2.32108
4016.6500,2.39046
4016.7000,2.04875
4016.7500,2.57312
4016.8000,2.40263
4016.8500,2.07566
4016.9000,2.04152
4016.9500,2.45318
4017.0000,1.84779
4017.0500,1.1863
4017.1000,1.29302
4017.1500,1.25528
4017.2000,1.695
4017.2500,2.12276
4017.3000,2.30124
4017.3500,2.24577
4017.4000,2.11754
4017.4500,2.29992
4017.5000,2.34363
4017.5500,1.98763
4017.6000,1.51222
4017.6500,1.20877
4017.7000,1.03922
4017.7500,1.1341
4017.8000,1.2047
4017.8500,2.01186
4017.9000,2.29531
4017.9500,2.08874
4018.0000,2.00834
4018.0500,1.167
4018.1000,1.10385
4018.1500,1.48436
4018.2000,1.52345
4018.2500,2.09897
4018.3000,1.61207
4018.3500,1.79969
4018.4000,1.71595
4018.4500,1.13644
4018.5000,1.87613
4018.5500,1.75522
4018.6000,1.35839
4018.6500,1.33496
4018.7000,1.31397
4018.7500,1.4636
4018.8000,1.23829
4018.8500,1.22551
4018.9000,1.51715
4018.9500,0.918377
4019.0000,1.29934
4019.0500,1.34771
4019.1000,1.28279
4019.1500,1.12037
4019.2000,1.01973
4019.2500,1.30477
4019.3000,1.16026
4019.3500,1.20097
4019.4000,1.26341
4019.4500,1.32698
4019.5000,1.68217
4019.5500,1.58121
4019.6000,1.25239
4019.6500,1.33657
4019.7000,1.19794
4019.7500,1.77177
4019.8000,0.97827
4019.8500,0.909432
4019.9000,0.981318
4019.9500,1.18387
4020.0000,0.962858
4020.0500,1.56041
4020.1000,1.3244
4020.1500,0.897528
4020.2000,1.17
4020.2500,1.15621
4020.3000,1.65467
4020.3500,1.39208
4020.4000,1.14356
4020.4500,0.850585
4020.5000,1.4626
4020.5500,1.46946
4020.6000,1.18226
4020.6500,0.92827
4020.7000,1.32945
4020.7500,1.24019
4020.8000,0.695331
4020.8500,0.759227
4020.9000,0.736155
4020.9500,0.889977
4021.0000,1.30627
4021.0500,1.21516
4021.1000,0.740643
4021.1500,1.48849
4021.2000,1.7588
4021.2500,1.19951
4021.3000,0.909067
4021.3500,0.778017
4021.4000,1.01714
4021.4500,1.76896
4021.5000,0.973226
4021.5500,0.90562
4021.6000,1.15721
4021.6500,1.14998
4021.7000,0.963493
4021.7500,0.844652
4021.8000,1.26608
4021.8500,0.941523
4021.9000,0.495462
4021.9500,0.772718
4022.0000,0.716889
4022.0500,1.66765
4022.1000,1.20207
4022.1500,1.11905
4022.2000,1.10339
4022.2500,0.705432
4022.3000,1.29275
4022.3500,1.17595
4022.4000,0.971389
4022.4500,1.52329
4022.5000,1.62971
4022.5500,0.874077
4022.6000,0.967955
4022.6500,1.32334
4022.7000,1.54078
4022.7500,1.29588
4022.8000,1.55713
4022.8500,1.36607
4022.9000,1.46544
4022.9500,1.14797
4023.0000,1.313
4023.0500,1.16669
4023.1000,1.27384
4023.1500,0.953073
4023.2000,1.07379
4023.2500,0.653538
4023.3000,0.696436
4023.3500,0.746121
4023.4000,0.979987
4023.4500,1.50039
4023.5000,1.37935
4023.5500,1.49982
4023.6000,1.00754
4023.6500,1.42578
4023.7000,1.75756
4023.7500,1.57672
4023.8000,1.42644
4023.8500,1.35049
4023.9000,1.34681
4023.9500,1.45364
4024.0000,1.78816
4024.0500,1.39439
4024.1000,1.47833
4024.1500,1.23971
4024.2000,0.960936
4024.2500,1.40196
4024.3000,1.47221
4024.3500,1.48136
4024.4000,1.4629
4024.4500,1.28582
4024.5000,1.33515
4024.5500,0.567256
4024.6000,0.994481
4024.6500,0.920757
4024.7000,0.999096
4024.7500,0.258121
4024.8000,1.32492
4024.8500,1.08526
4024.9000,1.13266
4024.9500,0.961371
4025.0000,0.854346
4025.0500,1.21602
4025.1000,0.77678
4025.1500,0.700662
4025.2000,0.763079
4025.2500,1.05036
4025.3000,0.849483
4025.3500,1.22468
4025.4000,0.980215
4025.4500,1.08713
4025.5000,1.46019
4025.5500,0.94771
4025.6000,0.925734
4025.6500,0.95149
4025.7000,0.930105
4025.7500,1.3537
4025.8000,1.25534
4025.8500,0.889088
4025.9000,0.691873
4025.9500,1.13985
4026.0000,1.03365
4026.0500,1.16017
4026.1000,1.46285
4026.1500,0.763912
4026.2000,1.01642
4026.2500,0.648288
4026.3000,1.3983
4026.3500,1.17357
4026.4000,0.948919
4026.4500,0.940338
4026.5000,0.942622
4026.5500,0.890232
4026.6000,0.853469
4026.6500,1.09226
4026.7000,0.974931
4026.7500,0.977457
4026.8000,1.0422
4026.8500,1.20688
4026.9000,0.827355
4026.9500,0.696081
4027.0000,1.10632
4027.0500,0.850146
4027.1000,0.739363
4027.1500,0.48194
4027.2000,0.742929
4027.2500,0.877685
4027.3000,1.12695
4027.3500,0.855387
4027.4000,1.05588
4027.4500,1.13695
4027.5000,0.949898
4027.5500,0.565219
4027.6000,0.613247
4027.6500,0.717256
4027.7000,0.754926
4027.7500,0.898153
4027.8000,0.807753
4027.8500,1.13955
4027.9000,0.78169
4027.9500,1.01036
4028.0000,0.831549
4028.0500,0.977826
4028.1000,0.754851
4028.1500,0.697314
4028.2000,0.570776
4028.2500,0.952847
4028.3000,0.462875
4028.3500,0.431716
4028.4000,0.155677
4028.4500,0.483919
4028.5000,0.904677
4028.5500,1.03365
4028.6000,0.197251
4028.6500,0.57189
4028.7000,0.246904
4028.7500,1.05196
4028.8000,0.792063
4028.8500,1.11501
4028.9000,1.06464
4028.9500,0.884392
4029.0000,1.19506
4029.0500,1.14899
4029.1000,0.87445
4029.1500,1.23003
4029.2000,0.721086
4029.2500,0.471736
4029.3000,1.01035
4029.3500,0.752994
4029.4000,0.515889
4029.4500,0.361037
4029.5000,0.499685
4029.5500,0.496564
4029.6000,0.546
4029.6500,0.590737
4029.7000,0.317874
4029.7500,0.325173
4029.8000,0.366211
4029.8500,0.588334
4029.9000,0.293997
4029.9500,0.354577
4030.0000,0.703995
4030.0500,0.760531
4030.1000,0.487169
4030.1500,0.39652
4030.2000,0.494342
4030.2500,0.390401
4030.3000,0.671257
4030.3500,0.972033
4030.4000,0.493146
4030.4500,0.493364
4030.5000,0.0996385
4030.5500,0.151065
4030.6000,0.316915
4030.6500,0.325658
4030.7000,0
4030.7500,0
4030.8000,0.0661726
4030.8500,0.154494
4030.9000,0.398334
4030.9500,0.436394
4031.0000,0.292179
4031.0500,0.306021
4031.1000,0.98263
4031.1500,0.682625
4031.2000,0.838997
4031.2500,0.579983
4031.3000,0.591232
4031.3500,0.780143
4031.4000,0.271475
4031.4500,0.281653
4031.5000,0.469875
4031.5500,0.541693
4031.6000,0.296883
4031.6500,0
4031.7000,0
4031.7500,0.243479
4031.8000,0.586967
4031.8500,0.552244
4031.9000,0.135939
4031.9500,0.374969
4032.0000,0.390823
4032.0500,0.542011
4032.1000,0.905398
4032.1500,0.915624
4032.2000,1.06793
4032.2500,0.0632957
4032.3000,1.25389
4032.3500,1.13293
4032.4000,0.627497
4032.4500,0.222165
4032.5000,0.834903
4032.5500,0.647459
4032.6000,0.268769
4032.6500,0.0228355
4032.7000,0.0307497
4032.7500,0.724276
4032.8000,0.359788
4032.8500,0.199509
4032.9000,0.275523
4032.9500,0.40839
4033.0000,0
4033.0500,0.164526
4033.1000,0.87169
4033.1500,0.261634
4033.2000,0.480605
4033.2500,0.574208
4033.3000,0.285257
4033.3500,0.539538
4033.4000,0.628185
4033.4500,0.823542
4033.5000,0.510678
4033.5500,0.693205
4033.6000,0.400464
4033.6500,0.735942
4033.7000,0.633291
4033.7500,0.864006
4033.8000,0.604539
4033.8500,0.892931
4033.9000,0.612489
4033.9500,0.46839
4034.0000,0.802202
4034.0500,1.04777
4034.1000,0.984274
4034.1500,0.640906
4034.2000,0.408136
4034.2500,0.84348
4034.3000,0.390811
4034.3500,0.581946
4034.4000,0.743542
4034.4500,0.471557
4034.5000,0.00404712
4034.5500,0
4034.6000,0.285621
4034.6500,0.0185456
4034.7000,0.466052
4034.7500,0.348108
4034.8000,0
4034.8500,0.410651
4034.9000,0.565407
4034.9500,0.441968
4035.0000,0.571248
4035.0500,0.503388
4035.1000,0.835437
4035.1500,0.926829
4035.2000,0.921084
4035.2500,0.4557
4035.3000,0.416197
4035.3500,0.885095
4035.4000,0.427357
4035.4500,1.06681
4035.5000,0.866957
4035.5500,0.651621
4035.6000,0
4035.6500,0.365569
4035.7000,0.818729
4035.7500,1.26959
4035.8000,0.895965
4035.8500,0.731835
4035.9000,0.723478
4035.9500,1.01111
4036.0000,0.418529
4036.0500,0.098597
4036.1000,0.746238
4036.1500,1.09556
4036.2000,0.778192
4036.2500,1.14535
4036.3000,0.648111
4036.3500,0.764951
4036.4000,0.931675
4036.4500,0.5535
4036.5000,0.667087
4036.5500,1.2994
4036.6000,1.14131
4036.6500,0.395735
4036.7000,0.792039
4036.7500,1.3629
4036.8000,1.1923
4036.8500,0.489601
4036.9000,1.41629
4036.9500,1.02874
4037.0000,1.14613
4037.0500,1.13821
4037.1000,0.867196
4037.1500,0.734217
4037.2000,0.479154
4037.2500,0.892685
4037.3000,0.913391
4037.3500,0.584841
4037.4000,1.00272
4037.4500,1.22011
4037.5000,0.861673
4037.5500,1.17885
4037.6000,0.766204
4037.6500,1.28059
4037.7000,0.806754
4037.7500,0.891071
4037.8000,1.1715
4037.8500,0.673296
4037.9000,0.708389
4037.9500,0.905706
4038.0000,1.06457
4038.0500,1.00723
4038.1000,1.43961
4038.1500,0.769018
4038.2000,0.0221613
4038.2500,0.63885
4038.3000,1.38633
4038.3500,0.452678
4038.4000,0.737644
4038.4500,0.761487
4038.5000,0.766159
4038.5500,0.867005
4038.6000,1.44341
4038.6500,1.1188
4038.7000,0.790951
4038.7500,1.118
4038.8000,1.1671
4038.8500,1.19393
4038.9000,1.00708
4038.9500,1.01641
4039.0000,0.373353
4039.0500,0.869473
4039.1000,0.929942
4039.1500,0.895669
