Longitud_de_onda_A,espectro
4000.0000,1.08643
4000.0500,1.03786
4000.1000,1.0279
4000.1500,1.05717
4000.2000,0.944714
4000.2500,0.919933
4000.3000,1.01525
4000.3500,0.966201
4000.4000,0.997249
4000.4500,0.896675
4000.5000,0.959681
4000.5500,0.946645
4000.6000,0.972408
4000.6500,0.965294
4000.7000,0.95961
4000.7500,1.03597
4000.8000,1.04413
4000.8500,0.962806
4000.9000,1.02813
4000.9500,1.04682
4001.0000,1.00854
4001.0500,1.00852
4001.1000,0.951233
4001.1500,1.03375
4001.2000,1.00856
4001.2500,1.02479
4001.3000,1.01207
4001.3500,0.991308
4001.4000,1.03591
4001.4500,0.987232
4001.5000,1.03951
4001.5500,1.00992
4001.6000,0.946313
4001.6500,0.973051
4001.7000,0.998406
4001.7500,0.969171
4001.8000,0.990961
4001.8500,1.01235
4001.9000,0.957507
4001.9500,0.903004
4002.0000,0.969619
4002.0500,1.00155
4002.1000,0.921723
4002.1500,1.02085
4002.2000,1.03843
4002.2500,1.04567
4002.3000,1.14816
4002.3500,1.05654
4002.4000,1.06368
4002.4500,1.13983
4002.5000,1.08142
4002.5500,1.09821
4002.6000,1.04343
4002.6500,1.0447
4002.7000,1.05253
4002.7500,1.048
4002.8000,1.04139
4002.8500,1.01817
4002.9000,0.939598
4002.9500,0.968524
4003.0000,0.808026
4003.0500,0.838629
4003.1000,0.862111
4003.1500,0.866781
4003.2000,0.906756
4003.2500,0.962927
4003.3000,0.887045
4003.3500,0.863836
4003.4000,0.84657
4003.4500,0.838154
4003.5000,0.88741
4003.5500,0.884669
4003.6000,0.912287
4003.6500,0.979264
4003.7000,0.925761
4003.7500,0.961306
4003.8000,0.921908
4003.8500,0.87214
4003.9000,0.913489
4003.9500,0.956178
4004.0000,1.08354
4004.0500,1.02777
4004.1000,1.07456
4004.1500,1.13112
4004.2000,1.01662
4004.2500,1.07493
4004.3000,1.07391
4004.3500,0.983023
4004.4000,0.971358
4004.4500,0.968559
4004.5000,0.947715
4004.5500,1.03681
4004.6000,1.03695
4004.6500,1.01869
4004.7000,0.951955
4004.7500,0.883039
4004.8000,0.850996
4004.8500,0.780473
4004.9000,0.764162
4004.9500,0.732989
4005.0000,0.798255
4005.0500,0.864686
4005.1000,0.861515
4005.1500,0.832366
4005.2000,0.805086
4005.2500,0.765411
4005.3000,0.739231
4005.3500,0.774995
4005.4000,0.758579
4005.4500,0.797019
4005.5000,0.88906
4005.5500,0.855643
4005.6000,0.940959
4005.6500,0.894117
4005.7000,0.947698
4005.7500,0.897967
4005.8000,0.947568
4005.8500,0.996177
4005.9000,0.944866
4005.9500,1.04216
4006.0000,1.03033
4006.0500,0.983617
4006.1000,0.982949
4006.1500,0.961118
4006.2000,0.992218
4006.2500,0.965688
4006.3000,0.98281
4006.3500,0.979726
4006.4000,0.948101
4006.4500,0.977474
4006.5000,0.980195
4006.5500,0.954069
4006.6000,0.966225
4006.6500,0.998422
4006.7000,0.968237
4006.7500,0.964304
4006.8000,0.948219
4006.8500,1.01478
4006.9000,1.01932
4006.9500,0.984772
4007.0000,1.03038
4007.0500,0.959947
4007.1000,0.947716
4007.1500,0.930518
4007.2000,0.933415
4007.2500,0.900257
4007.3000,0.957517
4007.3500,0.922593
4007.4000,0.946877
4007.4500,1.05477
4007.5000,1.02175
4007.5500,1.03814
4007.6000,1.09473
4007.6500,1.08107
4007.7000,1.06095
4007.7500,1.03835
4007.8000,0.951313
4007.8500,0.962898
4007.9000,0.94229
4007.9500,0.950104
4008.0000,0.968533
4008.0500,1.01372
4008.1000,1.08226
4008.1500,1.0836
4008.2000,0.99502
4008.2500,1.05553
4008.3000,1.04901
4008.3500,1.00704
4008.4000,1.02601
4008.4500,1.0906
4008.5000,1.06945
4008.5500,1.06768
4008.6000,1.03391
4008.6500,1.00749
4008.7000,0.944648
4008.7500,0.987256
4008.8000,0.987333
4008.8500,1.00523
4008.9000,1.01035
4008.9500,0.95468
4009.0000,0.976902
4009.0500,0.964485
4009.1000,0.980335
4009.1500,1.04086
4009.2000,1.03311
4009.2500,1.06577
4009.3000,1.06854
4009.3500,1.11471
4009.4000,1.11503
4009.4500,1.01422
4009.5000,1.00851
4009.5500,1.0012
4009.6000,0.918978
4009.6500,0.92357
4009.7000,0.883209
4009.7500,0.855098
4009.8000,0.899527
4009.8500,0.919328
4009.9000,0.942876
4009.9500,0.964458
4010.0000,1.04208
4010.0500,1.09655
4010.1000,1.0675
4010.1500,1.08038
4010.2000,1.06621
4010.2500,1.08881
4010.3000,1.05445
4010.3500,1.03574
4010.4000,1.04521
4010.4500,0.960574
4010.5000,0.901103
4010.5500,0.790263
4010.6000,0.895339
4010.6500,0.874678
4010.7000,0.982129
4010.7500,0.969821
4010.8000,0.992338
4010.8500,1.00731
4010.9000,0.972856
4010.9500,1.07087
4011.0000,1.1129
4011.0500,1.09185
4011.1000,1.09633
4011.1500,1.11323
4011.2000,1.0532
4011.2500,1.0775
4011.3000,1.09618
4011.3500,1.05879
4011.4000,1.01916
4011.4500,1.06823
4011.5000,1.06581
4011.5500,1.01813
4011.6000,1.05746
4011.6500,1.04284
4011.7000,1.05564
4011.7500,1.03053
4011.8000,0.942147
4011.8500,0.985182
4011.9000,0.99541
4011.9500,0.984804
4012.0000,0.989077
4012.0500,0.943218
4012.1000,0.970865
4012.1500,0.99675
4012.2000,0.947025
4012.2500,0.983272
4012.3000,0.89638
4012.3500,0.844464
4012.4000,0.823456
4012.4500,0.786248
4012.5000,0.807659
4012.5500,0.831543
4012.6000,0.872076
4012.6500,0.860216
4012.7000,0.880615
4012.7500,0.913045
4012.8000,1.02388
4012.8500,1.02802
4012.9000,1.01697
4012.9500,1.07421
4013.0000,1.09911
4013.0500,1.05781
4013.1000,1.03616
4013.1500,1.06255
4013.2000,1.00788
4013.2500,1.08609
4013.3000,1.06087
4013.3500,1.09409
4013.4000,1.09089
4013.4500,1.02128
4013.5000,1.05624
4013.5500,1.00546
4013.6000,0.95259
4013.6500,0.935753
4013.7000,0.864028
4013.7500,0.844705
4013.8000,0.840683
4013.8500,0.885334
4013.9000,0.914804
4013.9500,1.00229
4014.0000,1.04388
4014.0500,1.04258
4014.1000,1.06998
4014.1500,1.03283
4014.2000,1.07197
4014.2500,0.957171
4014.3000,1.00153
4014.3500,1.00432
4014.4000,0.957624
4014.4500,0.894934
4014.5000,0.847359
4014.5500,0.826818
4014.6000,0.808779
4014.6500,0.811438
4014.7000,0.905731
4014.7500,1.07109
4014.8000,1.02773
4014.8500,1.04871
4014.9000,0.998166
4014.9500,1.04274
4015.0000,1.08906
4015.0500,1.00667
4015.1000,0.994662
4015.1500,0.983917
4015.2000,0.896792
4015.2500,0.890747
4015.3000,0.914728
4015.3500,0.869314
4015.4000,0.925259
4015.4500,0.924834
4015.5000,0.868696
4015.5500,0.894972
4015.6000,0.860082
4015.6500,0.819306
4015.7000,0.813124
4015.7500,0.915952
4015.8000,0.957549
4015.8500,0.972842
4015.9000,1.02936
4015.9500,1.05651
4016.0000,1.02774
4016.0500,1.02501
4016.1000,1.07591
4016.1500,1.06602
4016.2000,0.937292
4016.2500,0.890708
4016.3000,0.851538
4016.3500,0.890654
4016.4000,0.873978
4016.4500,0.914699
4016.5000,0.885486
4016.5500,0.950029
4016.6000,1.02107
4016.6500,1.01543
4016.7000,1.04875
4016.7500,1.02629
4016.8000,1.00496
4016.8500,1.00972
4016.9000,1.03687
4016.9500,0.922929
4017.0000,1.00456
4017.0500,0.939991
4017.1000,0.89995
4017.1500,0.868738
4017.2000,0.83576
4017.2500,0.912654
4017.3000,0.917953
4017.3500,0.965144
4017.4000,0.929173
4017.4500,0.967606
4017.5000,1.00035
4017.5500,0.947001
4017.6000,0.961019
4017.6500,0.994126
4017.7000,1.04014
4017.7500,1.00888
4017.8000,1.06504
4017.8500,1.0474
4017.9000,1.07795
4017.9500,1.01518
4018.0000,0.958613
4018.0500,0.973405
4018.1000,0.913366
4018.1500,0.853482
4018.2000,0.88764
4018.2500,0.852306
4018.3000,0.889178
4018.3500,0.878307
4018.4000,0.869731
4018.4500,0.92193
4018.5000,0.944789
4018.5500,0.946297
4018.6000,0.928608
4018.6500,0.975941
4018.7000,1.00413
4018.7500,1.04642
4018.8000,1.06497
4018.8500,1.07624
4018.9000,1.0448
4018.9500,1.02424
4019.0000,1.00084
4019.0500,1.01346
4019.1000,1.01276
4019.1500,1.00424
4019.2000,1.02865
4019.2500,1.0451
4019.3000,1.09146
4019.3500,1.08837
4019.4000,1.07716
4019.4500,1.06648
4019.5000,1.03879
4019.5500,1.04942
4019.6000,1.06576
4019.6500,1.06513
4019.7000,0.960387
4019.7500,0.962873
4019.8000,1.01393
4019.8500,0.949675
4019.9000,0.951269
4019.9500,0.893639
4020.0000,0.921846
4020.0500,0.893354
4020.1000,0.890127
4020.1500,0.939102
4020.2000,0.938564
4020.2500,0.970898
4020.3000,0.957309
4020.3500,0.956507
4020.4000,0.950463
4020.4500,0.962386
4020.5000,0.994806
4020.5500,1.03128
4020.6000,1.02191
4020.6500,1.0143
4020.7000,1.01909
4020.7500,1.06029
4020.8000,1.03493
4020.8500,0.972386
4020.9000,0.987333
4020.9500,0.985387
4021.0000,1.03254
4021.0500,1.00064
