Longitud_de_onda_A,espectro
4000.0000,1.24333
4000.0500,1.23736
4000.1000,0.916138
4000.1500,0.865185
4000.2000,0.704715
4000.2500,1.00185
4000.3000,1.00014
4000.3500,0.620699
4000.4000,0.942989
4000.4500,0.834887
4000.5000,1.28623
4000.5500,0.352623
4000.6000,0.577331
4000.6500,0.842678
4000.7000,1.47542
4000.7500,0.885244
4000.8000,1.28873
4000.8500,0.736984
4000.9000,1.7578
4000.9500,1.55841
4001.0000,0.144201
4001.0500,0.998142
4001.1000,1.46831
4001.1500,1.09861
4001.2000,0.931586
4001.2500,1.28505
4001.3000,1.24953
4001.3500,1.0685
4001.4000,1.31415
4001.4500,1.59087
4001.5000,1.1484
4001.5500,1.41884
4001.6000,0.982311
4001.6500,0.885866
4001.7000,1.08967
4001.7500,1.31588
4001.8000,0.82029
4001.8500,0.78307
4001.9000,0.87147
4001.9500,0.921569
4002.0000,0.609169
4002.0500,0.940818
4002.1000,1.10697
4002.1500,1.15111
4002.2000,0.845498
4002.2500,0.873956
4002.3000,1.63629
4002.3500,1.13887
4002.4000,1.30266
4002.4500,1.07392
4002.5000,1.60331
4002.5500,0.785495
4002.6000,0.957989
4002.6500,1.24284
4002.7000,1.2123
4002.7500,0.792103
4002.8000,0.726912
4002.8500,0.931784
4002.9000,1.08657
4002.9500,0.811614
4003.0000,1.25506
4003.0500,1.56031
4003.1000,0.852728
4003.1500,0.933812
4003.2000,1.46074
4003.2500,1.39243
4003.3000,1.54888
4003.3500,1.2225
4003.4000,1.07618
4003.4500,1.05218
4003.5000,1.3798
4003.5500,1.36878
4003.6000,1.78773
4003.6500,0.98102
4003.7000,1.18023
4003.7500,1.02096
4003.8000,0.943303
4003.8500,1.2806
4003.9000,0.735573
4003.9500,0.583675
4004.0000,0.611063
4004.0500,0.784625
4004.1000,0.920723
4004.1500,0.982548
4004.2000,1.11512
4004.2500,0.967454
4004.3000,1.28412
4004.3500,1.09745
4004.4000,1.10563
4004.4500,1.20194
4004.5000,1.08763
4004.5500,1.42836
4004.6000,0.606158
4004.6500,1.18911
4004.7000,1.29286
4004.7500,1.34323
4004.8000,0.728723
4004.8500,0.922055
4004.9000,1.23972
4004.9500,0.795677
4005.0000,0.407665
4005.0500,0.525042
4005.1000,0.800957
4005.1500,0.727288
4005.2000,0.534616
4005.2500,0.358175
4005.3000,0.157351
4005.3500,0.581296
4005.4000,0.561732
4005.4500,0.605163
4005.5000,0.8597
4005.5500,0.392763
4005.6000,0.175232
4005.6500,0.302449
4005.7000,0.740896
4005.7500,1.27248
4005.8000,0.800271
4005.8500,1.15123
4005.9000,1.10427
4005.9500,1.4092
4006.0000,0.75817
4006.0500,0.814114
4006.1000,0.821426
4006.1500,1.23378
4006.2000,0.436886
4006.2500,1.07533
4006.3000,1.45739
4006.3500,1.15936
4006.4000,0.994972
4006.4500,1.27498
4006.5000,0.933889
4006.5500,1.18763
4006.6000,1.93243
4006.6500,1.06158
4006.7000,1.16369
4006.7500,0.934278
4006.8000,1.56412
4006.8500,1.00437
4006.9000,1.21289
4006.9500,1.02451
4007.0000,1.12319
4007.0500,1.39473
4007.1000,1.23959
4007.1500,0.970122
4007.2000,0.314582
4007.2500,0.978732
4007.3000,0.99574
4007.3500,0.907861
4007.4000,0.999269
4007.4500,1.44882
4007.5000,0.756366
4007.5500,0.935918
4007.6000,1.4901
4007.6500,1.44123
4007.7000,1.49173
4007.7500,1.80216
4007.8000,1.46217
4007.8500,1.92858
4007.9000,3.63773
4007.9500,1.64399
