Longitud_de_onda_A,espectro
4000.0000,1.23929
4000.0500,1.2405
4000.1000,0.921067
4000.1500,0.858739
4000.2000,0.707222
4000.2500,1.00805
4000.3000,0.995266
4000.3500,0.618546
4000.4000,0.948244
4000.4500,0.832767
4000.5000,1.29038
4000.5500,0.349483
4000.6000,0.581303
4000.6500,0.835221
4000.7000,1.47444
4000.7500,0.881333
4000.8000,1.28543
4000.8500,0.748044
4000.9000,1.75689
4000.9500,1.56171
4001.0000,0.144703
4001.0500,0.994555
4001.1000,1.47066
4001.1500,1.10346
4001.2000,0.923279
4001.2500,1.29036
4001.3000,1.2531
4001.3500,1.07281
4001.4000,1.31557
4001.4500,1.59449
4001.5000,1.14574
4001.5500,1.41957
4001.6000,0.981005
4001.6500,0.882304
4001.7000,1.09269
4001.7500,1.31831
4001.8000,0.817831
4001.8500,0.781945
4001.9000,0.868075
4001.9500,0.915146
4002.0000,0.617127
4002.0500,0.933678
4002.1000,1.11121
4002.1500,1.14936
4002.2000,0.84913
4002.2500,0.870396
4002.3000,1.63887
4002.3500,1.1386
4002.4000,1.30478
4002.4500,1.07723
4002.5000,1.60278
4002.5500,0.788844
4002.6000,0.956714
4002.6500,1.23805
4002.7000,1.22058
4002.7500,0.795132
4002.8000,0.735314
4002.8500,0.937762
4002.9000,1.0806
4002.9500,0.818528
4003.0000,1.25117
4003.0500,1.55418
4003.1000,0.857464
4003.1500,0.940659
4003.2000,1.46185
4003.2500,1.38802
4003.3000,1.54541
4003.3500,1.21646
4003.4000,1.07409
4003.4500,1.05034
4003.5000,1.37905
4003.5500,1.37676
4003.6000,1.79618
4003.6500,0.984381
4003.7000,1.17067
4003.7500,1.01853
4003.8000,0.941316
4003.8500,1.27635
4003.9000,0.734989
4003.9500,0.586059
4004.0000,0.611423
4004.0500,0.776888
4004.1000,0.922349
4004.1500,0.981505
4004.2000,1.11255
4004.2500,0.961968
4004.3000,1.28454
4004.3500,1.09873
4004.4000,1.10839
4004.4500,1.20031
4004.5000,1.08266
4004.5500,1.42984
4004.6000,0.597657
4004.6500,1.18827
4004.7000,1.29524
4004.7500,1.34142
4004.8000,0.727913
4004.8500,0.926362
4004.9000,1.24068
4004.9500,0.787967
4005.0000,0.412338
4005.0500,0.518339
4005.1000,0.799754
4005.1500,0.72949
4005.2000,0.541878
4005.2500,0.353991
4005.3000,0.160427
4005.3500,0.578273
4005.4000,0.555748
4005.4500,0.603722
4005.5000,0.853825
4005.5500,0.393952
4005.6000,0.17858
4005.6500,0.303888
4005.7000,0.733906
4005.7500,1.27248
4005.8000,0.794666
4005.8500,1.14629
4005.9000,1.10596
4005.9500,1.40377
4006.0000,0.752896
4006.0500,0.816208
4006.1000,0.830236
4006.1500,1.23508
4006.2000,0.438769
4006.2500,1.08305
4006.3000,1.45808
4006.3500,1.1655
4006.4000,1.0004
4006.4500,1.26352
4006.5000,0.929422
4006.5500,1.19082
4006.6000,1.92739
4006.6500,1.06513
4006.7000,1.15679
4006.7500,0.934439
4006.8000,1.56708
4006.8500,1.00401
4006.9000,1.21396
4006.9500,1.02007
4007.0000,1.13177
4007.0500,1.39422
4007.1000,1.23767
4007.1500,0.963007
4007.2000,0.310985
4007.2500,0.980008
4007.3000,0.98978
4007.3500,0.90286
4007.4000,0.999433
4007.4500,1.4447
4007.5000,0.751502
4007.5500,0.931192
4007.6000,1.48992
4007.6500,1.4432
4007.7000,1.48607
4007.7500,1.80155
4007.8000,1.46503
4007.8500,1.93082
4007.9000,3.63748
4007.9500,1.64456
4008.0000,1.25697
4008.0500,1.02792
4008.1000,1.2857
4008.1500,1.00052
4008.2000,0.980739
4008.2500,1.00303
4008.3000,1.15663
4008.3500,1.2844
4008.4000,1.11086
4008.4500,1.50282
4008.5000,0.67047
4008.5500,1.06493
4008.6000,0.870054
4008.6500,1.37279
4008.7000,0.588971
4008.7500,1.09663
4008.8000,1.07889
4008.8500,0.274366
4008.9000,0.747359
4008.9500,0.721454
4009.0000,0.373147
4009.0500,0.491645
4009.1000,0.799281
4009.1500,0.471284
4009.2000,0.746723
4009.2500,1.09121
4009.3000,1.20497
4009.3500,1.2186
4009.4000,1.06201
4009.4500,1.53952
4009.5000,1.32872
4009.5500,1.03914
4009.6000,0.985509
4009.6500,0.884245
4009.7000,0.952117
4009.7500,0.477715
4009.8000,0.117426
4009.8500,0.467811
4009.9000,0.854408
4009.9500,0.628083
4010.0000,0.803678
4010.0500,0.976656
4010.1000,1.25426
4010.1500,1.39189
4010.2000,1.57622
4010.2500,2.09738
4010.3000,1.56789
4010.3500,1.23514
4010.4000,1.33292
4010.4500,0.920945
4010.5000,1.17434
4010.5500,1.2742
4010.6000,0.935946
4010.6500,1.7135
4010.7000,1.20659
4010.7500,1.16714
4010.8000,0.955468
4010.8500,0.931449
4010.9000,3.56616
4010.9500,4.17927
4011.0000,1.32781
4011.0500,0.942354
4011.1000,1.09183
4011.1500,0.87467
4011.2000,0.420689
4011.2500,1.04446
4011.3000,1.00894
4011.3500,1.72928
4011.4000,1.20101
4011.4500,1.11132
4011.5000,1.79532
4011.5500,1.18028
4011.6000,1.13826
