Longitud_de_onda_A,espectro
4000.0000,1.03115
4000.0500,1.00958
4000.1000,1.05277
4000.1500,1.03832
4000.2000,0.955587
4000.2500,0.90132
4000.3000,0.886018
4000.3500,0.867435
4000.4000,0.871582
4000.4500,0.85318
4000.5000,0.887953
4000.5500,0.942729
4000.6000,1.03273
4000.6500,1.07719
4000.7000,1.08453
4000.7500,1.05289
4000.8000,1.03038
4000.8500,1.04344
4000.9000,1.07961
4000.9500,1.04775
4001.0000,1.0046
4001.0500,0.989686
4001.1000,0.909423
4001.1500,0.886769
4001.2000,0.886998
4001.2500,0.955234
4001.3000,1.01001
4001.3500,0.995174
4001.4000,0.962816
4001.4500,0.929361
4001.5000,0.949896
4001.5500,0.910961
4001.6000,0.904945
4001.6500,0.878368
4001.7000,0.859355
4001.7500,0.928359
4001.8000,1.00606
4001.8500,1.05483
4001.9000,1.05298
4001.9500,1.00214
4002.0000,1.00093
4002.0500,0.962298
4002.1000,0.99802
4002.1500,1.02423
4002.2000,1.06369
4002.2500,1.0775
4002.3000,1.05483
4002.3500,1.01432
4002.4000,0.964895
4002.4500,0.906223
4002.5000,0.890901
4002.5500,0.976331
4002.6000,0.966055
4002.6500,0.949464
4002.7000,0.998397
4002.7500,1.02616
4002.8000,1.03293
4002.8500,0.99366
4002.9000,0.927503
4002.9500,0.905278
4003.0000,1.01461
4003.0500,1.04174
4003.1000,1.03115
4003.1500,1.02842
4003.2000,0.997216
4003.2500,1.03257
4003.3000,1.01795
4003.3500,1.06964
4003.4000,1.0652
4003.4500,1.02637
4003.5000,1.03936
4003.5500,1.00488
4003.6000,1.00969
4003.6500,0.984976
4003.7000,0.942796
4003.7500,0.857995
4003.8000,0.88355
4003.8500,0.933267
4003.9000,0.97993
4003.9500,0.958837
4004.0000,0.958823
4004.0500,0.981085
4004.1000,1.01165
4004.1500,1.01618
4004.2000,0.989746
4004.2500,1.02755
4004.3000,1.03783
4004.3500,1.04716
4004.4000,1.04244
4004.4500,1.04533
4004.5000,1.05438
4004.5500,1.00617
4004.6000,0.98411
4004.6500,0.98279
4004.7000,0.960922
4004.7500,0.94378
4004.8000,0.891808
4004.8500,0.825551
4004.9000,0.812432
4004.9500,0.795515
4005.0000,0.79117
4005.0500,0.822022
4005.1000,0.818737
4005.1500,0.814313
4005.2000,0.801569
4005.2500,0.779764
4005.3000,0.774207
4005.3500,0.798115
4005.4000,0.783688
4005.4500,0.787939
4005.5000,0.845928
4005.5500,0.906225
4005.6000,0.885856
4005.6500,0.859026
4005.7000,0.858027
4005.7500,0.880046
4005.8000,0.952018
4005.8500,1.00541
4005.9000,1.01901
4005.9500,0.98469
4006.0000,0.988983
4006.0500,0.962654
4006.1000,0.93181
4006.1500,0.909215
4006.2000,0.912479
4006.2500,0.867931
4006.3000,0.869464
4006.3500,0.888591
4006.4000,0.947194
4006.4500,0.992203
4006.5000,0.968211
4006.5500,0.94218
4006.6000,0.870701
4006.6500,0.847973
4006.7000,0.826285
4006.7500,0.834825
4006.8000,0.875921
4006.8500,0.953
4006.9000,0.987785
4006.9500,0.987486
4007.0000,0.971855
4007.0500,0.977829
4007.1000,1.01588
4007.1500,1.01467
4007.2000,0.924942
4007.2500,0.87443
4007.3000,0.869823
4007.3500,0.922768
4007.4000,0.976493
4007.4500,0.971625
4007.5000,1.00187
4007.5500,1.00432
4007.6000,1.025
4007.6500,1.06841
4007.7000,1.02572
4007.7500,1.00209
4007.8000,0.992697
4007.8500,0.94418
4007.9000,0.881594
4007.9500,0.872443
4008.0000,0.883053
4008.0500,0.890206
4008.1000,0.936625
4008.1500,0.913892
4008.2000,0.991246
4008.2500,1.0286
4008.3000,1.07702
4008.3500,1.04971
4008.4000,1.06603
4008.4500,1.07074
4008.5000,1.14932
4008.5500,1.06234
4008.6000,0.972996
4008.6500,0.993632
4008.7000,0.964406
4008.7500,0.96496
4008.8000,0.951883
4008.8500,0.8688
4008.9000,0.830128
4008.9500,0.866605
4009.0000,0.915027
4009.0500,0.979288
4009.1000,0.94663
4009.1500,0.924778
4009.2000,1.01195
4009.2500,1.07897
4009.3000,1.12981
4009.3500,1.11618
4009.4000,1.10585
4009.4500,1.07988
4009.5000,0.974213
4009.5500,0.9202
4009.6000,0.870469
4009.6500,0.83571
4009.7000,0.819619
4009.7500,0.852865
4009.8000,0.951977
4009.8500,1.0489
4009.9000,1.05811
4009.9500,1.05259
4010.0000,1.0558
4010.0500,1.05587
4010.1000,1.02262
4010.1500,0.982256
4010.2000,0.970091
4010.2500,0.997827
4010.3000,1.04744
4010.3500,1.03009
4010.4000,0.993043
4010.4500,0.971743
4010.5000,0.942591
4010.5500,0.911936
4010.6000,0.911473
4010.6500,0.937581
4010.7000,0.93172
4010.7500,0.904969
4010.8000,0.89392
4010.8500,0.935932
4010.9000,0.935751
4010.9500,0.932492
4011.0000,0.986384
4011.0500,0.97538
4011.1000,0.991144
4011.1500,1.02999
4011.2000,1.06064
4011.2500,1.03469
4011.3000,1.0353
4011.3500,0.968467
4011.4000,0.917532
4011.4500,0.939472
4011.5000,0.964443
4011.5500,1.02302
4011.6000,1.06602
4011.6500,1.01153
4011.7000,0.905785
4011.7500,0.941579
4011.8000,0.980351
4011.8500,1.03216
4011.9000,1.02834
4011.9500,1.02544
4012.0000,1.06351
4012.0500,1.0327
4012.1000,0.978312
4012.1500,0.936744
4012.2000,0.902181
4012.2500,0.872448
4012.3000,0.850552
4012.3500,0.850412
4012.4000,0.836793
4012.4500,0.855648
4012.5000,0.87912
4012.5500,0.946795
4012.6000,0.907987
4012.6500,0.939528
4012.7000,0.929038
4012.7500,0.969945
4012.8000,1.01434
4012.8500,1.08489
4012.9000,1.07439
4012.9500,1.10001
4013.0000,1.07876
4013.0500,1.09664
4013.1000,1.06178
4013.1500,1.03027
4013.2000,1.03137
4013.2500,1.01886
4013.3000,1.04055
4013.3500,1.10585
4013.4000,1.0848
4013.4500,1.08831
4013.5000,1.03699
4013.5500,0.954795
4013.6000,0.849646
4013.6500,0.863484
4013.7000,0.865502
4013.7500,0.857545
4013.8000,0.828524
4013.8500,0.813135
4013.9000,0.829417
4013.9500,0.866572
4014.0000,0.952505
4014.0500,1.03087
4014.1000,1.0869
4014.1500,1.08912
4014.2000,1.01511
4014.2500,0.933945
4014.3000,0.928247
4014.3500,0.965943
4014.4000,0.977031
4014.4500,0.899614
4014.5000,0.822259
4014.5500,0.844452
4014.6000,0.876631
4014.6500,0.949885
4014.7000,0.97948
4014.7500,1.03794
4014.8000,1.05379
4014.8500,1.01648
4014.9000,0.941097
4014.9500,0.94401
4015.0000,1.01705
4015.0500,1.05569
4015.1000,1.02854
4015.1500,1.02736
4015.2000,1.02144
4015.2500,1.00869
4015.3000,0.993936
4015.3500,0.969899
4015.4000,0.935042
4015.4500,0.939315
4015.5000,0.947002
4015.5500,0.926808
4015.6000,0.878823
4015.6500,0.932791
4015.7000,1.01018
4015.7500,1.06146
4015.8000,1.07687
4015.8500,1.07566
4015.9000,1.02748
4015.9500,1.01122
4016.0000,1.04284
4016.0500,1.02223
4016.1000,1.04501
4016.1500,1.08966
4016.2000,1.09286
4016.2500,1.04059
4016.3000,0.983987
4016.3500,0.94328
4016.4000,0.87189
4016.4500,0.873021
4016.5000,0.922543
4016.5500,0.996177
4016.6000,1.02438
4016.6500,1.02903
4016.7000,1.04175
