Longitud_de_onda_A,espectro
4000.0000,0.993372
4000.0500,1.01584
4000.1000,1.07149
4000.1500,1.00153
4000.2000,0.97724
4000.2500,1.02136
4000.3000,0.948683
4000.3500,0.884851
4000.4000,0.843322
4000.4500,0.856173
4000.5000,0.86616
4000.5500,0.933906
4000.6000,0.954499
4000.6500,0.989258
4000.7000,0.968053
4000.7500,0.971295
4000.8000,0.965295
4000.8500,0.960576
4000.9000,0.99411
4000.9500,0.973884
4001.0000,0.983608
4001.0500,1.02761
4001.1000,1.00448
4001.1500,0.996398
4001.2000,1.05979
4001.2500,1.07826
4001.3000,1.02815
4001.3500,0.989805
4001.4000,0.965551
4001.4500,0.986388
4001.5000,0.99673
4001.5500,0.918125
4001.6000,0.998636
4001.6500,1.02416
4001.7000,1.00912
4001.7500,1.0241
4001.8000,1.02591
4001.8500,1.00403
4001.9000,0.993631
4001.9500,0.97737
4002.0000,0.888332
4002.0500,0.805964
4002.1000,0.772833
4002.1500,0.859295
4002.2000,0.933793
4002.2500,1.02815
4002.3000,1.03934
4002.3500,0.99811
4002.4000,0.936238
4002.4500,0.767628
4002.5000,0.585213
4002.5500,0.655856
4002.6000,0.741357
4002.6500,0.916304
4002.7000,0.952086
4002.7500,0.988144
4002.8000,0.954606
4002.8500,0.893562
4002.9000,0.856398
4002.9500,0.837207
4003.0000,0.946923
4003.0500,0.962857
4003.1000,0.974185
4003.1500,0.939155
4003.2000,0.870272
4003.2500,0.726761
4003.3000,0.741967
4003.3500,0.807439
4003.4000,0.935966
4003.4500,1.01669
4003.5000,1.06863
4003.5500,1.02576
4003.6000,1.03284
4003.6500,0.977599
4003.7000,0.911276
4003.7500,0.892697
4003.8000,0.928265
4003.8500,0.937411
4003.9000,0.989616
4003.9500,0.977067
4004.0000,0.920799
4004.0500,0.953073
4004.1000,0.931715
4004.1500,0.913652
4004.2000,0.966354
4004.2500,0.933269
4004.3000,0.995997
4004.3500,1.02116
4004.4000,1.01628
4004.4500,1.06226
4004.5000,1.0458
4004.5500,1.0293
4004.6000,0.995443
4004.6500,1.00269
4004.7000,1.00428
4004.7500,1.00135
4004.8000,0.964687
4004.8500,0.93876
4004.9000,0.950218
4004.9500,0.902713
4005.0000,0.888538
4005.0500,0.934534
4005.1000,1.00093
4005.1500,0.906177
4005.2000,0.804677
4005.2500,0.779456
4005.3000,0.834435
4005.3500,0.901881
4005.4000,1.00241
4005.4500,1.04363
4005.5000,1.03962
4005.5500,0.998568
4005.6000,0.93205
4005.6500,0.814254
4005.7000,0.855245
4005.7500,0.914566
4005.8000,0.987535
4005.8500,1.02014
4005.9000,1.04264
4005.9500,1.0526
4006.0000,1.028
4006.0500,1.00289
4006.1000,1.0199
4006.1500,1.05624
4006.2000,1.03852
4006.2500,1.00213
4006.3000,1.03255
4006.3500,1.01898
4006.4000,1.03672
4006.4500,1.04373
4006.5000,1.07103
4006.5500,1.04862
4006.6000,1.01966
4006.6500,1.01567
4006.7000,0.990729
4006.7500,1.03321
4006.8000,0.999627
4006.8500,1.02386
4006.9000,1.02347
4006.9500,1.01091
4007.0000,1.00617
4007.0500,0.965284
4007.1000,0.997214
4007.1500,0.98358
4007.2000,1.01004
4007.2500,0.987686
4007.3000,0.981421
4007.3500,0.966883
4007.4000,0.972537
4007.4500,1.01781
4007.5000,0.949717
4007.5500,0.95187
4007.6000,0.969724
4007.6500,0.984995
4007.7000,0.973484
4007.7500,1.03615
4007.8000,0.994123
4007.8500,1.0245
4007.9000,1.03191
4007.9500,1.02892
4008.0000,0.993423
4008.0500,0.933671
4008.1000,0.880655
4008.1500,0.933063
4008.2000,1.00811
4008.2500,1.00622
4008.3000,1.02066
4008.3500,1.06305
4008.4000,1.06235
4008.4500,1.0301
4008.5000,1.05371
4008.5500,1.00866
4008.6000,0.944313
4008.6500,0.947184
4008.7000,0.958712
4008.7500,0.988048
4008.8000,0.982714
4008.8500,1.01227
4008.9000,0.998817
4008.9500,1.03408
4009.0000,1.04306
4009.0500,1.03701
4009.1000,1.03253
4009.1500,1.01121
4009.2000,1.01768
4009.2500,1.05414
4009.3000,1.00402
4009.3500,1.06328
4009.4000,1.07319
4009.4500,1.12018
4009.5000,1.06557
4009.5500,1.07023
4009.6000,1.02768
4009.6500,1.01345
4009.7000,0.982978
4009.7500,1.00228
4009.8000,0.995877
4009.8500,1.06604
4009.9000,1.07438
4009.9500,1.035
4010.0000,1.03328
4010.0500,1.05652
4010.1000,1.04198
4010.1500,1.03259
4010.2000,1.06076
4010.2500,1.0873
4010.3000,1.06434
4010.3500,1.02766
4010.4000,1.00146
4010.4500,0.950606
4010.5000,0.986744
4010.5500,0.94513
4010.6000,0.967961
4010.6500,1.01923
4010.7000,1.05027
4010.7500,1.03138
4010.8000,1.0388
4010.8500,1.01951
4010.9000,1.04708
4010.9500,1.04904
4011.0000,1.02445
4011.0500,1.03458
4011.1000,1.0363
4011.1500,1.06212
4011.2000,1.03402
4011.2500,1.00401
4011.3000,0.973106
4011.3500,0.970017
4011.4000,1.01545
4011.4500,0.960264
4011.5000,1.01688
4011.5500,0.995504
4011.6000,0.982135
4011.6500,1.06325
4011.7000,1.0841
4011.7500,1.09029
4011.8000,1.04725
4011.8500,1.02169
4011.9000,1.00505
4011.9500,1.1226
4012.0000,1.08264
4012.0500,1.04803
4012.1000,1.00932
4012.1500,0.956605
4012.2000,0.834873
4012.2500,0.766902
4012.3000,0.652684
4012.3500,0.562345
4012.4000,0.40612
4012.4500,0.377972
4012.5000,0.516695
