Longitud_de_onda_A,espectro
4000.0000,0.983007
4000.0500,0.999674
4000.1000,1.03867
4000.1500,0.948345
4000.2000,0.965249
4000.2500,0.87018
4000.3000,0.924081
4000.3500,0.872765
4000.4000,0.900245
4000.4500,0.907113
4000.5000,0.897388
4000.5500,0.872036
4000.6000,0.951094
4000.6500,0.992935
4000.7000,1.02763
4000.7500,1.06785
4000.8000,1.03906
4000.8500,1.08993
4000.9000,1.05949
4000.9500,1.07484
4001.0000,1.02569
4001.0500,1.01727
4001.1000,1.03647
4001.1500,1.04204
4001.2000,1.06062
4001.2500,1.06119
4001.3000,0.9975
4001.3500,0.941519
4001.4000,0.949983
4001.4500,0.864496
4001.5000,0.855932
4001.5500,0.846632
4001.6000,0.86254
4001.6500,0.933628
4001.7000,0.92018
4001.7500,0.966119
4001.8000,0.959192
4001.8500,0.989228
4001.9000,1.01144
4001.9500,0.958944
4002.0000,1.05722
4002.0500,0.996262
4002.1000,0.954811
4002.1500,0.884251
4002.2000,0.967251
4002.2500,0.93255
4002.3000,0.952636
4002.3500,0.983266
4002.4000,1.03163
4002.4500,0.961151
4002.5000,0.97576
4002.5500,0.987534
4002.6000,0.98228
4002.6500,1.01811
4002.7000,1.02629
4002.7500,1.0308
4002.8000,1.01155
4002.8500,0.990784
4002.9000,0.920888
4002.9500,1.06762
4003.0000,1.14937
4003.0500,1.05117
4003.1000,1.09096
4003.1500,0.963146
4003.2000,1.00508
4003.2500,0.98774
4003.3000,0.915969
4003.3500,0.913286
4003.4000,0.906744
4003.4500,0.888029
4003.5000,0.9482
4003.5500,0.9299
4003.6000,0.894506
4003.6500,0.820434
4003.7000,0.789008
4003.7500,0.834548
4003.8000,0.778478
4003.8500,0.772666
4003.9000,0.895917
4003.9500,0.925985
4004.0000,0.971514
4004.0500,1.00659
4004.1000,0.997536
4004.1500,0.959228
4004.2000,0.881185
4004.2500,0.912535
4004.3000,0.900829
4004.3500,0.979213
4004.4000,1.03398
4004.4500,1.06149
4004.5000,1.10076
4004.5500,1.07607
4004.6000,1.03564
4004.6500,1.01868
4004.7000,0.948234
4004.7500,0.874534
4004.8000,0.779742
4004.8500,0.694812
4004.9000,0.765355
4004.9500,0.733962
4005.0000,0.717962
4005.0500,0.705275
4005.1000,0.694191
4005.1500,0.628561
4005.2000,0.603315
4005.2500,0.613192
4005.3000,0.638008
4005.3500,0.754879
4005.4000,0.823129
4005.4500,0.890424
4005.5000,1.00004
4005.5500,0.929639
4005.6000,0.904494
4005.6500,0.809212
4005.7000,0.771208
4005.7500,0.782537
4005.8000,0.790098
