Longitud_de_onda_A,espectro
4000.0000,1.05034
4000.0500,1.01928
4000.1000,1.01541
4000.1500,1.01678
4000.2000,1.04723
4000.2500,1.05498
4000.3000,1.14877
4000.3500,1.05251
4000.4000,1.03193
4000.4500,1.06712
4000.5000,1.02884
4000.5500,1.00212
4000.6000,1.02623
4000.6500,1.02781
4000.7000,1.0622
4000.7500,1.05241
4000.8000,1.01555
4000.8500,1.06899
4000.9000,1.03788
4000.9500,1.02338
4001.0000,1.00339
4001.0500,1.0132
4001.1000,1.01279
4001.1500,1.03897
4001.2000,0.99153
4001.2500,1.00228
4001.3000,0.972201
4001.3500,0.946096
4001.4000,0.974796
4001.4500,0.975377
4001.5000,0.961663
4001.5500,0.970539
4001.6000,0.989264
4001.6500,0.922183
4001.7000,0.919737
4001.7500,0.925357
4001.8000,0.941416
4001.8500,0.961843
4001.9000,0.976647
4001.9500,0.983819
4002.0000,0.974262
4002.0500,0.983011
4002.1000,0.960261
4002.1500,0.95754
4002.2000,0.900395
4002.2500,0.919962
4002.3000,0.912985
4002.3500,0.870162
4002.4000,0.896241
4002.4500,0.894286
4002.5000,0.890725
4002.5500,0.879915
4002.6000,0.89556
4002.6500,0.862426
4002.7000,0.907176
4002.7500,0.892019
4002.8000,0.918462
4002.8500,0.885934
4002.9000,0.911462
4002.9500,0.943695
4003.0000,0.940779
4003.0500,0.957006
4003.1000,0.952219
4003.1500,0.940964
4003.2000,0.984176
4003.2500,0.934696
4003.3000,0.953301
4003.3500,0.931252
4003.4000,0.958509
4003.4500,0.905064
4003.5000,0.921723
4003.5500,0.928637
4003.6000,0.929798
4003.6500,0.950996
4003.7000,0.940137
4003.7500,0.961953
4003.8000,0.990523
4003.8500,0.964828
4003.9000,0.955534
4003.9500,0.970537
4004.0000,0.93763
4004.0500,0.988297
4004.1000,0.946713
4004.1500,0.990017
4004.2000,0.976768
4004.2500,0.963458
4004.3000,1.00799
4004.3500,1.05043
4004.4000,1.03815
4004.4500,1.03746
4004.5000,1.01893
4004.5500,1.00392
4004.6000,0.990182
4004.6500,0.989318
4004.7000,1.01834
4004.7500,0.980834
4004.8000,0.936654
4004.8500,0.92453
4004.9000,0.920826
4004.9500,0.887861
4005.0000,0.867202
4005.0500,0.862662
4005.1000,0.833935
4005.1500,0.865105
4005.2000,0.8716
4005.2500,0.869204
4005.3000,0.895087
4005.3500,0.893672
4005.4000,0.89793
4005.4500,0.915396
4005.5000,0.967388
4005.5500,0.972491
4005.6000,0.969152
4005.6500,1.00224
4005.7000,1.05769
4005.7500,1.06075
4005.8000,1.06409
4005.8500,1.05509
4005.9000,1.04089
4005.9500,1.03852
4006.0000,1.05083
4006.0500,1.0132
4006.1000,1.00241
4006.1500,1.00815
4006.2000,1.02215
4006.2500,1.01004
4006.3000,0.999638
4006.3500,0.988579
4006.4000,0.999321
4006.4500,1.02205
4006.5000,0.991407
4006.5500,0.984004
4006.6000,0.957932
4006.6500,1.01124
4006.7000,0.941428
4006.7500,1.00564
4006.8000,0.944357
4006.8500,0.964741
4006.9000,0.965957
4006.9500,0.930275
4007.0000,0.934513
4007.0500,0.939578
4007.1000,0.984001
4007.1500,0.959881
4007.2000,0.9762
4007.2500,0.967717
4007.3000,0.959625
4007.3500,0.969004
4007.4000,0.960254
4007.4500,0.971498
4007.5000,0.984892
4007.5500,0.998086
4007.6000,0.994557
4007.6500,0.968202
4007.7000,0.977119
4007.7500,1.0109
4007.8000,1.02133
4007.8500,1.02489
4007.9000,1.02301
4007.9500,1.00492
4008.0000,0.98477
4008.0500,1.05713
4008.1000,1.02258
4008.1500,1.05433
4008.2000,1.04923
4008.2500,1.06818
4008.3000,1.06215
4008.3500,1.05369
4008.4000,1.0554
4008.4500,1.04454
4008.5000,1.04155
4008.5500,1.05735
4008.6000,1.06383
4008.6500,1.04465
4008.7000,1.05335
4008.7500,1.05044
4008.8000,1.05291
4008.8500,1.04496
4008.9000,1.0389
4008.9500,1.05254
4009.0000,1.03384
4009.0500,1.02944
4009.1000,1.0468
4009.1500,1.0597
4009.2000,1.03885
4009.2500,1.05703
4009.3000,1.02515
4009.3500,1.03184
4009.4000,1.01461
4009.4500,1.00915
4009.5000,1.02573
4009.5500,1.0079
4009.6000,1.02814
4009.6500,0.99623
4009.7000,1.02582
4009.7500,0.991904
4009.8000,1.00445
4009.8500,1.0572
4009.9000,1.03651
4009.9500,0.987778
