Longitud_de_onda_A,espectro
4000.0000,1.14547
4000.0500,1.16328
4000.1000,1.09942
4000.1500,1.08617
4000.2000,1.08723
4000.2500,1.02301
4000.3000,1.05548
4000.3500,1.04525
4000.4000,1.0383
4000.4500,0.976582
4000.5000,1.01207
4000.5500,0.935882
4000.6000,0.980017
4000.6500,0.975188
4000.7000,1.02757
4000.7500,0.991075
4000.8000,0.947157
4000.8500,0.999205
4000.9000,1.07207
4000.9500,1.02828
4001.0000,1.03187
4001.0500,1.01543
4001.1000,0.987845
4001.1500,0.984505
4001.2000,1.00168
4001.2500,0.964858
4001.3000,0.918201
4001.3500,0.952329
4001.4000,0.939297
4001.4500,0.853131
4001.5000,0.90327
4001.5500,0.931585
4001.6000,0.834028
4001.6500,0.843487
4001.7000,0.842404
4001.7500,0.854116
4001.8000,0.885573
4001.8500,0.861424
4001.9000,0.805079
4001.9500,0.770106
4002.0000,0.851345
4002.0500,0.899743
4002.1000,0.908179
4002.1500,0.900183
4002.2000,0.905746
4002.2500,0.949408
4002.3000,0.879612
4002.3500,0.981042
4002.4000,0.950224
4002.4500,0.910937
4002.5000,1.02864
4002.5500,0.908006
4002.6000,0.915235
4002.6500,0.953085
4002.7000,0.884385
4002.7500,0.88957
4002.8000,0.91313
4002.8500,0.971728
4002.9000,0.971093
4002.9500,0.954897
4003.0000,0.974654
4003.0500,0.996491
4003.1000,0.950958
4003.1500,1.00034
4003.2000,1.03431
4003.2500,1.01958
4003.3000,0.952231
4003.3500,0.961442
4003.4000,0.969777
4003.4500,0.970434
4003.5000,1.03976
4003.5500,1.07918
4003.6000,1.09851
4003.6500,1.05297
4003.7000,1.09996
4003.7500,1.02405
4003.8000,1.03867
4003.8500,1.11984
4003.9000,0.982954
4003.9500,1.07188
4004.0000,1.14397
4004.0500,1.07294
4004.1000,1.05059
4004.1500,1.06794
4004.2000,1.04939
4004.2500,1.15386
4004.3000,1.05431
4004.3500,1.09541
4004.4000,1.05078
4004.4500,1.08093
4004.5000,1.0266
4004.5500,0.998415
4004.6000,0.985093
4004.6500,1.01032
4004.7000,0.911555
4004.7500,0.90917
4004.8000,0.811124
4004.8500,0.75566
4004.9000,0.730528
4004.9500,0.617421
4005.0000,0.606725
4005.0500,0.574377
4005.1000,0.562678
4005.1500,0.449963
4005.2000,0.451225
4005.2500,0.497898
4005.3000,0.459311
4005.3500,0.450296
4005.4000,0.404322
4005.4500,0.527192
4005.5000,0.541599
4005.5500,0.569942
4005.6000,0.646006
4005.6500,0.620876
4005.7000,0.682339
4005.7500,0.63901
4005.8000,0.638127
4005.8500,0.704781
4005.9000,0.727723
4005.9500,0.757998
4006.0000,0.793825
4006.0500,0.802879
4006.1000,0.884407
4006.1500,0.7951
4006.2000,0.813334
4006.2500,0.814543
4006.3000,0.835574
4006.3500,0.798299
4006.4000,0.882473
4006.4500,0.807948
4006.5000,0.838125
4006.5500,0.815755
4006.6000,0.837969
4006.6500,0.746
4006.7000,0.797374
4006.7500,0.839593
4006.8000,0.868964
4006.8500,0.814059
4006.9000,0.871798
4006.9500,0.835209
4007.0000,0.831408
4007.0500,0.810458
4007.1000,0.890832
4007.1500,0.811641
4007.2000,0.92045
4007.2500,0.87369
4007.3000,0.906773
4007.3500,0.938433
4007.4000,0.986645
4007.4500,1.01357
4007.5000,1.05267
4007.5500,1.04496
4007.6000,0.962497
4007.6500,0.914716
4007.7000,0.97363
4007.7500,1.05866
4007.8000,0.940881
4007.8500,0.974625
4007.9000,1.01014
4007.9500,0.991328
4008.0000,1.02744
4008.0500,0.980293
4008.1000,1.06395
4008.1500,1.05352
4008.2000,1.05581
4008.2500,0.95141
4008.3000,0.967789
4008.3500,1.02643
4008.4000,0.982275
4008.4500,0.989052
4008.5000,1.01374
4008.5500,1.07008
4008.6000,1.02648
4008.6500,1.01362
4008.7000,0.967266
4008.7500,1.01179
4008.8000,0.992355
4008.8500,0.965013
4008.9000,1.03056
4008.9500,0.956166
4009.0000,0.984891
4009.0500,0.98143
4009.1000,0.910231
4009.1500,0.96478
4009.2000,0.920307
4009.2500,0.993589
4009.3000,0.973432
4009.3500,0.909248
4009.4000,0.845957
4009.4500,0.954401
4009.5000,0.926932
4009.5500,0.97515
4009.6000,0.886463
4009.6500,0.818598
4009.7000,0.880502
4009.7500,0.928662
4009.8000,0.972078
4009.8500,0.860229
4009.9000,0.913524
4009.9500,0.931973
4010.0000,0.937113
4010.0500,0.988339
4010.1000,1.02423
4010.1500,0.943322
4010.2000,0.966289
4010.2500,0.932886
4010.3000,1.05465
4010.3500,1.03629
4010.4000,1.04132
4010.4500,0.961118
4010.5000,1.04596
4010.5500,1.06894
4010.6000,1.09256
4010.6500,1.00655
4010.7000,1.00681
4010.7500,0.983659
4010.8000,1.01752
4010.8500,1.01997
4010.9000,0.992868
4010.9500,1.06959
4011.0000,1.0997
4011.0500,1.05296
4011.1000,1.02206
4011.1500,1.01316
4011.2000,1.06904
4011.2500,1.07298
4011.3000,1.0715
4011.3500,1.07308
4011.4000,1.0884
4011.4500,1.15467
4011.5000,1.19377
4011.5500,1.0418
4011.6000,1.14608
4011.6500,1.13569
4011.7000,1.12067
4011.7500,1.10952
4011.8000,0.968842
4011.8500,1.03511
4011.9000,1.01468
4011.9500,0.863029
4012.0000,0.888194
4012.0500,0.872741
4012.1000,0.806357
4012.1500,0.754972
4012.2000,0.868868
4012.2500,0.82599
4012.3000,0.729525
4012.3500,0.824247
4012.4000,0.840215
4012.4500,0.759547
4012.5000,0.792109
4012.5500,0.783484
4012.6000,0.852765
4012.6500,0.862635
4012.7000,0.846192
4012.7500,0.86477
4012.8000,0.950733
4012.8500,0.949583
4012.9000,1.13622
4012.9500,1.02222
4013.0000,1.10194
4013.0500,1.13347
4013.1000,1.1514
4013.1500,1.13896
4013.2000,1.21005
4013.2500,1.11296
4013.3000,1.16754
4013.3500,1.15161
4013.4000,1.12318
4013.4500,1.0819
4013.5000,1.12629
4013.5500,1.0657
4013.6000,1.12716
4013.6500,0.990716
4013.7000,0.94974
4013.7500,0.986036
4013.8000,0.990101
4013.8500,0.937449
4013.9000,0.87968
4013.9500,0.881165
4014.0000,0.868424
4014.0500,0.857802
4014.1000,0.810683
4014.1500,0.818953
4014.2000,0.760944
4014.2500,0.78454
4014.3000,0.738963
4014.3500,0.736825
4014.4000,0.781851
4014.4500,0.896759
4014.5000,0.915374
4014.5500,0.911968
4014.6000,0.870655
4014.6500,0.839486
4014.7000,0.824814
4014.7500,0.936087
4014.8000,0.858607
4014.8500,0.948568
4014.9000,0.927602
4014.9500,0.939805
4015.0000,0.88854
4015.0500,0.977758
4015.1000,0.986291
4015.1500,0.94352
4015.2000,0.955815
4015.2500,1.01721
4015.3000,1.00686
4015.3500,0.965229
4015.4000,0.939804
4015.4500,0.894892
4015.5000,0.985843
4015.5500,0.973313
4015.6000,0.92779
4015.6500,1.04742
4015.7000,1.01904
4015.7500,1.07139
4015.8000,0.99054
4015.8500,0.992202
4015.9000,0.929672
4015.9500,1.03866
4016.0000,1.06991
4016.0500,1.0893
4016.1000,1.08354
4016.1500,1.03492
4016.2000,1.10418
4016.2500,1.06242
4016.3000,1.0456
4016.3500,1.10852
4016.4000,1.07944
4016.4500,1.12261
4016.5000,1.08014
4016.5500,1.07209
4016.6000,1.05409
4016.6500,1.04582
4016.7000,1.02451
4016.7500,0.974111
4016.8000,0.93168
4016.8500,0.891431
4016.9000,0.94005
4016.9500,0.875527
4017.0000,0.880812
4017.0500,0.917521
4017.1000,0.855869
4017.1500,0.861748
4017.2000,0.772583
4017.2500,0.862149
4017.3000,0.842131
4017.3500,0.759055
4017.4000,0.835215
4017.4500,0.811106
4017.5000,0.804569
4017.5500,0.774859
4017.6000,0.783186
4017.6500,0.79292
4017.7000,0.800564
4017.7500,0.820512
4017.8000,0.761083
4017.8500,0.83092
4017.9000,0.818881
4017.9500,0.80247
4018.0000,0.812747
4018.0500,0.794064
4018.1000,0.807294
4018.1500,0.801273
4018.2000,0.781845
4018.2500,0.859474
4018.3000,0.858912
4018.3500,0.861635
4018.4000,0.850322
4018.4500,0.83953
4018.5000,0.848245
4018.5500,0.90452
4018.6000,0.97675
4018.6500,0.914923
4018.7000,0.935166
4018.7500,1.0122
4018.8000,0.965706
4018.8500,0.950868
4018.9000,1.07907
4018.9500,1.08673
4019.0000,1.07588
4019.0500,1.14025
4019.1000,1.12981
4019.1500,1.08469
4019.2000,1.11494
4019.2500,1.17094
4019.3000,1.11938
4019.3500,1.16424
4019.4000,1.12731
4019.4500,1.14405
4019.5000,1.1326
4019.5500,1.18979
4019.6000,1.10724
4019.6500,1.1309
4019.7000,1.11736
4019.7500,1.0778
4019.8000,1.14836
4019.8500,1.05143
4019.9000,0.994914
4019.9500,1.04174
4020.0000,1.03914
4020.0500,0.970838
4020.1000,0.975283
4020.1500,0.994544
4020.2000,0.958211
4020.2500,0.954782
4020.3000,0.936305
4020.3500,0.921994
4020.4000,1.01142
4020.4500,0.921158
4020.5000,0.951894
4020.5500,0.940002
4020.6000,1.02191
4020.6500,0.926874
4020.7000,0.99296
4020.7500,0.934268
4020.8000,0.965904
4020.8500,0.963793
4020.9000,1.02235
4020.9500,1.06731
4021.0000,0.993154
4021.0500,1.01341
4021.1000,1.01062
4021.1500,1.0099
4021.2000,0.942303
4021.2500,1.0465
4021.3000,0.890522
4021.3500,0.889748
4021.4000,0.91212
4021.4500,0.866599
4021.5000,0.857035
4021.5500,0.838018
4021.6000,0.815753
4021.6500,0.806806
4021.7000,0.802911
4021.7500,0.742988
4021.8000,0.817817
4021.8500,0.759149
4021.9000,0.7728
4021.9500,0.755023
4022.0000,0.774156
4022.0500,0.82863
4022.1000,0.77538
4022.1500,0.832783
4022.2000,0.806457
4022.2500,0.812451
4022.3000,0.848086
4022.3500,0.820643
4022.4000,0.952538
4022.4500,0.899906
4022.5000,0.893592
4022.5500,0.923687
4022.6000,0.887207
4022.6500,0.983171
4022.7000,0.996984
4022.7500,0.998107
4022.8000,0.910105
4022.8500,0.965476
4022.9000,0.924519
4022.9500,0.904177
4023.0000,0.87095
4023.0500,0.912196
4023.1000,0.849783
4023.1500,0.836249
4023.2000,0.80381
4023.2500,0.798325
4023.3000,0.806472
4023.3500,0.832398
4023.4000,0.772169
4023.4500,0.84705
4023.5000,0.884012
4023.5500,0.913134
4023.6000,0.863377
4023.6500,0.809378
4023.7000,0.837233
4023.7500,0.818148
4023.8000,0.874087
4023.8500,0.826602
4023.9000,0.895494
4023.9500,0.848809
4024.0000,0.824855
4024.0500,0.83808
4024.1000,0.819717
4024.1500,0.774703
4024.2000,0.811212
4024.2500,0.791592
4024.3000,0.726431
4024.3500,0.688861
4024.4000,0.708011
4024.4500,0.690391
4024.5000,0.654045
4024.5500,0.625962
4024.6000,0.62179
4024.6500,0.630583
4024.7000,0.589391
4024.7500,0.543235
4024.8000,0.571709
4024.8500,0.514798
4024.9000,0.587234
4024.9500,0.630138
4025.0000,0.644713
4025.0500,0.664775
4025.1000,0.715048
4025.1500,0.692506
4025.2000,0.691611
4025.2500,0.75078
4025.3000,0.800854
4025.3500,0.794856
4025.4000,0.854571
4025.4500,0.847478
4025.5000,0.843236
4025.5500,0.917436
4025.6000,0.899504
4025.6500,0.848603
4025.7000,0.954071
4025.7500,1.04785
4025.8000,1.00637
4025.8500,1.03646
4025.9000,0.955707
4025.9500,0.987487
4026.0000,1.02464
4026.0500,1.08122
4026.1000,1.04153
4026.1500,1.01205
4026.2000,1.08875
4026.2500,1.03096
4026.3000,1.04921
4026.3500,1.09998
4026.4000,1.11392
4026.4500,1.09454
4026.5000,1.11226
4026.5500,1.08608
4026.6000,1.13439
4026.6500,1.13418
4026.7000,1.11582
4026.7500,1.1106
4026.8000,1.11697
4026.8500,1.13397
4026.9000,1.12703
4026.9500,1.1565
4027.0000,1.12142
4027.0500,1.12168
4027.1000,1.09277
4027.1500,1.15709
4027.2000,1.07995
4027.2500,1.07168
4027.3000,1.14928
4027.3500,1.05041
4027.4000,1.07157
4027.4500,1.05438
4027.5000,1.06501
4027.5500,1.10698
4027.6000,1.07053
4027.6500,1.10585
4027.7000,1.04584
4027.7500,1.07535
4027.8000,1.03392
4027.8500,0.979725
4027.9000,0.931591
4027.9500,0.924402
4028.0000,0.862198
4028.0500,0.903161
4028.1000,0.86594
4028.1500,0.838488
4028.2000,0.924194
4028.2500,0.894436
4028.3000,0.846069
4028.3500,0.855432
4028.4000,0.862799
4028.4500,0.829872
4028.5000,0.860458
4028.5500,0.930316
4028.6000,0.905131
4028.6500,0.879105
4028.7000,0.991371
4028.7500,0.957009
4028.8000,0.958627
4028.8500,1.03854
4028.9000,1.04822
4028.9500,1.04478
4029.0000,1.04688
4029.0500,1.07106
4029.1000,1.06538
4029.1500,1.04281
4029.2000,1.08286
4029.2500,1.07948
4029.3000,0.990549
4029.3500,0.959932
4029.4000,0.944562
4029.4500,0.957233
4029.5000,0.978654
4029.5500,0.945368
4029.6000,0.878218
4029.6500,0.878653
4029.7000,0.913911
4029.7500,0.870921
4029.8000,0.854692
4029.8500,0.774161
4029.9000,0.81924
4029.9500,0.815515
4030.0000,0.836233
4030.0500,0.750002
4030.1000,0.730691
4030.1500,0.701731
4030.2000,0.748314
4030.2500,0.615722
4030.3000,0.658652
4030.3500,0.641407
4030.4000,0.556735
4030.4500,0.538931
4030.5000,0.545024
4030.5500,0.486388
4030.6000,0.491626
4030.6500,0.48011
4030.7000,0.525127
4030.7500,0.534503
4030.8000,0.574131
4030.8500,0.548099
4030.9000,0.574708
4030.9500,0.58904
4031.0000,0.632527
4031.0500,0.604309
4031.1000,0.659964
4031.1500,0.667198
4031.2000,0.688869
4031.2500,0.724307
4031.3000,0.825698
4031.3500,0.770283
4031.4000,0.781014
4031.4500,0.73517
4031.5000,0.724384
4031.5500,0.749616
4031.6000,0.684742
4031.6500,0.76733
4031.7000,0.780926
4031.7500,0.761418
4031.8000,0.769716
4031.8500,0.77611
4031.9000,0.775907
4031.9500,0.824373
4032.0000,0.730764
4032.0500,0.718044
4032.1000,0.758294
4032.1500,0.736556
4032.2000,0.766966
4032.2500,0.743495
4032.3000,0.763287
4032.3500,0.748503
4032.4000,0.739922
4032.4500,0.74094
4032.5000,0.782261
4032.5500,0.725367
4032.6000,0.677952
4032.6500,0.662138
4032.7000,0.637919
4032.7500,0.651622
4032.8000,0.555633
4032.8500,0.602356
4032.9000,0.621981
4032.9500,0.572999
4033.0000,0.654559
4033.0500,0.641816
4033.1000,0.657109
4033.1500,0.650818
4033.2000,0.673758
4033.2500,0.766351
4033.3000,0.766376
4033.3500,0.786493
4033.4000,0.758584
4033.4500,0.796397
4033.5000,0.844116
4033.5500,0.814272
4033.6000,0.884987
4033.6500,0.882815
4033.7000,0.935585
4033.7500,0.939944
4033.8000,0.874262
4033.8500,0.879415
4033.9000,0.944429
4033.9500,0.865745
4034.0000,0.882192
4034.0500,0.855961
4034.1000,0.816612
4034.1500,0.802759
4034.2000,0.772439
4034.2500,0.799035
4034.3000,0.740756
4034.3500,0.791801
4034.4000,0.77861
4034.4500,0.823328
4034.5000,0.734281
4034.5500,0.706022
4034.6000,0.752055
4034.6500,0.817046
4034.7000,0.860027
4034.7500,0.855407
4034.8000,0.897732
4034.8500,0.943519
4034.9000,0.970699
4034.9500,0.945598
4035.0000,0.89909
4035.0500,0.941194
4035.1000,0.961275
4035.1500,0.961858
4035.2000,0.94412
4035.2500,0.918782
4035.3000,0.87461
4035.3500,0.942948
4035.4000,0.887738
4035.4500,0.915819
4035.5000,0.932711
4035.5500,0.897343
4035.6000,0.906146
4035.6500,0.87277
4035.7000,0.894708
4035.7500,0.874916
4035.8000,0.842904
4035.8500,0.926731
4035.9000,0.925063
4035.9500,0.924248
4036.0000,0.874805
4036.0500,0.875099
4036.1000,0.936592
4036.1500,0.986253
4036.2000,1.02862
4036.2500,1.02175
4036.3000,1.03783
4036.3500,1.01059
4036.4000,1.11323
4036.4500,1.06811
4036.5000,1.06998
4036.5500,1.01167
4036.6000,1.07071
4036.6500,1.05862
4036.7000,1.03772
4036.7500,1.00399
4036.8000,0.941725
4036.8500,0.943382
4036.9000,0.981444
4036.9500,0.994576
4037.0000,1.0023
4037.0500,0.964779
4037.1000,1.00311
4037.1500,0.992715
4037.2000,0.991024
4037.2500,1.01457
4037.3000,1.01145
4037.3500,1.04187
4037.4000,1.12142
4037.4500,1.11138
4037.5000,1.0252
4037.5500,1.02584
4037.6000,1.12814
4037.6500,1.08292
4037.7000,1.02539
4037.7500,1.07721
4037.8000,1.08128
4037.8500,1.11938
4037.9000,1.16187
4037.9500,1.1903
4038.0000,1.21673
4038.0500,1.11279
4038.1000,1.13689
4038.1500,1.08879
4038.2000,1.07538
4038.2500,1.06523
4038.3000,1.12019
4038.3500,1.103
4038.4000,1.1081
4038.4500,1.03817
4038.5000,1.02937
4038.5500,1.09808
4038.6000,1.13375
4038.6500,1.09268
4038.7000,1.05971
4038.7500,1.09677
4038.8000,1.01927
4038.8500,1.09595
4038.9000,1.08863
4038.9500,1.07489
4039.0000,1.07514
4039.0500,1.10931
4039.1000,1.06658
4039.1500,1.13853
4039.2000,0.988792
4039.2500,1.01267
4039.3000,0.98264
4039.3500,1.0467
4039.4000,1.06198
4039.4500,1.05587
4039.5000,1.16437
