Longitud_de_onda_A,espectro
4000.0000,1.01292
4000.0500,0.985407
4000.1000,1.04386
4000.1500,0.990122
4000.2000,1.0116
4000.2500,1.0278
4000.3000,0.992577
4000.3500,0.987877
4000.4000,1.03545
4000.4500,1.06492
4000.5000,0.952124
4000.5500,0.978695
4000.6000,0.987074
4000.6500,0.963865
4000.7000,0.987087
4000.7500,1.02887
4000.8000,0.948063
4000.8500,0.987479
4000.9000,1.00053
4000.9500,0.94013
4001.0000,0.948249
4001.0500,0.968387
4001.1000,1.03037
4001.1500,0.976859
4001.2000,1.02295
4001.2500,1.00972
4001.3000,1.05816
4001.3500,0.970375
4001.4000,1.00054
4001.4500,0.95907
4001.5000,1.00558
4001.5500,0.97185
4001.6000,0.949607
4001.6500,0.997362
4001.7000,0.98219
4001.7500,0.946626
4001.8000,0.943989
4001.8500,0.944853
4001.9000,0.95309
4001.9500,0.95091
4002.0000,0.922821
4002.0500,0.959345
4002.1000,0.937985
4002.1500,0.935171
4002.2000,0.927325
4002.2500,0.960359
4002.3000,0.931536
4002.3500,0.949387
4002.4000,0.950129
4002.4500,0.913452
4002.5000,0.899965
4002.5500,0.919956
4002.6000,0.892372
4002.6500,0.908744
4002.7000,0.916751
4002.7500,0.951344
4002.8000,0.948715
4002.8500,0.965862
4002.9000,0.920568
4002.9500,0.933656
4003.0000,0.930832
4003.0500,0.963548
4003.1000,0.96368
4003.1500,0.925787
4003.2000,0.932291
4003.2500,0.954691
4003.3000,0.952617
4003.3500,0.957542
4003.4000,0.976646
4003.4500,0.965276
4003.5000,0.96822
4003.5500,1.01198
4003.6000,1.00156
4003.6500,0.965872
4003.7000,0.99406
4003.7500,1.02675
4003.8000,0.98101
4003.8500,1.01726
4003.9000,1.02965
4003.9500,0.993057
4004.0000,0.99966
4004.0500,1.02022
4004.1000,1.05986
4004.1500,1.02069
4004.2000,1.01185
4004.2500,1.01352
4004.3000,0.985684
4004.3500,0.989655
4004.4000,0.984036
4004.4500,0.972339
4004.5000,0.977921
4004.5500,0.991613
4004.6000,0.996123
4004.6500,0.955768
4004.7000,0.990726
4004.7500,0.940442
4004.8000,0.878968
4004.8500,0.891302
4004.9000,0.917928
4004.9500,0.874508
4005.0000,0.879665
4005.0500,0.866306
4005.1000,0.877586
4005.1500,0.909838
4005.2000,0.862743
4005.2500,0.853009
4005.3000,0.883941
4005.3500,0.83228
4005.4000,0.853875
4005.4500,0.862187
4005.5000,0.820081
4005.5500,0.825535
4005.6000,0.860433
4005.6500,0.849508
4005.7000,0.827871
4005.7500,0.865209
4005.8000,0.892438
4005.8500,0.87516
4005.9000,0.899504
4005.9500,0.910044
4006.0000,0.915222
4006.0500,0.885618
4006.1000,0.940547
4006.1500,0.903127
4006.2000,0.975442
4006.2500,0.937018
4006.3000,0.952384
4006.3500,0.907121
4006.4000,0.985201
4006.4500,0.986006
4006.5000,1.01679
