Longitud_de_onda_A,espectro
4000.0000,1.12595
4000.0500,1.10018
4000.1000,1.09739
4000.1500,1.02887
4000.2000,1.01247
4000.2500,0.993855
4000.3000,0.880048
4000.3500,0.833408
4000.4000,0.762453
4000.4500,0.709593
4000.5000,0.701219
4000.5500,0.728357
4000.6000,0.799914
4000.6500,0.875446
4000.7000,0.976331
4000.7500,1.00587
4000.8000,1.07242
4000.8500,1.09232
4000.9000,1.10265
4000.9500,1.11357
4001.0000,1.08098
4001.0500,1.04326
4001.1000,1.04035
4001.1500,0.996775
4001.2000,1.0341
4001.2500,1.0209
4001.3000,1.02216
4001.3500,0.992864
4001.4000,0.969165
4001.4500,0.966488
4001.5000,0.960661
4001.5500,0.889787
4001.6000,0.845608
4001.6500,0.814378
4001.7000,0.79456
4001.7500,0.804505
4001.8000,0.817557
4001.8500,0.898222
4001.9000,0.952849
4001.9500,0.974953
4002.0000,0.950722
4002.0500,0.930211
4002.1000,0.879035
4002.1500,0.847163
4002.2000,0.855633
4002.2500,0.916375
4002.3000,1.01444
4002.3500,0.999924
4002.4000,1.00783
4002.4500,0.988866
4002.5000,0.990488
4002.5500,0.961827
4002.6000,0.924486
4002.6500,0.940787
4002.7000,0.957576
4002.7500,0.960727
4002.8000,0.966721
4002.8500,0.902938
4002.9000,0.891299
4002.9500,0.864308
4003.0000,0.803331
4003.0500,0.888779
4003.1000,0.943074
4003.1500,0.940399
4003.2000,1.05535
4003.2500,1.0308
4003.3000,0.995945
4003.3500,1.02626
4003.4000,1.05205
4003.4500,1.03656
4003.5000,1.07427
4003.5500,1.05067
4003.6000,1.05342
4003.6500,1.00981
4003.7000,0.941313
4003.7500,0.899002
4003.8000,0.8663
4003.8500,0.8593
4003.9000,0.85995
4003.9500,0.900131
4004.0000,0.941918
4004.0500,0.980958
4004.1000,0.978874
4004.1500,1.00247
4004.2000,1.01254
4004.2500,1.02634
4004.3000,1.05825
4004.3500,1.05877
4004.4000,1.08874
4004.4500,1.08567
4004.5000,1.10421
4004.5500,1.08148
4004.6000,1.05536
4004.6500,1.03801
4004.7000,0.967144
4004.7500,0.936557
4004.8000,0.867194
4004.8500,0.77042
4004.9000,0.694268
4004.9500,0.618903
4005.0000,0.621471
4005.0500,0.595288
4005.1000,0.575522
4005.1500,0.544225
4005.2000,0.480874
4005.2500,0.431419
4005.3000,0.372611
4005.3500,0.445146
4005.4000,0.515671
4005.4500,0.65071
4005.5000,0.717517
4005.5500,0.776916
4005.6000,0.73388
4005.6500,0.707715
4005.7000,0.647996
4005.7500,0.636549
4005.8000,0.663597
4005.8500,0.750836
4005.9000,0.857745
4005.9500,0.961184
4006.0000,1.05172
4006.0500,1.05212
4006.1000,1.0601
4006.1500,0.984432
4006.2000,0.935882
4006.2500,0.865492
4006.3000,0.803343
4006.3500,0.821883
4006.4000,0.795217
4006.4500,0.862001
4006.5000,0.876762
4006.5500,0.864225
4006.6000,0.867779
4006.6500,0.826974
4006.7000,0.763444
4006.7500,0.740945
4006.8000,0.77436
4006.8500,0.845012
4006.9000,0.880507
4006.9500,0.988748
4007.0000,1.06486
4007.0500,1.04142
4007.1000,1.05591
4007.1500,0.97708
4007.2000,0.961621
4007.2500,0.89735
4007.3000,0.836032
4007.3500,0.768168
4007.4000,0.763089
4007.4500,0.870916
4007.5000,0.927102
4007.5500,0.902522
4007.6000,0.989322
4007.6500,1.02799
4007.7000,1.07124
4007.7500,1.03479
4007.8000,1.03038
4007.8500,1.05039
4007.9000,1.03619
4007.9500,0.975483
4008.0000,0.972736
4008.0500,0.976319
4008.1000,0.973281
4008.1500,0.973943
4008.2000,1.00011
4008.2500,0.998967
4008.3000,1.01964
4008.3500,1.06773
4008.4000,1.05847
4008.4500,1.07914
4008.5000,1.08813
4008.5500,1.07589
4008.6000,1.02157
4008.6500,1.02056
4008.7000,1.03139
4008.7500,1.01227
