Longitud_de_onda_A,espectro
4000.0000,1.15669
4000.0500,1.10349
4000.1000,1.07803
4000.1500,1.02466
4000.2000,0.98118
4000.2500,0.924318
4000.3000,0.887558
4000.3500,0.872785
4000.4000,0.831353
4000.4500,0.827622
4000.5000,0.818609
4000.5500,0.85894
4000.6000,0.857413
4000.6500,0.882476
4000.7000,0.974281
4000.7500,1.02297
4000.8000,1.07652
4000.8500,1.24708
4000.9000,1.15102
4000.9500,1.09319
4001.0000,1.10084
4001.0500,1.13969
4001.1000,1.13675
4001.1500,1.0772
4001.2000,1.06331
4001.2500,1.07018
4001.3000,1.04349
4001.3500,0.985392
4001.4000,0.931352
4001.4500,0.923878
4001.5000,0.886761
4001.5500,0.881998
4001.6000,0.886428
4001.6500,0.868808
4001.7000,0.849797
4001.7500,0.833465
4001.8000,0.833636
4001.8500,0.799294
4001.9000,0.833876
4001.9500,0.869047
4002.0000,0.90993
4002.0500,0.931868
4002.1000,0.97039
4002.1500,0.96998
4002.2000,0.914044
4002.2500,0.944917
4002.3000,0.935248
4002.3500,0.937914
4002.4000,0.975596
4002.4500,1.02407
4002.5000,1.01022
4002.5500,0.955434
4002.6000,0.972106
4002.6500,0.950389
4002.7000,0.953818
4002.7500,0.910641
4002.8000,0.914499
4002.8500,0.93663
4002.9000,0.896987
4002.9500,0.900434
4003.0000,0.888357
4003.0500,0.897464
4003.1000,0.903844
4003.1500,0.91758
4003.2000,0.963
4003.2500,1.01297
4003.3000,1.0521
4003.3500,1.04229
4003.4000,1.08777
4003.4500,1.06123
4003.5000,1.04953
4003.5500,1.04864
4003.6000,1.02586
4003.6500,1.03089
4003.7000,0.993438
4003.7500,0.990025
4003.8000,1.00126
4003.8500,0.952264
4003.9000,0.938282
4003.9500,0.9297
4004.0000,0.953356
4004.0500,1.00639
4004.1000,1.03444
4004.1500,1.04698
4004.2000,1.05025
4004.2500,1.0856
4004.3000,1.10254
4004.3500,1.12576
4004.4000,1.11213
4004.4500,1.09212
4004.5000,1.10743
4004.5500,1.07304
4004.6000,1.05385
4004.6500,1.01992
4004.7000,0.945381
4004.7500,0.904086
4004.8000,0.848935
4004.8500,0.780282
4004.9000,0.706867
4004.9500,0.651899
