Longitud_de_onda_A,espectro
4000.0000,1.04666
4000.0500,0.964696
4000.1000,0.898367
4000.1500,0.74819
4000.2000,0.665766
4000.2500,0.594987
4000.3000,0.587467
4000.3500,0.543235
4000.4000,0.552223
4000.4500,0.517088
4000.5000,0.617769
4000.5500,0.734624
4000.6000,0.791362
4000.6500,0.878572
4000.7000,0.994442
4000.7500,1.05797
4000.8000,1.09898
4000.8500,1.14685
4000.9000,1.16301
4000.9500,1.0972
4001.0000,0.98961
4001.0500,0.891427
4001.1000,0.82088
4001.1500,0.749579
4001.2000,0.829752
4001.2500,0.882273
4001.3000,0.918151
4001.3500,0.899081
4001.4000,0.784771
4001.4500,0.71227
4001.5000,0.655032
4001.5500,0.642824
4001.6000,0.593922
4001.6500,0.505694
4001.7000,0.471053
4001.7500,0.455194
4001.8000,0.470089
4001.8500,0.471864
4001.9000,0.507706
4001.9500,0.556544
4002.0000,0.571321
4002.0500,0.678728
4002.1000,0.725796
4002.1500,0.91753
4002.2000,1.02029
4002.2500,1.08957
4002.3000,1.10702
4002.3500,1.08689
4002.4000,1.03731
4002.4500,1.047
4002.5000,0.989618
4002.5500,0.927071
4002.6000,0.823905
4002.6500,0.830462
4002.7000,0.804572
4002.7500,0.797789
4002.8000,0.751364
4002.8500,0.678345
4002.9000,0.627353
4002.9500,0.658543
4003.0000,0.801262
4003.0500,0.93721
4003.1000,1.04895
4003.1500,1.16912
4003.2000,1.15629
4003.2500,1.2185
4003.3000,1.2617
4003.3500,1.26595
4003.4000,1.31452
4003.4500,1.21148
4003.5000,1.14907
4003.5500,1.03338
4003.6000,0.962315
4003.6500,0.845115
4003.7000,0.771843
4003.7500,0.696734
4003.8000,0.767558
4003.8500,0.823127
4003.9000,1.00082
4003.9500,1.02694
4004.0000,1.05565
4004.0500,1.10249
4004.1000,1.1435
4004.1500,1.21394
4004.2000,1.21906
4004.2500,1.24708
4004.3000,1.27667
4004.3500,1.30018
4004.4000,1.29738
4004.4500,1.25995
4004.5000,1.18975
4004.5500,1.11174
4004.6000,0.972825
4004.6500,0.903324
4004.7000,0.779404
4004.7500,0.648508
4004.8000,0.539019
4004.8500,0.424436
4004.9000,0.403934
4004.9500,0.376437
4005.0000,0.31334
4005.0500,0.285606
4005.1000,0.244935
4005.1500,0.220148
4005.2000,0.249762
