Longitud_de_onda_A,espectro
4000.0000,1.08936
4000.0500,1.00255
4000.1000,1.0006
4000.1500,0.910581
4000.2000,0.928791
4000.2500,0.796081
4000.3000,0.859267
4000.3500,0.776007
4000.4000,0.85209
4000.4500,0.908814
4000.5000,0.92912
4000.5500,0.919115
4000.6000,0.951946
4000.6500,1.04442
4000.7000,1.16147
4000.7500,0.98848
4000.8000,1.10151
4000.8500,1.08869
4000.9000,1.16987
4000.9500,0.992612
4001.0000,1.01475
4001.0500,1.06011
4001.1000,1.00263
4001.1500,1.03937
4001.2000,0.948836
4001.2500,1.04301
4001.3000,1.07706
4001.3500,0.992871
4001.4000,1.01511
4001.4500,1.05917
4001.5000,0.979236
4001.5500,1.02076
4001.6000,0.975612
4001.6500,0.859284
4001.7000,0.951497
4001.7500,0.976714
4001.8000,0.982261
4001.8500,0.913619
4001.9000,0.886411
4001.9500,0.915827
4002.0000,0.886568
4002.0500,0.958396
4002.1000,0.914018
4002.1500,0.931025
4002.2000,0.869341
4002.2500,0.87961
4002.3000,0.864536
4002.3500,0.87153
4002.4000,0.90933
4002.4500,0.933566
4002.5000,0.983207
4002.5500,0.870106
4002.6000,0.938493
4002.6500,0.879819
4002.7000,0.875008
4002.7500,0.92314
4002.8000,0.827512
4002.8500,0.89254
4002.9000,0.738321
4002.9500,0.82446
4003.0000,0.761224
4003.0500,0.973895
4003.1000,0.893697
4003.1500,1.08942
4003.2000,0.903585
4003.2500,0.889993
4003.3000,0.980824
4003.3500,1.0091
4003.4000,1.06207
4003.4500,1.11343
4003.5000,1.11239
4003.5500,1.07382
4003.6000,1.01978
4003.6500,1.00173
4003.7000,1.06477
4003.7500,0.984965
4003.8000,0.940227
4003.8500,0.948258
4003.9000,1.01277
4003.9500,1.07231
4004.0000,1.0142
4004.0500,1.00659
4004.1000,1.02222
4004.1500,1.10577
4004.2000,1.04559
4004.2500,1.07661
4004.3000,1.09035
4004.3500,1.07589
4004.4000,1.04893
4004.4500,1.06331
4004.5000,1.17299
4004.5500,1.06516
4004.6000,1.06738
4004.6500,1.18811
4004.7000,1.0507
4004.7500,1.0661
4004.8000,0.894298
4004.8500,0.836042
4004.9000,0.826166
4004.9500,0.906631
4005.0000,0.803749
4005.0500,0.85938
4005.1000,0.928715
4005.1500,0.898773
4005.2000,0.86393
4005.2500,0.87548
4005.3000,0.810937
4005.3500,0.894648
4005.4000,0.823679
4005.4500,1.19588
4005.5000,1.16925
4005.5500,0.986166
4005.6000,0.958863
4005.6500,0.824282
4005.7000,0.812737
4005.7500,0.827472
4005.8000,0.827138
4005.8500,0.949031
4005.9000,0.881126
4005.9500,0.900287
4006.0000,0.99542
4006.0500,1.03127
4006.1000,0.931841
4006.1500,0.904052
4006.2000,1.1497
4006.2500,1.00165
4006.3000,1.04398
4006.3500,0.95372
4006.4000,0.981275
4006.4500,1.04985
4006.5000,1.02896
4006.5500,1.14019
4006.6000,0.821526
4006.6500,0.893314
4006.7000,0.935875
4006.7500,0.916926
4006.8000,0.851575
4006.8500,1.05248
4006.9000,1.26146
4006.9500,1.17329
4007.0000,1.12531
4007.0500,1.13117
4007.1000,1.05133
4007.1500,0.985517
4007.2000,0.993506
4007.2500,0.918411
4007.3000,0.986876
4007.3500,0.829302
4007.4000,0.882395
4007.4500,0.983699
4007.5000,0.984515
4007.5500,1.08984
4007.6000,0.986995
4007.6500,1.03351
4007.7000,1.10823
4007.7500,1.06853
4007.8000,0.960719
4007.8500,0.894446
4007.9000,1.0867
4007.9500,0.95358
4008.0000,0.976715
4008.0500,1.02269
4008.1000,0.896229
4008.1500,0.953271
4008.2000,0.841515
4008.2500,0.905502
4008.3000,0.941054
4008.3500,0.965467
4008.4000,0.991163
4008.4500,0.991335
4008.5000,1.01946
4008.5500,0.893766
4008.6000,1.08132
4008.6500,1.03628
4008.7000,0.992038
4008.7500,0.958258
4008.8000,0.901465
4008.8500,0.909609
4008.9000,0.896571
4008.9500,0.966799
4009.0000,0.886663
4009.0500,0.854945
4009.1000,0.993102
4009.1500,0.940554
4009.2000,1.03435
4009.2500,0.965336
4009.3000,1.14106
4009.3500,1.09428
4009.4000,1.13614
4009.4500,1.1351
4009.5000,0.989726
4009.5500,0.996994
4009.6000,0.949587
4009.6500,0.868928
4009.7000,0.873647
4009.7500,0.884253
4009.8000,0.923731
4009.8500,0.881457
4009.9000,1.00754
4009.9500,0.913759
