Longitud_de_onda_A,espectro
4000.0000,1.08771
4000.0500,1.00556
4000.1000,1.00153
4000.1500,0.912001
4000.2000,0.928415
4000.2500,0.795338
4000.3000,0.858881
4000.3500,0.776285
4000.4000,0.851967
4000.4500,0.90989
4000.5000,0.928195
4000.5500,0.918772
4000.6000,0.954108
4000.6500,1.04634
4000.7000,1.1595
4000.7500,0.988581
4000.8000,1.10308
4000.8500,1.08855
4000.9000,1.16837
4000.9500,0.994589
4001.0000,1.0128
4001.0500,1.06358
4001.1000,1.0027
4001.1500,1.03944
4001.2000,0.948289
4001.2500,1.04443
4001.3000,1.0753
4001.3500,0.991243
4001.4000,1.01628
4001.4500,1.05749
4001.5000,0.979689
4001.5500,1.02135
4001.6000,0.975616
4001.6500,0.857779
4001.7000,0.950585
4001.7500,0.976297
4001.8000,0.983401
4001.8500,0.912579
4001.9000,0.883299
4001.9500,0.914589
4002.0000,0.885369
4002.0500,0.958842
4002.1000,0.914842
4002.1500,0.930223
4002.2000,0.866355
4002.2500,0.879527
4002.3000,0.862937
4002.3500,0.871268
4002.4000,0.910625
4002.4500,0.933665
4002.5000,0.983986
4002.5500,0.867304
4002.6000,0.940429
4002.6500,0.880895
4002.7000,0.877051
4002.7500,0.925531
4002.8000,0.828238
4002.8500,0.893967
4002.9000,0.738032
4002.9500,0.825458
4003.0000,0.760789
4003.0500,0.971236
4003.1000,0.891243
4003.1500,1.08895
4003.2000,0.90306
4003.2500,0.887763
4003.3000,0.981284
4003.3500,1.00906
4003.4000,1.06454
4003.4500,1.11052
4003.5000,1.11176
4003.5500,1.0742
4003.6000,1.01862
4003.6500,0.999398
4003.7000,1.06463
4003.7500,0.984479
4003.8000,0.940844
4003.8500,0.948004
4003.9000,1.01319
4003.9500,1.07273
4004.0000,1.01312
4004.0500,1.00621
4004.1000,1.02399
4004.1500,1.1056
4004.2000,1.04665
4004.2500,1.07442
4004.3000,1.09166
4004.3500,1.07909
4004.4000,1.05013
4004.4500,1.06498
4004.5000,1.17358
4004.5500,1.06546
4004.6000,1.06962
4004.6500,1.18846
4004.7000,1.05124
4004.7500,1.06608
4004.8000,0.89676
4004.8500,0.835911
4004.9000,0.82634
4004.9500,0.908088
4005.0000,0.802227
4005.0500,0.858555
4005.1000,0.929109
4005.1500,0.898152
4005.2000,0.865408
4005.2500,0.873997
4005.3000,0.810408
4005.3500,0.896772
4005.4000,0.821524
4005.4500,1.19377
4005.5000,1.16978
4005.5500,0.98557
4005.6000,0.958393
4005.6500,0.824596
4005.7000,0.811763
4005.7500,0.826353
4005.8000,0.826352
4005.8500,0.951972
4005.9000,0.882853
4005.9500,0.900448
4006.0000,0.995775
4006.0500,1.03213
4006.1000,0.93181
4006.1500,0.902694
4006.2000,1.14939
4006.2500,1.00155
4006.3000,1.04288
4006.3500,0.951724
4006.4000,0.98089
4006.4500,1.04965
4006.5000,1.02815
4006.5500,1.14333
4006.6000,0.820644
4006.6500,0.894481
4006.7000,0.935948
4006.7500,0.917886
4006.8000,0.851629
4006.8500,1.05318
4006.9000,1.26047
4006.9500,1.17287
4007.0000,1.12755
4007.0500,1.13068
4007.1000,1.05275
4007.1500,0.985732
4007.2000,0.994445
4007.2500,0.918543
4007.3000,0.986945
4007.3500,0.829425
4007.4000,0.882443
4007.4500,0.98402
4007.5000,0.98457
4007.5500,1.08998
4007.6000,0.989335
4007.6500,1.03406
4007.7000,1.10854
4007.7500,1.06745
4007.8000,0.960199
4007.8500,0.895541
4007.9000,1.08683
4007.9500,0.952162
4008.0000,0.977396
4008.0500,1.02115
4008.1000,0.897273
4008.1500,0.952943
4008.2000,0.840941
4008.2500,0.906589
4008.3000,0.9388
4008.3500,0.966105
4008.4000,0.989783
4008.4500,0.992489
4008.5000,1.01765
4008.5500,0.893126
4008.6000,1.08091
4008.6500,1.03472
4008.7000,0.991561
4008.7500,0.954678
4008.8000,0.900998
4008.8500,0.909089
4008.9000,0.896763
4008.9500,0.968732
4009.0000,0.884186
4009.0500,0.854495
4009.1000,0.992259
4009.1500,0.940157
4009.2000,1.03376
4009.2500,0.966946
4009.3000,1.14282
4009.3500,1.09358
4009.4000,1.13643
4009.4500,1.13489
4009.5000,0.988898
4009.5500,0.998723
4009.6000,0.951517
4009.6500,0.868026
4009.7000,0.873642
4009.7500,0.883177
4009.8000,0.923986
4009.8500,0.881503
4009.9000,1.00926
4009.9500,0.914742
4010.0000,0.98719
4010.0500,1.06058
4010.1000,1.06433
4010.1500,0.988485
4010.2000,1.12966
4010.2500,0.88871
4010.3000,1.12321
4010.3500,1.08502
4010.4000,1.06831
4010.4500,1.07382
4010.5000,1.09975
4010.5500,1.01204
4010.6000,1.13823
4010.6500,0.976914
4010.7000,1.13434
4010.7500,1.07373
4010.8000,1.0697
4010.8500,1.01473
4010.9000,1.10927
4010.9500,0.836804
4011.0000,1.05687
4011.0500,0.992028
4011.1000,0.952887
4011.1500,1.13599
4011.2000,1.01068
4011.2500,1.12573
4011.3000,0.978667
4011.3500,0.957317
4011.4000,1.01571
4011.4500,0.977002
4011.5000,1.02472
4011.5500,1.03684
4011.6000,1.06418
4011.6500,1.11532
4011.7000,1.04055
4011.7500,1.09414
4011.8000,1.14096
4011.8500,1.17107
4011.9000,0.967697
4011.9500,0.964777
4012.0000,0.977435
4012.0500,0.991953
4012.1000,1.06797
4012.1500,1.05924
4012.2000,0.915784
4012.2500,0.888551
4012.3000,0.73879
4012.3500,0.776055
4012.4000,0.922249
4012.4500,0.926145
4012.5000,0.83542
4012.5500,0.910258
4012.6000,0.910775
4012.6500,0.86475
4012.7000,1.00385
4012.7500,1.00919
4012.8000,1.07476
4012.8500,1.1282
4012.9000,0.996722
4012.9500,0.931919
4013.0000,1.00198
4013.0500,1.09321
4013.1000,1.07088
4013.1500,0.996995
4013.2000,1.18971
4013.2500,1.0377
4013.3000,1.02617
4013.3500,1.15173
4013.4000,1.13077
4013.4500,1.07096
4013.5000,0.927136
4013.5500,1.02069
4013.6000,0.956438
4013.6500,0.979899
4013.7000,0.898155
4013.7500,0.970276
4013.8000,0.986361
4013.8500,0.890297
4013.9000,0.90952
4013.9500,0.998369
4014.0000,0.955686
4014.0500,0.954544
4014.1000,1.0416
4014.1500,1.03474
4014.2000,1.0109
4014.2500,0.923473
4014.3000,0.939445
4014.3500,0.985586
4014.4000,0.920478
4014.4500,0.834993
4014.5000,0.825842
4014.5500,0.776858
4014.6000,0.714787
4014.6500,0.78881
4014.7000,0.895925
4014.7500,1.06085
4014.8000,1.04534
4014.8500,0.987458
4014.9000,1.00982
4014.9500,1.12979
4015.0000,0.918146
4015.0500,1.02315
4015.1000,1.03264
4015.1500,1.12983
4015.2000,1.1083
4015.2500,1.06925
4015.3000,1.07302
4015.3500,1.01615
4015.4000,0.916639
4015.4500,0.903728
4015.5000,0.793202
4015.5500,0.867336
4015.6000,0.824351
4015.6500,0.816818
4015.7000,0.975255
4015.7500,1.00074
4015.8000,1.06483
4015.8500,1.11713
4015.9000,1.13671
4015.9500,1.10174
4016.0000,1.07025
4016.0500,0.932566
4016.1000,1.15379
4016.1500,1.06994
4016.2000,1.06376
4016.2500,1.03033
4016.3000,0.998773
4016.3500,1.06572
4016.4000,1.01815
4016.4500,0.955629
4016.5000,1.01351
4016.5500,0.978769
4016.6000,1.03306
4016.6500,1.11491
4016.7000,1.0414
4016.7500,1.03893
4016.8000,0.94367
4016.8500,0.992021
4016.9000,1.05949
4016.9500,1.09288
4017.0000,1.02279
4017.0500,0.944675
4017.1000,0.991857
4017.1500,0.908158
4017.2000,0.897494
4017.2500,0.954148
4017.3000,1.00124
4017.3500,0.9757
4017.4000,0.941514
4017.4500,0.939401
4017.5000,0.847533
4017.5500,0.964855
4017.6000,0.94102
4017.6500,1.05379
4017.7000,1.00496
4017.7500,1.07109
4017.8000,1.01123
4017.8500,1.07854
4017.9000,0.921516
4017.9500,0.923213
4018.0000,0.951824
4018.0500,0.929085
4018.1000,0.990569
4018.1500,0.892842
4018.2000,0.847055
4018.2500,0.818153
4018.3000,0.850267
4018.3500,1.00676
4018.4000,0.953053
4018.4500,0.91537
4018.5000,1.03601
4018.5500,1.07864
4018.6000,1.02534
4018.6500,1.10212
4018.7000,1.07294
4018.7500,1.07087
4018.8000,1.0326
4018.8500,0.955717
4018.9000,1.0787
4018.9500,1.03446
4019.0000,0.99511
4019.0500,0.929866
4019.1000,1.0011
4019.1500,0.98763
4019.2000,0.979613
4019.2500,1.00552
4019.3000,1.05475
4019.3500,1.10893
4019.4000,1.06972
4019.4500,1.15154
4019.5000,1.17901
4019.5500,0.900471
4019.6000,1.06811
4019.6500,1.06099
4019.7000,1.07019
4019.7500,1.03803
4019.8000,1.02685
4019.8500,1.01776
4019.9000,0.930825
4019.9500,0.923157
4020.0000,0.999419
4020.0500,1.06983
4020.1000,1.05695
4020.1500,0.945349
4020.2000,0.92366
4020.2500,1.02413
4020.3000,0.925413
4020.3500,0.946559
4020.4000,1.00895
4020.4500,1.0608
4020.5000,0.956519
4020.5500,0.960196
4020.6000,0.953717
4020.6500,0.975018
4020.7000,1.06364
4020.7500,1.00025
4020.8000,1.0007
4020.8500,0.95608
4020.9000,0.97292
4020.9500,0.96132
4021.0000,1.0493
4021.0500,1.03533
4021.1000,0.950582
4021.1500,1.02819
4021.2000,1.05874
4021.2500,1.05119
4021.3000,0.896363
4021.3500,1.01162
4021.4000,0.874876
4021.4500,0.954089
4021.5000,0.953397
4021.5500,0.967456
4021.6000,1.03382
4021.6500,0.898787
4021.7000,0.888811
4021.7500,0.792916
4021.8000,0.796715
4021.8500,0.840452
4021.9000,0.802052
4021.9500,0.760624
4022.0000,0.861964
4022.0500,0.959609
4022.1000,0.885361
4022.1500,1.00591
4022.2000,1.01003
4022.2500,1.01463
4022.3000,0.792419
4022.3500,0.905267
4022.4000,0.884003
4022.4500,1.02812
4022.5000,1.07304
4022.5500,1.01318
4022.6000,0.977099
4022.6500,0.975005
4022.7000,0.921842
4022.7500,1.00083
4022.8000,1.008
4022.8500,0.898239
4022.9000,1.01298
4022.9500,1.05137
4023.0000,0.926621
4023.0500,0.99941
4023.1000,0.893114
4023.1500,0.888635
4023.2000,0.887606
4023.2500,0.892761
4023.3000,0.831665
4023.3500,0.778786
4023.4000,0.835755
4023.4500,0.905562
4023.5000,0.846233
4023.5500,0.901803
4023.6000,0.890932
4023.6500,0.90982
4023.7000,0.967721
4023.7500,1.00298
4023.8000,0.980988
4023.8500,0.94713
4023.9000,0.882036
4023.9500,0.964161
4024.0000,0.977952
4024.0500,1.00831
4024.1000,0.965821
4024.1500,0.838275
4024.2000,0.846796
4024.2500,1.00685
4024.3000,0.957427
4024.3500,0.962101
4024.4000,0.936915
4024.4500,0.785462
4024.5000,0.715392
4024.5500,0.795671
4024.6000,0.798319
4024.6500,0.794436
4024.7000,0.741428
4024.7500,0.726082
4024.8000,0.691132
4024.8500,0.758335
4024.9000,0.787609
4024.9500,0.666115
4025.0000,0.811364
4025.0500,0.809381
4025.1000,0.816043
4025.1500,0.653913
4025.2000,0.772981
4025.2500,0.761104
4025.3000,0.831628
4025.3500,0.805605
4025.4000,0.797566
4025.4500,0.79212
4025.5000,0.923303
4025.5500,0.915384
4025.6000,0.889999
4025.6500,0.965333
4025.7000,0.898568
4025.7500,0.974361
4025.8000,0.883503
4025.8500,0.765266
4025.9000,0.841853
4025.9500,0.884093
4026.0000,0.876426
4026.0500,0.952188
4026.1000,0.929199
4026.1500,0.909134
4026.2000,0.820868
4026.2500,1.02984
4026.3000,0.935157
4026.3500,1.07882
4026.4000,1.00645
4026.4500,0.855402
4026.5000,0.936337
4026.5500,1.01784
4026.6000,1.07655
4026.6500,1.02672
4026.7000,1.04559
4026.7500,0.994734
4026.8000,1.03684
4026.8500,1.04625
4026.9000,1.05847
4026.9500,0.951073
4027.0000,1.065
4027.0500,1.03396
4027.1000,0.964843
4027.1500,0.9949
4027.2000,1.03642
4027.2500,0.964094
4027.3000,1.09641
4027.3500,1.05125
4027.4000,1.03323
4027.4500,1.09632
4027.5000,0.87993
4027.5500,0.943835
4027.6000,1.01629
4027.6500,0.989044
4027.7000,0.998841
4027.7500,0.985414
4027.8000,0.956567
4027.8500,0.970167
4027.9000,1.15972
4027.9500,1.06918
4028.0000,0.927028
4028.0500,0.926412
4028.1000,0.958661
4028.1500,0.925907
4028.2000,0.888287
4028.2500,0.832438
4028.3000,0.817471
4028.3500,0.757649
4028.4000,0.781661
4028.4500,0.796166
4028.5000,0.844934
4028.5500,0.94909
4028.6000,0.898381
4028.6500,1.00048
4028.7000,1.08604
4028.7500,1.00441
4028.8000,0.993468
4028.8500,0.948839
4028.9000,1.08425
4028.9500,1.02293
4029.0000,1.11538
4029.0500,1.06539
4029.1000,1.12291
4029.1500,0.993977
4029.2000,0.98807
4029.2500,1.06405
4029.3000,1.04046
4029.3500,0.97356
4029.4000,0.972802
4029.4500,0.983435
4029.5000,0.968857
4029.5500,0.948061
4029.6000,0.99733
4029.6500,0.847865
4029.7000,0.738808
4029.7500,0.912021
4029.8000,0.838135
4029.8500,0.954901
4029.9000,1.09236
4029.9500,1.01399
4030.0000,1.04685
4030.0500,0.782907
4030.1000,0.960004
4030.1500,0.915822
4030.2000,0.947441
4030.2500,0.86584
4030.3000,0.914678
4030.3500,0.878218
4030.4000,0.83871
4030.4500,0.788615
4030.5000,0.7764
4030.5500,0.798558
4030.6000,0.853952
4030.6500,0.86307
4030.7000,0.839817
4030.7500,0.760506
4030.8000,0.832527
4030.8500,0.824407
4030.9000,0.836352
4030.9500,0.79672
4031.0000,0.787203
4031.0500,0.978001
4031.1000,1.06869
4031.1500,1.01316
4031.2000,1.03881
4031.2500,0.974587
4031.3000,0.945877
4031.3500,0.909907
4031.4000,0.875929
4031.4500,0.896784
4031.5000,0.990783
4031.5500,0.93239
4031.6000,0.918626
4031.6500,0.852437
4031.7000,0.965708
4031.7500,0.846484
4031.8000,0.883505
4031.8500,0.947059
4031.9000,0.868374
4031.9500,0.877929
4032.0000,0.892052
4032.0500,0.872727
4032.1000,0.890562
4032.1500,0.981469
4032.2000,1.00112
4032.2500,1.0516
4032.3000,1.03287
4032.3500,0.990291
4032.4000,0.973185
4032.4500,0.976129
4032.5000,0.913889
4032.5500,0.897212
4032.6000,0.943943
4032.6500,0.824605
4032.7000,0.959553
4032.7500,0.957377
4032.8000,0.906628
4032.8500,0.885751
4032.9000,0.859571
4032.9500,0.811821
4033.0000,0.776292
4033.0500,0.831721
4033.1000,0.811406
4033.1500,0.746512
4033.2000,0.737254
4033.2500,0.857147
4033.3000,0.885336
4033.3500,1.05276
4033.4000,0.910812
4033.4500,1.05415
4033.5000,0.95708
4033.5500,1.13385
4033.6000,1.09069
4033.6500,1.06724
4033.7000,0.961404
4033.7500,0.996979
4033.8000,0.986522
4033.8500,1.08337
4033.9000,0.979993
4033.9500,0.983071
4034.0000,0.945878
4034.0500,0.977917
4034.1000,0.967209
4034.1500,0.984476
4034.2000,0.940012
4034.2500,0.949682
4034.3000,1.01098
4034.3500,0.986327
4034.4000,0.80883
4034.4500,0.991239
4034.5000,0.884935
4034.5500,0.835376
4034.6000,0.840956
4034.6500,0.958614
4034.7000,1.05374
4034.7500,0.95625
4034.8000,0.992496
4034.8500,0.99974
4034.9000,1.08563
4034.9500,1.11421
4035.0000,0.999145
4035.0500,1.02373
4035.1000,1.07895
4035.1500,1.08455
4035.2000,1.0201
4035.2500,1.03495
4035.3000,0.96407
4035.3500,1.06794
4035.4000,1.00139
4035.4500,0.990919
4035.5000,0.894195
4035.5500,0.790102
4035.6000,0.772565
4035.6500,0.867702
4035.7000,0.77038
4035.7500,0.823613
4035.8000,0.855804
4035.8500,0.941532
4035.9000,0.994669
4035.9500,1.03415
