Longitud_de_onda_A,espectro
4000.0000,1.28182
4000.0500,1.23746
4000.1000,1.22358
4000.1500,1.20814
4000.2000,0.857032
4000.2500,0.747226
4000.3000,0.674705
4000.3500,0.605496
4000.4000,0.56476
4000.4500,0.435366
4000.5000,0.392329
4000.5500,0.551477
4000.6000,0.754764
4000.6500,0.999414
4000.7000,1.17463
4000.7500,1.15118
4000.8000,1.10106
4000.8500,1.14419
4000.9000,1.26895
4000.9500,1.24249
4001.0000,1.31884
4001.0500,1.21361
4001.1000,1.04634
4001.1500,1.10399
4001.2000,0.98865
4001.2500,0.896051
4001.3000,0.933925
4001.3500,0.962901
4001.4000,0.807767
4001.4500,0.972676
4001.5000,0.78506
4001.5500,0.719265
4001.6000,0.672128
4001.6500,0.580933
4001.7000,0.506764
4001.7500,0.611222
4001.8000,0.906414
4001.8500,0.951889
4001.9000,1.02819
4001.9500,1.01222
4002.0000,0.864111
4002.0500,0.783222
4002.1000,0.722775
4002.1500,0.711086
4002.2000,0.913397
4002.2500,1.14339
4002.3000,1.08206
4002.3500,1.17331
4002.4000,1.07858
4002.4500,0.873968
4002.5000,0.82501
4002.5500,0.733557
4002.6000,0.762256
4002.6500,0.860064
4002.7000,0.913701
4002.7500,1.03442
4002.8000,1.04724
4002.8500,0.812445
4002.9000,0.679733
4002.9500,0.430248
4003.0000,0.551872
4003.0500,0.742449
4003.1000,0.886716
4003.1500,0.963218
4003.2000,0.96093
4003.2500,0.930427
4003.3000,1.0282
4003.3500,1.01163
4003.4000,1.05943
4003.4500,1.10919
4003.5000,1.18715
4003.5500,1.2389
4003.6000,1.06776
4003.6500,1.06237
4003.7000,0.928788
4003.7500,0.739021
4003.8000,0.653725
4003.8500,0.682526
4003.9000,0.762133
4003.9500,0.898524
4004.0000,0.842362
4004.0500,0.80958
4004.1000,0.873855
4004.1500,0.971771
4004.2000,0.978987
4004.2500,1.03527
4004.3000,1.03278
4004.3500,1.13214
4004.4000,1.23108
4004.4500,1.28109
4004.5000,1.32839
4004.5500,1.33686
4004.6000,1.12262
4004.6500,1.05837
4004.7000,0.90863
4004.7500,0.891569
4004.8000,0.759819
4004.8500,0.585743
4004.9000,0.422363
4004.9500,0.350564
4005.0000,0.495454
4005.0500,0.476566
4005.1000,0.430066
4005.1500,0.406391
4005.2000,0.37486
4005.2500,0.208659
4005.3000,0.259745
4005.3500,0.357186
4005.4000,0.403712
4005.4500,0.560606
4005.5000,0.625206
4005.5500,0.747979
4005.6000,0.70506
4005.6500,0.572515
4005.7000,0.360461
4005.7500,0.30245
4005.8000,0.470052
4005.8500,0.643085
4005.9000,0.920688
4005.9500,1.13405
4006.0000,1.19722
4006.0500,1.15407
4006.1000,1.14033
4006.1500,0.922489
4006.2000,0.853646
4006.2500,0.725752
4006.3000,0.54946
4006.3500,0.567662
4006.4000,0.595523
4006.4500,0.875985
4006.5000,1.00158
4006.5500,0.930825
4006.6000,0.787244
4006.6500,0.633441
4006.7000,0.470537
4006.7500,0.451069
4006.8000,0.564267
4006.8500,0.86605
4006.9000,1.07897
4006.9500,1.18643
4007.0000,1.24608
4007.0500,1.10598
4007.1000,1.09922
4007.1500,1.10431
4007.2000,0.980114
4007.2500,0.773823
