Longitud_de_onda_A,espectro
4000.0000,1.35732
4000.0500,1.5686
4000.1000,0.797485
4000.1500,1.19068
4000.2000,0.661388
4000.2500,0.475738
4000.3000,0.882027
4000.3500,0.783706
4000.4000,1.09358
4000.4500,0.640421
4000.5000,-0.00472413
4000.5500,0.750428
4000.6000,1.00969
4000.6500,0.617913
4000.7000,1.7762
4000.7500,1.48818
4000.8000,1.69664
4000.8500,1.26545
4000.9000,1.30001
4000.9500,1.04165
4001.0000,1.08751
4001.0500,1.36054
4001.1000,0.877875
4001.1500,0.991443
4001.2000,0.701506
4001.2500,1.25936
4001.3000,1.22609
4001.3500,1.37166
4001.4000,1.42351
4001.4500,1.00771
4001.5000,0.894677
4001.5500,0.553869
4001.6000,0.917461
4001.6500,0.853833
4001.7000,1.01738
4001.7500,1.22346
4001.8000,1.02731
4001.8500,0.796566
4001.9000,0.987411
4001.9500,1.54691
4002.0000,1.06497
4002.0500,1.36807
4002.1000,1.48534
4002.1500,1.21094
4002.2000,1.26163
4002.2500,1.78038
4002.3000,1.27763
4002.3500,1.18815
4002.4000,0.827471
4002.4500,1.91165
4002.5000,1.21423
4002.5500,1.35102
4002.6000,1.02668
4002.6500,1.00091
4002.7000,1.09747
4002.7500,0.992827
4002.8000,1.11148
4002.8500,1.73289
4002.9000,0.853488
4002.9500,1.08885
4003.0000,1.36137
4003.0500,0.998356
4003.1000,1.29791
4003.1500,1.05584
4003.2000,1.32308
4003.2500,1.77304
4003.3000,1.13898
4003.3500,0.56504
4003.4000,1.17171
4003.4500,0.879276
4003.5000,1.81234
4003.5500,1.12024
4003.6000,0.747572
4003.6500,2.07157
4003.7000,0.504329
4003.7500,0.506716
4003.8000,0.000194767
4003.8500,0.542786
4003.9000,0.598321
4003.9500,0.900129
4004.0000,1.17487
4004.0500,0.66847
4004.1000,0.859592
4004.1500,0.981173
4004.2000,1.3387
4004.2500,1.15881
4004.3000,1.25126
4004.3500,1.32564
4004.4000,1.40383
4004.4500,1.65092
4004.5000,1.51415
4004.5500,0.755768
4004.6000,1.85533
4004.6500,1.35017
4004.7000,1.23429
4004.7500,0.990722
4004.8000,0.980528
4004.8500,1.29276
4004.9000,1.07061
4004.9500,0.872776
4005.0000,1.00263
4005.0500,1.20291
4005.1000,0.854162
4005.1500,1.01248
4005.2000,0.1349
4005.2500,0.288371
4005.3000,0.0169845
4005.3500,0.271237
4005.4000,0.463552
4005.4500,0.921147
4005.5000,0.336613
4005.5500,0.650171
4005.6000,0.926784
4005.6500,0.259428
4005.7000,0.601545
4005.7500,1.05904
4005.8000,1.14086
4005.8500,1.28957
4005.9000,1.23128
4005.9500,0.829498
4006.0000,0.276568
4006.0500,0.699751
4006.1000,1.50316
4006.1500,0.988513
4006.2000,1.13196
4006.2500,1.27587
4006.3000,1.57009
4006.3500,0.748088
4006.4000,0.879174
4006.4500,1.2127
4006.5000,0.693426
4006.5500,0.905855
4006.6000,0.935218
4006.6500,0.770649
4006.7000,1.33924
4006.7500,0.833925
4006.8000,0.877997
4006.8500,1.35886
4006.9000,0.944267
4006.9500,1.66816
4007.0000,0.785337
4007.0500,1.87913
4007.1000,1.32157
4007.1500,0.949131
4007.2000,0.498892
4007.2500,0.413286
4007.3000,0.837135
4007.3500,0.765821
4007.4000,0.768238
4007.4500,0.870343
4007.5000,0.823314
4007.5500,0.457839
4007.6000,1.23566
4007.6500,1.73895
4007.7000,1.23151
4007.7500,0.878793
4007.8000,1.51401
4007.8500,0.308411
4007.9000,1.06624
4007.9500,0.41581
4008.0000,0.794193
4008.0500,1.05306
4008.1000,1.16851
4008.1500,1.12418
4008.2000,1.18447
4008.2500,0.791584
4008.3000,0.860962
4008.3500,1.3221
4008.4000,0.599397
4008.4500,1.53373
4008.5000,1.48657
4008.5500,1.23595
4008.6000,1.43079
4008.6500,0.929589
4008.7000,0.557621
4008.7500,0.224963
4008.8000,0.71551
4008.8500,0.447057
4008.9000,0.48066
4008.9500,0.666247
4009.0000,1.00271
4009.0500,0.377424
4009.1000,0.497423
4009.1500,0.633223
4009.2000,1.1665
4009.2500,1.3734
4009.3000,1.33086
4009.3500,1.3131
4009.4000,1.5861
4009.4500,1.61652
4009.5000,1.40073
4009.5500,0.753964
4009.6000,0.139624
4009.6500,0.840356
4009.7000,0.755345
4009.7500,0.723058
4009.8000,0.949147
4009.8500,0.516438
4009.9000,0.94146
4009.9500,1.31273
4010.0000,1.45834
4010.0500,1.20366
4010.1000,1.31846
4010.1500,1.7731
4010.2000,1.32128
4010.2500,1.11509
4010.3000,0.903964
4010.3500,1.22583
4010.4000,1.31093
4010.4500,1.55259
4010.5000,1.26033
4010.5500,1.46733
4010.6000,1.29518
4010.6500,1.01414
4010.7000,1.18556
4010.7500,1.08593
4010.8000,1.0407
4010.8500,0.72204
4010.9000,0.931106
4010.9500,1.31384
4011.0000,1.42445
4011.0500,1.14696
4011.1000,1.20899
4011.1500,0.787402
4011.2000,0.739095
4011.2500,1.25486
4011.3000,1.42836
4011.3500,1.13968
4011.4000,0.725004
4011.4500,0.914446
4011.5000,0.770057
4011.5500,0.422081
4011.6000,0.89864
4011.6500,0.78635
4011.7000,0.758677
4011.7500,0.816423
4011.8000,1.41129
4011.8500,1.75986
4011.9000,1.4231
4011.9500,0.936979
4012.0000,1.33115
4012.0500,1.71251
4012.1000,1.09515
4012.1500,0.777964
4012.2000,1.41422
4012.2500,0.0915799
4012.3000,0.630833
4012.3500,0.493865
4012.4000,0.837904
4012.4500,0.92883
4012.5000,1.35954
4012.5500,1.04242
4012.6000,1.28693
4012.6500,0.781884
4012.7000,1.13711
4012.7500,1.52396
4012.8000,0.926931
4012.8500,1.29861
4012.9000,1.69497
4012.9500,1.67694
4013.0000,2.05838
4013.0500,1.53184
4013.1000,1.49809
4013.1500,1.23663
4013.2000,1.26659
4013.2500,1.16504
4013.3000,1.34167
4013.3500,1.64857
4013.4000,1.48552
4013.4500,1.6645
4013.5000,1.30852
4013.5500,1.0447
4013.6000,0.480501
4013.6500,1.01444
4013.7000,0.559319
4013.7500,0.653033
4013.8000,1.08168
4013.8500,0.59271
4013.9000,1.0519
4013.9500,0.300801
4014.0000,1.01171
4014.0500,1.1982
4014.1000,1.02182
4014.1500,1.16272
4014.2000,1.17932
4014.2500,0.738703
4014.3000,0.700032
4014.3500,1.16719
4014.4000,1.20766
4014.4500,0.587752
4014.5000,0.482073
4014.5500,0.691671
4014.6000,0.982449
4014.6500,0.754779
4014.7000,1.38187
4014.7500,1.02083
4014.8000,0.631052
4014.8500,1.05568
4014.9000,1.5213
4014.9500,1.24613
4015.0000,0.740801
4015.0500,1.39402
4015.1000,0.926294
4015.1500,0.770593
4015.2000,1.18487
4015.2500,0.958536
4015.3000,0.708116
4015.3500,1.31548
4015.4000,0.869944
4015.4500,0.737646
4015.5000,0.939315
4015.5500,0.929499
4015.6000,1.28709
4015.6500,0.728412
4015.7000,1.11188
4015.7500,1.14217
4015.8000,1.36589
4015.8500,1.31314
4015.9000,1.91071
4015.9500,1.62933
4016.0000,1.48052
4016.0500,1.4314
4016.1000,1.86789
4016.1500,1.55855
4016.2000,1.63222
4016.2500,1.09422
4016.3000,1.00462
4016.3500,1.09099
4016.4000,0.771208
4016.4500,1.0512
4016.5000,0.659579
4016.5500,1.15454
4016.6000,1.67663
4016.6500,1.41286
4016.7000,1.62223
4016.7500,1.11708
4016.8000,1.42872
4016.8500,1.3194
4016.9000,1.29634
4016.9500,1.24927
4017.0000,0.563704
4017.0500,0.380131
4017.1000,1.34331
4017.1500,0.457812
4017.2000,0.472026
4017.2500,1.1438
4017.3000,1.02887
4017.3500,0.887497
4017.4000,1.33506
4017.4500,0.896341
4017.5000,1.21486
4017.5500,0.885955
4017.6000,1.60566
4017.6500,0.875059
4017.7000,0.89973
4017.7500,0.7351
4017.8000,1.11947
4017.8500,0.556896
4017.9000,1.3039
4017.9500,1.36492
4018.0000,0.912642
4018.0500,0.572546
4018.1000,0.487905
4018.1500,0.337444
4018.2000,0.351373
4018.2500,0.613967
4018.3000,0.752909
4018.3500,0.676973
4018.4000,1.09189
4018.4500,1.41567
4018.5000,1.72171
4018.5500,1.79994
4018.6000,1.15353
4018.6500,1.03793
4018.7000,1.32003
4018.7500,1.18274
4018.8000,0.85505
4018.8500,0.848179
4018.9000,0.913899
4018.9500,1.04432
4019.0000,1.02621
4019.0500,0.781507
4019.1000,0.989116
4019.1500,0.51874
4019.2000,0.38643
4019.2500,0.822944
4019.3000,0.459476
4019.3500,0.778265
4019.4000,1.341
4019.4500,1.38164
4019.5000,1.3536
4019.5500,1.46526
4019.6000,1.70441
4019.6500,1.56826
4019.7000,1.73678
4019.7500,1.5701
4019.8000,1.12755
4019.8500,0.979521
4019.9000,1.06138
4019.9500,1.1747
4020.0000,0.910331
4020.0500,1.1142
4020.1000,0.939494
4020.1500,1.27018
4020.2000,1.06492
4020.2500,0.776362
4020.3000,0.0706153
4020.3500,0.201788
4020.4000,0.515833
4020.4500,0.484522
4020.5000,0.333025
4020.5500,0.993016
