Longitud_de_onda_A,espectro
4000.0000,0.98901
4000.0500,1.01275
4000.1000,0.99843
4000.1500,1.05952
4000.2000,0.810736
4000.2500,0.544618
4000.3000,0.531772
4000.3500,0.583644
4000.4000,0.587854
4000.4500,0.389711
4000.5000,0.523796
4000.5500,0.829264
4000.6000,1.04851
4000.6500,1.03434
4000.7000,1.0814
4000.7500,1.00054
4000.8000,0.911294
4000.8500,0.940985
4000.9000,1.01393
4000.9500,1.04336
4001.0000,0.901511
4001.0500,0.691835
4001.1000,0.508011
4001.1500,0.41564
4001.2000,0.525128
4001.2500,0.723676
4001.3000,0.836529
4001.3500,0.900426
4001.4000,0.758812
4001.4500,0.626174
4001.5000,0.743762
4001.5500,0.820581
4001.6000,0.652038
4001.6500,0.39152
4001.7000,0.385476
4001.7500,0.635792
4001.8000,0.953081
4001.8500,1.06486
4001.9000,0.971933
4001.9500,0.891709
4002.0000,0.88752
4002.0500,0.812253
4002.1000,0.80978
4002.1500,0.973485
4002.2000,1.09382
4002.2500,1.12899
4002.3000,1.09456
4002.3500,1.00967
4002.4000,0.795888
4002.4500,0.762973
4002.5000,0.672799
4002.5500,0.8131
4002.6000,0.891112
4002.6500,0.693234
4002.7000,0.79031
4002.7500,0.975055
4002.8000,1.04951
4002.8500,0.899841
4002.9000,0.658562
4002.9500,0.558925
4003.0000,0.907137
4003.0500,1.17903
4003.1000,1.12611
4003.1500,1.07757
4003.2000,1.05456
4003.2500,1.03571
4003.3000,1.03115
4003.3500,1.11025
4003.4000,1.13749
4003.4500,1.13101
4003.5000,1.03871
4003.5500,1.02744
4003.6000,0.968118
4003.6500,0.970761
4003.7000,0.864838
4003.7500,0.432208
4003.8000,0.540165
4003.8500,0.822509
4003.9000,0.87668
4003.9500,0.960663
4004.0000,0.884807
4004.0500,1.04542
4004.1000,1.00365
4004.1500,0.939907
4004.2000,0.959601
4004.2500,1.0586
4004.3000,1.08708
4004.3500,1.14302
4004.4000,1.14146
4004.4500,1.11845
4004.5000,1.05172
4004.5500,0.989123
4004.6000,0.853034
4004.6500,0.847268
4004.7000,0.89277
4004.7500,0.740246
4004.8000,0.527887
4004.8500,0.271992
4004.9000,0.222142
4004.9500,0.262134
4005.0000,0.224595
4005.0500,0.263845
4005.1000,0.276385
4005.1500,0.233738
4005.2000,0.154277
4005.2500,0.0997774
4005.3000,0.131041
4005.3500,0.205872
4005.4000,0.306846
4005.4500,0.298066
4005.5000,0.42529
4005.5500,0.610489
4005.6000,0.63724
4005.6500,0.469293
4005.7000,0.364805
4005.7500,0.583091
4005.8000,0.793521
4005.8500,0.972629
4005.9000,0.90379
4005.9500,0.849946
4006.0000,0.902906
4006.0500,0.885326
4006.1000,0.693236
4006.1500,0.497076
4006.2000,0.639708
4006.2500,0.66448
4006.3000,0.452491
4006.3500,0.540716
4006.4000,0.83648
4006.4500,0.918891
4006.5000,0.91258
4006.5500,0.785072
4006.6000,0.512778
4006.6500,0.386268
4006.7000,0.38035
4006.7500,0.37574
4006.8000,0.4182
4006.8500,0.64974
4006.9000,0.839598
4006.9500,0.777226
4007.0000,0.57736
4007.0500,0.674494
4007.1000,0.883949
4007.1500,0.960557
4007.2000,0.762798
4007.2500,0.363351
4007.3000,0.469626
4007.3500,0.736874
4007.4000,0.934158
4007.4500,0.963635
4007.5000,1.06496
4007.5500,1.06675
4007.6000,1.05591
4007.6500,1.08205
4007.7000,1.05308
4007.7500,1.00221
4007.8000,0.902992
4007.8500,0.702416
4007.9000,0.548524
4007.9500,0.502143
4008.0000,0.493099
4008.0500,0.535857
4008.1000,0.726421
4008.1500,0.810018
4008.2000,0.905233
4008.2500,1.02129
4008.3000,1.12874
4008.3500,1.0735
4008.4000,1.09195
4008.4500,1.10304
4008.5000,1.09737
4008.5500,1.0547
4008.6000,0.97836
4008.6500,1.00156
4008.7000,0.995411
4008.7500,0.950396
4008.8000,0.784912
4008.8500,0.506268
4008.9000,0.305476
4008.9500,0.453172
4009.0000,0.805381
4009.0500,0.898263
4009.1000,0.71746
4009.1500,0.591701
4009.2000,0.827745
4009.2500,1.04595
4009.3000,1.16203
4009.3500,1.21871
4009.4000,1.18839
4009.4500,1.10799
4009.5000,0.87822
4009.5500,0.646289
4009.6000,0.538078
4009.6500,0.392201
4009.7000,0.233869
4009.7500,0.40504
4009.8000,0.700668
4009.8500,0.928709
4009.9000,1.0292
4009.9500,0.925426
4010.0000,0.926654
4010.0500,1.06618
4010.1000,0.986279
4010.1500,0.775209
4010.2000,0.756243
4010.2500,0.974017
4010.3000,1.05172
4010.3500,0.942769
4010.4000,0.977178
4010.4500,0.989992
4010.5000,0.813006
4010.5500,0.60028
4010.6000,0.545287
4010.6500,0.764692
4010.7000,0.839432
4010.7500,0.674819
4010.8000,0.661147
4010.8500,0.750479
4010.9000,0.699961
4010.9500,0.707462
4011.0000,0.908817
4011.0500,0.985962
4011.1000,1.02148
4011.1500,1.09026
4011.2000,1.12204
4011.2500,1.1228
4011.3000,1.04942
4011.3500,0.832939
4011.4000,0.599042
4011.4500,0.631557
4011.5000,0.814419
4011.5500,0.977108
4011.6000,1.01099
4011.6500,0.903247
4011.7000,0.66367
4011.7500,0.727883
4011.8000,0.957729
4011.8500,1.0435
4011.9000,0.985343
4011.9500,1.01559
4012.0000,0.977588
4012.0500,1.00975
4012.1000,0.952009
4012.1500,0.730177
4012.2000,0.586592
4012.2500,0.637418
4012.3000,0.607519
4012.3500,0.472443
4012.4000,0.364979
4012.4500,0.482285
4012.5000,0.636667
4012.5500,0.770631
4012.6000,0.727981
4012.6500,0.744278
4012.7000,0.786302
4012.7500,0.969586
4012.8000,1.004
4012.8500,1.15187
4012.9000,1.16587
4012.9500,1.21762
4013.0000,1.1435
4013.0500,1.09892
4013.1000,1.06452
4013.1500,1.13622
4013.2000,1.03491
4013.2500,1.00976
4013.3000,1.04066
4013.3500,1.15015
4013.4000,1.15815
4013.4500,1.1723
4013.5000,1.03132
4013.5500,0.670624
4013.6000,0.453009
4013.6500,0.500045
4013.7000,0.586369
4013.7500,0.509357
4013.8000,0.378574
4013.8500,0.356353
4013.9000,0.452664
4013.9500,0.558658
4014.0000,0.849396
4014.0500,1.04699
4014.1000,1.12227
4014.1500,1.07454
4014.2000,0.941139
4014.2500,0.730053
4014.3000,0.783353
4014.3500,0.976206
4014.4000,0.834795
4014.4500,0.603245
4014.5000,0.327218
4014.5500,0.352542
4014.6000,0.577374
4014.6500,0.777472
4014.7000,0.941347
4014.7500,1.04995
4014.8000,1.10771
4014.8500,0.992498
