Longitud_de_onda_A,espectro
4000.0000,1.17433
4000.0500,1.10863
4000.1000,1.06471
4000.1500,1.03894
4000.2000,0.917951
4000.2500,0.811222
4000.3000,0.738361
4000.3500,0.609949
4000.4000,0.565095
4000.4500,0.635329
4000.5000,0.627368
4000.5500,0.911022
4000.6000,1.04568
4000.6500,1.11506
4000.7000,1.12725
4000.7500,1.21949
4000.8000,1.2008
4000.8500,1.11869
4000.9000,1.14857
4000.9500,1.06247
4001.0000,0.881124
4001.0500,0.893757
4001.1000,0.789998
4001.1500,0.742941
4001.2000,0.758035
4001.2500,0.814382
4001.3000,0.897193
4001.3500,0.939822
4001.4000,0.915319
4001.4500,0.872715
4001.5000,0.746016
4001.5500,0.669335
4001.6000,0.666938
4001.6500,0.705375
4001.7000,0.707011
4001.7500,0.84041
4001.8000,0.9709
4001.8500,1.00875
4001.9000,1.19964
4001.9500,1.19578
4002.0000,1.11912
4002.0500,1.14573
4002.1000,1.13356
4002.1500,1.19286
4002.2000,1.1366
4002.2500,1.23158
4002.3000,1.1908
4002.3500,1.03007
4002.4000,1.0335
4002.4500,1.01964
4002.5000,0.846371
4002.5500,0.856239
4002.6000,0.980898
4002.6500,1.00264
4002.7000,0.991621
4002.7500,0.918813
4002.8000,0.894821
4002.8500,0.951882
4002.9000,0.90076
4002.9500,1.02856
4003.0000,1.0731
4003.0500,1.12088
4003.1000,1.16576
4003.1500,1.24604
4003.2000,1.29284
4003.2500,1.30237
4003.3000,1.34548
4003.3500,1.24325
4003.4000,1.35793
4003.4500,1.2699
4003.5000,1.25125
4003.5500,1.12996
4003.6000,1.02117
4003.6500,0.923889
4003.7000,0.815538
4003.7500,0.823949
4003.8000,0.824507
4003.8500,0.857381
4003.9000,0.872083
4003.9500,0.887053
4004.0000,1.01333
4004.0500,0.94412
4004.1000,1.00698
4004.1500,1.05492
4004.2000,1.11982
4004.2500,1.20255
4004.3000,1.26474
4004.3500,1.2793
4004.4000,1.24393
4004.4500,1.26401
4004.5000,1.17594
4004.5500,1.14062
4004.6000,1.09886
4004.6500,0.924901
4004.7000,0.777225
4004.7500,0.755106
4004.8000,0.551792
4004.8500,0.441662
4004.9000,0.43967
4004.9500,0.307816
4005.0000,0.30691
4005.0500,0.212204
4005.1000,0.235252
4005.1500,0.252533
4005.2000,0.247707
4005.2500,0.184213
4005.3000,0.181739
4005.3500,0.236628
4005.4000,0.287056
4005.4500,0.2863
4005.5000,0.344145
4005.5500,0.43497
4005.6000,0.533714
4005.6500,0.540938
4005.7000,0.648215
4005.7500,0.715112
4005.8000,0.762889
4005.8500,0.818775
4005.9000,0.945369
4005.9500,0.876938
4006.0000,0.824263
4006.0500,0.911034
4006.1000,0.828101
4006.1500,0.720532
4006.2000,0.651475
4006.2500,0.828034
4006.3000,0.770587
4006.3500,0.800134
4006.4000,0.84239
4006.4500,0.864097
4006.5000,0.892901
4006.5500,0.790754
4006.6000,0.661972
4006.6500,0.620883
4006.7000,0.600816
4006.7500,0.636737
4006.8000,0.728946
4006.8500,0.745821
4006.9000,0.842408
4006.9500,0.913223
4007.0000,0.949434
4007.0500,0.906289
4007.1000,0.888846
4007.1500,0.863257
4007.2000,0.762001
4007.2500,0.669826
4007.3000,0.690086
4007.3500,0.725659
4007.4000,0.704597
4007.4500,0.760839
4007.5000,0.835969
4007.5500,1.00019
4007.6000,1.0446
4007.6500,1.18138
4007.7000,1.16325
4007.7500,1.11215
4007.8000,1.01508
4007.8500,0.91264
4007.9000,0.752653
4007.9500,0.751895
4008.0000,0.797772
4008.0500,0.773934
4008.1000,0.764019
4008.1500,0.935658
4008.2000,1.0051
4008.2500,1.15139
4008.3000,1.28899
4008.3500,1.24006
4008.4000,1.35769
4008.4500,1.29763
4008.5000,1.17431
4008.5500,1.07766
4008.6000,1.0136
4008.6500,0.908764
4008.7000,0.759676
4008.7500,0.714754
4008.8000,0.652896
4008.8500,0.604446
4008.9000,0.568322
4008.9500,0.584602
4009.0000,0.648065
4009.0500,0.773808
4009.1000,0.834325
4009.1500,0.922789
4009.2000,1.01183
4009.2500,1.22736
4009.3000,1.29187
4009.3500,1.23214
4009.4000,1.2645
4009.4500,1.13606
4009.5000,0.94097
4009.5500,0.756477
4009.6000,0.644247
4009.6500,0.497627
4009.7000,0.564404
4009.7500,0.643985
4009.8000,0.748232
4009.8500,0.935324
4009.9000,1.12751
4009.9500,1.13978
4010.0000,1.19804
4010.0500,1.18811
4010.1000,1.12404
4010.1500,1.05916
4010.2000,1.1298
4010.2500,1.10431
4010.3000,1.09582
4010.3500,1.04401
4010.4000,1.10795
4010.4500,0.99231
4010.5000,0.929383
4010.5500,0.912236
4010.6000,0.90365
4010.6500,0.894871
4010.7000,0.914415
4010.7500,0.861958
4010.8000,0.9488
4010.8500,0.841554
4010.9000,0.817848
4010.9500,0.871587
4011.0000,0.867256
4011.0500,0.927515
4011.1000,0.975738
4011.1500,0.9735
4011.2000,1.03415
4011.2500,1.01803
4011.3000,0.979781
4011.3500,0.921886
4011.4000,0.864951
4011.4500,0.880182
4011.5000,0.803415
4011.5500,0.908942
4011.6000,0.951948
4011.6500,0.916622
4011.7000,0.899877
4011.7500,0.97028
4011.8000,0.942363
4011.8500,1.0091
4011.9000,1.05466
4011.9500,0.967853
4012.0000,1.04277
4012.0500,1.03167
4012.1000,0.915514
4012.1500,0.729997
4012.2000,0.646879
4012.2500,0.53714
4012.3000,0.448148
4012.3500,0.411215
4012.4000,0.441095
4012.4500,0.547136
4012.5000,0.598749
4012.5500,0.778142
4012.6000,0.846494
4012.6500,0.893911
4012.7000,0.939522
4012.7500,0.920263
4012.8000,1.01972
4012.8500,1.04697
4012.9000,1.28139
4012.9500,1.29484
4013.0000,1.35833
4013.0500,1.38351
4013.1000,1.35444
4013.1500,1.32484
4013.2000,1.29722
4013.2500,1.28272
4013.3000,1.1899
4013.3500,1.14455
4013.4000,1.20386
4013.4500,1.15175
4013.5000,1.03616
4013.5500,0.843869
4013.6000,0.77323
4013.6500,0.610863
4013.7000,0.564603
4013.7500,0.530858
4013.8000,0.435719
4013.8500,0.527722
4013.9000,0.594364
4013.9500,0.702596
4014.0000,0.842326
4014.0500,0.991219
4014.1000,1.06482
4014.1500,1.02804
4014.2000,1.0167
4014.2500,0.988951
4014.3000,0.944895
4014.3500,0.843069
4014.4000,0.716078
4014.4500,0.632573
4014.5000,0.577316
4014.5500,0.627398
4014.6000,0.70493
4014.6500,0.835929
4014.7000,0.95264
4014.7500,1.02873
4014.8000,1.03551
4014.8500,1.05173
4014.9000,1.01046
4014.9500,1.0605
4015.0000,1.10403
4015.0500,1.0865
4015.1000,1.20731
4015.1500,1.17467
4015.2000,1.11624
4015.2500,1.05088
4015.3000,0.990722
4015.3500,0.977313
4015.4000,0.927455
4015.4500,0.777819
4015.5000,0.843391
4015.5500,0.88282
4015.6000,0.878433
4015.6500,0.933826
4015.7000,0.974715
4015.7500,1.06048
4015.8000,1.15232
4015.8500,1.23707
4015.9000,1.21235
4015.9500,1.26786
4016.0000,1.25902
4016.0500,1.27237
4016.1000,1.19096
4016.1500,1.25021
4016.2000,1.12261
4016.2500,1.02377
4016.3000,0.989796
4016.3500,0.891461
4016.4000,0.824896
4016.4500,0.884775
4016.5000,0.948443
4016.5500,0.998361
4016.6000,1.03412
4016.6500,1.05338
4016.7000,1.08093
4016.7500,1.04254
4016.8000,0.931679
4016.8500,0.879967
4016.9000,0.786215
4016.9500,0.763808
4017.0000,0.691712
4017.0500,0.619148
4017.1000,0.549768
4017.1500,0.563446
4017.2000,0.618527
4017.2500,0.727013
4017.3000,0.771083
4017.3500,0.77556
4017.4000,0.691826
4017.4500,0.718748
4017.5000,0.737705
4017.5500,0.788544
4017.6000,0.77637
4017.6500,0.768174
4017.7000,0.828512
4017.7500,0.898405
4017.8000,0.902175
4017.8500,0.96048
4017.9000,0.917546
4017.9500,0.808038
4018.0000,0.760027
4018.0500,0.607736
4018.1000,0.500017
4018.1500,0.386531
4018.2000,0.39831
4018.2500,0.446275
4018.3000,0.561371
4018.3500,0.715638
4018.4000,0.883828
4018.4500,1.05098
4018.5000,1.18711
4018.5500,1.24089
4018.6000,1.32353
4018.6500,1.2851
4018.7000,1.23976
4018.7500,1.22598
4018.8000,1.14545
4018.8500,1.0507
4018.9000,0.985564
4018.9500,0.849809
4019.0000,0.771791
4019.0500,0.751441
4019.1000,0.717364
4019.1500,0.706137
4019.2000,0.704651
4019.2500,0.747623
4019.3000,0.813171
