Longitud_de_onda_A,espectro
4000.0000,1.06264
4000.0500,0.959337
4000.1000,0.881356
4000.1500,0.892337
4000.2000,0.936409
4000.2500,0.810913
4000.3000,0.952533
4000.3500,0.721463
4000.4000,0.816401
4000.4500,0.526356
4000.5000,0.6645
4000.5500,0.8873
4000.6000,0.809463
4000.6500,1.01012
4000.7000,1.06732
4000.7500,1.12289
4000.8000,1.17027
4000.8500,1.18798
4000.9000,1.12161
4000.9500,1.18825
4001.0000,1.12891
4001.0500,0.916107
4001.1000,0.996144
4001.1500,1.13701
4001.2000,0.885864
4001.2500,0.926544
4001.3000,0.950994
4001.3500,0.971972
4001.4000,1.06087
4001.4500,0.97342
4001.5000,1.05237
4001.5500,1.07026
4001.6000,0.888288
4001.6500,0.656306
4001.7000,0.642582
4001.7500,0.882838
4001.8000,0.914325
4001.8500,0.939869
4001.9000,1.1414
4001.9500,0.996303
4002.0000,1.15873
4002.0500,1.17218
4002.1000,1.08264
4002.1500,1.1065
4002.2000,1.23318
4002.2500,1.16488
4002.3000,1.15773
4002.3500,1.188
4002.4000,0.941615
4002.4500,0.748276
4002.5000,0.952467
4002.5500,0.922978
4002.6000,1.03888
4002.6500,0.86298
4002.7000,1.0944
4002.7500,1.0665
4002.8000,0.99585
4002.8500,1.05088
4002.9000,0.981827
4002.9500,1.01056
4003.0000,0.875675
4003.0500,0.834807
4003.1000,0.762881
4003.1500,0.908175
4003.2000,0.99404
4003.2500,1.10576
4003.3000,1.13235
4003.3500,1.13208
4003.4000,1.02488
4003.4500,0.926633
4003.5000,1.11182
4003.5500,1.09004
4003.6000,1.00725
4003.6500,1.06078
4003.7000,1.01369
4003.7500,0.822608
4003.8000,0.731963
4003.8500,0.847551
4003.9000,0.986345
4003.9500,0.90749
4004.0000,0.835274
4004.0500,0.95268
4004.1000,0.930562
4004.1500,1.05722
4004.2000,0.91656
4004.2500,0.877285
4004.3000,1.02101
4004.3500,1.07879
4004.4000,1.18913
4004.4500,1.06108
4004.5000,1.25206
4004.5500,1.06155
4004.6000,1.07236
4004.6500,1.02635
4004.7000,0.782593
4004.7500,0.701577
4004.8000,0.900223
4004.8500,0.78471
4004.9000,0.790552
4004.9500,0.601724
4005.0000,0.654864
4005.0500,0.592642
4005.1000,0.428673
4005.1500,0.480391
4005.2000,0.451357
4005.2500,0.280558
4005.3000,0.268493
4005.3500,0.313128
4005.4000,0.383416
4005.4500,0.542329
4005.5000,0.634665
4005.5500,0.741903
4005.6000,0.640609
4005.6500,0.536685
4005.7000,0.666588
4005.7500,0.934486
4005.8000,0.919874
4005.8500,0.808536
4005.9000,0.809835
4005.9500,0.770765
4006.0000,0.913225
4006.0500,1.09869
4006.1000,0.870249
4006.1500,1.2376
4006.2000,0.968485
4006.2500,0.974752
4006.3000,0.8055
4006.3500,0.839181
4006.4000,0.861542
4006.4500,0.84583
4006.5000,0.838137
4006.5500,0.91819
4006.6000,0.925519
4006.6500,0.974937
4006.7000,0.809443
4006.7500,0.789524
4006.8000,0.952895
4006.8500,0.927651
4006.9000,1.05888
4006.9500,1.12911
4007.0000,1.27511
4007.0500,1.19944
4007.1000,1.15715
4007.1500,1.09469
4007.2000,0.74067
4007.2500,0.627049
4007.3000,0.705359
4007.3500,0.722055
4007.4000,0.671018
4007.4500,0.748369
4007.5000,0.881226
4007.5500,0.920413
4007.6000,0.975719
4007.6500,1.06571
4007.7000,1.00127
4007.7500,1.15324
4007.8000,1.28279
4007.8500,1.02191
4007.9000,0.661003
4007.9500,0.941254
4008.0000,0.728659
4008.0500,0.73106
4008.1000,0.813525
4008.1500,0.749255
4008.2000,0.852266
4008.2500,1.00493
4008.3000,1.16369
4008.3500,1.21533
4008.4000,1.13278
4008.4500,1.17678
4008.5000,1.17662
4008.5500,1.07826
4008.6000,0.943521
4008.6500,0.721084
4008.7000,0.643389
4008.7500,0.407767
4008.8000,0.461404
4008.8500,0.346744
4008.9000,0.383335
4008.9500,0.305061
4009.0000,0.480347
4009.0500,0.415981
4009.1000,0.736892
4009.1500,0.896699
4009.2000,0.997748
4009.2500,1.22602
4009.3000,1.17067
4009.3500,1.13767
4009.4000,1.22915
4009.4500,1.01753
4009.5000,0.873294
4009.5500,0.391036
4009.6000,0.557417
4009.6500,0.433924
4009.7000,0.438748
4009.7500,0.439431
4009.8000,0.509713
4009.8500,0.627747
4009.9000,0.841721
4009.9500,1.07153
4010.0000,1.17527
4010.0500,1.27408
4010.1000,1.28598
4010.1500,1.29687
4010.2000,1.02631
4010.2500,1.22308
4010.3000,1.20264
4010.3500,1.30039
4010.4000,1.18068
4010.4500,1.19608
4010.5000,0.973871
4010.5500,0.996111
4010.6000,1.05248
4010.6500,1.04669
4010.7000,0.963347
4010.7500,0.907858
4010.8000,1.0381
4010.8500,1.04766
4010.9000,1.18158
4010.9500,1.09864
4011.0000,0.933394
4011.0500,0.840536
4011.1000,0.825936
4011.1500,0.772111
4011.2000,0.7874
4011.2500,0.928194
4011.3000,0.979093
4011.3500,0.770394
4011.4000,0.752275
4011.4500,0.759993
4011.5000,0.832729
4011.5500,0.576997
4011.6000,0.753009
4011.6500,0.839896
4011.7000,0.705579
4011.7500,0.861406
4011.8000,1.05309
4011.8500,1.08749
4011.9000,1.26765
4011.9500,1.24289
4012.0000,1.19291
4012.0500,1.10762
4012.1000,1.124
4012.1500,0.902426
4012.2000,0.656174
4012.2500,0.613445
4012.3000,0.731387
4012.3500,0.647358
4012.4000,0.5045
4012.4500,0.581668
4012.5000,0.576412
4012.5500,0.624366
4012.6000,0.665518
4012.6500,0.692239
4012.7000,0.659848
4012.7500,0.703802
4012.8000,0.852896
4012.8500,1.00202
4012.9000,1.08626
4012.9500,1.33408
4013.0000,1.28994
4013.0500,1.33939
4013.1000,1.35596
4013.1500,1.28324
4013.2000,1.10159
4013.2500,1.11575
4013.3000,1.10064
4013.3500,1.13921
4013.4000,1.09227
4013.4500,1.23439
4013.5000,0.920977
4013.5500,0.945129
4013.6000,0.769731
4013.6500,0.873453
4013.7000,0.749111
4013.7500,0.683597
4013.8000,0.699683
4013.8500,0.745377
4013.9000,0.793803
4013.9500,0.790912
4014.0000,1.04714
4014.0500,1.13101
4014.1000,1.20133
4014.1500,1.04271
4014.2000,0.995302
4014.2500,1.11838
4014.3000,0.986836
4014.3500,0.955831
4014.4000,0.758606
4014.4500,0.541635
4014.5000,0.630621
4014.5500,0.658723
4014.6000,0.710042
4014.6500,0.764962
4014.7000,0.874336
4014.7500,1.05334
4014.8000,0.936184
4014.8500,0.948029
4014.9000,1.03942
4014.9500,1.05228
4015.0000,0.953568
4015.0500,0.996005
4015.1000,1.16215
4015.1500,1.11462
4015.2000,1.1777
4015.2500,1.06055
4015.3000,0.925323
4015.3500,0.823842
4015.4000,0.662241
4015.4500,0.825707
4015.5000,0.951759
4015.5500,0.907221
4015.6000,0.825637
4015.6500,1.04961
4015.7000,0.932394
4015.7500,1.08485
4015.8000,1.30896
4015.8500,1.26408
4015.9000,1.42492
4015.9500,1.28909
4016.0000,1.36844
4016.0500,1.43222
4016.1000,1.30842
4016.1500,1.19568
4016.2000,1.29093
4016.2500,0.982026
4016.3000,0.927436
4016.3500,0.862433
4016.4000,0.739132
4016.4500,0.739136
4016.5000,0.98095
4016.5500,1.06141
4016.6000,1.12304
4016.6500,1.14275
4016.7000,0.987387
4016.7500,1.26391
4016.8000,1.16524
4016.8500,1.09663
4016.9000,1.03997
4016.9500,0.875123
4017.0000,0.791041
4017.0500,0.779041
4017.1000,0.632806
4017.1500,0.641417
4017.2000,0.678455
4017.2500,0.922773
4017.3000,0.934745
4017.3500,0.962443
4017.4000,0.991108
4017.4500,0.97726
4017.5000,0.937853
4017.5500,0.993253
4017.6000,1.0271
4017.6500,0.947091
4017.7000,0.737921
4017.7500,0.708362
4017.8000,0.891352
4017.8500,0.922146
4017.9000,0.883935
4017.9500,0.814372
4018.0000,0.721253
4018.0500,0.563406
4018.1000,0.605815
4018.1500,0.528297
4018.2000,0.554439
4018.2500,0.457526
4018.3000,0.681994
4018.3500,0.909831
4018.4000,0.748736
4018.4500,0.853866
4018.5000,1.13433
4018.5500,1.21371
4018.6000,1.18866
4018.6500,1.36447
4018.7000,1.20877
4018.7500,1.04576
4018.8000,0.757998
4018.8500,0.898805
4018.9000,0.95156
4018.9500,0.842973
4019.0000,0.848218
4019.0500,0.767996
4019.1000,0.924345
4019.1500,0.820352
4019.2000,0.789244
4019.2500,0.739219
4019.3000,0.693226
4019.3500,0.683568
4019.4000,0.690522
4019.4500,0.86116
4019.5000,1.12478
4019.5500,1.33169
4019.6000,1.2079
4019.6500,1.23932
4019.7000,1.17556
4019.7500,1.06064
4019.8000,1.0281
4019.8500,1.02521
4019.9000,0.957605
4019.9500,0.957502
4020.0000,0.930926
4020.0500,0.967512
4020.1000,0.802673
4020.1500,0.856271
4020.2000,0.683506
4020.2500,0.653039
4020.3000,0.469138
4020.3500,0.561273
4020.4000,0.418316
4020.4500,0.468195
4020.5000,0.571433
4020.5500,0.655097
4020.6000,0.815525
4020.6500,1.03586
4020.7000,1.10088
4020.7500,0.920868
4020.8000,0.632019
4020.8500,0.496212
4020.9000,0.480392
4020.9500,0.547744
4021.0000,0.453558
4021.0500,0.642638
4021.1000,0.782521
4021.1500,0.888099
4021.2000,1.10972
4021.2500,1.06291
4021.3000,0.815106
4021.3500,0.815879
4021.4000,0.968924
4021.4500,0.962135
4021.5000,1.0546
4021.5500,0.76891
4021.6000,0.693968
4021.6500,0.678909
4021.7000,0.517333
4021.7500,0.509586
4021.8000,0.468015
4021.8500,0.466103
4021.9000,0.507312
4021.9500,0.709683
4022.0000,0.7455
4022.0500,0.851338
4022.1000,0.623616
4022.1500,0.766081
4022.2000,0.784308
4022.2500,0.759724
4022.3000,0.852342
4022.3500,1.0026
