Longitud_de_onda_A,espectro
4000.0000,1.06454
4000.0500,0.955729
4000.1000,0.879474
4000.1500,0.893479
4000.2000,0.935626
4000.2500,0.811286
4000.3000,0.956577
4000.3500,0.722323
4000.4000,0.816885
4000.4500,0.526089
4000.5000,0.671135
4000.5500,0.889508
4000.6000,0.80915
4000.6500,1.01316
4000.7000,1.07051
4000.7500,1.1206
4000.8000,1.17165
4000.8500,1.18271
4000.9000,1.1208
4000.9500,1.18331
4001.0000,1.12884
4001.0500,0.918548
4001.1000,0.992659
4001.1500,1.13871
4001.2000,0.8867
4001.2500,0.917219
4001.3000,0.953031
4001.3500,0.978211
4001.4000,1.05913
4001.4500,0.971873
4001.5000,1.05083
4001.5500,1.06933
4001.6000,0.891593
4001.6500,0.656125
4001.7000,0.651276
4001.7500,0.880322
4001.8000,0.914104
4001.8500,0.943686
4001.9000,1.1462
4001.9500,0.997244
4002.0000,1.15746
4002.0500,1.17164
4002.1000,1.08013
4002.1500,1.10324
4002.2000,1.23589
4002.2500,1.16367
4002.3000,1.15875
4002.3500,1.18902
4002.4000,0.937908
4002.4500,0.750661
4002.5000,0.947424
4002.5500,0.919887
4002.6000,1.03282
4002.6500,0.871334
4002.7000,1.08857
4002.7500,1.0632
4002.8000,0.992003
4002.8500,1.05517
4002.9000,0.986842
4002.9500,1.00913
4003.0000,0.874311
4003.0500,0.834114
4003.1000,0.765355
4003.1500,0.909608
4003.2000,0.991252
4003.2500,1.1089
4003.3000,1.13331
4003.3500,1.13283
4003.4000,1.0218
4003.4500,0.929488
4003.5000,1.11492
4003.5500,1.09178
4003.6000,1.00962
4003.6500,1.05987
4003.7000,1.0155
4003.7500,0.82539
4003.8000,0.72718
4003.8500,0.853799
4003.9000,0.979674
4003.9500,0.9099
4004.0000,0.833432
4004.0500,0.945524
4004.1000,0.924984
4004.1500,1.06225
4004.2000,0.919548
4004.2500,0.870318
4004.3000,1.01414
4004.3500,1.07578
4004.4000,1.18307
4004.4500,1.05923
4004.5000,1.25151
4004.5500,1.06074
4004.6000,1.06779
4004.6500,1.02892
4004.7000,0.782803
4004.7500,0.698042
4004.8000,0.903358
4004.8500,0.786102
4004.9000,0.792168
4004.9500,0.600993
4005.0000,0.657352
4005.0500,0.592185
4005.1000,0.428785
4005.1500,0.479993
4005.2000,0.45154
4005.2500,0.280168
4005.3000,0.276457
4005.3500,0.316273
4005.4000,0.383316
4005.4500,0.545377
4005.5000,0.628844
4005.5500,0.743354
4005.6000,0.637005
4005.6500,0.539732
4005.7000,0.66464
4005.7500,0.936842
4005.8000,0.919677
4005.8500,0.805797
4005.9000,0.809538
4005.9500,0.774624
4006.0000,0.910249
4006.0500,1.0993
4006.1000,0.869697
4006.1500,1.22948
4006.2000,0.965255
4006.2500,0.978399
4006.3000,0.807777
4006.3500,0.834508
4006.4000,0.866124
4006.4500,0.837852
4006.5000,0.833331
4006.5500,0.913527
4006.6000,0.928149
4006.6500,0.97667
4006.7000,0.809155
4006.7500,0.79157
4006.8000,0.957789
4006.8500,0.918823
4006.9000,1.05686
4006.9500,1.13318
4007.0000,1.27293
4007.0500,1.19916
4007.1000,1.16116
4007.1500,1.08827
4007.2000,0.741566
4007.2500,0.629575
4007.3000,0.698861
4007.3500,0.719469
4007.4000,0.672408
4007.4500,0.749161
4007.5000,0.881343
4007.5500,0.921695
4007.6000,0.971199
4007.6500,1.06697
4007.7000,1.00344
4007.7500,1.15121
4007.8000,1.28935
4007.8500,1.02532
4007.9000,0.652544
4007.9500,0.945703
4008.0000,0.725928
4008.0500,0.726586
4008.1000,0.81497
4008.1500,0.74598
4008.2000,0.854134
4008.2500,1.00518
4008.3000,1.16648
4008.3500,1.21461
4008.4000,1.13686
4008.4500,1.18098
4008.5000,1.17884
4008.5500,1.07183
4008.6000,0.940407
4008.6500,0.719594
4008.7000,0.643042
4008.7500,0.40575
4008.8000,0.461849
4008.8500,0.343889
4008.9000,0.384397
4008.9500,0.305819
4009.0000,0.478367
4009.0500,0.417298
4009.1000,0.738549
4009.1500,0.896991
4009.2000,1.0043
4009.2500,1.22696
4009.3000,1.1689
4009.3500,1.14316
4009.4000,1.22715
4009.4500,1.01957
4009.5000,0.874793
4009.5500,0.39523
4009.6000,0.558156
4009.6500,0.430367
4009.7000,0.439386
4009.7500,0.444611
4009.8000,0.512051
4009.8500,0.61666
4009.9000,0.843452
4009.9500,1.06586
4010.0000,1.17455
4010.0500,1.27199
4010.1000,1.29112
4010.1500,1.29542
4010.2000,1.01768
4010.2500,1.22917
4010.3000,1.20434
4010.3500,1.29428
4010.4000,1.17977
4010.4500,1.20189
4010.5000,0.971218
4010.5500,0.999893
4010.6000,1.05165
4010.6500,1.04283
4010.7000,0.95831
4010.7500,0.909186
4010.8000,1.04544
4010.8500,1.05164
4010.9000,1.18201
4010.9500,1.10094
4011.0000,0.928304
4011.0500,0.840797
4011.1000,0.823569
4011.1500,0.769307
4011.2000,0.781431
4011.2500,0.92319
4011.3000,0.976256
4011.3500,0.769993
4011.4000,0.754923
4011.4500,0.765898
4011.5000,0.839391
4011.5500,0.58291
4011.6000,0.754512
4011.6500,0.838603
4011.7000,0.712665
4011.7500,0.863428
4011.8000,1.05337
4011.8500,1.08706
4011.9000,1.26389
4011.9500,1.24401
4012.0000,1.1882
4012.0500,1.11002
4012.1000,1.11823
4012.1500,0.897422
4012.2000,0.660251
4012.2500,0.612485
4012.3000,0.729307
4012.3500,0.64725
4012.4000,0.505738
4012.4500,0.578182
4012.5000,0.575577
4012.5500,0.628595
4012.6000,0.670116
4012.6500,0.694736
4012.7000,0.66291
4012.7500,0.711802
4012.8000,0.85098
4012.8500,0.998831
4012.9000,1.09187
4012.9500,1.33645
4013.0000,1.28776
4013.0500,1.34659
4013.1000,1.35473
4013.1500,1.28514
4013.2000,1.1024
4013.2500,1.11844
4013.3000,1.09948
4013.3500,1.13851
4013.4000,1.08644
4013.4500,1.23631
4013.5000,0.925064
4013.5500,0.942823
4013.6000,0.769274
4013.6500,0.8706
4013.7000,0.746678
4013.7500,0.678284
4013.8000,0.698213
4013.8500,0.740314
4013.9000,0.794792
4013.9500,0.786376
4014.0000,1.04817
4014.0500,1.12387
4014.1000,1.20389
4014.1500,1.04111
4014.2000,0.994556
4014.2500,1.12048
4014.3000,0.987357
4014.3500,0.958477
4014.4000,0.766251
4014.4500,0.538126
4014.5000,0.627945
4014.5500,0.656475
4014.6000,0.71128
4014.6500,0.762431
4014.7000,0.872376
4014.7500,1.05525
4014.8000,0.931827
4014.8500,0.949826
4014.9000,1.04626
4014.9500,1.05123
4015.0000,0.947693
4015.0500,0.994978
4015.1000,1.16573
4015.1500,1.10823
4015.2000,1.17467
4015.2500,1.06799
4015.3000,0.923734
4015.3500,0.827404
4015.4000,0.660855
4015.4500,0.822836
4015.5000,0.946932
4015.5500,0.904137
4015.6000,0.82824
4015.6500,1.05352
4015.7000,0.932364
4015.7500,1.08668
4015.8000,1.30756
4015.8500,1.2619
4015.9000,1.42316
4015.9500,1.2859
4016.0000,1.36908
4016.0500,1.42761
4016.1000,1.30449
4016.1500,1.19084
4016.2000,1.29195
4016.2500,0.978203
4016.3000,0.927426
4016.3500,0.861121
4016.4000,0.741792
4016.4500,0.741964
4016.5000,0.983012
4016.5500,1.05887
4016.6000,1.12018
4016.6500,1.14337
4016.7000,0.983176
4016.7500,1.2645
4016.8000,1.16408
4016.8500,1.09482
4016.9000,1.04248
4016.9500,0.880463
4017.0000,0.796613
4017.0500,0.774899
4017.1000,0.632773
4017.1500,0.640288
4017.2000,0.678079
4017.2500,0.920965
4017.3000,0.935437
4017.3500,0.955277
4017.4000,0.989124
4017.4500,0.97439
4017.5000,0.931156
4017.5500,0.999734
4017.6000,1.03042
4017.6500,0.94908
4017.7000,0.738342
4017.7500,0.708526
4017.8000,0.895986
4017.8500,0.912712
4017.9000,0.884792
4017.9500,0.814943
4018.0000,0.719168
4018.0500,0.559499
4018.1000,0.603544
4018.1500,0.529
4018.2000,0.551879
4018.2500,0.462279
4018.3000,0.67927
4018.3500,0.913677
4018.4000,0.746209
4018.4500,0.850534
4018.5000,1.1333
4018.5500,1.21806
4018.6000,1.19021
4018.6500,1.36148
4018.7000,1.21088
4018.7500,1.04754
4018.8000,0.761993
4018.8500,0.896623
4018.9000,0.946227
4018.9500,0.843207
4019.0000,0.841964
4019.0500,0.757639
4019.1000,0.928012
4019.1500,0.817351
4019.2000,0.792101
4019.2500,0.732847
4019.3000,0.692106
4019.3500,0.679806
4019.4000,0.685975
4019.4500,0.867557
4019.5000,1.12325
4019.5500,1.33492
4019.6000,1.20506
4019.6500,1.23992
4019.7000,1.17742
4019.7500,1.06453
4019.8000,1.03621
4019.8500,1.02352
4019.9000,0.956189
4019.9500,0.952782
4020.0000,0.937325
4020.0500,0.957654
4020.1000,0.804916
4020.1500,0.861723
4020.2000,0.685058
4020.2500,0.651334
4020.3000,0.463938
4020.3500,0.566717
4020.4000,0.417683
4020.4500,0.466434
4020.5000,0.570587
4020.5500,0.653941
4020.6000,0.817923
4020.6500,1.03729
4020.7000,1.10493
4020.7500,0.918178
4020.8000,0.635245
4020.8500,0.499999
4020.9000,0.480007
4020.9500,0.544425
4021.0000,0.454744
4021.0500,0.637217
4021.1000,0.782241
4021.1500,0.88709
4021.2000,1.10185
4021.2500,1.06492
4021.3000,0.814745
4021.3500,0.812294
4021.4000,0.967979
4021.4500,0.962376
4021.5000,1.0593
4021.5500,0.760031
4021.6000,0.695464
4021.6500,0.683308
4021.7000,0.519161
4021.7500,0.49775
4021.8000,0.47354
4021.8500,0.468732
4021.9000,0.514917
4021.9500,0.706865
4022.0000,0.742606
4022.0500,0.860697
4022.1000,0.626509
4022.1500,0.769309
4022.2000,0.780354
4022.2500,0.756053
4022.3000,0.852597
4022.3500,1.00034
4022.4000,0.895008
4022.4500,1.03941
4022.5000,0.999671
4022.5500,1.06297
4022.6000,1.04748
4022.6500,1.02916
4022.7000,0.934139
4022.7500,0.987305
4022.8000,0.941305
4022.8500,1.03238
4022.9000,0.896256
4022.9500,0.788298
4023.0000,0.792312
4023.0500,0.687733
4023.1000,0.795422
4023.1500,0.755831
4023.2000,0.653806
4023.2500,0.597916
4023.3000,0.622143
4023.3500,0.596809
4023.4000,0.644455
4023.4500,0.633031
4023.5000,0.580172
4023.5500,0.528404
4023.6000,0.427546
4023.6500,0.438451
4023.7000,0.469395
4023.7500,0.394465
4023.8000,0.541875
4023.8500,0.62069
4023.9000,0.589317
4023.9500,0.726025
4024.0000,0.660363
4024.0500,0.754906
4024.1000,0.776712
4024.1500,0.8584
4024.2000,0.905954
4024.2500,0.824125
4024.3000,0.797091
4024.3500,0.749221
4024.4000,0.594827
4024.4500,0.467777
4024.5000,0.365441
4024.5500,0.32531
4024.6000,0.254998
4024.6500,0.277906
4024.7000,0.273647
4024.7500,0.421018
4024.8000,0.481136
4024.8500,0.473985
4024.9000,0.542422
4024.9500,0.659899
4025.0000,0.660562
4025.0500,0.634604
4025.1000,0.615473
4025.1500,0.611751
4025.2000,0.605136
4025.2500,0.613787
4025.3000,0.866842
4025.3500,0.875178
4025.4000,0.85323
4025.4500,0.901713
4025.5000,1.10956
4025.5500,1.16142
4025.6000,1.19219
4025.6500,1.23782
4025.7000,1.18142
4025.7500,1.18568
4025.8000,1.06749
4025.8500,0.97207
4025.9000,1.0912
4025.9500,1.11539
4026.0000,1.05542
4026.0500,1.14385
4026.1000,0.929146
4026.1500,0.805633
4026.2000,0.724148
4026.2500,0.955091
4026.3000,1.03948
4026.3500,1.01979
4026.4000,0.792161
4026.4500,0.744617
4026.5000,0.61573
4026.5500,0.587
4026.6000,0.681269
4026.6500,0.913178
4026.7000,0.959508
4026.7500,1.00909
4026.8000,0.998495
4026.8500,0.903371
4026.9000,0.81453
4026.9500,0.537599
4027.0000,0.437473
4027.0500,0.391171
4027.1000,0.45825
4027.1500,0.433023
4027.2000,0.482511
4027.2500,0.734059
4027.3000,0.867211
4027.3500,0.990656
4027.4000,1.06223
4027.4500,0.995411
4027.5000,1.04817
4027.5500,1.05993
4027.6000,1.06782
4027.6500,1.04368
4027.7000,1.05831
4027.7500,1.06156
4027.8000,1.13455
4027.8500,1.13146
4027.9000,1.07568
4027.9500,0.98503
4028.0000,1.09514
4028.0500,1.00544
4028.1000,0.981468
4028.1500,1.09221
4028.2000,1.14863
4028.2500,0.970129
4028.3000,0.881375
4028.3500,0.79837
4028.4000,0.765415
4028.4500,0.88916
4028.5000,0.89908
4028.5500,0.943102
4028.6000,0.88518
4028.6500,0.953603
4028.7000,1.11984
4028.7500,1.07259
4028.8000,1.04503
4028.8500,1.12761
4028.9000,0.852091
4028.9500,0.7521
4029.0000,0.799589
4029.0500,1.03289
4029.1000,1.18207
4029.1500,1.15698
4029.2000,1.15601
4029.2500,1.25838
4029.3000,1.23161
4029.3500,1.16687
4029.4000,1.21851
4029.4500,1.05104
4029.5000,0.930795
4029.5500,0.906577
4029.6000,0.770634
4029.6500,0.723265
4029.7000,0.681386
4029.7500,0.790207
4029.8000,0.718682
4029.8500,0.59684
4029.9000,0.661377
4029.9500,0.653981
4030.0000,0.658986
4030.0500,0.596695
4030.1000,0.609146
