Longitud_de_onda_A,espectro
4000.0000,1.0602
4000.0500,1.04722
4000.1000,1.05385
4000.1500,1.02394
4000.2000,0.994211
4000.2500,0.859103
4000.3000,0.912944
4000.3500,0.924391
4000.4000,0.818846
4000.4500,0.708846
4000.5000,0.809003
4000.5500,0.973663
4000.6000,1.01169
4000.6500,1.03049
4000.7000,1.03233
4000.7500,1.04194
4000.8000,1.05988
4000.8500,1.06809
4000.9000,1.06352
4000.9500,1.06711
4001.0000,1.07458
4001.0500,1.02705
4001.1000,0.979296
4001.1500,0.935412
4001.2000,0.908232
4001.2500,0.945892
4001.3000,0.98571
4001.3500,0.960335
4001.4000,0.848854
4001.4500,0.732488
4001.5000,0.8478
4001.5500,0.934605
4001.6000,0.868712
4001.6500,0.752069
4001.7000,0.766227
4001.7500,0.951775
4001.8000,1.02322
4001.8500,1.01926
4001.9000,1.03864
4001.9500,1.00249
4002.0000,0.914004
4002.0500,0.803265
4002.1000,0.768146
4002.1500,0.923903
4002.2000,1.06653
4002.2500,1.04281
4002.3000,1.02882
4002.3500,1.0039
4002.4000,0.957306
4002.4500,0.851205
4002.5000,0.693096
4002.5500,0.746626
4002.6000,0.910429
4002.6500,0.975532
4002.7000,0.962965
4002.7500,1.02272
4002.8000,1.01903
4002.8500,1.03983
4002.9000,0.913585
4002.9500,0.853695
4003.0000,0.925698
4003.0500,1.04594
4003.1000,1.03452
4003.1500,1.03645
4003.2000,0.983683
4003.2500,0.802857
4003.3000,0.72498
4003.3500,0.889348
4003.4000,1.01223
4003.4500,1.01072
4003.5000,1.03383
4003.5500,1.01686
4003.6000,0.991943
4003.6500,0.965736
4003.7000,0.884695
4003.7500,0.762778
4003.8000,0.778035
4003.8500,0.891341
4003.9000,0.893991
4003.9500,0.932517
4004.0000,1.01108
4004.0500,1.00689
4004.1000,1.03671
4004.1500,1.0397
4004.2000,1.05246
4004.2500,1.04494
4004.3000,1.04927
4004.3500,1.04571
4004.4000,1.07713
4004.4500,1.05096
4004.5000,1.05505
4004.5500,1.02469
4004.6000,1.01766
4004.6500,1.00455
4004.7000,0.989955
4004.7500,0.896864
4004.8000,0.737853
4004.8500,0.596637
4004.9000,0.542631
4004.9500,0.584124
4005.0000,0.688788
4005.0500,0.768747
4005.1000,0.830074
4005.1500,0.792501
4005.2000,0.551189
4005.2500,0.435171
4005.3000,0.57261
4005.3500,0.766735
4005.4000,0.852171
4005.4500,0.89002
4005.5000,0.920055
4005.5500,0.959902
4005.6000,0.954747
4005.6500,0.871201
4005.7000,0.785354
4005.7500,0.896517
4005.8000,0.980614
4005.8500,1.05423
4005.9000,1.02917
4005.9500,1.10417
4006.0000,1.09631
4006.0500,1.09334
4006.1000,1.02435
4006.1500,0.967126
4006.2000,0.97474
4006.2500,0.913866
4006.3000,0.734085
4006.3500,0.794321
4006.4000,0.997365
4006.4500,1.04736
4006.5000,1.03917
4006.5500,0.944513
4006.6000,0.769076
4006.6500,0.739099
4006.7000,0.748779
4006.7500,0.710335
4006.8000,0.816573
4006.8500,0.974094
4006.9000,1.03463
4006.9500,1.05291
4007.0000,1.00182
4007.0500,0.968235
4007.1000,1.08255
4007.1500,1.05383
4007.2000,0.945863
4007.2500,0.729253
4007.3000,0.766102
4007.3500,0.96976
4007.4000,1.00052
