Longitud_de_onda_A,espectro
4000.0000,0.988321
4000.0500,0.925565
4000.1000,0.988067
4000.1500,0.964233
4000.2000,0.955609
4000.2500,0.963263
4000.3000,0.969976
4000.3500,0.994696
4000.4000,0.967148
4000.4500,1.01447
4000.5000,0.99503
4000.5500,0.954969
4000.6000,0.973589
4000.6500,0.983209
4000.7000,0.987224
4000.7500,1.00735
4000.8000,0.927363
4000.8500,0.981452
4000.9000,1.02436
4000.9500,0.989468
4001.0000,0.997414
4001.0500,0.995127
4001.1000,0.994673
4001.1500,0.963028
4001.2000,0.96879
4001.2500,0.964974
4001.3000,1.00146
4001.3500,0.971748
4001.4000,0.991261
4001.4500,0.972071
4001.5000,0.987062
4001.5500,0.984749
4001.6000,1.01902
4001.6500,0.977235
4001.7000,0.998502
4001.7500,0.958988
4001.8000,0.935412
4001.8500,0.984751
4001.9000,0.973915
4001.9500,0.946575
4002.0000,0.938417
4002.0500,0.978881
4002.1000,0.970907
4002.1500,0.99216
4002.2000,0.982813
4002.2500,0.954188
4002.3000,1.00647
4002.3500,1.03608
4002.4000,1.00477
4002.4500,1.02011
4002.5000,0.971609
4002.5500,0.976371
4002.6000,0.98792
4002.6500,0.935791
4002.7000,0.966855
4002.7500,0.962337
4002.8000,0.99705
4002.8500,0.976065
4002.9000,0.971486
4002.9500,0.941893
4003.0000,0.991561
4003.0500,0.955843
4003.1000,1.00639
4003.1500,1.0255
4003.2000,1.03834
4003.2500,1.01631
4003.3000,0.996282
4003.3500,0.970779
4003.4000,1.01552
4003.4500,0.964116
4003.5000,0.993743
4003.5500,0.965487
4003.6000,0.981162
4003.6500,0.995674
4003.7000,0.969145
4003.7500,0.953774
4003.8000,0.995515
4003.8500,0.963207
4003.9000,0.999085
4003.9500,0.989636
4004.0000,1.00047
4004.0500,0.994934
4004.1000,0.997843
4004.1500,0.957954
4004.2000,0.986418
4004.2500,1.02224
4004.3000,1.03806
4004.3500,0.985636
4004.4000,0.988511
4004.4500,0.99877
4004.5000,0.997188
4004.5500,1.00442
4004.6000,0.9751
4004.6500,0.982623
4004.7000,0.996633
4004.7500,0.999411
4004.8000,0.960652
4004.8500,0.9866
4004.9000,0.951286
4004.9500,1.01144
4005.0000,1.01529
4005.0500,0.980426
4005.1000,0.994851
4005.1500,1.04326
4005.2000,1.00913
4005.2500,1.01517
4005.3000,0.982298
4005.3500,1.00607
4005.4000,0.968236
4005.4500,1.00184
4005.5000,1.006
4005.5500,1.03524
4005.6000,1.01402
4005.6500,1.00099
4005.7000,0.993921
4005.7500,0.992924
4005.8000,0.943454
4005.8500,1.01106
4005.9000,0.996852
4005.9500,0.973754
4006.0000,0.971702
4006.0500,0.954515
4006.1000,1.0245
4006.1500,1.0021
4006.2000,0.966865
4006.2500,0.99017
4006.3000,0.97969
4006.3500,0.991053
4006.4000,0.974455
4006.4500,0.952554
4006.5000,0.967146
4006.5500,0.977866
4006.6000,0.991685
4006.6500,1.00255
4006.7000,1.0076
4006.7500,0.99512
4006.8000,0.958127
4006.8500,0.955985
4006.9000,0.939545
4006.9500,0.960963
4007.0000,0.939542
4007.0500,0.952002
4007.1000,0.917572
4007.1500,0.943511
4007.2000,0.965169
4007.2500,0.910107
4007.3000,0.947022
4007.3500,0.944962
4007.4000,0.98841
4007.4500,0.929545
4007.5000,0.926906
4007.5500,0.940375
4007.6000,0.954696
4007.6500,0.930029
4007.7000,0.924492
4007.7500,0.89939
4007.8000,0.931183
4007.8500,0.924093
4007.9000,0.89964
4007.9500,0.909109
4008.0000,0.941048
4008.0500,0.973651
4008.1000,0.97694
4008.1500,0.933333
4008.2000,0.96903
4008.2500,0.964965
4008.3000,0.951938
4008.3500,0.963231
4008.4000,0.945592
4008.4500,0.905182
4008.5000,0.927795
4008.5500,0.917798
4008.6000,0.928614
4008.6500,0.92877
4008.7000,0.92152
4008.7500,0.928773
4008.8000,0.905147
4008.8500,0.871253
4008.9000,0.900688
4008.9500,0.887362
4009.0000,0.940273
4009.0500,0.903596
4009.1000,0.902203
4009.1500,0.932424
4009.2000,0.951924
4009.2500,0.868883
4009.3000,0.902994
4009.3500,0.902061
4009.4000,0.885646
4009.4500,0.955855
4009.5000,0.891299
4009.5500,0.945135
4009.6000,0.952804
4009.6500,0.895602
4009.7000,0.896854
4009.7500,0.898502
4009.8000,0.926871
4009.8500,0.893509
4009.9000,0.907497
4009.9500,0.94396
4010.0000,0.92371
4010.0500,0.91212
4010.1000,0.936391
4010.1500,0.925572
4010.2000,0.879101
4010.2500,0.9453
4010.3000,0.932862
4010.3500,0.95746
4010.4000,0.947656
4010.4500,0.934545
4010.5000,0.908152
4010.5500,0.937692
4010.6000,0.935443
4010.6500,0.903672
4010.7000,0.967243
4010.7500,0.936172
4010.8000,0.937062
4010.8500,0.898804
4010.9000,0.932832
4010.9500,0.947845
4011.0000,0.980176
4011.0500,0.946908
4011.1000,0.988361
4011.1500,0.953044
4011.2000,0.959915
4011.2500,0.967357
4011.3000,1.01264
4011.3500,0.989886
4011.4000,0.981375
4011.4500,0.975097
4011.5000,0.95976
4011.5500,0.986212
4011.6000,0.954787
4011.6500,0.941191
4011.7000,1.00125
4011.7500,0.969106
4011.8000,0.970319
4011.8500,0.980229
4011.9000,0.975991
4011.9500,1.02248
4012.0000,0.970569
4012.0500,1.00159
4012.1000,0.972386
4012.1500,0.963172
4012.2000,0.987549
4012.2500,0.980287
4012.3000,0.990318
4012.3500,1.01237
4012.4000,1.00598
4012.4500,1.01314
4012.5000,0.96637
4012.5500,1.02438
4012.6000,1.03814
4012.6500,1.04543
4012.7000,1.00526
4012.7500,1.02054
4012.8000,1.00749
4012.8500,1.01958
4012.9000,1.00662
4012.9500,1.02146
4013.0000,1.00561
4013.0500,1.00227
4013.1000,1.00982
4013.1500,1.01572
4013.2000,1.022
4013.2500,1.02621
4013.3000,0.999832
4013.3500,0.985886
4013.4000,0.995102
4013.4500,0.989139
4013.5000,0.991807
4013.5500,0.999257
4013.6000,1.03318
4013.6500,1.01522
4013.7000,1.00061
4013.7500,1.02543
4013.8000,1.01806
4013.8500,1.04043
4013.9000,0.998087
4013.9500,1.01967
4014.0000,0.987132
4014.0500,1.01509
4014.1000,1.00954
4014.1500,1.06942
4014.2000,1.07255
4014.2500,1.05536
4014.3000,0.983757
4014.3500,1.02761
4014.4000,1.02093
4014.4500,0.989323
4014.5000,0.985761
4014.5500,0.986592
4014.6000,1.01045
4014.6500,1.054
4014.7000,1.02236
4014.7500,0.999999
4014.8000,1.04904
4014.8500,0.984025
4014.9000,1.01903
4014.9500,1.03073
4015.0000,1.02459
4015.0500,0.999401
4015.1000,1.05943
4015.1500,1.03115
4015.2000,1.00231
4015.2500,1.02948
4015.3000,1.01906
