Longitud_de_onda_A,espectro
4000.0000,0.886356
4000.0500,0.857556
4000.1000,0.967717
4000.1500,0.783669
4000.2000,0.722184
4000.2500,0.548951
4000.3000,0.588122
4000.3500,0.598851
4000.4000,0.519714
4000.4500,0.466371
4000.5000,0.322633
4000.5500,0.710284
4000.6000,0.947201
4000.6500,1.09587
4000.7000,1.25517
4000.7500,1.22937
4000.8000,1.00759
4000.8500,1.01358
4000.9000,1.29352
4000.9500,1.26227
4001.0000,0.982137
4001.0500,0.696956
4001.1000,0.541477
4001.1500,0.625813
4001.2000,0.686714
4001.2500,0.686292
4001.3000,1.07808
4001.3500,1.05484
4001.4000,0.936469
4001.4500,0.776736
4001.5000,0.800552
4001.5500,0.728451
4001.6000,0.590532
4001.6500,0.338802
4001.7000,0.454568
4001.7500,0.511091
4001.8000,0.979748
4001.8500,1.3033
4001.9000,1.07644
4001.9500,1.09528
4002.0000,1.01011
4002.0500,1.101
4002.1000,1.18977
4002.1500,1.01632
4002.2000,1.15703
4002.2500,1.24013
4002.3000,1.22832
4002.3500,1.14892
4002.4000,0.765487
4002.4500,0.703847
4002.5000,0.66486
4002.5500,0.680246
4002.6000,0.759541
4002.6500,0.753655
4002.7000,1.00697
4002.7500,1.0504
4002.8000,0.939228
4002.8500,0.77492
4002.9000,0.682939
4002.9500,0.745455
4003.0000,1.09099
4003.0500,1.12089
4003.1000,1.10835
4003.1500,1.06096
4003.2000,1.18576
4003.2500,1.24718
4003.3000,1.15541
4003.3500,1.1693
4003.4000,1.04721
4003.4500,1.12431
4003.5000,0.898803
4003.5500,0.897526
4003.6000,1.10675
4003.6500,0.943948
4003.7000,0.863191
4003.7500,0.769641
4003.8000,0.664605
4003.8500,0.768255
4003.9000,0.729402
4003.9500,0.859943
4004.0000,0.626769
4004.0500,0.889034
4004.1000,0.848423
4004.1500,0.926536
4004.2000,0.984498
4004.2500,1.01619
4004.3000,0.955115
4004.3500,1.10898
4004.4000,1.04385
4004.4500,1.01135
4004.5000,1.06444
4004.5500,0.942144
4004.6000,0.752045
4004.6500,0.530701
4004.7000,0.825685
4004.7500,0.608054
4004.8000,0.555699
4004.8500,0.382772
4004.9000,0.299136
4004.9500,0.207075
4005.0000,0.397199
4005.0500,0.36528
4005.1000,0.450405
4005.1500,0.456527
4005.2000,0.24333
4005.2500,0.260473
4005.3000,0.254092
4005.3500,0.174694
4005.4000,0.372576
4005.4500,0.426882
4005.5000,0.34466
4005.5500,0.577586
4005.6000,0.450554
4005.6500,0.38367
4005.7000,0.394336
4005.7500,0.675789
4005.8000,0.826156
4005.8500,0.839999
4005.9000,0.831505
4005.9500,0.731035
4006.0000,0.737194
4006.0500,0.869124
4006.1000,0.852778
4006.1500,0.681961
4006.2000,0.859774
4006.2500,0.758613
4006.3000,0.563649
4006.3500,0.720859
4006.4000,0.915544
4006.4500,0.997765
4006.5000,0.865524
4006.5500,0.846634
4006.6000,0.725962
4006.6500,0.688056
4006.7000,0.835683
4006.7500,0.725851
4006.8000,0.85307
4006.8500,1.03353
4006.9000,1.17686
4006.9500,1.19686
4007.0000,1.15324
4007.0500,1.09472
4007.1000,1.10547
4007.1500,1.02012
4007.2000,0.66849
4007.2500,0.612372
4007.3000,0.534302
4007.3500,0.6303
4007.4000,0.667699
4007.4500,0.735029
4007.5000,0.708191
4007.5500,0.844819
4007.6000,0.932566
4007.6500,1.13728
4007.7000,1.08795
4007.7500,1.13808
4007.8000,1.13013
4007.8500,1.03503
4007.9000,0.88953
4007.9500,0.638395
4008.0000,0.694296
4008.0500,0.475377
4008.1000,0.5797
4008.1500,0.804149
4008.2000,0.974071
4008.2500,1.10908
4008.3000,1.18146
4008.3500,1.25849
4008.4000,1.055
4008.4500,1.0299
4008.5000,1.30258
4008.5500,0.989705
4008.6000,0.909501
4008.6500,0.64535
4008.7000,0.602284
4008.7500,0.493223
4008.8000,0.648087
4008.8500,0.489925
4008.9000,0.363568
4008.9500,0.225483
4009.0000,0.477127
4009.0500,0.658092
4009.1000,0.771782
4009.1500,0.689765
4009.2000,1.08151
4009.2500,1.10225
4009.3000,1.44729
4009.3500,1.47745
4009.4000,1.35069
4009.4500,1.43802
4009.5000,1.03561
4009.5500,0.738276
4009.6000,0.404755
4009.6500,0.329221
4009.7000,0.371468
4009.7500,0.225178
4009.8000,0.65604
4009.8500,0.899148
4009.9000,1.07386
4009.9500,1.3
4010.0000,1.22502
4010.0500,1.2019
4010.1000,1.10722
4010.1500,0.943928
4010.2000,1.00741
4010.2500,0.980336
4010.3000,1.28336
4010.3500,1.05481
4010.4000,1.11515
4010.4500,1.03003
4010.5000,0.82165
4010.5500,0.761507
4010.6000,0.740466
4010.6500,0.860236
4010.7000,1.05406
4010.7500,0.810161
4010.8000,0.808311
4010.8500,0.982528
4010.9000,0.979383
4010.9500,0.873461
4011.0000,0.86338
4011.0500,0.644357
4011.1000,0.569378
4011.1500,0.793488
4011.2000,1.09778
4011.2500,1.08799
4011.3000,0.865689
4011.3500,0.738308
4011.4000,0.559994
4011.4500,0.647039
4011.5000,0.528762
4011.5500,0.800776
4011.6000,1.0558
4011.6500,1.02709
4011.7000,0.81588
4011.7500,0.768245
4011.8000,0.979383
4011.8500,1.05025
4011.9000,0.963696
4011.9500,0.983532
4012.0000,1.0029
4012.0500,1.19235
4012.1000,0.828147
4012.1500,0.844058
4012.2000,0.625912
4012.2500,0.482196
4012.3000,0.492453
4012.3500,0.505667
4012.4000,0.516488
4012.4500,0.407849
4012.5000,0.631607
4012.5500,0.767047
4012.6000,0.929417
4012.6500,0.931654
4012.7000,0.818527
4012.7500,0.620181
4012.8000,0.854377
4012.8500,1.2215
4012.9000,1.36649
4012.9500,1.44512
4013.0000,1.3196
4013.0500,1.22035
4013.1000,1.13917
4013.1500,1.20554
4013.2000,1.21394
4013.2500,1.01314
4013.3000,1.12992
4013.3500,1.31782
4013.4000,1.54178
4013.4500,1.62289
4013.5000,1.14354
4013.5500,0.78712
4013.6000,0.448652
4013.6500,0.552743
4013.7000,0.606609
4013.7500,0.530926
4013.8000,0.377111
4013.8500,0.443818
4013.9000,0.450333
4013.9500,0.508789
4014.0000,0.816339
4014.0500,1.2253
4014.1000,1.38139
4014.1500,1.44435
4014.2000,1.03316
4014.2500,0.875426
4014.3000,0.797395
4014.3500,0.929339
4014.4000,0.920799
4014.4500,0.525148
4014.5000,0.414606
4014.5500,0.432228
4014.6000,0.686
4014.6500,0.842831
4014.7000,0.948537
4014.7500,1.2306
4014.8000,1.03739
4014.8500,0.974579
4014.9000,0.677209
4014.9500,0.81976
4015.0000,1.15517
4015.0500,1.18987
4015.1000,1.15772
4015.1500,1.09286
4015.2000,1.04139
4015.2500,1.04846
4015.3000,1.1454
4015.3500,0.702709
4015.4000,0.63701
4015.4500,0.906701
4015.5000,1.16723
4015.5500,1.03505
4015.6000,0.859005
4015.6500,0.926902
4015.7000,0.950906
4015.7500,1.23022
4015.8000,1.35894
4015.8500,1.28981
4015.9000,1.20326
4015.9500,1.32816
4016.0000,1.21982
4016.0500,1.40123
4016.1000,1.49878
4016.1500,1.49635
4016.2000,1.25873
4016.2500,0.88402
4016.3000,0.88646
4016.3500,0.904419
4016.4000,0.75072
4016.4500,0.685426
4016.5000,0.830944
4016.5500,0.947237
4016.6000,1.11733
4016.6500,1.19741
4016.7000,1.18653
4016.7500,1.07803
4016.8000,0.97299
4016.8500,0.966159
4016.9000,0.890575
4016.9500,0.792451
4017.0000,0.687781
4017.0500,0.562627
4017.1000,0.391193
4017.1500,0.481114
4017.2000,0.598011
4017.2500,0.999721
4017.3000,1.06498
4017.3500,1.24549
4017.4000,1.03289
4017.4500,0.783582
4017.5000,0.696773
4017.5500,0.797733
4017.6000,0.857516
4017.6500,1.06989
4017.7000,0.885573
4017.7500,0.614651
4017.8000,0.627391
4017.8500,0.922213
4017.9000,1.10758
4017.9500,1.25395
4018.0000,0.818039
4018.0500,0.390517
4018.1000,0.255382
4018.1500,0.251058
4018.2000,0.309468
4018.2500,0.36975
4018.3000,0.453642
4018.3500,0.684961
4018.4000,0.873507
4018.4500,1.18194
4018.5000,1.38594
4018.5500,1.36194
4018.6000,1.49491
4018.6500,1.41161
4018.7000,1.28691
4018.7500,1.15739
4018.8000,0.935095
4018.8500,0.779509
4018.9000,0.866525
4018.9500,0.948747
4019.0000,0.730934
