Longitud_de_onda_A,espectro
4000.0000,1.04434
4000.0500,1.01791
4000.1000,1.05758
4000.1500,0.993424
4000.2000,0.865073
4000.2500,0.638449
4000.3000,0.731343
4000.3500,0.787481
4000.4000,0.705665
4000.4500,0.581561
4000.5000,0.675506
4000.5500,0.884626
4000.6000,1.00769
4000.6500,1.04309
4000.7000,1.03847
4000.7500,1.02787
4000.8000,1.04941
4000.8500,1.00033
4000.9000,1.03642
4000.9500,1.04173
4001.0000,0.994508
4001.0500,0.937395
4001.1000,0.846527
4001.1500,0.823034
4001.2000,0.847609
4001.2500,0.928713
4001.3000,0.966958
4001.3500,0.910126
4001.4000,0.827661
4001.4500,0.811715
4001.5000,0.838615
4001.5500,0.884731
4001.6000,0.713375
4001.6500,0.526161
4001.7000,0.564297
4001.7500,0.818153
4001.8000,0.90282
4001.8500,0.979043
4001.9000,1.04938
4001.9500,0.948902
4002.0000,0.937139
4002.0500,0.791288
4002.1000,0.722656
4002.1500,0.920106
4002.2000,1.04109
4002.2500,1.04259
4002.3000,1.02533
4002.3500,1.02511
4002.4000,0.975149
4002.4500,0.91661
4002.5000,0.879595
4002.5500,0.897045
4002.6000,0.873907
4002.6500,0.936155
4002.7000,0.949006
4002.7500,1.05447
4002.8000,1.06912
4002.8500,0.859035
4002.9000,0.677163
4002.9500,0.643031
4003.0000,0.814893
4003.0500,0.962804
4003.1000,1.03456
4003.1500,1.03686
4003.2000,1.01441
4003.2500,0.997122
4003.3000,1.06854
4003.3500,1.04542
4003.4000,1.04404
4003.4500,1.03946
4003.5000,1.06655
4003.5500,1.09718
4003.6000,1.01111
4003.6500,1.00274
4003.7000,0.850337
4003.7500,0.597906
4003.8000,0.663617
4003.8500,0.871452
4003.9000,0.970147
4003.9500,1.04625
4004.0000,0.989273
4004.0500,1.06199
4004.1000,1.07578
4004.1500,1.13811
4004.2000,1.02994
4004.2500,1.06349
4004.3000,1.08009
4004.3500,1.10159
4004.4000,1.05041
4004.4500,1.03012
4004.5000,1.01762
4004.5500,1.0249
4004.6000,1.04203
4004.6500,0.974988
4004.7000,0.99403
4004.7500,0.837472
4004.8000,0.568607
4004.8500,0.423728
4004.9000,0.353247
4004.9500,0.396879
4005.0000,0.494904
4005.0500,0.591232
4005.1000,0.577357
4005.1500,0.519205
4005.2000,0.346849
4005.2500,0.217344
4005.3000,0.330374
4005.3500,0.478732
4005.4000,0.60513
4005.4500,0.680746
4005.5000,0.742898
4005.5500,0.899622
4005.6000,0.818203
4005.6500,0.587027
4005.7000,0.493983
4005.7500,0.58377
4005.8000,0.803211
4005.8500,0.97148
4005.9000,0.982288
4005.9500,0.990555
4006.0000,0.999565
4006.0500,1.02019
4006.1000,0.9058
4006.1500,0.877903
4006.2000,0.820949
4006.2500,0.699308
4006.3000,0.554967
4006.3500,0.638638
4006.4000,0.85346
4006.4500,0.912539
4006.5000,1.03322
4006.5500,0.881876
4006.6000,0.645368
4006.6500,0.545336
4006.7000,0.536936
4006.7500,0.566114
4006.8000,0.723833
4006.8500,0.852709
4006.9000,0.970773
4006.9500,0.953051
4007.0000,1.00861
4007.0500,0.940983
4007.1000,1.0012
4007.1500,0.938423
4007.2000,0.776625
4007.2500,0.556774
4007.3000,0.554445
4007.3500,0.780321
4007.4000,0.890402
4007.4500,0.997975
4007.5000,1.03427
4007.5500,1.0757
4007.6000,1.02189
