Longitud_de_onda_A,espectro
4000.0000,1.11572
4000.0500,1.03262
4000.1000,0.946972
4000.1500,0.955462
4000.2000,0.964506
4000.2500,0.931841
4000.3000,0.887137
4000.3500,0.926606
4000.4000,0.913524
4000.4500,0.859868
4000.5000,0.95972
4000.5500,0.931434
4000.6000,0.951637
4000.6500,1.00463
4000.7000,1.00683
4000.7500,1.01448
4000.8000,1.00993
4000.8500,1.01604
4000.9000,1.07807
4000.9500,1.0196
4001.0000,1.04813
4001.0500,0.984272
4001.1000,1.027
4001.1500,0.997455
4001.2000,0.996087
4001.2500,0.941393
4001.3000,0.941865
4001.3500,0.967129
4001.4000,0.959507
4001.4500,0.95983
4001.5000,0.880773
4001.5500,0.905584
4001.6000,0.90448
4001.6500,0.869207
4001.7000,0.929455
4001.7500,0.914527
4001.8000,0.931602
4001.8500,0.929136
4001.9000,0.881401
4001.9500,0.915163
4002.0000,0.961075
4002.0500,0.996791
4002.1000,1.02315
4002.1500,0.973955
4002.2000,1.03741
4002.2500,1.04568
4002.3000,1.01527
4002.3500,0.954426
4002.4000,0.981538
4002.4500,1.00886
4002.5000,0.985422
4002.5500,1.04265
4002.6000,0.999259
4002.6500,1.02775
4002.7000,0.987447
4002.7500,0.964396
4002.8000,0.972713
4002.8500,0.977641
4002.9000,0.990524
4002.9500,1.00734
4003.0000,0.995953
4003.0500,1.04355
4003.1000,0.990398
4003.1500,0.994849
4003.2000,1.01831
4003.2500,0.985974
4003.3000,0.990432
4003.3500,1.04722
4003.4000,1.09837
4003.4500,1.07846
4003.5000,1.09696
4003.5500,1.02411
4003.6000,1.02145
4003.6500,0.996219
4003.7000,1.02633
4003.7500,1.01683
4003.8000,1.02394
4003.8500,0.962006
4003.9000,0.978679
4003.9500,1.01656
4004.0000,1.00464
4004.0500,1.03084
4004.1000,1.01514
4004.1500,1.03613
4004.2000,1.00658
4004.2500,1.10211
4004.3000,1.05211
4004.3500,1.05781
4004.4000,1.07458
4004.4500,1.12613
4004.5000,1.00369
4004.5500,1.01569
4004.6000,1.021
4004.6500,0.976277
4004.7000,0.929204
4004.7500,0.88494
4004.8000,0.886994
4004.8500,0.787022
4004.9000,0.775744
4004.9500,0.703975
4005.0000,0.650682
4005.0500,0.606913
4005.1000,0.590685
4005.1500,0.583018
4005.2000,0.587158
4005.2500,0.620609
4005.3000,0.664503
4005.3500,0.651159
4005.4000,0.708289
4005.4500,0.705163
4005.5000,0.675154
4005.5500,0.680862
4005.6000,0.81053
4005.6500,0.786533
4005.7000,0.86528
4005.7500,0.880351
4005.8000,0.882055
4005.8500,0.896849
4005.9000,0.896082
4005.9500,0.917668
4006.0000,0.96561
4006.0500,0.941542
4006.1000,0.95807
4006.1500,0.911264
4006.2000,0.93189
4006.2500,0.961079
4006.3000,0.918279
4006.3500,0.922021
4006.4000,0.861008
4006.4500,0.845044
4006.5000,0.841775
4006.5500,0.824983
4006.6000,0.787663
4006.6500,0.821605
4006.7000,0.843508
4006.7500,0.851116
4006.8000,0.850837
4006.8500,0.890523
4006.9000,0.903574
4006.9500,0.972719
4007.0000,0.919123
4007.0500,0.931791
4007.1000,0.936239
4007.1500,0.958161
4007.2000,0.935206
4007.2500,0.898949
4007.3000,0.923514
4007.3500,0.965621
4007.4000,0.976596
4007.4500,1.0084
4007.5000,0.936371
4007.5500,0.959819
4007.6000,0.978632
4007.6500,1.00724
4007.7000,0.97868
4007.7500,1.02536
4007.8000,1.01706
4007.8500,1.08046
4007.9000,1.0282
4007.9500,1.03791
4008.0000,0.997132
4008.0500,0.966758
4008.1000,1.01801
4008.1500,1.03356
4008.2000,1.02008
4008.2500,1.03283
4008.3000,0.994595
4008.3500,1.0727
4008.4000,1.06344
4008.4500,1.06739
4008.5000,1.07824
4008.5500,1.1128
4008.6000,1.0612
4008.6500,1.01187
4008.7000,1.07347
4008.7500,0.996118
4008.8000,0.971727
4008.8500,0.94288
4008.9000,0.977665
4008.9500,0.941707
4009.0000,0.951263
4009.0500,0.951671
4009.1000,0.898623
4009.1500,1.00199
4009.2000,1.00921
4009.2500,1.00331
4009.3000,0.97824
4009.3500,1.00277
4009.4000,0.995776
4009.4500,1.01115
4009.5000,0.940317
4009.5500,0.893906
4009.6000,0.916384
4009.6500,0.924523
4009.7000,0.904963
4009.7500,0.870024
4009.8000,0.879912
4009.8500,0.898772
4009.9000,0.815694
4009.9500,0.895351
4010.0000,0.926495
4010.0500,0.894755
4010.1000,1.00073
4010.1500,1.03729
4010.2000,1.07345
4010.2500,1.04211
4010.3000,1.05942
4010.3500,1.01086
4010.4000,1.02105
4010.4500,1.00206
4010.5000,1.02812
4010.5500,0.934887
4010.6000,0.933745
4010.6500,0.99378
4010.7000,0.94944
4010.7500,0.964681
4010.8000,0.973728
4010.8500,0.979251
4010.9000,0.977248
4010.9500,1.01191
4011.0000,1.04031
4011.0500,1.02838
4011.1000,1.03425
4011.1500,1.06657
4011.2000,1.04348
4011.2500,1.00178
4011.3000,1.0261
4011.3500,1.07609
4011.4000,1.0333
4011.4500,1.04078
4011.5000,1.07074
4011.5500,1.01472
4011.6000,1.03164
4011.6500,0.990245
4011.7000,1.09792
4011.7500,1.1377
4011.8000,1.01243
4011.8500,1.10998
4011.9000,1.06669
4011.9500,1.06037
4012.0000,1.05423
4012.0500,0.985056
4012.1000,1.04717
4012.1500,0.967697
4012.2000,0.832874
4012.2500,0.799562
4012.3000,0.865565
4012.3500,0.815899
4012.4000,0.742126
4012.4500,0.740323
4012.5000,0.834412
4012.5500,0.840359
4012.6000,0.883461
4012.6500,0.920281
4012.7000,0.913652
4012.7500,1.01341
4012.8000,1.05025
4012.8500,1.05114
4012.9000,1.081
4012.9500,1.14928
4013.0000,1.13038
4013.0500,1.12862
4013.1000,1.1696
4013.1500,1.06732
4013.2000,1.08659
4013.2500,1.04375
4013.3000,1.03603
4013.3500,1.05029
4013.4000,1.03396
4013.4500,1.0344
4013.5000,0.985128
4013.5500,1.028
4013.6000,0.995934
4013.6500,0.909131
4013.7000,0.815641
4013.7500,0.899843
4013.8000,0.907658
4013.8500,0.928038
4013.9000,0.889257
4013.9500,0.867644
4014.0000,0.938962
4014.0500,0.955088
4014.1000,0.951423
4014.1500,1.00975
4014.2000,1.01231
4014.2500,0.969322
4014.3000,0.914917
4014.3500,0.967749
4014.4000,0.863419
4014.4500,0.915239
4014.5000,0.844925
4014.5500,0.865791
4014.6000,0.840521
4014.6500,0.804846
4014.7000,0.886844
4014.7500,0.903266
4014.8000,0.940379
4014.8500,1.02589
4014.9000,1.01485
4014.9500,1.02896
4015.0000,1.05686
4015.0500,1.07982
4015.1000,1.11908
4015.1500,1.09001
4015.2000,1.05782
4015.2500,1.0304
4015.3000,1.01711
4015.3500,0.976094
4015.4000,0.947895
4015.4500,0.959919
4015.5000,0.917266
4015.5500,0.930839
4015.6000,0.944837
4015.6500,0.943351
4015.7000,0.940009
4015.7500,0.995281
4015.8000,0.969895
4015.8500,0.991691
4015.9000,1.0019
4015.9500,0.999121
4016.0000,0.987562
4016.0500,1.07432
4016.1000,1.14749
4016.1500,1.11775
4016.2000,1.01304
4016.2500,1.00173
4016.3000,1.01361
4016.3500,1.04299
4016.4000,1.00617
4016.4500,1.03292
4016.5000,0.999046
4016.5500,0.989045
4016.6000,0.963926
4016.6500,1.01523
4016.7000,0.997924
4016.7500,1.06487
4016.8000,1.00017
4016.8500,0.980079
4016.9000,0.983291
4016.9500,0.958491
4017.0000,0.904753
4017.0500,0.939438
4017.1000,0.914318
4017.1500,0.869378
4017.2000,0.85262
4017.2500,0.85151
4017.3000,0.821779
4017.3500,0.83674
4017.4000,0.850939
4017.4500,0.86114
4017.5000,0.911031
4017.5500,0.919572
4017.6000,0.916261
4017.6500,0.936477
4017.7000,0.937539
4017.7500,0.99306
4017.8000,0.962543
4017.8500,0.982141
4017.9000,0.93306
4017.9500,0.857815
4018.0000,0.873353
4018.0500,0.787237
4018.1000,0.837431
4018.1500,0.815499
4018.2000,0.796031
4018.2500,0.81227
4018.3000,0.833019
4018.3500,0.86922
4018.4000,0.889792
4018.4500,0.948718
4018.5000,0.989649
4018.5500,0.990059
4018.6000,1.01022
4018.6500,1.05625
4018.7000,1.02606
4018.7500,1.04416
4018.8000,1.07138
4018.8500,1.05554
4018.9000,1.00334
4018.9500,1.05757
4019.0000,1.08523
4019.0500,1.02141
4019.1000,1.04592
4019.1500,1.03691
4019.2000,1.02267
4019.2500,1.05892
4019.3000,1.0579
4019.3500,1.02502
4019.4000,1.05189
4019.4500,1.05949
4019.5000,1.0587
4019.5500,1.05711
4019.6000,1.03608
4019.6500,0.996282
4019.7000,0.988484
4019.7500,1.02564
4019.8000,1.0118
4019.8500,1.05421
4019.9000,1.06351
4019.9500,1.01805
4020.0000,0.99747
4020.0500,0.985337
4020.1000,1.01892
4020.1500,0.933945
4020.2000,0.94354
4020.2500,0.969658
4020.3000,0.956427
4020.3500,0.897679
4020.4000,0.95391
4020.4500,0.946919
4020.5000,0.938786
4020.5500,0.973073
4020.6000,0.993282
4020.6500,0.993379
4020.7000,0.967123
4020.7500,0.99593
4020.8000,0.990066
4020.8500,1.00842
4020.9000,1.06105
4020.9500,1.04344
4021.0000,1.00873
4021.0500,1.00653
4021.1000,1.04399
4021.1500,1.03911
4021.2000,1.03307
4021.2500,1.01333
4021.3000,1.05491
4021.3500,1.0756
4021.4000,0.99645
4021.4500,1.01578
4021.5000,0.989714
4021.5500,0.951211
4021.6000,0.919836
4021.6500,0.938939
4021.7000,0.862281
4021.7500,0.844386
4021.8000,0.789187
4021.8500,0.805505
4021.9000,0.836957
4021.9500,0.802118
4022.0000,0.842149
4022.0500,0.871017
4022.1000,0.877965
4022.1500,0.887053
4022.2000,0.942012
4022.2500,0.950402
4022.3000,0.966382
4022.3500,1.0027
4022.4000,1.03804
4022.4500,1.00068
4022.5000,0.990665
4022.5500,0.986714
4022.6000,1.01048
4022.6500,0.99658
4022.7000,0.978395
4022.7500,0.982806
4022.8000,0.956047
4022.8500,0.967111
4022.9000,0.991943
4022.9500,0.99167
4023.0000,1.00826
4023.0500,0.954912
4023.1000,0.96288
4023.1500,0.949514
4023.2000,0.936647
4023.2500,0.957032
4023.3000,0.901174
4023.3500,0.894631
4023.4000,0.917513
4023.4500,0.94069
4023.5000,0.901979
4023.5500,0.886846
4023.6000,0.898295
4023.6500,0.961786
4023.7000,1.00495
4023.7500,0.985239
4023.8000,1.00588
4023.8500,0.988756
4023.9000,1.01872
4023.9500,0.966471
4024.0000,0.965842
4024.0500,1.00462
4024.1000,0.992935
4024.1500,1.00069
4024.2000,0.951943
4024.2500,0.908094
4024.3000,0.944353
4024.3500,0.928302
4024.4000,0.928934
4024.4500,0.819376
4024.5000,0.824557
4024.5500,0.811085
4024.6000,0.78679
4024.6500,0.801993
4024.7000,0.744515
4024.7500,0.817815
4024.8000,0.779426
4024.8500,0.779643
4024.9000,0.785686
4024.9500,0.815635
4025.0000,0.813724
4025.0500,0.784683
4025.1000,0.860692
4025.1500,0.854741
4025.2000,0.853936
4025.2500,0.844616
4025.3000,0.844528
4025.3500,0.92397
4025.4000,0.913673
4025.4500,0.930675
4025.5000,0.946993
4025.5500,0.961597
4025.6000,0.97856
4025.6500,0.992744
4025.7000,1.0117
4025.7500,0.983801
4025.8000,0.985325
4025.8500,0.93054
4025.9000,0.983591
4025.9500,0.970972
4026.0000,0.961296
4026.0500,0.957473
4026.1000,1.02566
4026.1500,1.01791
4026.2000,1.02019
4026.2500,1.02929
4026.3000,1.01207
4026.3500,1.03679
4026.4000,1.01303
4026.4500,0.939081
4026.5000,0.942323
4026.5500,0.989021
4026.6000,1.00558
4026.6500,1.00907
4026.7000,1.01822
4026.7500,1.01038
4026.8000,1.05047
4026.8500,1.01967
4026.9000,1.00094
4026.9500,0.960539
4027.0000,1.01401
4027.0500,1.02344
4027.1000,1.0156
4027.1500,1.01346
4027.2000,0.986533
4027.2500,0.986214
4027.3000,1.04965
4027.3500,1.01192
4027.4000,0.984406
4027.4500,1.05978
4027.5000,1.00881
4027.5500,1.03603
4027.6000,1.0073
4027.6500,0.983392
4027.7000,1.05227
4027.7500,1.0304
4027.8000,1.02312
4027.8500,0.986763
4027.9000,1.02699
4027.9500,1.03201
4028.0000,0.945969
4028.0500,0.956608
4028.1000,0.936302
4028.1500,0.915514
4028.2000,0.919366
4028.2500,0.905674
4028.3000,0.913826
4028.3500,0.884156
4028.4000,0.832027
4028.4500,0.842923
4028.5000,0.857017
4028.5500,0.845215
4028.6000,0.877552
4028.6500,0.924082
4028.7000,0.965221
4028.7500,1.0215
4028.8000,1.03394
4028.8500,0.993118
4028.9000,0.990371
4028.9500,1.00728
4029.0000,0.984726
4029.0500,1.01185
4029.1000,1.00291
4029.1500,1.06193
4029.2000,1.02757
4029.2500,1.05162
4029.3000,1.00428
4029.3500,0.97977
4029.4000,1.01674
4029.4500,0.939712
4029.5000,0.912926
4029.5500,0.890971
4029.6000,0.894028
4029.6500,0.892177
4029.7000,0.837068
4029.7500,0.762086
4029.8000,0.913246
4029.8500,0.900051
4029.9000,0.890678
4029.9500,0.948344
4030.0000,0.954326
4030.0500,0.949469
4030.1000,0.983542
4030.1500,0.93111
4030.2000,0.886266
4030.2500,0.868655
4030.3000,0.815538
4030.3500,0.837415
4030.4000,0.752346
4030.4500,0.714356
4030.5000,0.681277
4030.5500,0.642353
4030.6000,0.589326
4030.6500,0.587375
4030.7000,0.56326
4030.7500,0.620186
4030.8000,0.618219
4030.8500,0.639518
4030.9000,0.681448
4030.9500,0.738673
4031.0000,0.791616
4031.0500,0.807303
4031.1000,0.826608
4031.1500,0.926183
4031.2000,0.955767
4031.2500,1.00363
4031.3000,1.00852
4031.3500,1.02109
4031.4000,1.03887
4031.4500,0.968958
4031.5000,0.970792
4031.5500,0.981598
4031.6000,0.940424
4031.6500,0.903902
4031.7000,0.843018
4031.7500,0.880005
4031.8000,0.857907
4031.8500,0.860906
4031.9000,0.852238
4031.9500,0.839668
4032.0000,0.885826
4032.0500,0.887054
4032.1000,0.915303
4032.1500,0.94469
4032.2000,0.907787
4032.2500,0.872673
4032.3000,0.913109
4032.3500,0.879176
4032.4000,0.850534
4032.4500,0.857527
4032.5000,0.8706
4032.5500,0.863312
4032.6000,0.84811
4032.6500,0.837037
4032.7000,0.781816
4032.7500,0.755928
4032.8000,0.748574
4032.8500,0.692649
4032.9000,0.686902
4032.9500,0.719904
4033.0000,0.686911
4033.0500,0.656095
4033.1000,0.736493
4033.1500,0.710873
4033.2000,0.725463
