Longitud_de_onda_A,espectro
4000.0000,0.864741
4000.0500,0.894929
4000.1000,1.05949
4000.1500,1.06444
4000.2000,0.868016
4000.2500,0.706232
4000.3000,0.612491
4000.3500,0.713912
4000.4000,0.603944
4000.4500,0.530115
4000.5000,0.483428
4000.5500,0.762778
4000.6000,1.01531
4000.6500,1.17635
4000.7000,1.13763
4000.7500,1.04412
4000.8000,0.97217
4000.8500,1.04253
4000.9000,1.10368
4000.9500,1.14423
4001.0000,1.06963
4001.0500,0.806225
4001.1000,0.691646
4001.1500,0.59957
4001.2000,0.718418
4001.2500,0.731156
4001.3000,0.890887
4001.3500,1.08414
4001.4000,0.822784
4001.4500,0.643928
4001.5000,0.82092
4001.5500,0.821002
4001.6000,0.758831
4001.6500,0.482348
4001.7000,0.573741
4001.7500,0.728531
4001.8000,0.999834
4001.8500,1.19876
4001.9000,1.15801
4001.9500,0.998583
4002.0000,0.971696
4002.0500,0.899856
4002.1000,0.881292
4002.1500,0.987559
4002.2000,1.10324
4002.2500,1.22117
4002.3000,1.156
4002.3500,0.904222
4002.4000,0.724754
4002.4500,0.607725
4002.5000,0.706629
4002.5500,0.832754
4002.6000,0.869093
4002.6500,0.698005
4002.7000,0.865915
4002.7500,0.996821
4002.8000,1.12135
4002.8500,0.90604
4002.9000,0.687905
4002.9500,0.691582
4003.0000,1.00309
4003.0500,1.16465
4003.1000,1.19123
4003.1500,1.12997
4003.2000,1.09687
4003.2500,1.08728
4003.3000,1.12561
4003.3500,1.27306
4003.4000,1.25106
4003.4500,1.12904
4003.5000,0.922162
4003.5500,0.83454
4003.6000,0.857858
4003.6500,0.929497
4003.7000,0.893969
4003.7500,0.524803
4003.8000,0.500626
4003.8500,0.738402
4003.9000,0.82107
4003.9500,0.643843
4004.0000,0.77345
4004.0500,0.973854
4004.1000,0.946821
4004.1500,0.889305
4004.2000,0.875568
4004.2500,0.995102
4004.3000,1.00906
4004.3500,1.05494
4004.4000,1.05691
4004.4500,1.08341
4004.5000,1.01797
4004.5500,0.936179
4004.6000,0.853075
4004.6500,0.785543
4004.7000,0.756794
4004.7500,0.720728
4004.8000,0.571074
4004.8500,0.426287
4004.9000,0.42496
4004.9500,0.409849
4005.0000,0.35483
4005.0500,0.388792
4005.1000,0.413304
4005.1500,0.382598
4005.2000,0.364189
4005.2500,0.359954
4005.3000,0.296231
4005.3500,0.345608
4005.4000,0.336578
4005.4500,0.367557
4005.5000,0.427378
4005.5500,0.496865
4005.6000,0.593556
4005.6500,0.549966
4005.7000,0.517485
4005.7500,0.57138
4005.8000,0.765883
4005.8500,0.934158
4005.9000,0.740816
4005.9500,0.615651
4006.0000,0.703991
4006.0500,0.751423
4006.1000,0.674616
4006.1500,0.520286
4006.2000,0.614941
4006.2500,0.650798
4006.3000,0.500801
4006.3500,0.525895
4006.4000,0.843272
4006.4500,0.900013
4006.5000,0.831926
4006.5500,0.726927
4006.6000,0.598707
4006.6500,0.551015
4006.7000,0.526705
4006.7500,0.464367
4006.8000,0.652085
4006.8500,0.874858
4006.9000,1.06422
4006.9500,0.885532
4007.0000,0.675655
4007.0500,0.858726
4007.1000,1.01239
4007.1500,0.943437
4007.2000,0.632108
4007.2500,0.506556
4007.3000,0.613621
4007.3500,0.827405
4007.4000,0.877175
4007.4500,0.838837
4007.5000,0.914576
4007.5500,0.89153
4007.6000,0.947128
4007.6500,0.97911
4007.7000,1.02116
4007.7500,0.875493
4007.8000,0.869148
4007.8500,0.649451
4007.9000,0.550577
4007.9500,0.467165
4008.0000,0.465358
4008.0500,0.504432
4008.1000,0.67161
4008.1500,0.791669
4008.2000,1.01005
4008.2500,1.06095
4008.3000,1.16329
4008.3500,1.08925
4008.4000,1.11816
4008.4500,1.1307
4008.5000,1.1263
4008.5500,1.02542
4008.6000,0.858018
4008.6500,0.917429
4008.7000,0.879884
4008.7500,0.869301
4008.8000,0.763841
4008.8500,0.57297
4008.9000,0.389617
4008.9500,0.443989
4009.0000,0.79847
4009.0500,0.896989
4009.1000,0.787334
4009.1500,0.714296
4009.2000,0.883615
4009.2500,1.15186
4009.3000,1.24217
4009.3500,1.31493
4009.4000,1.32134
4009.4500,1.22094
4009.5000,0.936508
4009.5500,0.643254
4009.6000,0.488673
4009.6500,0.40549
4009.7000,0.37804
4009.7500,0.447696
4009.8000,0.736615
4009.8500,0.902786
4009.9000,1.04922
4009.9500,0.94401
4010.0000,1.08818
4010.0500,1.10359
4010.1000,1.01668
4010.1500,0.825333
4010.2000,0.839729
4010.2500,0.97957
4010.3000,1.0962
4010.3500,0.957828
4010.4000,0.999091
4010.4500,0.860733
4010.5000,0.865217
4010.5500,0.724601
4010.6000,0.664533
4010.6500,0.928088
4010.7000,0.863139
4010.7500,0.7193
4010.8000,0.645799
4010.8500,0.781444
4010.9000,0.790106
4010.9500,0.783477
4011.0000,0.929038
4011.0500,0.893727
4011.1000,0.738066
